time,AccPed2D
-0.00125,99.9855
0.01875,99.9855
0.03875,99.9855
0.05875,62.3439
0.07875,94.8882
0.09875,33.7206
0.11975,0
0.13875,99.9855
0.15875,99.9855
0.17875,99.9855
0.19875,99.9855
0.21875,99.9855
0.23875,99.9855
0.25875,99.9855
0.27875,99.9855
0.29875,99.9855
0.31875,99.9855
0.33875,99.9855
0.35875,99.9855
0.37875,63.1281
0.39875,94.8882
0.41875,33.7206
0.43875,0
0.45875,99.9855
0.47875,99.9855
0.49875,99.9855
0.51875,99.9855
0.53875,99.9855
0.55875,99.9855
0.57875,99.9855
0.59875,99.9855
0.61875,99.9855
0.63875,99.9855
0.65875,99.9855
0.67875,99.9855
0.69875,57.2466
0.71875,94.8882
0.73875,33.7206
0.75875,0
0.77875,99.9855
0.79875,99.9855
0.81875,99.9855
0.83875,99.9855
0.85875,99.9855
0.87875,99.9855
0.89875,99.9855
0.91875,99.9855
0.93875,99.9855
0.95875,99.9855
0.97875,99.9855
0.99875,99.9855
1.01875,37.6416
1.03875,94.8882
1.05875,33.7206
1.07875,0
1.09875,99.9855
1.11875,99.9855
1.13875,99.9855
1.15875,99.9855
1.17875,99.9855
1.19875,99.9855
1.21875,99.9855
1.23875,99.9855
1.25875,99.9855
1.27875,99.9855
1.29875,99.9855
1.31875,99.9855
1.33875,36.4653
1.35875,94.8882
1.37875,33.7206
1.39875,0
1.41775,99.9855
1.43875,99.9855
1.45875,99.9855
1.47775,99.9855
1.49775,99.9855
1.51875,99.9855
1.53775,99.9855
1.55775,99.9855
1.57775,99.9855
1.59875,99.9855
1.61775,99.9855
1.63775,99.9855
1.65775,40.7784
1.67775,94.8882
1.69775,33.7206
1.71775,0
1.73775,99.9855
1.75775,99.9855
1.77775,99.9855
1.79775,99.9855
1.81775,99.9855
1.83775,99.9855
1.85775,99.9855
1.87775,99.9855
1.89775,99.9855
1.91775,99.9855
1.93775,99.9855
1.95775,99.9855
1.97775,45.8757
1.99775,94.8882
2.01775,33.7206
2.03775,0
2.05775,99.9855
2.07775,99.9855
2.09775,99.9855
2.11775,99.9855
2.13775,99.9855
2.15775,99.9855
2.17775,99.9855
2.19775,99.9855
2.21775,99.9855
2.23775,99.9855
2.25775,99.9855
2.27775,99.9855
2.29775,46.6599
2.31775,94.8882
2.33775,33.7206
2.35775,0
2.37775,99.9855
2.39775,99.9855
2.41775,99.9855
2.43775,99.9855
2.45775,99.9855
2.47775,99.9855
2.49775,99.9855
2.51775,99.9855
2.53775,99.9855
2.55775,99.9855
2.57775,99.9855
2.59775,99.9855
2.61775,47.052
2.63775,94.8882
2.65775,33.7206
2.67775,0
2.69775,99.9855
2.71775,99.9855
2.73775,99.9855
2.75775,99.9855
2.77775,99.9855
2.79775,99.9855
2.81675,99.9855
2.83675,99.9855
2.85675,99.9855
2.87675,99.9855
2.89675,99.9855
2.91775,99.9855
2.93675,51.3651
2.95675,94.8882
2.97675,33.7206
2.99775,0
3.01675,99.9855
3.03675,99.9855
3.05675,99.9855
3.07675,99.9855
3.09675,99.9855
3.11675,99.9855
3.13675,99.9855
3.15675,99.9855
3.17675,99.9855
3.19675,99.9855
3.21675,99.9855
3.23675,99.9855
3.25675,54.1098
3.27675,94.8882
3.29675,33.7206
3.31675,0
3.33675,99.9855
3.35675,99.9855
3.37675,99.9855
3.39675,99.9855
3.41675,99.9855
3.43675,99.9855
3.45675,99.9855
3.47675,99.9855
3.49675,99.9855
3.51675,99.9855
3.53675,99.9855
3.55675,99.9855
3.57675,8.2341
3.59675,94.8882
3.61675,33.7206
3.63675,0
3.65675,99.9855
3.67675,99.9855
3.69675,99.9855
3.71675,99.9855
3.73675,99.9855
3.75675,99.9855
3.77675,99.9855
3.79675,99.9855
3.81675,99.9855
3.83675,99.9855
3.85675,99.9855
3.87675,99.9855
3.89675,1.1763
3.91675,94.8882
3.93675,33.7206
3.95675,0
3.97675,99.9855
3.99675,99.9855
4.01675,99.9855
4.03675,99.9855
4.05675,99.9855
4.07675,99.9855
4.09675,99.9855
4.11675,99.9855
4.13675,99.9855
4.15675,99.9855
4.17675,99.9855
4.19675,99.9855
4.21675,14.8998
4.23675,94.8882
4.25675,33.7206
4.27675,0
4.29675,99.9855
4.31575,99.9855
4.33575,99.9855
4.35575,99.9855
4.37575,99.9855
4.39575,99.9855
4.41575,99.9855
4.43575,99.9855
4.45675,99.9855
4.47675,99.9855
4.49575,99.9855
4.51575,99.9855
4.53575,50.1888
4.55575,94.8882
4.57575,33.7206
4.59575,0
4.61575,99.9855
4.63575,99.9855
4.65575,99.9855
4.67575,99.9855
4.69575,99.9855
4.71575,99.9855
4.73575,99.9855
4.75575,99.9855
4.77575,99.9855
4.79575,99.9855
4.81575,99.9855
4.83575,99.9855
4.85575,49.4046
4.87575,94.8882
4.89575,33.7206
4.91575,0
4.93575,99.9855
4.95575,99.9855
4.97575,99.9855
4.99575,99.9855
5.01575,99.9855
5.03575,99.9855
5.05575,99.9855
5.07575,99.9855
5.09575,99.9855
5.11575,99.9855
5.13575,99.9855
5.15575,99.9855
5.17575,53.7177
5.19575,94.8882
5.21575,33.7206
5.23575,0
5.25575,99.9855
5.27575,99.9855
5.29575,99.9855
5.31575,99.9855
5.33575,99.9855
5.35575,99.9855
5.37575,99.9855
5.39575,99.9855
5.41575,99.9855
5.43575,99.9855
5.45575,99.9855
5.47575,99.9855
5.49575,54.894
5.51575,94.8882
5.53575,33.7206
5.55575,0
5.57575,99.9855
5.59575,99.9855
5.61575,99.9855
5.63575,99.9855
5.65575,99.9855
5.67575,99.9855
5.69575,99.9855
5.71575,99.9855
5.73575,99.9855
5.75575,99.9855
5.77575,99.9855
5.79575,99.9855
5.81475,54.894
5.83475,94.8882
5.85475,33.7206
5.87475,0
5.89475,99.9855
5.91475,99.9855
5.93475,99.9855
5.95475,99.9855
5.97475,99.9855
5.99475,99.9855
6.01475,99.9855
6.03475,99.9855
6.05475,99.9855
6.07475,99.9855
6.09475,99.9855
6.11475,99.9855
6.13475,51.7572
6.15475,94.8882
6.17475,33.7206
6.19475,0
6.21475,99.9855
6.23475,99.9855
6.25475,99.9855
6.27475,99.9855
6.29475,99.9855
6.31475,99.9855
6.33475,99.9855
6.35475,99.9855
6.37475,99.9855
6.39475,99.9855
6.41475,99.9855
6.43475,99.9855
6.45475,49.7967
6.47475,94.8882
6.49475,33.7206
6.51475,0
6.53475,99.9855
6.55475,99.9855
6.57475,99.9855
6.59475,99.9855
6.61475,99.9855
6.63475,99.9855
6.65475,99.9855
6.67475,99.9855
6.69475,99.9855
6.71475,99.9855
6.73475,99.9855
