"time,AccPedal"
"0.00065625,6.8"
"0.02065625,7.2"
"0.04065625,7.2"
"0.06065625,7.2"
"0.1006562,7.2"
"0.1206563,7.2"
"0.1406562,7.2"
"0.1606562,7.6"
"0.1806563,7.6"
"0.2006563,8"
"0.2206562,8"
"0.2406563,8"
"0.2606562,8"
"0.2806562,8"
"0.3006563,8.4"
"0.3206562,8.4"
"0.3406563,8.4"
"0.3606563,8.4"
"0.3806562,8.4"
"0.4006563,8.4"
"0.4206563,8.4"
"0.4406562,8.4"
"0.4606563,8.4"
"0.4806562,8.8"
"0.5006562,8.8"
"0.5206562,9.2"
"0.5406563,9.2"
"0.5606562,9.2"
"0.5806562,9.2"
"0.6006563,9.6"
"0.6206563,9.6"
"0.6406562,9.6"
"0.6606563,9.6"
"0.6806563,10.4"
"0.7006562,10.4"
"0.7206563,10.4"
"0.7406563,10.4"
"0.7606562,10.4"
"0.7806563,10.4"
"0.8006563,10.4"
"0.8206562,10.4"
"0.8406562,10.4"
"0.8606563,10.4"
"0.8806562,10.4"
"0.9006562,10.4"
"0.9206563,10.4"
"0.9406562,10.4"
"0.9606562,10.4"
"0.9806563,10.4"
"1.000656,10.4"
"1.020656,10.4"
"1.040656,10.4"
"1.060656,10.4"
"1.080656,10.4"
"1.100656,10.4"
"1.120656,10.4"
"1.140656,10.4"
"1.160656,10.8"
"1.180656,11.2"
"1.200656,11.2"
"1.220656,12"
"1.240656,12"
"1.260656,12"
"1.280656,12.4"
"1.299656,12.4"
"1.319656,12.4"
"1.339656,12.8"
"1.359656,12.8"
"1.379656,12.8"
"1.399656,13.2"
"1.419656,13.2"
"1.439656,13.6"
"1.459656,13.6"
"1.479656,13.6"
"1.499656,13.6"
"1.519656,14.4"
"1.539656,14.4"
"1.559656,14.4"
"1.579656,14.8"
"1.599656,14.8"
"1.619656,15.2"
"1.639656,16"
"1.659656,16"
"1.679656,16.4"
"1.699656,16.8"
"1.719656,16.8"
"1.739656,17.2"
"1.759656,17.2"
"1.779656,17.6"
"1.799656,17.6"
"1.819656,17.6"
"1.839656,18"
"1.859656,18"
"1.879656,18.8"
"1.899656,18.8"
"1.919656,19.6"
"1.939656,20"
"1.959656,20.4"
"1.979656,20.4"
"1.999656,20.4"
"2.019656,20.4"
"2.039656,21.2"
"2.059656,21.2"
"2.079656,21.6"
"2.099656,21.6"
"2.119656,21.6"
"2.139656,22"
"2.159656,22"
"2.179656,22.8"
"2.199656,22.8"
"2.219656,22.8"
"2.239656,22.8"
"2.259656,22.8"
"2.279656,23.2"
"2.299656,23.2"
"2.319656,23.2"
"2.339656,23.2"
"2.359656,23.6"
"2.379656,23.6"
"2.399656,24.4"
"2.419656,24.4"
"2.439656,24.4"
"2.459656,24.4"
"2.479656,24.8"
"2.499656,24.8"
"2.519656,25.2"
"2.539656,25.2"
"2.559656,25.2"
"2.579656,25.2"
"2.599656,25.6"
"2.619656,25.6"
"2.639656,25.6"
"2.659656,26"
"2.679656,26"
"2.699656,26.4"
"2.719656,26.8"
"2.739656,27.6"
"2.759656,27.6"
"2.778656,28.4"
"2.798656,29.2"
"2.818656,30"
"2.838656,30.8"
"2.858656,30.8"
"2.878656,31.2"
"2.898656,32"
"2.918656,32.4"
"2.938656,32.8"
"2.958656,33.6"
"2.978656,34"
"2.998656,34.8"
"3.018656,35.6"
"3.038656,36.4"
"3.058656,36.8"
"3.078656,37.6"
"3.098656,38.4"
"3.118656,39.6"
"3.138656,40"
"3.158656,40.8"
"3.178656,41.2"
"3.198656,41.6"
"3.218656,41.6"
"3.238656,41.6"
"3.258656,41.6"
