time,AccSignl
-0.00115625,6.8
0.01884375,7.2
0.03884375,7.2
0.05884375,7.2
0.07884375,7.2
0.09884375,7.2
0.1188437,7.2
0.1388437,7.2
0.1588438,7.6
0.1788438,7.6
0.1988437,8
0.2188437,8
0.2388438,8
0.2588437,8
0.2788438,8
0.2988437,8.4
0.3188438,8.4
0.3388438,8.4
0.3588437,8.4
0.3788438,8.4
0.3988437,8.4
0.4188437,8.4
0.4388438,8.4
0.4588437,8.4
0.4788437,8.8
0.4988438,8.8
0.5188438,9.2
0.5388438,9.2
0.5588437,9.2
0.5788438,9.2
0.5988438,9.6
0.6188437,9.6
0.6388438,9.6
0.6588438,9.6
0.6788437,10.4
0.6988438,10.4
0.7188438,10.4
0.7388437,10.4
0.7588438,10.4
0.7788438,10.4
0.7988437,10.4
0.8188437,10.4
0.8388438,10.4
0.8588437,10.4
0.8788437,10.4
0.8988438,10.4
0.9188437,10.4
0.9388437,10.4
0.9588438,10.4
0.9788437,10.4
0.9988437,10.4
1.018844,10.4
1.038844,10.4
1.058844,10.4
1.078844,10.4
1.098844,10.4
1.118844,10.4
1.138844,10.4
1.158844,10.8
1.178844,11.2
1.198844,11.2
1.218844,12
1.238844,12
1.258844,12
1.278844,12.4
1.298844,12.4
1.318844,12.4
1.337844,12.8
1.357844,12.8
1.377844,12.8
1.397844,13.2
1.418844,13.2
1.437844,13.6
1.458844,13.6
1.477844,13.6
1.497844,13.6
1.517844,14.4
1.537844,14.4
1.558844,14.4
1.577844,14.8
1.597844,14.8
1.617844,15.2
1.637844,16
1.657844,16
1.677844,16.4
1.697844,16.8
1.717844,16.8
1.737844,17.2
1.757844,17.2
1.777844,17.6
1.797844,17.6
1.817844,17.6
1.837844,18
1.857844,18
1.877844,18.8
1.897844,18.8
1.917844,19.6
1.937844,20
1.957844,20.4
1.977844,20.4
1.997844,20.4
2.017844,20.4
2.037844,21.2
2.057844,21.2
2.077844,21.6
2.097844,21.6
2.117844,21.6
2.137844,22
2.157844,22
2.177844,22.8
2.197844,22.8
2.217844,22.8
2.237844,22.8
2.257844,22.8
2.277844,23.2
2.297844,23.2
2.317844,23.2
2.337844,23.2
2.357844,23.6
2.377844,23.6
2.397844,24.4
2.417844,24.4
2.437844,24.4
2.457844,24.4
2.477844,24.8
2.497844,24.8
2.517844,25.2
2.537844,25.2
2.557844,25.2
2.577844,25.2
2.597844,25.6
2.617844,25.6
2.637844,25.6
2.657844,26
2.677844,26
2.697844,26.4
2.717844,26.8
2.737844,27.6
2.757844,27.6
2.777844,28.4
2.796844,29.2
2.816844,30
2.836844,30.8
2.856844,31.6
2.877844,32
2.896844,32.8
2.916844,33.2
2.936844,34
2.956844,34.8
2.976844,35.6
2.996844,36.4
3.016844,36.8
3.036844,37.6
3.056844,37.6
3.076844,39.6
3.096844,40.4
3.116844,41.2
3.136844,41.2
3.156844,42
3.176844,42
3.196844,42
3.216844,42
3.236844,42
3.256844,41.6
3.276844,36.8
3.296844,30.4
3.316844,23.2
3.336844,13.6
3.356844,13.6
3.376844,0
3.396844,0
3.416844,0
3.436844,0
3.456844,0
3.476844,0
3.496844,0
3.516844,0
3.536844,0
3.556844,0
3.576844,0
3.596844,0
3.616844,0
3.636844,0
3.656844,0
3.676844,0
3.696844,0
3.716844,0
3.736844,0
3.756844,0
3.776844,0
3.796844,0
3.816844,0
3.836844,0
3.856844,0
3.876844,0
3.896844,0
3.916844,0
3.936844,0
3.956844,0
3.976844,0
3.996844,0
4.016844,0
4.036844,0.8
4.056844,1.2
4.076844,2
4.096844,2.8
4.116844,4.4
4.136844,5.6
4.156844,6.8
4.176844,7.2
4.196844,9.6
4.216844,11.6
4.236844,12.4
4.256844,12.4
4.276844,13.6
4.296844,14.8
4.315844,14.8
4.335844,14.8
4.355844,14.8
4.375844,14.8
4.395844,14.8
4.415844,14.8
4.435844,14.8
4.455844,14.8
4.475844,14.8
4.495844,14.8
4.515844,14.8
4.535844,14.8
4.555844,14.8
4.575844,14.8
4.595844,14.8
4.615844,14.8
4.635844,14.8
4.655844,14.8
4.675844,14.8
4.695844,14.8
4.715844,14.8
4.735844,14.8
4.755844,14.8
4.775844,14.8
4.795844,14.8
4.815844,14.8
4.835844,14.8
4.855844,14.8
4.875844,14.8
4.895844,14.8
4.915844,15.2
4.935844,15.2
4.955844,16
4.975844,16.4
4.995844,16.8
5.015844,17.6
5.035844,17.6
5.055844,18.4
5.075844,18.4
5.095844,18.8
5.115844,19.2
5.135844,19.2
5.155844,19.2
5.175844,19.2
5.195844,19.2
5.215844,19.2
5.235844,19.2
5.255844,19.2
5.275844,19.2
5.295844,19.2
5.315844,19.2
5.335844,19.2
5.355844,19.2
5.375844,19.2
5.395844,19.2
5.415844,19.2
5.435844,19.2
5.455844,19.2
5.475844,19.2
5.495844,19.2
5.515844,19.2
5.535844,19.2
5.555844,19.2
5.575844,19.2
5.595844,19.2
5.615844,19.2
5.635844,19.2
5.655844,19.2
