ref_time,time,WheelAng,WheelSpd
0,-0.001,-532.35,-134.925
0.01,0.009,-533.925,-134.925
0.02,0.019,-535.5,-134.925
0.03,0.029,-536.9,-134.925
0.04,0.039,-538.475,-134.925
0.05,0.049,-538.475,-134.925
0.06,0.059,-539.875,-134.925
0.07,0.069,-539.875,-119.875
0.08,0.079,-539.875,-119.875
0.09,0.089,-541.45,-105
0.1,0.099,-541.45,-89.95
0.11,0.109,-541.45,-74.9
0.12,0.119,-541.45,-59.85
0.13,0.129,-541.45,-44.975
0.14,0.139,-541.45,-29.925
0.15,0.149,-539.875,0
0.16,0.159,-539.875,0
0.17,0.169,-539.875,0
0.18,0.179,-539.875,0
0.19,0.19,-539.875,0
0.2,0.199,-538.475,14.875
0.21,0.209,-538.475,14.875
0.22,0.219,-538.475,14.875
0.23,0.229,-538.475,14.875
0.24,0.239,-538.475,14.875
0.25,0.249,-538.475,14.875
0.26,0.26,-538.475,14.875
0.27,0.27,-536.9,29.925
0.28,0.28,-536.9,29.925
0.29,0.29,-536.9,29.925
0.3,0.3,-536.9,14.875
0.31,0.31,-536.9,14.875
0.32,0.32,-536.9,14.875
0.33,0.33,-536.9,14.875
0.34,0.34,-536.9,14.875
0.35,0.35,-536.9,14.875
0.36,0.36,-536.9,14.875
0.37,0.37,-536.9,0
0.38,0.38,-536.9,0
0.39,0.39,-536.9,0
0.4,0.4,-536.9,0
0.41,0.41,-536.9,0
0.42,0.42,-536.9,0
0.43,0.43,-536.9,0
0.44,0.44,-536.9,0
0.45,0.45,-536.9,0
0.46,0.46,-536.9,0
0.47,0.47,-536.9,0
0.48,0.48,-536.9,0
0.49,0.49,-536.9,0
0.5,0.5,-536.9,0
0.51,0.51,-536.9,0
0.52,0.52,-536.9,0
0.53,0.53,-536.9,0
0.54,0.54,-536.9,0
0.55,0.55,-536.9,0
0.56,0.56,-536.9,0
0.57,0.57,-536.9,0
0.58,0.58,-536.9,0
0.59,0.59,-536.9,0
0.6,0.6,-536.9,0
0.61,0.61,-536.9,0
0.62,0.62,-536.9,0
0.63,0.63,-536.9,0
0.64,0.64,-535.5,14.875
0.65,0.651,-535.5,14.875
0.66,0.661,-535.5,14.875
0.67,0.671,-535.5,14.875
0.68,0.681,-533.925,29.925
0.69,0.691,-533.925,29.925
0.7,0.701,-533.925,29.925
0.71,0.711,-533.925,29.925
0.72,0.721,-533.925,29.925
0.73,0.731,-532.35,44.975
0.74,0.741,-532.35,29.925
0.75,0.751,-532.35,29.925
0.76,0.761,-532.35,29.925
0.77,0.771,-530.95,44.975
0.78,0.781,-530.95,29.925
0.79,0.791,-530.95,29.925
0.8,0.801,-530.95,29.925
0.81,0.811,-530.95,29.925
0.82,0.821,-529.375,44.975
0.83,0.831,-529.375,29.925
0.84,0.841,-527.975,44.975
0.85,0.851,-527.975,44.975
0.86,0.861,-526.4,59.85
0.87,0.871,-526.4,44.975
0.88,0.881,-525,59.85
0.89,0.891,-523.425,74.9
0.9,0.901,-523.425,74.9
0.91,0.911,-520.45,105
0.92,0.921,-518.875,105
0.93,0.931,-517.475,119.875
0.94,0.941,-514.5,134.925
0.95,0.951,-512.925,149.975
0.96,0.961,-509.95,164.85
0.97,0.971,-506.975,194.95
0.98,0.981,-504,210
0.99,0.991,-500.85,224.875
1,1.001,-497.875,254.975
1.01,1.011,-494.9,254.975
1.02,1.021,-491.925,269.85
1.03,1.032,-487.375,299.95
1.04,1.042,-484.4,299.95
1.05,1.052,-481.425,315
1.06,1.062,-476.875,329.875
1.07,1.072,-473.9,329.875
1.08,1.082,-469.35,344.925
1.09,1.092,-466.375,344.925
1.1,1.102,-462,359.975
1.11,1.112,-458.85,359.975
1.12,1.122,-454.475,374.85
1.13,1.132,-451.5,359.975
1.14,1.142,-446.95,374.85
1.15,1.152,-442.4,389.9
1.16,1.162,-439.425,374.85
1.17,1.172,-434.875,389.9
1.18,1.182,-431.9,374.85
1.19,1.192,-427.35,389.9
1.2,1.202,-424.375,374.85
1.21,1.212,-420,389.9
1.22,1.222,-416.85,374.85
1.23,1.232,-413.875,374.85
1.24,1.242,-409.5,374.85
1.25,1.252,-406.35,359.975
1.26,1.262,-403.375,359.975
1.27,1.272,-400.4,344.925
1.28,1.282,-397.425,344.925
1.29,1.292,-394.45,329.875
1.3,1.302,-391.475,329.875
1.31,1.312,-388.5,315
1.32,1.322,-385.35,315
1.33,1.332,-382.375,315
1.34,1.342,-380.975,284.9
1.35,1.352,-376.425,299.95
1.36,1.362,-374.85,284.9
1.37,1.372,-371.875,284.9
1.38,1.383,-368.9,284.9
1.39,1.393,-365.925,284.9
1.4,1.403,-362.95,284.9
1.41,1.413,-361.375,269.85
1.42,1.423,-357,284.9
1.43,1.433,-355.425,269.85
1.44,1.443,-352.45,284.9
1.45,1.453,-349.475,269.85
1.46,1.463,-346.5,284.9
1.47,1.473,-343.35,284.9
1.48,1.483,-341.95,269.85
1.49,1.493,-338.975,269.85
1.5,1.503,-336,269.85
1.51,1.513,-332.85,284.9
1.52,1.523,-329.875,269.85
1.53,1.533,-328.475,269.85
1.54,1.543,-325.5,269.85
1.55,1.553,-323.925,254.975
1.56,1.563,-320.95,254.975
1.57,1.573,-317.975,254.975
1.58,1.583,-316.4,254.975
1.59,1.593,-313.425,254.975
1.6,1.603,-310.45,254.975
1.61,1.613,-308.875,239.925
1.62,1.623,-305.9,239.925
1.63,1.633,-302.925,254.975
1.64,1.643,-301.35,239.925
1.65,1.653,-298.375,254.975
1.66,1.663,-295.4,254.975
1.67,1.673,-294,239.925
1.68,1.683,-290.85,254.975
1.69,1.693,-289.45,239.925
1.7,1.703,-286.475,239.925
1.71,1.713,-283.5,254.975
1.72,1.723,-280.35,254.975
1.73,1.733,-278.95,239.925
1.74,1.743,-275.975,254.975
1.75,1.753,-273,254.975
1.76,1.764,-271.425,239.925
1.77,1.773,-268.45,254.975
1.78,1.784,-265.475,254.975
1.79,1.793,-263.9,254.975
1.8,1.804,-260.925,254.975
1.81,1.814,-257.95,254.975
1.82,1.824,-254.975,254.975
1.83,1.834,-252,269.85
1.84,1.844,-250.425,254.975
1.85,1.854,-247.45,254.975
1.86,1.864,-244.475,269.85
1.87,1.874,-241.5,269.85
1.88,1.884,-238.35,269.85
1.89,1.894,-236.95,269.85
1.9,1.904,-233.975,269.85
1.91,1.914,-231,269.85
1.92,1.924,-227.85,269.85
1.93,1.934,-224.875,269.85
1.94,1.944,-221.9,284.9
1.95,1.954,-218.925,284.9
1.96,1.964,-215.95,284.9
1.97,1.974,-212.975,284.9
1.98,1.984,-211.4,269.85
1.99,1.994,-206.85,299.95
2,2.004,-205.45,284.9
2.01,2.014,-200.9,299.95
2.02,2.024,-199.5,284.9
2.03,2.034,-196.35,284.9
2.04,2.044,-193.375,284.9
2.05,2.054,-190.4,284.9
2.06,2.064,-187.425,284.9
2.07,2.074,-184.45,284.9
2.08,2.084,-181.475,299.95
2.09,2.094,-178.5,284.9
2.1,2.104,-175.35,299.95
2.11,2.114,-172.375,284.9
2.12,2.124,-169.4,299.95
2.13,2.134,-166.425,299.95
2.14,2.144,-163.45,299.95
2.15,2.154,-160.475,299.95
2.16,2.164,-157.5,299.95
2.17,2.174,-154.35,299.95
2.18,2.184,-151.375,299.95
2.19,2.194,-148.4,299.95
2.2,2.205,-145.425,299.95
2.21,2.215,-143.85,284.9
2.22,2.225,-140.875,284.9
2.23,2.235,-136.5,299.95
2.24,2.245,-134.925,284.9
2.25,2.255,-131.95,284.9
2.26,2.265,-128.975,284.9
2.27,2.275,-126,284.9
2.28,2.285,-122.85,284.9
2.29,2.295,-121.45,269.85
2.3,2.305,-118.475,269.85
2.31,2.315,-115.5,284.9
2.32,2.325,-113.925,269.85
2.33,2.335,-110.95,254.975
2.34,2.345,-107.975,269.85
2.35,2.355,-106.4,254.975
2.36,2.365,-103.425,254.975
2.37,2.375,-101.85,239.925
2.38,2.385,-98.875,239.925
2.39,2.395,-95.9,254.975
2.4,2.405,-94.5,239.925
2.41,2.415,-91.35,239.925
2.42,2.425,-89.95,239.925
2.43,2.435,-86.975,239.925
2.44,2.445,-85.4,224.875
2.45,2.455,-82.425,239.925
2.46,2.465,-80.85,224.875
2.47,2.475,-79.45,224.875
2.48,2.485,-76.475,224.875
2.49,2.495,-74.9,210
2.5,2.505,-73.5,210
2.51,2.515,-71.925,194.95
2.52,2.525,-68.95,210
2.53,2.535,-67.375,194.95
2.54,2.545,-65.975,194.95
2.55,2.555,-64.4,179.9
2.56,2.565,-63,179.9
2.57,2.575,-61.425,179.9
2.58,2.585,-59.85,164.85
2.59,2.596,-58.45,164.85
2.6,2.606,-56.875,164.85
2.61,2.616,-55.475,164.85
2.62,2.626,-53.9,149.975
2.63,2.636,-52.5,149.975
2.64,2.646,-50.925,149.975
2.65,2.656,-49.35,149.975
2.66,2.666,-47.95,149.975
2.67,2.676,-46.375,149.975
2.68,2.686,-46.375,134.925
2.69,2.696,-43.4,149.975
2.7,2.706,-43.4,134.925
2.71,2.716,-42,134.925
2.72,2.726,-40.425,134.925
2.73,2.736,-40.425,119.875
2.74,2.746,-38.85,119.875
2.75,2.756,-37.45,119.875
2.76,2.766,-37.45,105
2.77,2.776,-35.875,105
2.78,2.786,-34.475,119.875
2.79,2.796,-34.475,89.95
2.8,2.806,-32.9,105
2.81,2.816,-32.9,89.95
2.82,2.826,-32.9,74.9
2.83,2.836,-31.5,89.95
2.84,2.846,-29.925,89.95
2.85,2.856,-29.925,74.9
2.86,2.866,-29.925,74.9
2.87,2.876,-29.925,59.85
2.88,2.886,-28.35,59.85
2.89,2.896,-28.35,59.85
2.9,2.906,-28.35,44.975
2.91,2.916,-26.95,59.85
2.92,2.926,-26.95,59.85
2.93,2.936,-26.95,44.975
2.94,2.947,-26.95,29.925
2.95,2.957,-25.375,44.975
2.96,2.966,-23.975,59.85
2.97,2.977,-23.975,59.85
2.98,2.987,-23.975,44.975
2.99,2.997,-23.975,44.975
3,3.007,-22.4,59.85
3.01,3.017,-22.4,44.975
3.02,3.027,-22.4,44.975
3.03,3.037,-21,59.85
3.04,3.047,-21,59.85
3.05,3.057,-21,44.975
3.06,3.067,-19.425,44.975
3.07,3.077,-19.425,44.975
3.08,3.087,-19.425,44.975
3.09,3.097,-19.425,44.975
3.1,3.107,-17.85,44.975
3.11,3.117,-17.85,44.975
3.12,3.127,-17.85,44.975
3.13,3.137,-17.85,29.925
3.14,3.147,-16.45,44.975
3.15,3.157,-16.45,44.975
3.16,3.167,-17.85,0
3.17,3.177,-17.85,0
3.18,3.187,-17.85,0
3.19,3.197,-17.85,0
3.2,3.207,-17.85,0
3.21,3.217,-19.425,-14.875
3.22,3.227,-19.425,-14.875
3.23,3.237,-19.425,-14.875
3.24,3.247,-19.425,-14.875
3.25,3.257,-21,-29.925
3.26,3.267,-21,-29.925
3.27,3.277,-22.4,-44.975
3.28,3.287,-22.4,-44.975
3.29,3.297,-23.975,-59.85
3.3,3.307,-23.975,-59.85
3.31,3.317,-25.375,-59.85
3.32,3.327,-26.95,-74.9
3.33,3.337,-26.95,-74.9
3.34,3.347,-28.35,-89.95
3.35,3.357,-29.925,-89.95
3.36,3.368,-29.925,-89.95
3.37,3.378,-31.5,-89.95
3.38,3.388,-32.9,-105
3.39,3.398,-32.9,-89.95
3.4,3.408,-34.475,-105
3.41,3.418,-35.875,-105
3.42,3.428,-35.875,-89.95
3.43,3.438,-37.45,-105
3.44,3.448,-37.45,-89.95
3.45,3.458,-37.45,-74.9
3.46,3.468,-38.85,-89.95
3.47,3.478,-40.425,-89.95
3.48,3.488,-40.425,-74.9
3.49,3.498,-40.425,-74.9
3.5,3.508,-42,-74.9
3.51,3.518,-42,-59.85
3.52,3.528,-42,-59.85
3.53,3.538,-42,-44.975
3.54,3.548,-42,-44.975
3.55,3.558,-42,-44.975
3.56,3.568,-42,-29.925
3.57,3.578,-42,-14.875
3.58,3.588,-42,-14.875
3.59,3.598,-40.425,0
3.6,3.608,-40.425,0
3.61,3.618,-40.425,0
3.62,3.628,-40.425,0
3.63,3.638,-38.85,14.875
3.64,3.648,-38.85,14.875
3.65,3.658,-38.85,14.875
3.66,3.668,-37.45,29.925
3.67,3.678,-37.45,29.925
3.68,3.688,-37.45,29.925
3.69,3.698,-35.875,44.975
3.7,3.708,-35.875,44.975
3.71,3.718,-35.875,44.975
3.72,3.728,-34.475,59.85
3.73,3.738,-34.475,44.975
3.74,3.748,-34.475,44.975
3.75,3.759,-32.9,59.85
3.76,3.769,-32.9,44.975
3.77,3.779,-32.9,44.975
3.78,3.789,-31.5,59.85
3.79,3.799,-29.925,59.85
3.8,3.809,-29.925,59.85
3.81,3.819,-29.925,59.85
3.82,3.829,-29.925,44.975
3.83,3.839,-28.35,59.85
3.84,3.849,-28.35,59.85
3.85,3.859,-28.35,44.975
3.86,3.869,-26.95,59.85
3.87,3.879,-26.95,59.85
3.88,3.889,-26.95,44.975
3.89,3.899,-26.95,29.925
3.9,3.909,-25.375,44.975
3.91,3.919,-25.375,44.975
3.92,3.929,-25.375,44.975
3.93,3.939,-23.975,44.975
3.94,3.949,-23.975,44.975
3.95,3.959,-23.975,44.975
3.96,3.969,-23.975,29.925
3.97,3.979,-23.975,29.925
3.98,3.989,-23.975,29.925
3.99,3.999,-23.975,29.925
4,4.009,-23.975,14.875
4.01,4.019,-23.975,14.875
4.02,4.029,-23.975,14.875
4.03,4.039,-23.975,0
4.04,4.049,-23.975,0
4.05,4.059,-23.975,0
4.06,4.069,-23.975,0
4.07,4.079,-22.4,14.875
4.08,4.09,-22.4,14.875
4.09,4.099,-22.4,14.875
4.1,4.109,-22.4,14.875
4.11,4.119,-22.4,14.875
4.12,4.129,-22.4,14.875
4.13,4.139,-22.4,14.875
4.14,4.15,-23.975,0
4.15,4.16,-23.975,0
4.16,4.17,-23.975,0
4.17,4.18,-23.975,0
4.18,4.19,-23.975,0
4.19,4.2,-23.975,0
4.2,4.21,-23.975,0
4.21,4.22,-23.975,0
4.22,4.23,-23.975,0
4.23,4.24,-23.975,0
4.24,4.25,-22.4,14.875
4.25,4.26,-22.4,14.875
4.26,4.27,-22.4,14.875
4.27,4.28,-22.4,14.875
4.28,4.29,-22.4,14.875
4.29,4.3,-21,29.925
4.3,4.31,-21,29.925
4.31,4.32,-21,29.925
4.32,4.33,-21,29.925
4.33,4.34,-19.425,44.975
4.34,4.35,-19.425,29.925
4.35,4.36,-19.425,29.925
4.36,4.37,-17.85,44.975
4.37,4.38,-17.85,44.975
4.38,4.39,-16.45,59.85
4.39,4.4,-16.45,44.975
4.4,4.41,-16.45,44.975
4.41,4.42,-14.875,59.85
4.42,4.43,-14.875,59.85
4.43,4.44,-14.875,44.975
4.44,4.45,-13.475,59.85
4.45,4.46,-13.475,59.85
4.46,4.47,-13.475,44.975
4.47,4.48,-11.9,59.85
4.48,4.49,-11.9,44.975
4.49,4.501,-10.5,59.85
4.5,4.51,-10.5,59.85
4.51,4.521,-10.5,44.975
4.52,4.53,-10.5,44.975
4.53,4.541,-10.5,44.975
4.54,4.551,-10.5,29.925
4.55,4.561,-10.5,29.925
4.56,4.571,-8.925,44.975
4.57,4.581,-8.925,29.925
4.58,4.591,-8.925,29.925
4.59,4.601,-8.925,14.875
4.6,4.611,-10.5,0
4.61,4.621,-10.5,0
4.62,4.631,-10.5,0
4.63,4.641,-10.5,0
4.64,4.651,-10.5,0
4.65,4.661,-10.5,0
4.66,4.671,-10.5,0
4.67,4.681,-10.5,0
4.68,4.691,-10.5,0
4.69,4.701,-10.5,0
4.7,4.711,-11.9,-14.875
4.71,4.721,-11.9,-14.875
4.72,4.731,-11.9,-14.875
4.73,4.741,-13.475,-29.925
4.74,4.751,-13.475,-29.925
4.75,4.761,-13.475,-29.925
4.76,4.771,-13.475,-29.925
4.77,4.781,-13.475,-29.925
4.78,4.791,-13.475,-29.925
4.79,4.801,-13.475,-29.925
4.8,4.811,-13.475,-14.875
4.81,4.821,-13.475,-14.875
4.82,4.831,-13.475,-14.875
4.83,4.841,-11.9,0
4.84,4.852,-11.9,0
4.85,4.861,-11.9,0
4.86,4.872,-10.5,14.875
4.87,4.881,-10.5,14.875
4.88,4.892,-10.5,14.875
4.89,4.901,-10.5,14.875
4.9,4.912,-10.5,14.875
4.91,4.922,-8.925,29.925
4.92,4.932,-8.925,29.925
4.93,4.942,-8.925,29.925
4.94,4.952,-8.925,29.925
4.95,4.962,-8.925,29.925
4.96,4.972,-7.35,29.925
4.97,4.982,-7.35,29.925
