ref_time,time,AccPed2D,AccPedal,AccSignl,DegOfDev,DeTorque,RevoPMin,SideAccl,SpeedCom
0,-0.001,99.986,6.8,6.8,28.1,25.74,1027,-0.11,7.89
0.02,0.019,99.986,7.2,7.2,28.64,24.96,1034,-0.12,8
0.04,0.039,99.986,7.2,7.2,29.11,25.35,1036,-0.13,8.11
0.06,0.059,62.344,7.2,7.2,29.39,24.96,1039,-0.14,8.35
0.08,0.079,94.888,"7,2",7.2,29.56,24.96,1039,-0.15,8.35
0.1,0.099,33.721,7.2,7.2,29.82,25.74,1044,-0.16,8.44
0.12,0.12,0,7.2,7.2,30.09,25.35,1049,-0.16,8.44
0.14,0.139,99.986,7.2,7.2,30.35,24.57,1054,-0.16,8.6
0.16,0.159,99.986,7.6,7.6,30.62,24.57,1057,-0.15,8.73
0.18,0.179,99.986,7.6,7.6,30.9,25.35,1059,-0.15,8.83
0.2,0.199,99.986,8,8,31.26,26.52,1061,-0.14,8.91
0.22,0.219,99.986,8,8,31.65,27.3,1065,-0.14,8.91
0.24,0.239,99.986,8,8,32,26.91,1069,-0.14,9
0.26,0.259,99.986,8,8,32.25,27.69,1075,-0.14,9.13
0.28,0.279,99.986,8,8,32.46,27.3,1078,-0.14,9.27
0.3,0.299,99.986,8.4,8.4,32.77,27.3,1089,-0.14,9.34
0.32,0.319,99.986,8.4,8.4,33.04,27.69,1094,-0.15,9.34
0.34,0.339,99.986,8.4,8.4,33.15,26.91,1102,-0.16,9.34
0.36,0.359,99.986,8.4,8.4,33.3,26.52,1107,-0.16,9.55
0.38,0.379,63.128,8.4,8.4,33.53,26.52,1107,-0.16,9.66
0.4,0.399,94.888,8.4,8.4,33.84,26.13,1111,-0.16,9.75
0.42,0.419,33.721,8.4,8.4,34.14,25.74,1114,-0.15,9.75
0.44,0.439,0,8.4,8.4,34.43,25.74,1115,-0.15,9.77
0.46,0.459,99.986,8.4,8.4,34.82,25.74,1117,-0.15,9.96
0.48,0.479,99.986,8.8,8.8,35.1,26.13,1120,-0.15,10.02
0.5,0.499,99.986,8.8,8.8,35.77,26.13,1119,-0.13,10.02
0.52,0.519,99.986,9.2,9.2,36.52,26.52,1127,-0.12,10.15
0.54,0.539,99.986,9.2,9.2,36.72,26.91,1130,-0.16,10.1
0.56,0.559,99.986,9.2,9.2,36.56,27.3,1136,-0.2,10.38
0.58,0.579,99.986,9.2,9.2,36.39,27.3,1141,-0.22,10.36
0.6,0.599,99.986,9.6,9.6,36.11,27.3,1147,-0.22,10.44
0.62,0.619,99.986,9.6,9.6,35.96,27.3,1163,-0.21,10.44
0.64,0.639,99.986,9.6,9.6,35.94,26.91,1171,-0.2,10.58
0.66,0.659,99.986,9.6,9.6,36.01,26.91,1184,-0.19,10.59
0.68,0.679,99.986,10.4,10.4,36.12,25.74,1190,-0.19,10.72
0.7,0.699,57.247,10.4,10.4,36.55,26.13,1197,-0.19,10.75
0.72,0.719,94.888,10.4,10.4,36.98,25.74,1202,-0.2,10.75
0.74,0.739,33.721,10.4,10.4,37.46,25.74,1210,-0.2,10.77
0.76,0.759,0,10.4,10.4,37.9,25.74,1215,-0.2,11.02
0.78,0.779,99.986,10.4,10.4,38.25,24.96,1219,-0.2,11.1
0.8,0.799,99.986,10.4,10.4,38.62,24.57,1222,-0.21,11.2
