"time,DegOfDev"
"-0.00125,28.1"
"0.01875,28.64"
"0.03875,29.11"
"0.05875,29.39"
"0.07875,29.56"
"0.09875,29.82"
"0.11875,30.09"
"0.13875,30.35"
"0.15875,30.62"
"0.17875,30.9"
"0.19875,31.26"
"0.21875,31.65"
"0.23875,32"
"0.25875,32.25"
"0.27875,32.46"
"0.29875,32.77"
"0.31875,33.04"
"0.33875,33.15"
"0.35875,33.3"
"0.37875,33.53"
"0.39875,33.84"
"0.41875,34.14"
"0.43875,34.43"
"0.45875,34.82"
"0.47875,35.1"
"0.49875,35.77"
"0.51875,36.52"
"0.53875,36.72"
"0.55875,36.56"
"0.57875,36.39"
"0.59875,36.11"
"0.61875,35.96"
"0.63875,35.94"
"0.65875,36.01"
"0.67875,36.12"
"0.69875,36.55"
"0.71875,36.98"
"0.73875,37.46"
"0.75875,37.9"
"0.77875,38.25"
"0.79875,38.62"
"0.81875,38.96"
"0.83875,39.26"
"0.85875,39.39"
"0.87875,39.51"
"0.89875,39.73"
"0.91875,39.83"
"0.93875,39.86"
"0.95875,39.72"
"0.97875,39.49"
"0.99875,39.25"
"1.01875,39"
"1.03875,38.66"
"1.05975,38.23"
"1.07975,37.86"
"1.09975,37.43"
"1.11875,37.01"
"1.13975,36.41"
"1.15975,35.94"
"1.17975,35.19"
"1.19975,34.57"
"1.21975,34.19"
"1.23975,33.62"
"1.25975,33.08"
"1.27975,32.53"
"1.29875,32.19"
"1.31875,31.91"
"1.33975,31.61"
"1.35875,31.06"
"1.37975,30.68"
"1.39975,30.19"
"1.41875,29.57"
"1.43975,29.05"
"1.45875,28.58"
"1.47875,28.02"
"1.49975,27.57"
"1.51975,27.18"
"1.53975,26.65"
"1.55875,26.42"
"1.57975,26.16"
"1.59975,25.76"
"1.61875,25.46"
"1.63975,25.24"
"1.65875,25.03"
"1.67975,24.79"
"1.69875,24.43"
"1.71875,24.13"
"1.73975,23.94"
"1.75875,23.54"
"1.77875,23.2"
"1.79875,22.89"
"1.81875,22.69"
"1.83875,22.45"
"1.85875,22.17"
"1.87875,21.8"
"1.89875,21.45"
"1.91875,21.24"
"1.93875,20.87"
"1.95875,20.44"
"1.97875,20.05"
"1.99875,19.65"
"2.01875,19.29"
"2.03875,18.85"
"2.05875,18.17"
"2.07875,17.57"
"2.09875,17.03"
"2.11875,16.55"
"2.13875,16.11"
"2.15875,15.62"
"2.17875,15.26"
"2.19875,14.89"
"2.21875,14.5"
"2.23875,14.13"
"2.25875,13.65"
"2.27875,13.28"
"2.29975,12.93"
"2.31875,12.55"
"2.33875,12.18"
"2.35875,11.7"
"2.37875,11.33"
"2.39875,10.81"
"2.41875,10.24"
"2.43975,9.77"
"2.45875,9.43"
"2.47875,9.01"
"2.49875,8.49"
"2.51875,8.21"
"2.53875,7.82"
"2.55875,7.66"
"2.57875,7.48"
"2.59875,7.26"
"2.61875,7.05"
"2.63875,6.7"
"2.65875,6.46"
"2.67875,6.19"
"2.69875,5.94"
"2.71875,5.53"
"2.73875,5.2"
"2.75875,4.95"
"2.77875,4.6"
"2.79875,4.29"
"2.81875,4.19"
"2.83875,4.01"
"2.85875,3.88"
"2.87875,3.85"
"2.89875,3.74"
"2.91875,3.63"
"2.93875,3.49"
"2.95875,3.32"
"2.97875,3.22"
"2.99875,3.08"
"3.01875,3.02"
"3.03875,3.13"
"3.05875,2.97"
"3.07875,2.86"
"3.09875,2.83"
"3.11875,2.67"
"3.13875,2.46"
"3.15875,2.48"
"3.17875,2.36"
"3.19875,2.3"
"3.21875,2.18"
"3.23875,2.28"
"3.25875,2.19"
"3.27875,2.2"
"3.29875,2.2"
"3.31875,2.33"
"3.33875,2.37"
"3.35875,2.52"
"3.37875,2.74"
"3.39875,2.89"
"3.41875,3.2"
"3.43875,3.54"
"3.45875,3.85"
"3.47875,4.3"
"3.49875,4.61"
"3.51875,4.8"
"3.53975,5.2"
"3.55875,5.58"
"3.57875,5.72"
"3.59875,5.6"
"3.61875,5.74"
"3.63875,5.88"
"3.65875,5.88"
"3.67875,5.94"
"3.69975,5.84"
"3.71875,5.57"
"3.73875,5.54"
"3.75875,5.54"
"3.77875,5.36"
"3.79975,5.22"
"3.81875,4.99"
"3.83875,4.78"
"3.85875,4.46"
"3.87875,4.28"
"3.89875,4.2"
"3.91875,4.12"
"3.93875,3.96"
"3.95875,3.69"
"3.97875,3.53"
"3.99875,3.36"
"4.01875,3.29"
"4.03875,3.27"
"4.05875,3.17"
"4.07875,3.18"
"4.09875,3.31"
"4.11875,3.33"
"4.13975,3.38"
"4.15875,3.43"
"4.17875,3.25"
"4.19875,2.87"
"4.21875,2.71"
"4.23975,2.78"
"4.25875,2.86"
"4.27875,2.9"
"4.29875,3.16"
"4.31875,3.43"
"4.33875,3.21"
"4.35875,2.86"
"4.37875,2.53"
"4.39875,2.36"
"4.41875,2.35"
"4.43875,2.34"
"4.45875,2.27"
"4.47875,2.19"
"4.49875,2.22"
"4.51875,2.11"
"4.53875,2.02"
"4.55875,2.01"
"4.57875,2.04"
"4.59875,2.14"
"4.61875,2.24"
"4.63875,2.37"
"4.65875,2.45"
"4.67875,2.59"
"4.69875,2.68"
"4.71875,2.69"
"4.73875,2.61"
"4.75875,2.44"
"4.77875,2.1"
"4.79875,1.77"
"4.81875,1.54"
"4.83875,1.13"
"4.85875,1.07"
"4.87875,1.04"
"4.89875,1.19"
"4.91875,1.33"
"4.93875,1.48"
"4.95875,1.59"
"4.97975,1.65"
"4.99975,1.58"
"5.01875,1.62"
"5.03975,1.56"
"5.05875,1.65"
"5.07875,1.56"
"5.09975,1.61"
"5.11975,1.7"
"5.13975,1.69"
"5.15875,1.7"
"5.17875,1.63"
"5.19975,1.56"
"5.21875,1.62"
"5.23975,1.62"
"5.25875,1.57"
"5.27875,1.66"
"5.29975,1.81"
"5.31875,1.83"
"5.33975,1.87"
"5.35975,1.99"
"5.37875,2.13"
"5.39975,2.18"
"5.41875,2.19"
"5.43975,2.31"
"5.45875,2.27"
"5.47975,2.34"
"5.49975,2.35"
"5.51875,2.35"
"5.53975,2.35"
"5.55875,2.31"
"5.57875,2.26"
"5.59975,2.23"
"5.61875,2.31"
"5.63875,2.35"
"5.65875,2.37"
"5.67875,2.43"
"5.69875,2.5"
"5.71875,2.45"
"5.73875,2.48"
"5.75875,2.52"
"5.77875,2.52"
"5.79875,2.57"
"5.81875,2.62"
"5.83875,2.68"
"5.85875,2.66"
"5.87875,2.68"
"5.89875,2.69"
"5.91875,2.69"
"5.93875,2.69"
"5.95875,2.79"
"5.97875,2.86"
"5.99875,2.88"
"6.01875,2.87"
"6.03875,2.92"
"6.05875,3.02"
"6.07875,3.04"
"6.09875,3.06"
"6.11875,3.27"
"6.13875,3.52"
"6.15875,3.75"
"6.17875,4.03"
"6.19875,4.39"
"6.21875,4.71"
"6.23875,5"
"6.25875,5.36"
"6.27875,5.71"
"6.29975,6.05"
"6.31875,6.44"
"6.33975,6.83"
"6.35875,7.25"
"6.37875,7.59"
"6.39875,8.13"
"6.41875,8.39"
"6.43875,8.68"
"6.45875,8.93"
"6.47875,9.35"
"6.49875,9.62"
"6.51875,9.94"
"6.53975,10.28"
"6.55975,10.58"
"6.57875,10.8"
"6.59875,11.06"
"6.61975,11.24"
"6.63875,11.47"
"6.65875,11.75"
"6.67875,12.04"
"6.69875,12.38"
"6.71875,12.73"
"6.73975,13.02"
"6.75875,13.27"
"6.77875,13.46"
"6.79875,13.84"
"6.81875,14.24"
"6.83875,14.66"
"6.85875,15.16"
"6.87875,15.67"
"6.89875,16.05"
"6.91875,16.56"
"6.93875,17.14"
"6.95875,17.69"
"6.97875,18.21"
"6.99875,18.77"
"7.01875,19.29"
"7.03975,19.97"
"7.05875,20.51"
"7.07875,21.06"
"7.09975,21.53"
"7.11875,22.06"
"7.13875,22.57"
"7.15875,23.09"
"7.17875,23.67"
"7.19875,24.17"
"7.21875,24.58"
"7.23875,25.03"
"7.25875,25.31"
"7.27875,25.47"
"7.29875,25.64"
"7.31875,25.81"
"7.33875,26.06"
"7.35875,26.18"
"7.37875,26.48"
"7.39875,26.69"
"7.41875,26.87"
"7.43875,27.13"
"7.45875,27.37"
"7.47875,27.69"
"7.49875,27.97"
"7.51875,28.27"
"7.53875,28.72"
"7.55875,29"
"7.57875,29.35"
"7.59975,29.53"
"7.61875,29.65"
"7.63875,29.73"
"7.65875,29.78"
"7.67875,29.79"
"7.69875,29.67"
"7.71875,29.7"
"7.73875,29.66"
"7.75875,29.57"
"7.77875,29.55"
"7.79875,29.58"
"7.81875,29.61"
"7.83975,29.74"
"7.85875,29.67"
"7.87875,29.66"
"7.89975,29.89"
"7.91875,29.84"
"7.93975,30.16"
"7.95875,30.59"
"7.97875,30.39"
"7.99975,30.19"
"8.01875,30.07"
"8.03875,29.85"
"8.05875,29.83"
"8.07875,30.16"
"8.09975,30.31"
"8.11875,30.43"
"8.13875,30.63"
"8.15875,30.77"
"8.17875,30.66"
"8.19875,30.74"
"8.21875,30.88"
"8.23975,31.12"
"8.25875,31.43"
"8.27875,31.35"
"8.29875,31.48"
"8.31875,31.33"
"8.33875,31.14"
"8.35875,31.26"
"8.37875,31.11"
"8.39875,31.12"
"8.41875,31.11"
"8.43875,30.93"
"8.45875,30.86"
"8.47875,30.9"
"8.49875,30.85"
"8.51875,30.95"
"8.53875,30.99"
"8.55875,31.01"
"8.57875,30.98"
"8.59875,30.86"
"8.61875,30.92"
"8.63875,30.73"
"8.65875,30.63"
"8.67875,30.47"
"8.69875,30.18"
"8.71875,29.96"
"8.73875,29.71"
"8.75875,29.36"
"8.77875,29.1"
"8.79875,28.82"
"8.81875,28.64"
"8.83875,28.5"
"8.85975,28.27"
"8.87875,28.22"
"8.89975,28.1"
"8.91975,28.04"
"8.93975,27.96"
"8.95975,27.8"
"8.97875,27.76"
"8.99975,27.66"
"9.01975,27.49"
"9.03975,27.31"
"9.05875,27.07"
"9.07975,26.95"
"9.09875,26.77"
"9.11875,26.44"
"9.13975,26.27"
"9.15875,26.06"
"9.17975,25.85"
"9.19975,25.62"
"9.21975,25.46"
"9.23975,25.24"
"9.25875,25.02"
"9.27875,24.74"
"9.29975,24.47"
"9.31975,24.14"
"9.33975,23.89"
"9.35975,23.65"
"9.37975,23.36"
"9.39975,23.13"
"9.41875,22.97"
"9.43975,22.68"
"9.45975,22.62"
