time,DeTorque
0.00065625,25.74
0.02065625,24.96
0.04065625,25.35
0.06065625,24.96
0.1006562,25.74
0.1206563,25.35
0.1406562,24.57
0.1606562,24.57
0.1806563,25.35
0.2006563,26.52
0.2206562,27.3
0.2406563,26.91
0.2606562,27.69
0.2806562,27.3
0.3006563,27.3
0.3206562,27.69
0.3406563,26.91
0.3606563,26.52
0.3806562,26.52
0.4006563,26.13
0.4206563,25.74
0.4406562,25.74
0.4606563,25.74
0.4806562,26.13
0.5006562,26.13
0.5206562,26.52
0.5406563,26.91
0.5606562,27.3
0.5806562,27.3
0.6006563,27.3
0.6206563,27.3
0.6406562,26.91
0.6606563,26.91
0.6806563,25.74
0.7006562,26.13
0.7206563,25.74
0.7406563,25.74
0.7606562,25.74
0.7806563,24.96
0.8006563,24.57
0.8206562,23.4
0.8406562,22.62
0.8606563,22.23
0.8806562,21.84
0.9006562,21.84
0.9206563,21.84
0.9406562,20.67
0.9606562,20.28
0.9806563,19.11
1.000656,18.33
1.020656,17.55
1.040656,17.16
1.060656,16.38
1.080656,16.38
1.100656,16.38
1.120656,16.38
1.140656,15.99
1.160656,15.99
1.180656,15.99
1.200656,16.38
1.220656,16.77
1.240656,17.16
1.260656,17.16
1.280656,17.16
1.299656,17.55
1.319656,17.55
1.339656,17.55
1.359656,17.55
1.379656,17.55
1.399656,17.94
1.419656,17.94
1.439656,18.33
1.459656,18.33
1.479656,18.33
1.499656,18.33
1.519656,18.72
1.539656,19.11
1.559656,19.11
1.579656,19.11
1.599656,19.89
1.619656,19.5
1.639656,19.89
1.659656,20.28
1.679656,20.67
1.699656,20.67
1.719656,21.06
1.739656,21.06
1.759656,21.45
1.779656,21.45
1.799656,21.45
1.819656,21.84
1.839656,21.84
1.859656,21.84
1.879656,21.84
1.899656,22.23
1.919656,22.23
1.939656,23.01
1.959656,23.4
1.979656,23.4
1.999656,23.4
2.019656,23.4
2.039656,23.4
2.059656,23.79
2.079656,23.79
2.099656,24.18
2.119656,24.18
2.139656,24.18
2.159656,24.18
2.179656,24.18
2.199656,24.96
2.219656,24.96
2.239656,24.57
2.259656,24.57
2.279656,24.57
2.299656,24.57
2.319656,24.57
2.339656,24.57
2.359656,24.57
2.379656,24.96
2.399656,24.96
2.419656,25.35
2.439656,25.35
2.459656,25.35
2.479656,24.96
2.499656,25.74
2.519656,25.35
2.539656,25.35
2.559656,25.35
2.579656,25.35
2.599656,25.35
2.619656,25.35
2.639656,25.35
2.659656,25.35
2.679656,25.35
2.699656,25.35
2.719656,26.13
2.739656,26.13
2.759656,26.91
2.778656,26.52
2.798656,27.69
2.818656,28.08
2.838656,28.47
2.858656,29.25
2.878656,29.25
2.898656,29.25
2.918656,29.64
2.938656,30.03
2.958656,30.42
2.978656,30.81
2.998656,31.59
3.018656,31.98
3.038656,32.76
3.058656,33.15
3.078656,33.54
3.098656,34.32
3.118656,35.1
3.138656,35.88
3.158656,36.66
3.178656,37.05
3.198656,37.44
3.218656,37.44
3.238656,36.66
3.258656,36.27
3.278656,35.88
3.298656,32.76
3.318656,28.08
3.338656,22.23
3.358656,15.99
3.378656,11.7
3.398656,5.85
3.418656,2.34
3.438656,1.17
3.458656,0
3.478656,0
3.498656,0
3.518656,0
3.538656,0
3.558656,0
3.578656,0
3.598656,0
3.618656,0
3.638656,0
3.658656,0
3.678656,0
3.698656,0
3.718656,0
3.738656,0
3.758656,0
3.778656,0
3.798656,0
3.818656,0
3.838656,0
3.858656,0
3.878656,0
3.898656,0
3.918656,0
3.938656,0
3.958656,0
3.978656,0
3.998656,0
4.018656,0
4.038656,0
4.058656,0
4.078656,3.12
4.098656,5.85
4.118656,9.36
4.138656,13.26
4.158656,14.04
4.178656,13.65
4.198656,13.65
4.218656,16.38
4.238656,17.94
4.258656,18.72
4.278656,18.33
4.297656,19.5
4.317656,19.11
4.337656,19.11
4.357656,18.33
4.377656,18.33
4.397656,17.94
4.417656,17.94
4.438656,18.33
4.457656,18.72
4.477656,19.89
4.497656,20.28
4.517656,21.06
4.537656,21.84
4.557656,21.45
4.577656,21.06
4.597656,21.06
4.617656,20.67
4.637656,20.67
4.657656,20.67
4.677656,20.67
4.697656,20.28
4.717656,20.28
4.737656,20.28
4.757656,19.89
4.777656,19.89
4.797656,19.89
4.817656,19.89
4.837656,20.28
4.857656,20.28
4.877656,20.28
4.897656,20.67
4.917656,20.67
4.937656,20.67
4.957656,21.06
4.977656,21.45
4.997656,21.45
5.017656,21.84
5.037656,21.84
5.057656,22.23
5.077656,22.62
5.097656,23.01
5.117656,23.4
