time,DisSpeed
0.00165625,9.6
0.02165625,9.6
0.04165625,9.6
0.06165625,9.92
0.1016563,9.92
0.1216562,9.92
0.1416562,10.24
0.1606562,10.24
0.1806563,10.56
0.2016563,10.56
0.2216562,10.56
0.2416562,10.56
0.2616563,10.88
0.2816562,10.88
0.3016562,10.88
0.3216563,10.88
0.3416562,10.88
0.3616562,11.2
0.3816563,11.2
0.4016562,11.52
0.4216563,11.52
0.4416563,11.52
0.4616562,11.52
0.4816563,11.84
0.5016562,11.84
0.5206562,11.84
0.5416563,11.84
0.5606562,12.16
0.5816563,12.16
0.6016563,12.16
0.6206563,12.16
0.6416563,12.16
0.6606563,12.16
0.6806563,12.48
0.7016562,12.48
0.7206563,12.48
0.7416562,12.48
0.7606562,12.8
0.7806563,12.8
0.8016562,12.8
0.8216562,12.8
0.8416563,13.12
0.8616562,13.12
0.8816562,13.12
0.9016563,13.12
0.9216563,13.44
0.9416562,13.12
0.9616563,13.44
0.9816563,13.44
1.001656,13.44
1.021656,13.44
1.041656,13.44
1.061656,13.44
1.081656,13.44
1.101656,13.44
1.121656,13.44
1.141656,13.44
1.161656,13.76
1.181656,13.44
1.201656,13.76
1.221656,13.76
1.241656,13.76
1.261656,13.76
1.281656,13.76
1.301656,13.76
1.320656,13.76
1.341656,13.76
1.360656,13.76
1.381656,13.76
1.401656,13.76
1.420656,13.76
1.441656,13.76
1.460656,13.76
1.480656,14.08
1.501656,14.08
1.521656,13.76
1.541656,14.08
1.560656,14.08
1.581656,14.08
1.601656,14.08
1.620656,14.08
1.641656,14.08
1.660656,14.08
1.681656,14.4
1.700656,14.4
1.720656,14.4
1.741656,14.08
1.761656,14.4
1.781656,14.4
1.801656,14.4
1.821656,14.4
1.841656,14.72
1.861656,14.72
1.881656,14.72
1.901656,14.72
1.921656,14.72
1.941656,14.72
1.961656,14.72
1.981656,15.04
2.001656,15.04
2.021656,15.04
2.041656,15.04
2.061656,15.04
2.081656,15.36
2.101656,15.36
2.120656,15.04
2.141656,15.36
2.160656,15.36
2.181656,15.36
2.201656,15.36
2.220656,15.36
2.241656,15.68
2.260656,15.68
2.280656,15.68
2.302656,15.68
2.320656,15.68
2.341656,16
2.361656,16
2.380656,16.32
2.401656,16.32
2.420656,16
2.441656,16.32
2.460656,16.32
2.480656,16.64
2.501656,16.64
2.520656,16.32
2.541656,16.64
2.561656,16.64
2.581656,16.64
2.601656,16.64
2.621656,16.96
2.641656,16.96
2.661656,16.96
2.681656,16.96
2.701656,16.96
2.721656,17.28
2.741656,16.96
2.761656,17.6
2.781656,17.6
2.801656,17.6
2.821656,17.6
2.841656,17.6
2.861656,17.92
2.881656,17.92
2.901656,17.92
2.920656,17.92
2.941656,18.24
2.961656,18.24
2.981656,18.24
3.001656,18.24
3.021656,18.24
3.041656,18.24
3.061656,18.56
3.081656,18.56
3.101656,18.56
3.121656,18.56
3.141656,18.88
3.161656,19.2
3.180656,19.2
3.201656,19.2
3.220656,19.2
3.241656,19.52
3.261656,19.52
3.280656,19.84
3.301656,19.84
3.321656,19.84
3.341656,20.16
3.361656,20.16
3.381656,20.16
3.401656,20.16
3.421656,20.16
3.441656,20.48
3.461656,20.16
3.481656,20.16
3.501656,20.16
3.521656,20.16
3.541656,20.16
3.561656,20.16
3.581656,20.16
3.601656,20.16
3.621656,20.16
3.641656,20.8
3.660656,20.16
3.681656,20.48
3.701656,20.48
3.720656,20.16
3.741656,20.16
3.760656,20.48
3.781656,20.16
3.801656,20.16
3.820656,20.48
3.841656,20.16
3.860656,20.16
3.881656,20.16
3.900656,20.16
3.920656,20.16
3.941656,20.16
3.960656,20.16
3.981656,20.16
4.001656,20.16
4.020656,20.16
4.041656,19.84
4.060656,20.16
4.080656,19.84
4.101656,19.84
4.121656,19.52
4.141656,19.52
4.161656,19.84
4.181656,19.2
4.201656,19.2
4.221656,19.2
4.241656,19.52
4.261656,19.2
4.281656,19.52
4.301656,19.84
4.321656,19.84
4.341656,19.52
4.361656,19.2
4.381656,19.52
4.401656,19.52
4.420656,19.84
4.441656,19.84
4.460656,19.52
4.481656,19.84
4.501656,19.84
4.520656,19.52
4.541656,19.52
4.560656,19.84
4.580656,19.52
4.601656,19.84
4.620656,19.84
4.641656,19.84
4.660656,19.84
4.680656,19.84
4.701656,19.84
4.720656,19.84
4.741656,19.84
4.760656,20.16
4.780656,19.84
4.801656,19.84
4.820656,19.84
4.841656,19.84
4.861656,19.84
4.881656,19.84
4.901656,19.84
4.920656,19.84
4.941656,19.84
4.960656,20.16
4.981656,20.16
5.001656,20.16
5.021656,19.84
5.041656,20.16
5.060656,20.16
5.080656,20.16
5.101656,20.16
5.121656,20.16
5.141656,20.16
5.160656,20.16
5.180656,20.16
5.201656,20.48
5.220656,20.48
5.241656,20.16
5.260656,20.48
5.280656,20.48
5.301656,20.48
5.320656,20.48
5.341656,20.48
5.360656,20.48
5.380656,20.48
5.401656,20.48
5.420656,20.48
5.441656,20.48
5.460656,20.48
5.481656,20.8
5.501656,20.8
5.520656,20.8
5.541656,20.8
5.560656,20.8
5.580656,21.12
5.601656,20.8
5.620656,20.8
5.641656,20.8
5.660656,21.12
5.681656,20.8
5.701656,20.8
5.720656,20.8
5.741656,21.12
5.760656,21.12
5.781656,21.12
5.801656,21.12
5.820656,21.12
5.841656,21.12
5.861656,21.12
5.881656,21.12
5.901656,21.44
5.921656,21.44
5.941656,21.44
5.961656,21.44
5.981656,21.44
6.001656,21.44
6.021656,21.44
6.041656,21.44
6.061656,21.44
6.081656,21.44
6.101656,21.44
6.121656,21.44
6.141656,21.44
6.161656,21.44
6.180656,21.76
6.201656,21.76
6.220656,21.76
6.241656,21.76
6.260656,21.76
6.280656,22.08
6.301656,21.76
6.320656,21.76
6.341656,21.76
6.360656,22.08
6.381656,22.08
6.401656,22.08
6.420656,22.08
6.441656,21.76
6.461656,22.08
6.481656,22.08
6.501656,22.08
6.521656,22.08
6.541656,22.08
6.561656,22.4
6.581656,22.4
6.601656,22.4
6.621656,22.4
6.641656,22.4
6.661656,22.4
6.681656,22.4
6.701656,22.4
6.721656,22.4
6.741656,22.4
6.760656,22.4
6.781656,22.4
6.801656,22.4
6.820656,22.4
6.841656,22.4
6.861656,22.4
6.881656,22.4
6.901656,22.4
6.921656,22.72
6.941656,22.72
6.961656,22.72
6.981656,22.72
7.001656,22.72
7.020656,22.72
7.041656,22.72
7.060656,22.72
7.081656,23.04
7.101656,23.04
7.120656,23.04
7.141656,23.04
7.160656,23.04
7.181656,23.04
7.200656,23.04
7.221656,23.04
7.241656,23.36
7.261656,23.36
7.281656,23.36
7.302656,23.36
7.321656,23.36
7.341656,23.36
7.361656,23.36
7.381656,23.68
7.401656,23.68
7.421656,23.68
7.441656,23.36
7.461656,23.36
7.481656,23.36
7.501656,23.36
7.521656,23.36
7.541656,23.68
7.560656,23.68
7.581656,23.68
7.601656,23.68
7.620656,23.68
7.641656,23.68
7.660656,24
7.681656,24
7.701656,24
7.720656,24
7.741656,24
7.760656,24
7.780656,24
7.801656,24
7.820656,24.32
7.841656,24.32
7.860656,24.32
7.881656,24.64
7.901656,24.32
7.920656,24.32
7.941656,24.64
7.960656,24.32
7.980656,24.64
8.002656,24.64
8.020657,24.64
8.041656,24.64
8.061656,24.64
8.080656,24.96
8.102656,24.96
8.121656,24.96
8.141656,24.64
8.160656,24.64
8.181656,24.64
8.201656,24.96
8.221656,24.96
8.241656,24.96
8.261656,24.96
8.281656,25.28
8.301657,25.28
8.320656,25.28
8.341657,25.28
8.360656,25.28
8.381657,25.28
8.401656,25.28
8.420656,24.96
8.441656,25.28
8.460656,25.28
8.480657,25.28
8.501657,25.28
8.520657,25.28
8.541656,25.28
8.560657,25.6
8.580656,25.6
8.601656,25.6
8.620656,25.6
8.641656,25.6
8.660656,25.92
8.681656,25.92
8.701656,25.92
8.720656,25.92
8.741656,25.92
8.761656,25.92
8.781656,26.24
8.801657,26.24
8.820656,25.92
8.841657,26.24
8.861656,26.24
8.881657,26.24
8.901656,26.56
8.921657,26.56
