"time,FuelCons"
"0.00075,21533"
"0.02075,21545"
"0.04075,21557"
"0.06075,21569"
"0.08075,21581"
"0.10075,21593"
"0.12075,21605"
"0.14075,21617"
"0.16075,21629"
"0.18075,21641"
"0.20075,21653"
"0.22075,21666"
"0.24075,21679"
"0.26075,21692"
"0.28075,21706"
"0.30075,21719"
"0.32075,21732"
"0.34075,21746"
"0.36075,21759"
"0.38075,21772"
"0.40075,21785"
"0.42075,21798"
"0.44075,21811"
"0.46075,21824"
"0.48075,21838"
"0.50075,21851"
"0.52075,21865"
"0.54075,21878"
"0.56075,21892"
"0.58075,21906"
"0.60075,21920"
"0.62075,21933"
"0.64075,21947"
"0.66075,21961"
"0.68075,21974"
"0.70075,21988"
"0.72075,22001"
"0.74075,22015"
"0.76075,22029"
"0.78075,22043"
"0.80075,22057"
"0.82075,22070"
"0.84075,22082"
"0.86075,22095"
"0.88075,22107"
"0.90075,22120"
"0.92075,22132"
"0.94075,22144"
"0.96075,22155"
"0.98075,22166"
"1.00075,22176"
"1.02075,22186"
"1.04075,22196"
"1.06075,22206"
"1.08075,22215"
"1.10075,22225"
"1.12075,22234"
"1.14075,22244"
"1.16075,22253"
"1.18075,22262"
"1.20075,22271"
"1.22075,22281"
"1.24075,22290"
"1.26075,22300"
"1.28075,22309"
"1.29975,22319"
"1.31975,22329"
"1.33975,22339"
"1.35975,22349"
"1.37975,22359"
"1.39975,22370"
"1.41975,22380"
"1.43975,22391"
"1.45975,22401"
"1.47975,22412"
"1.49975,22423"
"1.51975,22434"
"1.53975,22445"
"1.55975,22456"
"1.57975,22467"
"1.59975,22479"
"1.61975,22490"
"1.63975,22502"
"1.65975,22513"
"1.67975,22525"
"1.69975,22537"
"1.71975,22550"
"1.73975,22562"
"1.75975,22575"
"1.77975,22588"
"1.79975,22601"
"1.81975,22614"
"1.83975,22627"
"1.85975,22641"
"1.87975,22654"
"1.89975,22668"
"1.91975,22682"
"1.93975,22697"
"1.95975,22711"
"1.97975,22726"
"1.99975,22741"
"2.01975,22756"
"2.03975,22771"
"2.05975,22787"
"2.07975,22802"
"2.09975,22818"
"2.11975,22835"
"2.13975,22851"
"2.15975,22867"
"2.17975,22883"
"2.19975,22900"
"2.21975,22917"
"2.23975,22934"
"2.25975,22950"
"2.27975,22967"
"2.29975,22984"
"2.31975,23002"
