"time,RevoPMin"
"0.00065625,1027"
"0.02065625,1034"
"0.04065625,1036"
"0.06065625,1039"
"0.1006562,1044"
"0.1206563,1049"
"0.1406562,1054"
"0.1606562,1057"
"0.1806563,1059"
"0.2006563,1061"
"0.2206562,1065"
"0.2406563,1069"
"0.2606562,1075"
"0.2806562,1078"
"0.3006563,1089"
"0.3206562,1094"
"0.3406563,1102"
"0.3606563,1107"
"0.3806562,1107"
"0.4006563,1111"
"0.4206563,1114"
"0.4406562,1115"
"0.4606563,1117"
"0.4806562,1120"
"0.5006562,1119"
"0.5206562,1127"
"0.5406563,1130"
"0.5606562,1136"
"0.5806562,1141"
"0.6006563,1147"
"0.6206563,1163"
"0.6406562,1171"
"0.6606563,1184"
"0.6806563,1190"
"0.7006562,1197"
"0.7206563,1202"
"0.7406563,1210"
"0.7606562,1215"
"0.7806563,1219"
"0.8006563,1222"
"0.8206562,1234"
"0.8406562,1238"
"0.8606563,1243"
"0.8806562,1243"
"0.9006562,1243"
"0.9206563,1251"
"0.9406562,1260"
"0.9606562,1264"
"0.9806563,1272"
"1.000656,1281"
"1.020656,1285"
"1.040656,1289"
"1.060656,1293"
"1.080656,1291"
"1.100656,1293"
"1.120656,1294"
"1.140656,1296"
"1.160656,1299"
"1.180656,1300"
"1.200656,1303"
"1.220656,1306"
"1.240656,1308"
"1.260656,1314"
"1.280656,1320"
"1.299656,1327"
"1.319656,1331"
"1.339656,1332"
"1.359656,1332"
"1.379656,1334"
"1.399656,1335"
"1.419656,1336"
"1.439656,1339"
"1.459656,1342"
"1.479656,1343"
"1.499656,1344"
"1.519656,1345"
"1.539656,1343"
"1.559656,1346"
"1.579656,1351"
"1.599656,1356"
"1.619656,1357"
"1.639656,1362"
"1.659656,1369"
"1.679656,1373"
"1.699656,1378"
"1.719656,1382"
"1.739656,1384"
"1.759656,1387"
"1.779656,1392"
"1.799656,1397"
"1.819656,1404"
"1.839656,1409"
"1.859656,1416"
"1.879656,1419"
"1.899656,1422"
"1.919656,1426"
"1.939656,1432"
"1.959656,1439"
"1.979656,1447"
"1.999656,1454"
"2.019656,1460"
"2.039656,1466"
"2.059656,1472"
"2.079656,1474"
"2.099656,1478"
"2.119656,1482"
"2.139656,1489"
"2.159656,1497"
"2.179656,1502"
"2.199656,1506"
"2.219656,1514"
"2.239656,1522"
"2.259656,1528"
"2.279656,1534"
"2.299656,1541"
"2.319656,1548"
"2.339656,1553"
"2.359656,1559"
"2.379656,1565"
"2.399656,1572"
"2.419656,1580"
"2.439656,1592"
"2.459656,1601"
"2.479656,1605"
"2.499656,1616"
"2.519656,1622"
"2.539656,1631"
"2.559656,1639"
"2.579656,1644"
"2.599656,1650"
"2.619656,1655"
"2.639656,1659"
"2.659656,1667"
"2.679656,1674"
"2.699656,1676"
"2.719656,1684"
"2.739656,1693"
"2.759656,1700"
"2.778656,1708"
"2.798656,1718"
"2.818656,1736"
"2.838656,1744"
"2.858656,1756"
"2.878656,1771"
"2.898656,1780"
"2.918656,1793"
"2.938656,1797"
"2.958656,1807"
"2.978656,1813"
"2.998656,1819"
"3.018656,1830"
"3.038656,1831"
"3.058656,1844"
"3.078656,1851"
"3.098656,1859"
"3.118656,1869"
"3.138656,1874"
"3.158656,1887"
"3.178656,1902"
"3.198656,1911"
"3.218656,1932"
"3.238656,1938"
"3.258656,1951"
"3.278656,1961"
"3.298656,1974"
"3.318656,1984"
"3.338656,1993"
"3.358656,1993"
"3.378656,1985"
"3.398656,1985"
"3.418656,1978"
"3.438656,1969"
"3.458656,1965"
"3.478656,1956"
"3.498656,1948"
"3.518656,1951"
"3.538656,1951"
"3.558656,1921"
"3.578656,1879"
"3.598656,1852"
"3.618656,1815"
"3.638656,1790"
"3.658656,1760"
"3.678656,1715"
"3.698656,1689"
"3.718656,1661"
"3.738656,1630"
"3.758656,1599"
"3.778656,1565"
"3.798656,1533"
"3.818656,1496"
"3.838656,1463"
"3.858656,1429"
"3.878656,1399"
"3.898656,1355"
"3.918656,1311"
"3.938656,1286"
"3.958656,1240"
"3.978656,1216"
"3.998656,1166"
"4.018656,1141"
"4.038656,1087"
"4.058656,1058"
"4.078656,1001"
"4.098656,973"
"4.118656,954"
"4.138656,953"
"4.158656,985"
"4.178656,1010"
"4.198656,1021"
"4.218656,1035"
"4.238656,1038"
"4.258656,1055"
"4.278656,1070"
"4.297656,1102"
"4.317656,1114"
"4.337656,1137"
"4.357656,1143"
"4.377656,1157"
"4.397656,1160"
"4.417656,1151"
"4.438656,1138"
"4.457656,1096"
"4.477656,1074"
"4.497656,1055"
"4.517656,1036"
"4.537656,1038"
"4.557656,1052"
"4.577656,1058"
"4.597656,1066"
"4.617656,1067"
"4.637656,1067"
"4.657656,1068"
"4.677656,1071"
"4.697656,1077"
"4.717656,1079"
"4.737656,1083"
"4.757656,1085"
"4.777656,1087"
"4.797656,1089"
"4.817656,1088"
"4.837656,1081"
"4.857656,1077"
"4.877656,1073"
"4.897656,1073"
"4.917656,1073"
"4.937656,1074"
"4.957656,1076"
"4.977656,1081"
"4.997656,1084"
"5.017656,1091"
"5.037656,1095"
"5.057656,1095"
