time,SideAccl
-0.00025,-0.11
0.01975,-0.12
0.03975,-0.13
0.05975,-0.14
0.07975,-0.15
0.09975,-0.16
0.11875,-0.16
0.13975,-0.16
0.15875,-0.15
0.17875,-0.15
0.19975,-0.14
0.21975,-0.14
0.23975,-0.14
0.25975,-0.14
0.27975,-0.14
0.29975,-0.14
0.31975,-0.15
0.33975,-0.16
0.35975,-0.16
0.37975,-0.16
0.39975,-0.16
0.41975,-0.15
0.43975,-0.15
0.45975,-0.15
0.47975,-0.15
0.49975,-0.13
0.51875,-0.12
0.53975,-0.16
0.55875,-0.2
0.57975,-0.22
0.59975,-0.22
0.61875,-0.21
0.63975,-0.2
0.65875,-0.19
0.67875,-0.19
0.69975,-0.19
0.71875,-0.2
0.73975,-0.2
0.75875,-0.2
0.77875,-0.2
0.79975,-0.21
0.81975,-0.21
0.83975,-0.22
0.85975,-0.22
0.87975,-0.21
0.89975,-0.2
0.91975,-0.2
0.93975,-0.19
0.95975,-0.18
0.97975,-0.18
0.99975,-0.18
1.01975,-0.2
1.03975,-0.19
1.05975,-0.18
1.07975,-0.16
1.09975,-0.15
1.11975,-0.14
1.13975,-0.14
1.15975,-0.13
1.17975,-0.13
1.19975,-0.14
1.21975,-0.14
1.23975,-0.14
1.25975,-0.13
1.27975,-0.12
1.29975,-0.11
1.31975,-0.1
1.33975,-0.1
1.35975,-0.1
1.37975,-0.11
1.39975,-0.11
1.41975,-0.1
1.43975,-0.11
1.45975,-0.11
1.47975,-0.12
1.49975,-0.13
1.51975,-0.13
1.53975,-0.13
1.55975,-0.12
1.57975,-0.12
1.59975,-0.12
1.61975,-0.12
1.63975,-0.13
1.65975,-0.12
1.67975,-0.13
1.69975,-0.12
1.71975,-0.12
1.73975,-0.12
1.75975,-0.12
1.77975,-0.12
1.79975,-0.13
1.81975,-0.12
1.83975,-0.12
1.85975,-0.11
1.87975,-0.1
1.89975,-0.1
1.91975,-0.11
1.93975,-0.11
1.95975,-0.1
1.97975,-0.0900000000000001
1.99975,-0.0800000000000001
2.01975,-0.0800000000000001
2.03975,-0.0800000000000001
2.05975,-0.0900000000000001
2.07975,-0.0900000000000001
2.09975,-0.0900000000000001
2.11975,-0.0900000000000001
2.13975,-0.0900000000000001
2.15975,-0.0700000000000001
2.17975,-0.0700000000000001
2.19975,-0.0600000000000001
2.21975,-0.0600000000000001
2.23975,-0.0600000000000001
2.25975,-0.0700000000000001
2.27975,-0.0700000000000001
2.29975,-0.0600000000000001
2.31975,-0.0600000000000001
2.33975,-0.0600000000000001
2.35975,-0.05
2.37975,-0.04
2.39975,-0.04
2.41975,-0.03
2.43975,-0.04
2.45975,-0.05
2.47975,-0.0600000000000001
2.49975,-0.0600000000000001
2.51875,-0.05
2.53975,-0.04
2.55975,-0.03
2.57975,-0.03
2.59975,-0.03
2.61975,-0.04
2.63975,-0.04
2.65975,-0.04
2.67975,-0.05
2.69975,-0.04
2.71975,-0.04
2.73975,-0.04
2.75975,-0.04
2.77975,-0.04
2.79975,-0.04
2.81975,-0.04
2.83975,-0.03
2.85975,-0.02
2.87975,-0.01
2.89975,-0.01
2.91975,-0.02
2.93975,-0.03
2.95975,-0.04
2.97975,-0.04
2.99975,-0.04
3.01975,-0.03
3.03975,-0.03
3.05975,-0.02
3.07975,-0.03
3.09975,-0.04
3.11975,-0.04
3.13975,-0.04
3.15875,-0.04
3.17875,-0.05
3.19975,-0.0600000000000001
3.21875,-0.05
3.23975,-0.05
3.25975,-0.04
3.27875,-0.04
3.29975,-0.04
3.31975,-0.03
3.33975,-0.04
3.35975,-0.05
3.37975,-0.0700000000000001
3.39975,-0.0800000000000001
3.41975,-0.0900000000000001
3.43975,-0.0800000000000001
3.45975,-0.0800000000000001
3.47975,-0.0800000000000001
3.49975,-0.0800000000000001
3.51975,-0.0800000000000001
3.53975,-0.0800000000000001
3.55975,-0.1
3.57975,-0.1
3.59975,-0.0900000000000001
3.61975,-0.1
3.63975,-0.1
3.65975,-0.11
3.67975,-0.1
3.69975,-0.0800000000000001
3.71975,-0.0700000000000001
3.73975,-0.0700000000000001
3.75875,-0.0800000000000001
3.77975,-0.0700000000000001
