"time,SpeedCom"
"0.00165625,7.89"
"0.02165625,8"
"0.04165625,8.11"
"0.06165625,8.35"
"0.1016563,8.44"
"0.1216562,8.44"
"0.1416562,8.6"
"0.1606562,8.73"
"0.1806563,8.83"
"0.2016563,8.91"
"0.2216562,8.91"
"0.2416562,9"
"0.2616563,9.13"
"0.2816562,9.27"
"0.3016562,9.34"
"0.3216563,9.34"
"0.3416562,9.34"
"0.3616562,9.55"
"0.3816563,9.66"
"0.4016562,9.75"
"0.4216563,9.75"
"0.4416563,9.77"
"0.4616562,9.96"
"0.4816563,10.02"
"0.5016562,10.02"
"0.5206562,10.15"
"0.5416563,10.1"
"0.5606562,10.38"
"0.5816563,10.36"
"0.6016563,10.44"
"0.6206563,10.44"
"0.6416563,10.58"
"0.6606563,10.59"
"0.6806563,10.72"
"0.7016562,10.75"
"0.7206563,10.75"
"0.7416562,10.77"
"0.7606562,11.02"
"0.7806563,11.1"
"0.8016562,11.2"
"0.8216562,11.2"
"0.8416563,11.3"
"0.8616562,11.45"
"0.8816562,11.49"
"0.9016563,11.49"
"0.9216563,11.62"
"0.9416562,11.49"
"0.9616563,11.67"
"0.9816563,11.67"
"1.001656,11.74"
"1.021656,11.74"
"1.041656,11.77"
"1.061656,11.79"
"1.081656,11.81"
"1.101656,11.81"
"1.121656,11.81"
"1.141656,11.77"
"1.161656,11.9"
"1.181656,11.83"
"1.201656,11.86"
"1.221656,11.86"
"1.241656,11.93"
"1.261656,11.95"
"1.281656,12"
"1.301656,12"
"1.320656,12"
"1.341656,12"
"1.360656,12.05"
"1.381656,12.14"
"1.401656,12.09"
"1.420656,12.09"
"1.441656,12.13"
"1.460656,12.14"
"1.480656,12.23"
"1.501656,12.23"
"1.521656,12.14"
"1.541656,12.29"
"1.560656,12.3"
"1.581656,12.27"
"1.601656,12.29"
"1.620656,12.29"
"1.641656,12.36"
"1.660656,12.45"
"1.681656,12.55"
"1.700656,12.55"
"1.720656,12.66"
"1.741656,12.48"
"1.761656,12.66"
"1.781656,12.62"
"1.801656,12.62"
"1.821656,12.71"
"1.841656,12.8"
"1.861656,12.98"
"1.881656,12.92"
"1.901656,12.87"
"1.921656,12.87"
"1.941656,13.06"
"1.961656,13.08"
"1.981656,13.12"
"2.001656,13.12"
"2.021656,13.16"
"2.041656,13.22"
"2.061656,13.26"
"2.081656,13.45"
"2.101656,13.45"
"2.120656,13.33"
"2.141656,13.45"
"2.160656,13.59"
"2.181656,13.66"
"2.201656,13.66"
"2.220656,13.7"
"2.241656,13.73"
"2.260656,13.98"
"2.280656,13.98"
"2.302656,14"
"2.320656,14"
"2.341656,14.13"
"2.361656,14.25"
"2.380656,14.37"
"2.401656,14.37"
"2.420656,14.31"
"2.441656,14.48"
"2.460656,14.59"
"2.480656,14.69"
"2.501656,14.69"
"2.520656,14.63"
"2.541656,14.86"
"2.561656,14.7"
"2.581656,14.95"
"2.601656,14.95"
"2.621656,15"
"2.641656,15.04"
"2.661656,15.18"
"2.681656,15.18"
"2.701656,15.18"
"2.721656,15.34"
"2.741656,15.27"
"2.761656,15.64"
"2.781656,15.7"
"2.801656,15.7"
"2.821656,15.7"
"2.841656,15.84"
"2.861656,15.99"
"2.881656,16.01"
"2.901656,16.01"
"2.920656,16.15"
"2.941656,16.24"
"2.961656,16.41"
"2.981656,16.5"
"3.001656,16.5"
"3.021656,16.33"
"3.041656,16.48"
"3.061656,16.63"
"3.081656,16.79"
"3.101656,16.79"
"3.121656,16.8"
"3.141656,17.09"
"3.161656,17.16"
"3.180656,17.34"
"3.201656,17.38"
"3.220656,17.38"
"3.241656,17.58"
"3.261656,17.58"
"3.280656,17.87"
"3.301656,17.87"
"3.321656,17.87"
"3.341656,18.09"
"3.361656,18.14"
"3.381656,18.2"
"3.401656,18.18"
"3.421656,18.18"
"3.441656,18.43"
"3.461656,18.34"
"3.481656,18.27"
"3.501656,18.27"
"3.521656,18.3"
"3.541656,18.16"
"3.561656,18.23"
"3.581656,18.14"
"3.601656,18.14"
