time,WheelAng
-0.00134375,-532.35
0.00865625,-533.925
0.01865625,-535.5
0.02865625,-536.9
0.03865625,-538.475
0.04865625,-538.475
0.05865625,-539.875
0.06865625,-539.875
0.08865625,-541.45
0.09865625,-541.45
0.1086562,-541.45
0.1186562,-541.45
0.1286563,-541.45
0.1386562,-541.45
0.1486562,-539.875
0.1586563,-539.875
0.1686562,-539.875
0.1786563,-539.875
0.1896562,-539.875
0.1986562,-538.475
0.2086563,-538.475
0.2186563,-538.475
0.2286562,-538.475
0.2386563,-538.475
0.2486562,-538.475
0.2596563,-538.475
0.2696562,-536.9
0.2796563,-536.9
0.2896563,-536.9
0.2996562,-536.9
0.3096563,-536.9
0.3196563,-536.9
0.3296562,-536.9
0.3396563,-536.9
0.3496563,-536.9
0.3596562,-536.9
0.3696563,-536.9
0.3796563,-536.9
0.3896562,-536.9
0.3996562,-536.9
0.4096563,-536.9
0.4196562,-536.9
0.4296562,-536.9
0.4396563,-536.9
0.4496562,-536.9
0.4596562,-536.9
0.4696563,-536.9
0.4796562,-536.9
0.4896562,-536.9
0.4996563,-536.9
0.5096563,-536.9
0.5196562,-536.9
0.5296562,-536.9
0.5396562,-536.9
0.5496563,-536.9
0.5596563,-536.9
0.5696563,-536.9
0.5796562,-536.9
0.5896562,-536.9
0.5996562,-536.9
0.6096563,-536.9
0.6196563,-536.9
0.6296563,-536.9
0.6396562,-535.5
0.6506562,-535.5
0.6606563,-535.5
0.6706563,-535.5
0.6806563,-533.925
0.6906562,-533.925
0.7006562,-533.925
0.7106562,-533.925
0.7206563,-533.925
0.7306563,-532.35
0.7406563,-532.35
0.7506562,-532.35
0.7606562,-532.35
0.7706562,-530.95
0.7806563,-530.95
0.7906563,-530.95
0.8006563,-530.95
0.8106562,-530.95
0.8206562,-529.375
0.8306562,-529.375
0.8406562,-527.975
0.8506563,-527.975
0.8606563,-526.4
0.8706563,-526.4
0.8806562,-525
0.8906562,-523.425
0.9006562,-523.425
0.9106563,-520.45
0.9206563,-518.875
0.9306563,-517.475
0.9406562,-514.5
0.9506562,-512.925
0.9606562,-509.95
0.9706563,-506.975
0.9806563,-504
0.9906563,-500.85
1.000656,-497.875
1.010656,-494.9
1.020656,-491.925
1.031656,-487.375
1.041656,-484.4
1.051656,-481.425
1.061656,-476.875
1.071656,-473.9
1.081656,-469.35
1.091656,-466.375
1.101656,-462
1.111656,-458.85
1.121656,-454.475
1.131656,-451.5
1.141656,-446.95
1.151656,-442.4
1.161656,-439.425
1.171656,-434.875
1.181656,-431.9
1.191656,-427.35
1.201656,-424.375
1.211656,-420
1.221656,-416.85
1.231656,-413.875
1.241656,-409.5
1.251656,-406.35
1.261656,-403.375
1.271656,-400.4
1.281656,-397.425
1.291656,-394.45
1.301656,-391.475
1.311656,-388.5
1.321656,-385.35
1.331656,-382.375
1.341656,-380.975
1.351656,-376.425
1.361656,-374.85
1.371656,-371.875
1.382656,-368.9
1.392656,-365.925
1.402656,-362.95
1.412656,-361.375
1.422656,-357
1.432656,-355.425
1.442656,-352.45
1.452656,-349.475
1.462656,-346.5
1.472656,-343.35
1.482656,-341.95
1.492656,-338.975
1.502656,-336
1.512656,-332.85
1.522656,-329.875
1.532656,-328.475
1.542656,-325.5
1.552656,-323.925
1.562656,-320.95
1.572656,-317.975
1.582656,-316.4
1.592656,-313.425
1.602656,-310.45
1.612656,-308.875
1.622656,-305.9
1.632656,-302.925
1.642656,-301.35
1.652656,-298.375
1.662656,-295.4
1.672656,-294
1.682656,-290.85
1.692656,-289.45
1.702656,-286.475
1.712656,-283.5
1.722656,-280.35
1.732656,-278.95
1.742656,-275.975
1.752656,-273
1.763656,-271.425
1.772656,-268.45
1.783656,-265.475
1.792656,-263.9
1.803656,-260.925
1.813656,-257.95
1.823656,-254.975
1.833656,-252
1.843656,-250.425
1.853656,-247.45
1.863656,-244.475
1.873656,-241.5
1.883656,-238.35
1.893656,-236.95
1.903656,-233.975
1.913656,-231
1.923656,-227.85
1.933656,-224.875
1.943656,-221.9
1.953656,-218.925
1.963656,-215.95
1.973656,-212.975
1.983656,-211.4
1.993656,-206.85
2.003656,-205.45
2.013656,-200.9
2.023656,-199.5
2.033656,-196.35
2.043656,-193.375
2.053656,-190.4
2.063656,-187.425
2.073656,-184.45
2.083656,-181.475
2.093656,-178.5
2.103656,-175.35
2.113656,-172.375
2.123656,-169.4
2.133656,-166.425
2.143656,-163.45
2.153656,-160.475
2.163656,-157.5
2.173656,-154.35
2.183656,-151.375
2.193656,-148.4
2.204656,-145.425
2.214656,-143.85
2.224656,-140.875
2.234656,-136.5
2.244656,-134.925
2.254656,-131.95
2.264656,-128.975
2.274656,-126
2.284656,-122.85
2.294656,-121.45
2.304656,-118.475
2.314656,-115.5
2.324656,-113.925
2.334656,-110.95
2.344656,-107.975
2.354656,-106.4
2.364656,-103.425
2.374656,-101.85
2.384656,-98.875
2.394656,-95.9
2.404656,-94.5
2.414656,-91.35
2.424656,-89.95
2.434656,-86.975
2.444656,-85.4
2.454656,-82.425
2.464656,-80.85
2.474656,-79.45
2.484656,-76.475
2.494656,-74.9
2.504656,-73.5
2.514656,-71.925
2.524656,-68.95
2.534656,-67.375
2.544656,-65.975
2.554656,-64.4
2.564656,-63
2.574656,-61.425
2.584656,-59.85
2.595656,-58.45
2.605656,-56.875
2.615656,-55.475
2.625656,-53.9
2.635656,-52.5
2.645656,-50.925
2.655656,-49.35
2.665656,-47.95
2.675656,-46.375
2.685656,-46.375
2.695656,-43.4
2.705656,-43.4
2.715656,-42
2.725656,-40.425
2.735656,-40.425
2.745656,-38.85
2.755656,-37.45
2.765656,-37.45
2.775656,-35.875
2.785656,-34.475
2.795656,-34.475
2.805656,-32.9
2.815656,-32.9
2.825656,-32.9
2.835656,-31.5
2.845656,-29.925
2.855656,-29.925
2.865656,-29.925
2.875656,-29.925
2.885656,-28.35
2.895656,-28.35
2.905656,-28.35
2.915656,-26.95
2.925656,-26.95
2.935656,-26.95
2.946656,-26.95
2.956656,-25.375
2.965656,-23.975
2.976656,-23.975
2.986656,-23.975
2.996656,-23.975
3.006656,-22.4
3.016656,-22.4
3.026656,-22.4
3.036656,-21
3.046656,-21
3.056656,-21
3.066656,-19.425
3.076656,-19.425
3.086656,-19.425
3.096656,-19.425
3.106656,-17.85
3.116656,-17.85
3.126656,-17.85
3.136656,-17.85
3.146656,-16.45
3.156656,-16.45
3.166656,-17.85
3.176656,-17.85
3.186656,-17.85
3.196656,-17.85
3.206656,-17.85
3.216656,-19.425
3.226656,-19.425
3.236656,-19.425
3.246656,-19.425
3.256656,-21
3.266656,-21
3.276656,-22.4
3.286656,-22.4
3.296656,-23.975
3.306656,-23.975
3.316656,-25.375
3.326656,-26.95
3.336656,-26.95
3.346656,-28.35
3.356656,-29.925
3.367656,-29.925
3.377656,-31.5
3.387656,-32.9
3.397656,-32.9
3.407656,-34.475
3.417656,-35.875
3.427656,-35.875
3.437656,-37.45
3.447656,-37.45
3.457656,-37.45
3.467656,-38.85
3.477656,-40.425
3.487656,-40.425
3.497656,-40.425
3.507656,-42
3.517656,-42
3.527656,-42
3.537656,-42
3.547656,-42
3.557656,-42
3.567656,-42
3.577656,-42
3.587656,-42
3.597656,-40.425
3.607656,-40.425
3.617656,-40.425
3.627656,-40.425
3.637656,-38.85
3.647656,-38.85
3.657656,-38.85
3.667656,-37.45
3.677656,-37.45
3.687656,-37.45
3.697656,-35.875
3.707656,-35.875
3.717656,-35.875
3.727656,-34.475
3.737656,-34.475
3.747656,-34.475
3.758656,-32.9
3.768656,-32.9
3.778656,-32.9
3.788656,-31.5
3.798656,-29.925
3.808656,-29.925
3.818656,-29.925
3.828656,-29.925
3.838656,-28.35
3.848656,-28.35
3.858656,-28.35
3.868656,-26.95
3.878656,-26.95
3.888656,-26.95
3.898656,-26.95
3.908656,-25.375
3.918656,-25.375
3.928656,-25.375
3.938656,-23.975
3.948656,-23.975
3.958656,-23.975
3.968656,-23.975
3.978656,-23.975
3.988656,-23.975
3.998656,-23.975
4.008656,-23.975
4.018656,-23.975
4.028656,-23.975
4.038656,-23.975
4.048656,-23.975
4.058656,-23.975
4.068656,-23.975
4.078656,-22.4
4.089656,-22.4
4.098656,-22.4
4.108656,-22.4
4.118656,-22.4
4.128656,-22.4
4.138656,-22.4
4.149656,-23.975
4.159656,-23.975
4.169656,-23.975
4.179656,-23.975
4.189656,-23.975
4.199656,-23.975
4.209656,-23.975
4.219656,-23.975
4.229656,-23.975
4.239656,-23.975
4.249656,-22.4
4.259656,-22.4
4.269656,-22.4
4.279656,-22.4
4.289656,-22.4
4.299656,-21
4.309656,-21
4.319656,-21
4.329656,-21
4.339656,-19.425
4.349656,-19.425
4.359656,-19.425
4.369656,-17.85
4.379656,-17.85
4.389656,-16.45
4.399656,-16.45
4.409656,-16.45
4.419656,-14.875
4.429656,-14.875
4.439656,-14.875
4.449656,-13.475
4.459656,-13.475
4.469656,-13.475
4.479656,-11.9
4.489656,-11.9
4.500656,-10.5
4.509656,-10.5
4.520656,-10.5
4.529656,-10.5
4.540656,-10.5
4.550656,-10.5
4.560656,-10.5
4.570656,-8.925
4.580656,-8.925
4.590656,-8.925
4.600656,-8.925
4.610656,-10.5
4.620656,-10.5
4.630656,-10.5
4.640656,-10.5
4.650656,-10.5
4.660656,-10.5
4.670656,-10.5
4.680656,-10.5
4.690656,-10.5
4.700656,-10.5
4.710656,-11.9
4.720656,-11.9
4.730656,-11.9
4.740656,-13.475
4.750656,-13.475
4.760656,-13.475
4.770656,-13.475
4.780656,-13.475
4.790656,-13.475
4.800656,-13.475
4.810656,-13.475
4.820656,-13.475
4.830656,-13.475
4.840656,-11.9
4.851656,-11.9
4.860656,-11.9
4.871656,-10.5
4.880656,-10.5
4.891656,-10.5
4.900656,-10.5
4.911656,-10.5
4.921656,-8.925
4.931656,-8.925
4.941656,-8.925
4.951656,-8.925
4.961656,-8.925
4.971656,-7.35
4.981656,-7.35
4.991656,-7.35
5.001656,-7.35
5.011656,-7.35
5.021656,-7.35
5.031656,-7.35
5.041656,-7.35
5.051656,-7.35
5.061656,-7.35
5.071656,-7.35
5.081656,-7.35
5.091656,-7.35
5.101656,-7.35
5.111656,-7.35
5.121656,-7.35
5.131656,-7.35
5.141656,-8.925
5.151656,-8.925
5.161656,-8.925
5.171656,-8.925
5.181656,-10.5
5.191656,-10.5
5.201656,-10.5
5.211656,-11.9
5.221656,-11.9
5.231656,-11.9
5.241656,-13.475
5.251656,-13.475
5.261656,-13.475
5.271656,-13.475
5.281656,-14.875
5.292656,-14.875
5.302656,-14.875
5.312656,-14.875
5.322656,-14.875
5.332656,-16.45
5.342656,-16.45
5.352656,-16.45
5.362656,-16.45
5.372656,-16.45
5.382656,-16.45
5.392656,-16.45
5.402656,-16.45
5.412656,-16.45
5.422656,-16.45
5.432656,-16.45
5.442656,-16.45
5.452656,-16.45
5.462656,-16.45
5.472656,-16.45
5.482656,-16.45
5.492656,-16.45
5.502656,-16.45
5.512656,-16.45
5.522656,-16.45
5.532656,-16.45
5.542656,-16.45
5.552656,-16.45
5.562656,-16.45
5.572656,-16.45
5.582656,-16.45
5.592656,-16.45
5.602656,-16.45
5.612656,-16.45
5.622656,-16.45
5.632656,-16.45
5.643656,-16.45
5.652656,-16.45
5.663656,-16.45
5.672656,-16.45
5.683656,-16.45
5.692656,-16.45
5.703656,-16.45
5.713656,-16.45
5.723656,-16.45
5.733656,-16.45
5.743656,-16.45
5.753656,-16.45
5.763656,-16.45
5.773656,-16.45
5.783656,-17.85
5.793656,-17.85
5.803656,-17.85
5.813656,-17.85
5.823656,-17.85
5.833656,-17.85
5.843656,-19.425
5.853656,-19.425
5.863656,-19.425
5.873656,-19.425
5.883656,-19.425
5.893656,-19.425
5.903656,-19.425
5.913656,-21
5.923656,-21
5.933656,-21
5.943656,-21
5.953656,-21
5.963656,-22.4
5.973656,-22.4
5.983656,-22.4
5.993656,-22.4
6.003656,-23.975
6.013656,-23.975
6.023656,-23.975
6.033656,-25.375
6.043656,-26.95
6.053656,-26.95
6.063656,-28.35
6.073656,-28.35
