"time,WheelSpd"
"-0.00134375,-134.925"
"0.00865625,-134.925"
"0.01865625,-134.925"
"0.02865625,-134.925"
"0.03865625,-134.925"
"0.04865625,-134.925"
"0.05865625,-134.925"
"0.06865625,-119.875"
"0.08865625,-105"
"0.09865625,-89.95"
"0.1086562,-74.9"
"0.1186562,-59.85"
"0.1286563,-44.975"
"0.1386562,-29.925"
"0.1486562,0"
"0.1586563,0"
"0.1686562,0"
"0.1786563,0"
"0.1896562,0"
"0.1986562,14.875"
"0.2086563,14.875"
"0.2186563,14.875"
"0.2286562,14.875"
"0.2386563,14.875"
"0.2486562,14.875"
"0.2596563,14.875"
"0.2696562,29.925"
"0.2796563,29.925"
"0.2896563,29.925"
"0.2996562,14.875"
"0.3096563,14.875"
"0.3196563,14.875"
"0.3296562,14.875"
"0.3396563,14.875"
"0.3496563,14.875"
"0.3596562,14.875"
"0.3696563,0"
"0.3796563,0"
"0.3896562,0"
"0.3996562,0"
"0.4096563,0"
"0.4196562,0"
"0.4296562,0"
"0.4396563,0"
"0.4496562,0"
"0.4596562,0"
"0.4696563,0"
"0.4796562,0"
"0.4896562,0"
"0.4996563,0"
"0.5096563,0"
"0.5196562,0"
"0.5296562,0"
"0.5396562,0"
"0.5496563,0"
"0.5596563,0"
"0.5696563,0"
"0.5796562,0"
"0.5896562,0"
"0.5996562,0"
"0.6096563,0"
"0.6196563,0"
"0.6296563,0"
"0.6396562,14.875"
"0.6506562,14.875"
"0.6606563,14.875"
"0.6706563,14.875"
"0.6806563,29.925"
"0.6906562,29.925"
"0.7006562,29.925"
"0.7106562,29.925"
"0.7206563,29.925"
"0.7306563,44.975"
"0.7406563,29.925"
"0.7506562,29.925"
"0.7606562,29.925"
"0.7706562,44.975"
"0.7806563,29.925"
"0.7906563,29.925"
"0.8006563,29.925"
"0.8106562,29.925"
"0.8206562,44.975"
"0.8306562,29.925"
"0.8406562,44.975"
"0.8506563,44.975"
"0.8606563,59.85"
"0.8706563,44.975"
"0.8806562,59.85"
"0.8906562,74.9"
"0.9006562,74.9"
"0.9106563,105"
"0.9206563,105"
"0.9306563,119.875"
"0.9406562,134.925"
"0.9506562,149.975"
"0.9606562,164.85"
"0.9706563,194.95"
"0.9806563,210"
"0.9906563,224.875"
"1.000656,254.975"
"1.010656,254.975"
"1.020656,269.85"
"1.031656,299.95"
"1.041656,299.95"
"1.051656,315"
"1.061656,329.875"
"1.071656,329.875"
"1.081656,344.925"
"1.091656,344.925"
"1.101656,359.975"
"1.111656,359.975"
"1.121656,374.85"
"1.131656,359.975"
"1.141656,374.85"
"1.151656,389.9"
"1.161656,374.85"
"1.171656,389.9"
"1.181656,374.85"
"1.191656,389.9"
"1.201656,374.85"
"1.211656,389.9"
"1.221656,374.85"
"1.231656,374.85"
"1.241656,374.85"
"1.251656,359.975"
"1.261656,359.975"
"1.271656,344.925"
"1.281656,344.925"
"1.291656,329.875"
"1.301656,329.875"
"1.311656,315"
"1.321656,315"
"1.331656,315"
"1.341656,284.9"
"1.351656,299.95"
"1.361656,284.9"
"1.371656,284.9"
"1.382656,284.9"
"1.392656,284.9"
"1.402656,284.9"
"1.412656,269.85"
"1.422656,284.9"
"1.432656,269.85"
"1.442656,284.9"
"1.452656,269.85"
"1.462656,284.9"
"1.472656,284.9"
"1.482656,269.85"
"1.492656,269.85"
"1.502656,269.85"
"1.512656,284.9"
"1.522656,269.85"
"1.532656,269.85"
"1.542656,269.85"
"1.552656,254.975"
"1.562656,254.975"
"1.572656,254.975"
"1.582656,254.975"
"1.592656,254.975"
"1.602656,254.975"
"1.612656,239.925"
"1.622656,239.925"
"1.632656,254.975"
"1.642656,239.925"
"1.652656,254.975"
"1.662656,254.975"
"1.672656,239.925"
"1.682656,254.975"
"1.692656,239.925"
"1.702656,239.925"
"1.712656,254.975"
"1.722656,254.975"
"1.732656,239.925"
"1.742656,254.975"
"1.752656,254.975"
"1.763656,239.925"
"1.772656,254.975"
"1.783656,254.975"
"1.792656,254.975"
"1.803656,254.975"
"1.813656,254.975"
"1.823656,254.975"
"1.833656,269.85"
"1.843656,254.975"
"1.853656,254.975"
"1.863656,269.85"
"1.873656,269.85"
"1.883656,269.85"
"1.893656,269.85"
"1.903656,269.85"
"1.913656,269.85"
"1.923656,269.85"
"1.933656,269.85"
"1.943656,284.9"
"1.953656,284.9"
"1.963656,284.9"
"1.973656,284.9"
"1.983656,269.85"
