time,AccPed2D
0.0018125,94.8882
0.0218125,26.2707
0.0418125,0
0.0618125,99.9855
0.0818125,99.9855
0.1018125,99.9855
0.1218125,99.9855
0.1418125,99.9855
0.1618125,99.9855
0.1818125,99.9855
0.2018125,99.9855
0.2218125,99.9855
0.2408125,99.9855
0.2608125,99.9855
0.2808125,99.9855
0.3008125,9.8025
0.3208125,94.8882
0.3408125,26.2707
0.3608125,0
0.3808125,99.9855
0.4008125,99.9855
0.4208125,99.9855
0.4408125,99.9855
0.4608125,99.9855
0.4808125,99.9855
0.5008125,99.9855
0.5208125,99.9855
0.5408125,99.9855
0.5608125,99.9855
0.5808125,99.9855
0.6008125,99.9855
0.6208125,13.7235
0.6408125,94.8882
0.6608125,26.2707
0.6808125,0
0.7008125,99.9855
0.7208125,99.9855
0.7408125,99.9855
0.7608125,99.9855
0.7808125,99.9855
0.8008125,99.9855
0.8208125,99.9855
0.8408125,99.9855
0.8608125,99.9855
0.8808125,99.9855
0.9008125,99.9855
0.9208125,99.9855
0.9408125,10.5867
0.9608125,94.8882
0.9808125,26.2707
1.000813,0
1.020813,99.9855
1.040812,99.9855
1.060812,99.9855
1.080812,99.9855
1.100813,99.9855
1.120813,99.9855
1.140813,99.9855
1.160812,99.9855
1.180812,99.9855
1.200812,99.9855
1.220813,99.9855
1.240813,99.9855
1.260813,19.2129
1.280813,94.8882
1.300812,26.2707
1.320812,0
1.340812,99.9855
1.360813,99.9855
1.380813,99.9855
1.400813,99.9855
1.420812,99.9855
1.440812,99.9855
1.460812,99.9855
1.480813,99.9855
1.500813,99.9855
1.520813,99.9855
1.540812,99.9855
1.560812,99.9855
1.580812,32.1522
1.600813,94.8882
1.620813,26.2707
1.640813,0
1.660812,99.9855
1.680812,99.9855
1.700812,99.9855
1.720813,99.9855
1.740813,99.9855
1.759812,99.9855
1.779812,99.9855
1.799813,99.9855
1.820812,99.9855
1.839813,99.9855
1.859812,99.9855
1.880813,99.9855
1.900813,34.1127
1.919812,94.8882
1.939813,26.2707
1.960812,0
1.980813,99.9855
2.000813,99.9855
2.019813,99.9855
2.040812,99.9855
2.059813,99.9855
2.080812,99.9855
2.099813,99.9855
2.119812,99.9855
2.139812,99.9855
2.159812,99.9855
2.179812,99.9855
2.199812,99.9855
2.219812,39.6021
2.239813,94.8882
2.259813,26.2707
2.279813,0
2.299813,99.9855
2.319813,99.9855
2.339813,99.9855
2.359812,99.9855
2.379812,99.9855
2.399812,99.9855
2.419812,99.9855
2.439812,99.9855
2.459812,99.9855
2.479812,99.9855
2.499813,99.9855
2.519813,99.9855
2.539813,40.7784
2.559813,94.8882
2.579813,26.2707
2.599813,0
2.619812,99.9855
2.639812,99.9855
2.659812,99.9855
2.679812,99.9855
2.699812,99.9855
2.719812,99.9855
2.739813,99.9855
2.759813,99.9855
2.779813,99.9855
2.799813,99.9855
2.819813,99.9855
2.839813,99.9855
2.859812,40.7784
2.879812,94.8882
2.899812,26.2707
2.919812,0
2.939812,99.9855
2.959812,99.9855
2.979812,99.9855
2.999813,99.9855
3.019813,99.9855
3.039813,99.9855
3.059813,99.9855
3.079813,99.9855
3.099813,99.9855
3.119812,99.9855
3.139812,99.9855
3.159812,99.9855
3.179812,44.6994
3.199812,94.8882
3.219812,26.2707
3.239813,0
3.259813,99.9855
3.279813,99.9855
3.299813,99.9855
3.319813,99.9855
3.338813,99.9855
3.358813,99.9855
3.379812,99.9855
3.398813,99.9855
3.418813,99.9855
3.438812,99.9855
3.458812,99.9855
3.478812,99.9855
3.498812,46.6599
3.518812,94.8882
3.538812,26.2707
3.558813,0
3.578813,99.9855
3.598813,99.9855
3.619812,99.9855
3.638813,99.9855
3.658813,99.9855
3.678813,99.9855
3.698812,99.9855
3.718812,99.9855
3.738812,99.9855
3.758812,99.9855
3.778812,99.9855
3.798812,99.9855
3.818813,49.0125
3.838813,94.8882
3.858813,26.2707
3.878813,0
3.898813,99.9855
3.918813,99.9855
3.938812,99.9855
3.958812,99.9855
3.978812,99.9855
3.998812,99.9855
4.018813,99.9855
4.038813,99.9855
4.058813,99.9855
4.078813,99.9855
4.098813,99.9855
4.118813,99.9855
4.138813,45.0915
4.158813,94.8882
4.178813,26.2707
4.198812,0
4.218812,99.9855
4.238812,99.9855
4.258812,99.9855
4.278812,99.9855
4.298812,99.9855
4.318812,99.9855
4.338812,99.9855
4.358812,99.9855
4.378812,99.9855
4.398812,99.9855
4.418812,99.9855
4.438813,99.9855
4.458813,32.1522
4.478813,94.8882
4.498813,26.2707
4.518813,0
4.538813,99.9855
4.558813,99.9855
4.578813,99.9855
4.598813,99.9855
4.618813,99.9855
4.638813,99.9855
4.658813,99.9855
4.678813,99.9855
4.698812,99.9855
4.718812,99.9855
4.738812,99.9855
4.758812,99.9855
4.778812,23.526
4.798812,94.8882
4.818812,26.2707
4.838812,0
4.857812,99.9855
4.878812,99.9855
4.898812,99.9855
4.918812,99.9855
4.937812,99.9855
4.958813,99.9855
4.978813,99.9855
4.998813,99.9855
5.018813,99.9855
5.038813,99.9855
5.058813,99.9855
5.078813,99.9855
5.098813,20.7813
5.118813,94.8882
5.138813,26.2707
5.158813,0
5.178813,99.9855
5.197813,99.9855
5.218812,99.9855
5.238812,99.9855
5.258812,99.9855
5.278812,99.9855
5.298812,99.9855
5.317812,99.9855
5.337812,99.9855
5.357812,99.9855
5.378812,99.9855
5.398812,99.9855
5.418812,19.9971
5.437812,94.8882
5.458813,26.2707
5.477812,0
5.497812,99.9855
5.518813,99.9855
5.537813,99.9855
5.557813,99.9855
5.577813,99.9855
5.597813,99.9855
5.618813,99.9855
5.638813,99.9855
5.657813,99.9855
5.677813,99.9855
5.697813,99.9855
5.717813,99.9855
5.737813,19.2129
5.757813,94.8882
5.777812,26.2707
5.797812,0
5.817812,99.9855
5.837812,99.9855
5.857812,99.9855
5.877812,99.9855
5.897812,99.9855
5.917812,99.9855
5.937812,99.9855
5.957812,99.9855
5.977812,99.9855
5.997812,99.9855
6.017813,99.9855
6.037813,99.9855
6.057813,19.2129
6.077813,94.8882
6.097813,26.2707
6.117813,0
6.137813,99.9855
6.157813,99.9855
6.177813,99.9855
6.197813,99.9855
6.216813,99.9855
6.236813,99.9855
6.256813,99.9855
6.276813,99.9855
6.296813,99.9855
6.316813,99.9855
6.336812,99.9855
6.356812,99.9855
6.376812,17.6445
6.396812,94.8882
6.416812,26.2707
6.436812,0
6.456812,99.9855
6.476812,99.9855
6.496812,99.9855
6.516812,99.9855
6.536812,99.9855
6.556812,99.9855
6.576812,99.9855
6.596813,99.9855
6.616813,99.9855
6.636813,99.9855
6.656813,99.9855
6.676813,99.9855
6.696813,14.8998
6.716813,94.8882
6.736813,26.2707
6.756813,0
6.776813,99.9855
6.796813,99.9855
6.816813,99.9855
6.836812,99.9855
6.856812,99.9855
6.876812,99.9855
6.896812,99.9855
6.916812,99.9855
6.936812,99.9855
6.956812,99.9855
6.976812,99.9855
6.996812,99.9855
7.016812,12.5472
7.036812,94.8882
7.056812,26.2707
7.076812,0
7.096813,99.9855
7.116813,99.9855
7.136813,99.9855
7.156813,99.9855
7.176813,99.9855
7.196813,99.9855
7.216813,99.9855
7.236813,99.9855
7.256813,99.9855
7.276813,99.9855
7.296813,99.9855
7.316813,99.9855
7.336812,12.5472
7.356812,94.8882
7.376812,26.6628
7.396812,0
7.416812,99.9855
7.436812,99.9855
7.456812,99.9855
7.476812,99.9855
7.496812,99.9855
7.516812,99.9855
7.536812,99.9855
7.556812,99.9855
7.576812,99.9855
7.596813,99.9855
7.616813,99.9855
7.636813,99.9855
7.656813,16.4682
7.676813,94.8882
7.696813,26.6628
7.715813,0
7.735813,99.9855
7.755813,99.9855
7.775813,99.9855
7.795813,99.9855
7.815813,99.9855
7.835813,99.9855
7.855813,99.9855
7.875813,99.9855
7.895813,99.9855
7.915812,99.9855
7.935812,99.9855
7.955812,99.9855
7.975812,27.447
7.995812,94.8882
8.015813,26.6628
8.035812,0
8.055813,99.9855
8.075812,99.9855
8.095813,99.9855
8.115812,99.9855
8.135813,99.9855
8.155812,99.9855
8.175813,99.9855
8.195812,99.9855
8.215813,99.9855
8.235812,99.9855
8.255813,99.9855
8.275812,99.9855
8.295813,36.0732
8.315812,94.8882
8.335813,26.6628
8.355812,0
8.375813,99.9855
8.395812,99.9855
8.415812,99.9855
8.435813,99.9855
8.455812,99.9855
8.475813,99.9855
8.495812,99.9855
8.515813,99.9855
8.535812,99.9855
8.555813,99.9855
8.575812,99.9855
8.595813,99.9855
8.615812,47.8362
8.635813,94.8882
8.655812,26.6628
8.675813,0
8.695812,99.9855
8.715813,99.9855
8.735812,99.9855
8.755813,99.9855
8.775812,99.9855
8.795813,99.9855
8.815812,99.9855
8.835813,99.9855
8.855812,99.9855
8.875813,99.9855
8.895812,99.9855
8.915812,99.9855
8.935813,52.5414
8.955812,94.8882
8.975813,26.6628
8.995812,0
9.015813,99.9855
9.035812,99.9855
9.055813,99.9855
9.075812,99.9855
9.095813,99.9855
9.115812,99.9855
