time,AccPedal
-0.0001875,8.4
0.0198125,8.4
0.0398125,8
0.0798125,8
0.0998125,7.6
0.1198125,7.6
0.1398125,7.6
0.1598125,7.6
0.1798125,7.6
0.1998125,7.6
0.2188125,7.6
0.2398125,7.6
0.2598125,7.6
0.2798125,7.6
0.2998125,7.6
0.3198125,7.6
0.3398125,7.6
0.3598125,7.6
0.3788125,7.6
0.3988125,7.6
0.4198125,7.6
0.4398125,7.6
0.4598125,7.6
0.4798125,7.6
0.4988125,7.2
0.5198125,7.2
0.5388125,7.2
0.5588125,7.2
0.5788125,7.2
0.5988125,7.2
0.6188125,7.2
0.6388125,6.8
0.6588125,6.8
0.6788125,6.8
0.6988125,6.8
0.7188125,6.8
0.7388125,6.8
0.7588125,7.2
0.7788125,7.2
0.7988125,7.2
0.8188125,7.6
0.8388125,7.6
0.8588125,8
0.8788125,8
0.8988125,8.4
0.9188125,8.4
0.9388125,8.8
0.9588125,8.8
0.9788125,9.2
0.9988125,9.2
1.018813,9.2
1.038813,9.2
1.058812,9.2
1.078812,9.2
1.098812,9.2
1.118812,9.2
1.138813,9.6
1.158813,9.6
1.178813,10
1.198812,10
1.218812,10.4
1.238812,10.8
1.258813,11.2
1.278813,12
1.298813,12.8
1.318812,13.2
1.338812,13.6
1.358812,14
1.378813,14.4
1.398813,14.4
1.418813,14.8
1.438812,14.8
1.458812,14.8
1.478812,14.8
1.498813,14.8
1.518813,14.8
1.538813,14.8
1.558812,14.8
1.578812,14.8
1.598812,15.2
1.618812,15.2
1.638813,15.2
1.658813,15.6
1.678813,15.6
1.698812,16
1.718812,16
1.738812,16
1.758813,16.4
1.778813,16.4
1.798813,16.4
1.818812,16.4
1.838812,16.4
1.858812,16.4
1.878813,16.4
1.898813,16.4
1.918813,16.4
1.937812,16.4
1.957813,16.8
1.977813,16.8
1.997813,17.2
2.018812,17.6
2.037812,17.6
2.057812,18
2.077812,18.4
2.097812,18.4
2.117812,18.8
2.137813,18.8
2.157813,19.2
2.177813,19.2
2.197813,19.2
2.217813,19.2
2.237813,19.2
2.257813,19.2
2.277812,19.2
2.297812,19.2
2.317812,19.2
2.337812,19.2
2.357812,19.2
2.377812,19.6
2.397813,19.6
2.417813,19.6
2.437813,19.6
2.457813,19.6
2.477813,19.6
2.497813,19.6
2.517812,19.6
2.537812,19.6
2.557812,19.6
2.577812,19.6
2.597812,19.6
2.617812,20
2.637813,20
2.657813,20
2.677813,20.4
2.697813,20.4
2.717813,20.4
2.737813,20.4
2.757813,20.8
2.777812,20.8
2.797812,20.8
2.817812,20.8
2.837812,20.8
2.857812,20.8
2.877812,20.8
2.897813,21.2
2.917813,21.2
2.937813,21.2
2.957813,21.6
2.977813,21.6
2.997813,21.6
3.017812,22
3.037812,22.4
3.057812,22.4
3.077812,22.8
3.097812,22.8
3.117812,23.2
3.137813,23.2
3.157813,23.2
3.176812,23.6
3.196812,23.6
3.216813,24
3.236813,24
3.256813,24
3.276813,24
3.296813,24
3.316813,24
3.336812,24
3.356812,24
3.376812,24
3.396812,24
3.416812,24.4
3.436812,24.8
3.456812,24.8
3.476813,25.2
3.496813,25.2
3.516813,25.2
3.536813,25.6
3.556813,25.6
3.576813,25.6
3.596812,25.6
3.616812,25.6
3.636812,25.6
3.656812,25.6
3.676812,25.6
3.696812,25.6
3.716813,25.6
3.736813,25.6
3.756813,25.6
3.776813,25.6
3.796813,25.6
3.816813,25.6
3.836812,25.6
3.856812,25.6
3.876812,25.6
3.896812,25.6
3.916812,25.6
3.936812,25.6
3.956812,25.6
3.976813,25.6
3.996813,25.6
4.016812,25.6
4.036812,25.6
4.056812,25.6
4.076812,25.6
4.096813,25.6
4.116813,25.2
4.136813,24.8
4.156813,24.4
4.176813,23.6
4.196813,23.6
4.216813,22.8
4.236813,22.4
4.256813,22.4
4.276813,21.2
4.296813,20.4
4.316813,19.6
4.336812,18.8
4.356812,18.4
4.376812,18
4.396812,17.6
4.416812,16.8
4.436812,16.4
4.456812,16
4.476812,16
4.496812,15.6
4.516812,15.6
4.536812,15.2
4.556812,15.2
4.576812,14.8
4.596813,14.4
4.616813,14.4
4.636813,14
4.656813,14
4.675813,14
4.695813,13.6
4.715813,13.6
4.735813,13.6
4.755813,13.2
4.775813,13.2
4.795813,13.2
4.815813,13.2
4.835813,13.2
4.855813,13.2
4.875813,13.2
4.895813,13.2
4.915812,13.2
4.935812,13.2
4.955812,13.2
4.975812,13.2
4.995812,12.8
5.015812,12.8
5.035812,12.8
5.055812,12.4
5.075812,12.4
5.095812,12.4
5.115812,12.4
5.135812,12.4
5.155812,12.4
5.175813,12.4
5.195813,12.4
5.215813,12.4
5.235813,12.4
5.255813,12.4
5.275813,12.4
5.295813,12.4
5.315813,12.4
5.335813,12.4
5.355813,12.4
5.375813,12.4
5.395813,12.4
5.415812,12.4
5.435812,12.4
5.455812,12.4
5.475812,12.4
5.495812,12.4
5.515812,12.4
5.535812,12.4
5.555812,12.4
5.575812,12.4
5.595812,12.4
5.615812,12.4
5.635812,12.4
5.655812,12.4
5.675813,12.4
5.695813,12.4
5.715813,12.4
5.735813,12.4
5.755813,12.4
5.775813,12.4
5.795813,12.4
5.815813,12
5.835813,12
5.855813,12
5.875813,12
5.895813,12
5.915812,12
5.935812,11.6
5.955812,11.6
5.975812,11.6
5.995812,11.6
6.015812,11.6
6.035812,11.2
6.055812,11.2
6.075812,11.2
6.095812,10.8
6.115812,10.8
6.135812,10.8
6.155812,10.8
6.174812,10.4
6.194812,10.4
6.214812,10.4
6.234813,10
6.254813,10
6.274813,10
6.294813,10
6.314813,10
6.334813,9.6
6.354813,9.6
6.374813,9.6
6.394813,9.2
6.414813,9.2
6.434813,9.2
6.454813,8.8
6.474813,8.8
6.494812,8.8
6.514812,8.8
6.534812,8.8
6.554812,8.8
6.574812,8.8
6.594812,8.8
6.614812,8.8
6.634812,8.4
6.654812,8.4
6.674812,8.4
6.694812,8
6.714812,8
6.734813,8
6.754813,8
6.774813,7.6
6.794813,7.6
6.814813,7.2
6.834813,7.2
6.854813,7.2
6.874813,7.2
6.894813,7.2
6.914813,6.8
6.934813,6.8
6.954813,6.8
6.974813,6.8
6.994812,6.8
7.014812,6.8
7.034812,6.8
7.054812,6.8
7.074812,6.8
7.094812,6.8
7.114812,6.8
7.134812,6.8
7.154812,6.8
7.174812,6.8
7.194812,6.8
7.214812,6.8
7.234813,6.8
7.254813,6.8
7.274813,7.2
7.294813,7.2
7.314813,7.2
7.334813,7.2
7.354813,7.2
7.374813,7.6
7.394813,7.6
7.414813,7.6
7.434813,7.6
7.454813,7.6
7.474813,7.6
7.494812,8
7.514812,8
7.534812,8.4
7.554812,8.4
7.574812,8.8
7.594812,9.2
7.614812,9.6
7.634812,9.6
7.654812,10
7.673812,10.4
7.693812,10.4
7.713812,10.8
7.733812,11.2
7.753812,11.2
7.773812,11.6
7.793812,12
7.813813,12.4
7.833813,13.2
7.853813,13.6
7.873813,14
7.893813,14.4
7.913813,14.8
7.933813,14.8
7.953813,15.2
7.973813,15.2
7.993813,15.2
