time,AccSignl
0.0014375,8
0.0214375,8
0.0414375,8
0.0614375,7.6
0.0814375,7.6
0.1014375,7.6
0.1214375,7.6
0.1414375,7.6
0.1614375,7.6
0.1814375,7.6
0.2014375,7.6
0.2214375,7.6
0.2414375,7.6
0.2614375,7.6
0.2804375,7.6
0.3004375,7.6
0.3214375,7.6
0.3414375,7.6
0.3614375,7.6
0.3814375,7.6
0.4004375,7.6
0.4204375,7.6
0.4404375,7.6
0.4614375,7.6
0.4804375,7.6
0.5014375,7.2
0.5204375,7.2
0.5404375,7.2
0.5604375,7.2
0.5804375,7.2
0.6004375,6.8
0.6204375,6.8
0.6404375,6.8
0.6604375,6.8
0.6804375,6.8
0.7004375,6.8
0.7204375,6.8
0.7404375,6.8
0.7604375,6.8
0.7804375,7.2
0.8004375,7.2
0.8204375,8
0.8404375,8
0.8604375,8.4
0.8804375,8.4
0.9004375,8.4
0.9204375,8.4
0.9404375,9.2
0.9604375,9.2
0.9804375,9.2
1.000437,9.2
1.020437,9.2
1.040437,9.2
1.060437,9.2
1.080438,9.2
1.100438,9.2
1.120438,9.2
1.140437,9.2
1.160437,9.6
1.180437,9.6
1.200438,10.4
1.220438,10.8
1.240438,11.2
1.260437,12
1.280437,12
1.300437,13.2
1.320438,14
1.340438,14.8
1.360438,14.8
1.380437,14.8
1.400437,14.8
1.420437,14.8
1.440438,14.8
1.460438,14.8
1.480438,14.8
1.500437,14.8
1.520437,14.8
1.540437,14.8
1.560437,14.8
1.580438,14.8
1.600438,14.8
1.620438,15.2
1.640437,15.2
1.660437,15.6
1.680437,16
1.700438,16.4
1.720438,16.4
1.739437,16.4
1.759437,16.4
1.779438,16.4
1.799438,16.4
1.819438,16.4
1.839437,16.4
1.859437,16.4
1.879437,16.4
1.899438,16.4
1.919438,16.4
1.939438,16.4
1.959437,16.4
1.979437,16.8
1.999437,16.8
2.019438,18
2.039438,18
2.059438,18.4
2.079437,18.8
2.099437,18.8
2.119437,18.8
2.139437,19.2
2.159437,19.2
2.179437,19.2
2.199438,19.2
2.219438,19.2
2.239438,19.2
2.259438,19.2
2.279438,19.2
2.299438,19.2
2.319438,19.2
2.339437,19.2
2.359437,19.2
2.379437,19.6
2.399437,19.6
2.419437,19.6
2.439437,19.6
2.459438,19.6
2.479438,19.6
2.499438,19.6
2.519438,19.6
2.539438,19.6
2.559438,19.6
2.579437,19.6
2.599437,19.6
2.619437,20
2.639437,20
2.659437,20.4
2.679437,20.4
2.699438,20.4
2.719438,20.8
2.739438,20.8
2.759438,20.8
2.779438,20.8
2.799438,20.8
2.819438,20.8
2.839437,20.8
2.859437,20.8
2.879437,21.2
2.899437,21.2
2.919437,21.2
2.939437,21.6
2.959438,21.6
2.979438,21.6
2.999438,22
3.019438,22
3.039438,22.8
3.059438,22.8
3.079437,22.8
3.099437,23.2
3.119437,23.2
3.139437,23.2
3.159437,23.6
3.179437,23.6
3.199438,24
3.219438,24
3.239438,24
3.259438,24
3.279438,24
3.298438,24
3.318438,24
3.338438,24
3.358438,24
3.378438,24
3.398438,24.4
3.418437,24.4
3.438437,24.8
3.458437,24.8
3.478437,25.6
3.498437,25.6
3.518437,25.6
3.538438,25.6
3.558438,26
3.578438,26
3.598438,26
3.618438,26
3.638438,26
3.658437,26
3.678437,26
3.698437,26
3.718437,26
3.738437,26
3.758437,26
3.778438,26
3.798438,26
3.818438,26
3.838438,26
3.858438,26
3.878438,26
3.898438,26
3.918437,26
3.938437,26
3.958437,26
3.978437,26
3.998437,26
4.018437,26
4.038437,26
4.058437,26
4.078437,25.6
4.098437,25.6
4.118437,24.8
4.138437,24.8
4.158438,24
4.178438,23.2
4.198438,22.8
4.218438,22.8
4.238438,22
4.258438,21.6
4.278438,21.6
4.298438,19.6
4.318438,18.8
4.338438,18
4.358438,17.6
4.378438,17.2
4.398438,16.8
4.418437,16.4
4.438437,15.6
4.458437,15.6
4.478437,15.6
4.498437,15.6
4.518437,15.2
4.538437,15.2
4.558437,14.8
4.578437,14.8
4.598437,14
4.618437,14
4.638437,14
4.658438,13.6
4.678438,13.6
4.698438,13.6
4.718438,13.2
4.737438,13.2
4.757438,13.2
4.777438,13.2
4.797438,13.2
4.817438,13.2
4.837438,13.2
4.857438,13.2
4.877438,13.2
4.897438,13.2
4.917438,13.2
4.937438,13.2
4.957438,13.2
4.977437,13.2
4.997437,13.2
5.017437,12.4
5.037437,12.4
5.057437,12.4
5.077437,12.4
5.097437,12.4
5.117437,12.4
5.137437,12.4
5.157437,12.4
5.177437,12.4
5.197437,12.4
5.217437,12.4
5.237438,12.4
5.257438,12.4
5.277438,12.4
5.297438,12.4
5.317438,12.4
5.337438,12.4
5.357438,12.4
5.377438,12.4
5.397438,12.4
5.417438,12.4
5.437438,12.4
5.457438,12.4
5.477437,12.4
5.497437,12.4
5.517437,12.4
5.537437,12.4
5.557437,12.4
5.577437,12.4
5.597437,12.4
5.617437,12.4
5.637437,12.4
5.657437,12.4
5.677437,12.4
5.697437,12.4
5.717437,12.4
5.737438,12.4
5.757438,12.4
5.777438,12.4
5.797438,12
5.817438,12
5.837438,12
5.857438,12
5.877438,12
5.897438,12
5.917438,12
5.937438,11.6
5.957438,11.6
5.977437,11.6
5.997437,11.2
6.017437,11.2
6.037437,11.2
6.057437,11.2
6.077437,11.2
6.097437,10.8
6.117437,10.8
6.137437,10.8
6.157437,10.4
6.177437,10.4
6.197437,10.4
6.216437,10
6.236437,10
6.256437,10
6.276437,10
6.296437,10
6.316438,9.6
6.337438,9.6
6.357438,9.6
6.376438,9.6
6.396438,8.8
6.416438,8.8
6.436438,8.8
6.456438,8.8
6.476438,8.8
6.496438,8.8
6.516438,8.8
6.536438,8.8
6.556437,8.8
6.576437,8.8
6.596437,8.8
6.616437,8.4
6.636437,8.4
6.656437,8.4
6.676437,8.4
6.696437,8
6.716437,8
6.736437,8
6.756437,8
6.776437,7.6
6.796437,7.6
6.816438,6.8
6.836438,6.8
6.856438,6.8
6.876438,6.8
6.896438,6.8
6.916438,6.8
6.936438,6.8
6.956438,6.8
6.976438,6.8
6.996438,6.8
7.016438,6.8
7.036438,6.8
7.056437,6.8
7.076437,6.8
7.096437,6.8
7.116437,6.8
7.136437,6.8
7.156437,6.8
7.176437,6.8
7.196437,6.8
7.216437,6.8
7.236437,6.8
7.256437,6.8
7.276437,6.8
7.296437,7.6
7.316438,7.6
7.336438,7.6
7.356438,7.6
7.376438,7.6
7.396438,7.6
7.416438,7.6
7.436438,7.6
7.456438,7.6
7.476438,7.6
7.496438,8
7.516438,8.4
7.536438,8.4
7.556437,8.8
7.576437,8.8
7.596437,9.6
7.616437,9.6
7.636437,10.4
7.656437,10.4
7.676437,10.4
7.696437,10.8
7.715437,11.2
7.736437,11.2
7.755437,11.6
7.775437,11.6
7.795437,12
7.815437,12.4
7.836438,13.6
7.855437,14.8
7.875438,14.8
7.895438,14.8
7.915438,14.8
7.935438,15.6
7.955438,15.6
7.975438,15.6
7.995438,15.6
8.015437,15.6
8.036437,15.6
8.055437,15.6
8.075438,16
8.095437,16
8.115438,16.4
8.135438,17.2
8.155437,17.6
8.175438,17.6
8.195437,18.4
8.215438,18.8
8.235437,19.2
8.255438,19.2
8.275437,19.2
8.295438,20.4
8.315437,22
8.335438,22
8.355437,22
8.375438,22
8.395437,22
8.415438,22
8.435437,22
8.455438,22
8.475437,22
8.495438,22
8.515437,22
8.535438,22
8.555437,22
8.575438,23.2
8.595437,23.2
8.615438,23.2
8.635438,23.2
8.655437,23.2
8.675438,23.2
8.695437,24
8.715438,24
8.735437,24
8.755438,24.4
8.775437,24.4
8.795438,25.2
8.815437,25.2
8.835438,25.2
8.855437,25.2
8.875438,25.6
8.895437,25.6
8.915438,26
8.935437,26.4
8.955438,26.4
8.975437,26.4
8.995438,26.8
9.015437,27.2
9.035438,27.2
9.055437,28
9.075438,28
9.095437,28.8
9.115438,30
9.135438,31.2
9.155437,32.8
9.175438,34
9.195437,34.4
9.215438,34.4
9.235437,34.8
9.255438,35.6
9.275437,36
9.295438,36
9.315437,36.4
9.335438,36.4
9.355437,36.8
9.375438,36.8
9.395437,38.8
9.415438,40.4
9.435437,42.4
9.455438,44
9.474438,45.2
9.495438,45.6
9.514438,45.6
9.534437,45.6
9.554438,45.6
9.574437,45.6
9.594438,46
9.614437,46
9.634438,46
9.654437,46
9.674438,46
9.694437,46
9.714437,46
9.734438,46
9.754437,46.4
9.774438,46.4
9.794437,46.4
9.814438,46.8
9.834437,46.8
9.854438,46.8
9.874437,47.2
9.894438,47.2
9.914437,47.6
9.934438,47.6
9.954437,47.6
9.974438,47.6
9.994437,47.6
10.01444,47.6
10.03444,47.6
10.05444,47.6
10.07444,47.6
10.09444,47.6
10.11444,47.6
10.13444,48
10.15444,48
10.17444,48
10.19444,48
10.21444,48
10.23444,48
10.25444,48
10.27444,48
10.29444,48
10.31444,48
10.33444,48
10.35444,48
10.37444,48
10.39444,48
10.41444,48
10.43444,48
10.45444,48
10.47444,48
10.49444,48
10.51444,48
10.53444,48
10.55444,48
10.57444,48
10.59444,48
10.61444,48
10.63444,48
10.65444,48
10.67444,48
10.69444,48
10.71444,48
10.73444,48
10.75444,48
10.77444,48
10.79444,48
10.81444,48
10.83444,48
10.85444,48
10.87444,48
10.89344,48
10.91344,48
10.93444,48
10.95344,48
10.97444,48
10.99344,48
11.01344,48
11.03344,48
11.05444,48
11.07444,48
11.09344,48
11.11344,48
11.13344,48
11.15344,48
11.17344,48
11.19344,48
11.21344,48
11.23444,48
11.25344,48
11.27344,48
11.29344,48
11.31344,48
11.33444,48
11.35444,48
11.37344,48
11.39444,48
11.41344,48
11.43444,48
11.45344,48
11.47344,48
11.49344,48
11.51344,48
11.53344,48
11.55344,48
11.57344,48
11.59344,48
11.61344,48
11.63344,48
11.65344,48
11.67344,48
11.69344,48
11.71344,48
11.73344,48
11.75344,48
11.77344,48
11.79344,48
11.81344,48
11.83344,48
11.85344,48
11.87344,48
11.89344,48
11.91344,48
11.93344,48
11.95344,48
11.97344,48
11.99344,48
12.01344,48
12.03344,48
12.05344,48
12.07344,48
12.09344,48
12.11344,48
12.13344,48
12.15344,48
12.17344,48
12.19344,48
12.21344,48
12.23244,48
12.25244,48
12.27244,48
12.29244,48
12.31244,48
12.33244,48
12.35244,48
12.37344,48
12.39244,48
12.41244,48
12.43244,48
12.45244,48
12.47244,48
12.49244,48
12.51244,48
12.53244,48
12.55244,48
12.57244,48
12.59244,48
12.61244,48
12.63244,48
12.65244,48
12.67244,48
12.69244,48
12.71244,48
12.73244,48
12.75244,48
12.77244,48
12.79244,48
12.81244,48
12.83244,48
12.85244,48
12.87244,47.6
12.89244,47.6
12.91244,47.6
12.93244,47.6
12.95244,47.6
12.97244,47.6
12.99244,47.6
13.01244,47.2
13.03244,47.2
13.05244,47.2
13.07244,47.2
13.09244,46.4
13.11244,46.4
13.13244,46.4
13.15244,46
13.17244,46
13.19244,46
13.21244,46
13.23244,46
13.25244,46
13.27244,46
13.29244,45.6
13.31244,45.6
13.33244,45.6
13.35244,45.6
13.37244,45.2
13.39244,45.2
13.41244,45.2
13.43244,45.2
13.45244,45.2
13.47244,45.2
13.49244,45.2
13.51244,45.2
13.53244,44.8
13.55244,44.8
13.57244,44.8
13.59244,44.8
13.61244,44.8
13.63244,44.8
13.65244,44.4
13.67244,44
13.69244,43.6
13.71144,43.6
13.73144,43.2
13.75144,42.4
13.77144,42.4
13.79144,42.4
13.81144,42.4
13.83144,42.4
13.85144,42.4
13.87144,42.4
13.89144,42.4
13.91144,42.4
13.93144,42.4
13.95144,42.4
13.97144,42.4
13.99144,42.4
14.01144,42.4
14.03144,42.4
14.05144,42.4
14.07144,42.4
14.09144,42.4
14.11144,41.6
14.13144,41.2
14.15144,40.8
14.17144,40.8
14.19144,40.4
14.21144,40.4
14.23144,40.4
14.25144,40
14.27144,39.6
14.29144,39.6
14.31144,39.6
14.33144,39.2
14.35144,39.2
14.37144,39.2
14.39144,39.2
14.41144,39.2
14.43144,39.2
14.45144,39.2
14.47144,39.2
14.49144,39.2
14.51144,39.2
14.53144,39.2
14.55144,39.2
14.57144,39.2
14.59144,39.2
14.61144,38.8
14.63144,38.8
14.65144,38.8
14.67144,38.4
14.69144,38.4
14.71144,38.4
14.73144,38.4
14.75144,38.4
14.77144,38.4
14.79144,38.4
14.81144,38.4
14.83144,38.4
14.85144,38.4
14.87144,38.4
14.89144,38.4
14.91144,38.4
14.93144,38.4
14.95144,38.4
14.97144,38.4
14.99144,38.4
15.01144,38.4
15.03144,38.4
15.05144,38.4
15.07144,38.4
15.09144,38.4
15.11144,38.4
15.13144,38.4
15.15144,38.4
15.17144,38.4
15.19144,38.4
15.21044,38.4
15.23044,38.4
15.25044,38.4
15.27044,38.4
15.29044,38
15.31044,38
15.33044,38
15.35044,38
15.37044,38
15.39044,38
15.41044,38
15.43044,38
15.45044,38
15.47044,38
15.49044,38
15.51044,38
15.53044,38
15.55044,38
15.57044,38
15.59044,37.6
15.61044,37.6
15.63044,37.6
15.65044,36.8
15.67044,36.8
15.69044,35.2
15.71044,34
15.73044,33.2
15.75044,32.4
15.77044,31.6
15.79044,31.2
15.81044,30.8
15.83044,30
15.85044,29.6
15.87044,28
15.89044,26
15.91044,23.6
15.93044,21.6
15.95044,18
15.97044,18
15.99044,13.6
16.01044,12.4
16.03044,12
16.05044,12
16.07044,12
16.09044,11.6
16.11044,11.6
16.13044,10.8
16.15044,10.8
16.17044,10.4
16.19044,9.2
16.21044,8.4
16.23044,7.2
16.25044,6.4
16.27044,6.4
16.29044,5.6
16.31044,5.6
16.33044,5.6
16.35044,5.6
16.37044,5.6
16.39044,5.6
16.41044,5.6
16.43044,5.6
16.45044,5.6
16.47044,5.6
16.49044,5.6
16.51044,5.6
16.53044,5.6
16.55044,6
16.57044,6
16.59044,6
16.61044,6
16.63044,6
16.65044,6
16.67044,6
16.69044,6.4
16.70944,6.4
16.72944,7.2
16.74944,8
16.76944,8.8
16.78944,9.6
16.80944,10
16.82944,10.4
16.84944,10.8
16.86944,10.8
16.88944,11.6
16.90944,11.6
16.92944,12
16.94944,12
16.96944,12.4
16.98944,12.4
17.00944,13.2
17.02944,13.2
17.04944,13.2
17.06944,13.6
17.08944,13.6
17.10944,13.6
17.12944,13.6
17.14944,13.6
17.16944,13.6
17.18944,13.6
17.20944,13.6
17.22944,14
17.24944,14
17.26944,14.4
17.28944,14.4
17.30944,14.8
17.32944,14.8
17.34944,14.8
17.36944,14.8
17.38944,14.8
17.40944,15.2
17.42944,15.2
17.44944,15.2
17.46944,15.2
17.48944,15.2
17.50944,15.2
17.52944,15.2
17.54944,15.2
17.56944,15.6
17.58944,15.6
17.60944,16
17.62944,16.4
17.64944,17.2
17.66944,17.2
17.68944,17.6
17.70944,18.4
17.72944,18.8
17.74944,19.2
17.76944,19.2
17.78944,20
17.80944,20
17.82944,20.4
17.84944,20.4
17.86944,20.4
17.88944,20.4
17.90944,20.4
17.92944,20.4
17.94944,20.4
17.96944,20.4
17.98944,20.4
18.00944,20.4
18.02944,20.4
18.04944,20.4
18.06944,20.4
18.08944,20.4
18.10944,20.4
18.12944,20.4
18.14944,20.4
18.16944,20.4
18.18944,20.4
18.20844,20.4
18.22844,18.8
18.24844,17.2
18.26844,15.2
18.28844,12.8
18.30844,9.2
18.32844,4.8
18.34844,0
18.36844,0
18.38844,0
18.40844,0
18.42844,0
18.44844,0
18.46844,0
18.48844,0
18.50844,0
18.52844,0
18.54844,0
18.56844,0
18.58844,0
18.60844,0
18.62844,0
18.64844,0
18.66844,0
18.68844,0
18.70844,0
18.72844,0
18.74844,0
18.76844,0
18.78844,0
18.80844,0
18.82844,0
18.84844,0
18.86844,0
18.88844,0
18.90844,0
18.92844,0
18.94844,0
18.96844,0
18.98844,0
19.00844,0
19.02844,0
19.04844,0
19.06844,0
19.08844,0
19.10844,0
19.12844,0
19.14844,0
19.16844,0
19.18844,0
19.20844,0
19.22844,0
19.24844,0
19.26844,0
19.28844,0
19.30844,0
19.32844,0
19.34844,0
19.36844,0
19.38844,0
19.40844,0
19.42844,0
19.44844,0
19.46844,0
19.48844,0
19.50844,0
19.52844,0
19.54844,0
19.56844,0
19.58844,0
19.60844,0
19.62844,0
19.64844,0
19.66844,0
19.68844,0
19.70844,0
19.72744,0
19.74744,0
19.76744,0
19.78744,0
19.80744,0
19.82744,0
19.84744,0
19.86744,0
19.88744,0
19.90744,0
19.92744,0
19.94744,0
19.96744,0
19.98744,0
20.00744,0
20.02744,0
20.04744,0
20.06744,0
20.08744,0
20.10744,0
20.12744,0
20.14744,0
20.16744,0
20.18744,0
20.20744,0
20.22744,0
20.24744,0
20.26744,0
20.28744,0
20.30744,0
20.32744,0
20.34744,0
20.36744,0
20.38744,0
20.40744,0
20.42744,0
20.44744,0
20.46744,0
20.48744,0
20.50744,0
20.52744,0
20.54744,0
20.56744,0
20.58744,0
20.60744,0
20.62744,0
20.64744,0
20.66744,0
20.68744,0
20.70744,0
20.72744,0
20.74744,0
20.76744,0
20.78744,0
20.80744,0
20.82744,0
20.84744,0
20.86744,0
20.88744,0
20.90744,0
20.92744,0
20.94744,0
20.96744,0
20.98744,0
21.00744,0
