time,DegOfDev
-0.0001875,8.59
0.0198125,8.91
0.0398125,9.1
0.0598125,9.33
0.0798125,9.66
0.0998125,10.06
0.1198125,10.37
0.1398125,10.75
0.1598125,11.1
0.1798125,11.53
0.1998125,11.87
0.2198125,12.24
0.2398125,12.48
0.2598125,12.88
0.2798125,13.26
0.2998125,13.57
0.3198125,13.9
0.3398125,14.27
0.3598125,14.68
0.3798125,14.95
0.3998125,15.28
0.4198125,15.7
0.4398125,16.11
0.4598125,16.47
0.4798125,16.86
0.4998125,17.32
0.5198125,17.67
0.5398125,18.18
0.5598125,18.66
0.5798125,19.26
0.5998125,19.69
0.6198125,20.1
0.6398125,20.5
0.6598125,20.68
0.6798125,20.8
0.6998125,21.03
0.7198125,21.22
0.7398125,21.36
0.7598125,21.52
0.7798125,21.61
0.7998125,21.77
0.8198125,21.9
0.8398125,21.97
0.8598125,22.11
0.8798125,22.29
0.8998125,22.5
0.9198125,22.73
0.9398125,22.99
0.9598125,23.33
0.9798125,23.74
0.9998125,24.03
1.019812,24.39
1.039812,24.91
1.059813,25.15
1.079813,25.45
1.099813,25.76
1.119812,25.99
1.139812,26.14
1.159812,26.39
1.179813,26.69
1.199813,26.92
1.219813,27.1
1.239812,27.23
1.259812,27.33
1.279812,27.4
1.299813,27.5
1.319813,27.57
1.339813,27.71
1.359812,27.73
1.379812,27.77
1.399812,27.82
1.419812,27.84
1.439813,27.87
1.459813,28.09
1.479813,28.28
1.499812,28.4
1.519812,28.68
1.539812,28.65
1.559813,28.6
1.579813,28.86
1.599813,29.09
1.619812,29.42
1.639812,29.93
1.659812,30.01
1.679813,30.04
1.699813,30.27
1.719813,30.56
1.739812,30.89
1.759812,31.16
1.779812,31.67
1.799813,32.11
1.819813,32.25
1.839813,32.52
1.859812,32.69
1.879812,32.8
1.899812,33.07
1.920812,33.48
1.939813,33.48
1.959813,33.51
1.979813,33.62
1.999812,33.36
2.020813,33.18
2.039813,33.21
2.059813,33.04
2.079813,32.9
2.099813,32.87
2.119812,32.8
2.139812,32.75
2.159812,32.89
2.179812,32.89
2.199812,32.88
2.219812,32.99
2.239813,33.09
2.259813,33.06
2.279813,33.1
2.299813,33.13
2.319813,33.07
2.339813,32.99
2.359812,33.03
2.379812,32.8
2.399812,32.56
2.419812,32.47
2.439812,32.23
2.459812,32.05
2.479812,31.79
2.499813,31.7
2.519813,31.59
2.539813,31.41
2.559813,31.28
2.579813,31.16
2.599813,30.98
2.619812,31.01
2.639812,30.95
2.659812,30.84
2.679812,30.81
2.699812,30.7
2.719812,30.53
2.739813,30.37
2.759813,30.29
2.779813,30.13
2.799813,29.96
2.819813,29.86
2.839813,29.72
2.859812,29.6
2.879812,29.42
2.899812,29.14
2.919812,28.89
2.939812,28.61
2.959812,28.1
2.979812,27.61
2.999813,27.22
3.019813,26.6
3.039813,25.96
3.059813,25.35
3.079813,24.77
3.099813,24.1
3.119812,23.52
3.139812,23.08
3.159812,22.47
3.179812,21.87
3.199812,21.35
3.219812,20.8
3.239813,20.07
3.259813,19.42
3.279813,18.75
3.299813,18.05
3.319813,17.4
3.339813,16.75
3.359812,16.21
3.379812,15.58
3.399812,15.06
3.419812,14.66
3.439812,14.23
3.459812,13.81
3.479812,13.42
3.499813,13.04
3.519813,12.78
3.539813,12.46
3.559813,12.25
3.579813,12.03
3.599813,11.78
3.619812,11.49
3.639812,11.28
3.659812,10.95
3.679812,10.69
3.699812,10.51
3.719812,10.2
3.739813,9.88
3.759813,9.54
3.779813,8.98
3.799813,8.39
3.819813,7.92
3.839813,7.36
3.859812,6.87
3.879812,6.46
3.899812,5.87
3.919812,5.35
3.939812,5.05
3.959812,4.69
3.979812,4.39
3.999813,4.14
4.019813,3.82
4.039813,3.76
4.059813,3.77
4.079813,3.66
4.099813,3.65
4.119812,3.58
4.139812,3.49
4.159812,3.32
4.179812,3.21
4.199812,3.05
4.219812,2.92
4.239812,2.71
4.259812,2.7
4.279812,2.76
4.299812,2.85
4.319812,2.96
4.339812,2.96
4.359813,2.99
4.379813,2.96
4.399813,3
4.419813,2.9
4.439813,2.89
4.459813,2.86
4.479813,2.81
4.499813,2.74
4.519813,2.69
4.539813,2.72
4.559813,2.73
4.579813,2.69
4.599813,2.69
4.619812,2.69
4.639812,2.66
4.659812,2.69
4.679812,2.74
4.699812,2.78
4.719812,2.8
4.739812,2.76
4.759812,2.7
4.779812,2.69
4.799812,2.7
4.819812,2.72
4.839812,2.78
4.859813,2.83
4.879813,2.87
4.899813,2.96
4.919813,3.02
4.939813,3.03
4.959813,3.03
4.979813,3.08
4.999813,3.03
5.019813,2.86
5.039813,2.75
5.059813,2.63
5.079813,2.63
5.099813,2.74
5.120812,2.78
5.139812,2.86
5.159812,2.97
5.179812,2.93
5.199812,2.97
5.220812,2.99
5.239812,2.87
5.259812,2.77
5.279812,2.7
5.299812,2.59
5.320813,2.63
5.339812,2.6
5.359813,2.52
5.379813,2.52
5.399813,2.52
5.419813,2.52
5.439813,2.68
5.459813,2.76
5.479813,2.73
5.499813,2.83
5.520813,2.86
5.539813,2.81
5.559813,2.82
5.579813,2.8
5.599813,2.83
5.619812,2.86
5.639812,2.9
5.659812,2.85
5.679812,2.86
5.699812,2.86
5.719812,2.74
5.739812,2.78
5.759812,2.85
5.779812,2.72
5.799812,2.82
5.819812,2.75
5.839812,2.74
5.859813,2.71
5.879813,2.62
5.899813,2.69
5.919813,2.83
5.939813,2.85
5.959813,2.84
5.979813,2.97
5.999813,3.02
6.019813,3.03
6.039813,3
6.059813,3.02
6.079813,2.94
6.099813,2.86
6.119812,2.83
6.139812,2.78
6.159812,2.84
6.179812,2.88
6.199812,2.93
6.219812,2.86
6.239812,2.86
6.259812,2.87
6.279812,2.85
6.299812,2.8
6.319812,2.75
6.339812,2.73
6.359813,2.68
6.379813,2.51
6.399813,2.37
6.419813,2.19
6.439813,2.03
6.459813,1.95
6.479813,1.96
6.499813,2.03
6.519813,2.04
6.539813,2.02
6.559813,2.02
6.579813,1.99
6.599813,2.02
6.619812,2.02
6.639812,2.02
6.659812,1.94
6.679812,1.86
6.699812,1.82
6.719812,1.81
6.739812,1.82
6.759812,1.88
6.779812,1.85
6.799812,1.8
6.819812,1.79
6.839812,1.71
6.859813,1.52
6.879813,1.51
6.899813,1.54
6.919813,1.61
6.939813,1.55
6.959813,1.66
6.979813,1.59
6.999813,1.5
7.019813,1.49
7.039813,1.36
7.059813,1.22
7.079813,1.17
7.099813,1.2
7.119812,1.1
7.139812,0.94
7.159812,0.79
7.179812,0.68
7.199812,0.43
7.219812,0.26
7.239812,0.02
7.259812,0.33
7.279812,0.59
7.299812,0.95
7.319812,1.47
7.339812,1.77
7.359813,2.11
7.379813,2.74
7.399813,3.18
7.419813,3.71
7.439813,4.3
7.459813,5.02
7.479813,5.68
7.499813,6.42
7.519813,7.14
7.539813,7.74
7.559813,8.34
7.579813,9.14
7.599813,9.88
7.619812,10.44
7.639812,11.01
7.659812,11.82
7.679812,12.4
7.699812,13.01
7.719812,13.68
7.739812,14.32
7.759812,14.93
7.779812,15.44
7.799812,15.9
7.819812,16.34
7.839812,16.94
7.859813,17.26
7.879813,17.34
7.899813,17.81
7.919813,18.74
7.939813,19.24
7.959813,19.46
7.979813,20
7.999813,20.55
8.019813,21.05
8.039812,21.97
8.059813,22.48
8.079812,22.77
8.099813,23.49
8.119813,24.39
8.139812,25.07
8.159813,25.85
8.179812,26.64
8.199813,27.25
8.219812,28.27
8.239813,29.11
8.259812,29.49
8.279813,30
8.299812,30.61
8.319813,31.23
8.339812,31.73
8.359813,32.41
8.379812,32.98
8.399813,33.38
8.419812,33.87
8.439813,34.24
8.459812,34.6
8.479813,35.21
8.499812,35.31
8.519813,35.25
8.539812,35.33
8.559813,35.26
8.579812,35.06
8.599813,35.14
8.619813,35.11
8.639812,34.96
8.659813,34.99
8.679812,35.03
8.699813,35.17
8.719812,35.22
8.739813,35.3
8.759812,35.57
8.779813,35.91
8.799812,36.25
8.819813,36.55
8.839812,36.94
8.859813,37.22
8.879812,37.36
8.899813,37.43
8.919812,37.37
8.939813,37.22
8.959812,37.11
8.979813,36.97
8.999812,36.99
9.019813,37.09
9.039812,37.13
9.059813,37.22
9.079812,37.31
9.099813,37.41
9.119813,37.43
9.139812,37.48
9.159813,37.5
9.179812,37.43
9.199813,37.54
9.219812,37.73
9.239813,37.83
9.259812,37.93
9.279813,37.91
9.299812,37.94
9.319813,37.97
9.339812,38.1
9.359813,38.2
9.379812,38.09
9.399813,37.93
9.419812,37.82
9.439813,37.71
9.459812,37.54
9.479813,37.61
9.499812,37.6
9.519813,37.51
9.539812,37.45
9.559813,37.43
9.579812,37.3
9.599813,37.13
9.619813,37.03
9.639812,36.95
9.659813,36.83
9.679812,36.77
9.699813,36.55
9.719812,36.2
9.739813,35.86
9.759812,35.5
9.779813,34.85
9.799812,34.19
9.819813,33.53
9.839812,32.79
9.859813,31.94
9.879812,31.31
9.899813,30.45
9.919812,29.83
9.939813,29.06
9.959812,28.34
9.979813,27.72
9.999812,26.99
10.01981,26.34
10.03981,25.68
10.05981,24.83
10.07981,23.99
10.09981,23.31
10.11981,22.41
10.13981,21.67
10.15981,21.02
10.17981,20.02
10.19981,19.01
10.21981,17.98
10.23981,17.06
10.25981,15.82
10.27981,14.89
10.29981,14.18
10.31981,13.28
10.33981,12.58
10.35981,11.95
10.37981,11.35
10.39981,10.7
10.41981,10.18
10.43981,9.67
10.45981,9.2
10.47981,8.68
10.49981,8.25
10.51981,7.8
10.53981,7.2
10.55981,6.6
10.57981,6.06
10.59981,5.57
10.61981,5.08
10.63981,4.67
10.65981,4.37
10.67981,3.98
10.69981,3.72
10.71981,3.4
10.73981,2.92
10.75981,2.68
10.77981,2.42
