time,DisSpeed
0.00171875,27.2
0.02171875,27.2
0.04171875,27.2
0.08171875,27.2
0.1017188,27.2
0.1217187,27.2
0.1427187,27.2
0.1627187,27.2
0.1817188,27.2
0.2017187,27.2
0.2217187,26.88
0.2417188,26.88
0.2627187,26.88
0.2817188,26.88
0.3017187,26.88
0.3217188,26.88
0.3427188,26.88
0.3627188,26.88
0.3817188,26.88
0.4017187,26.88
0.4217187,26.56
0.4427187,26.56
0.4627188,26.56
0.4817187,26.56
0.5017188,26.56
0.5217187,26.56
0.5417187,26.56
0.5617188,26.56
0.5817187,26.24
0.6017187,26.24
0.6217188,26.24
0.6417187,26.24
0.6617187,26.24
0.6817188,25.92
0.7017187,25.92
0.7217187,25.92
0.7417188,25.92
0.7617188,25.92
0.7817187,25.92
0.8017188,25.92
0.8217188,25.6
0.8427187,25.6
0.8617188,25.6
0.8817188,25.6
0.9017187,25.6
0.9217188,25.6
0.9417188,25.6
0.9627187,25.6
0.9817188,25.6
1.001719,25.6
1.021719,25.6
1.041719,25.6
1.061719,25.6
1.081719,25.6
1.101719,25.28
1.121719,25.28
1.142719,25.28
1.161719,25.28
1.181719,25.28
1.201719,25.28
1.222719,24.96
1.242719,25.28
1.262719,25.28
1.281719,24.96
1.301719,24.96
1.322719,24.96
1.341719,24.96
1.362719,24.96
1.381719,24.96
1.401719,24.96
1.421719,24.96
1.442719,24.96
1.461719,24.96
1.481719,24.96
1.501719,24.96
1.521719,24.96
1.541719,24.96
1.561719,24.96
1.581719,25.28
1.601719,25.28
1.621719,25.28
1.641719,24.64
1.661719,24.64
1.681719,24.96
1.701719,24.64
1.721719,24.96
1.741719,24.96
1.761719,24.96
1.781719,24.64
1.801719,24.96
1.821719,24.64
1.842719,24.64
1.861719,24.64
1.881719,24.96
1.901719,24.96
1.921719,24.96
1.942719,24.96
1.962719,24.96
1.981719,24.96
2.001719,24.64
2.021719,24.64
2.042719,24.64
2.062719,24.64
2.081719,24.96
2.101719,24.96
2.122719,24.64
2.142719,24.64
2.162719,24.64
2.181719,24.64
2.201719,24.64
2.222719,24.64
2.242719,24.64
2.262719,24.64
2.281719,24.64
2.301719,24.96
2.322719,24.96
2.342719,24.96
2.362719,24.96
2.381719,24.96
2.401719,24.96
2.421719,24.96
2.441719,24.96
2.461719,24.96
2.481719,24.96
2.501719,24.96
2.521719,24.96
2.541719,24.96
2.561719,24.96
2.581719,24.96
2.601719,24.96
2.621719,24.96
2.641719,24.96
2.661719,24.96
2.681719,24.96
2.701719,24.96
2.721719,24.96
2.742719,25.28
2.761719,25.28
2.781719,25.28
2.801719,25.28
2.821719,25.28
2.841719,25.28
2.861719,25.28
2.881719,25.28
2.901719,25.28
2.921719,25.28
2.941719,25.28
2.961719,25.28
2.981719,25.6
3.001719,25.28
3.021719,25.6
3.042719,25.6
3.062719,25.6
3.081719,25.6
3.101719,25.6
3.121719,25.6
3.141719,25.6
3.161719,25.6
3.181719,25.6
3.201719,25.6
3.221719,25.6
3.242719,25.6
3.261719,25.6
3.281719,25.6
3.301719,25.92
3.321719,25.92
3.341719,25.92
3.362719,25.92
3.381719,25.92
3.401719,26.24
3.421719,26.24
3.442719,26.24
3.461719,26.24
3.481719,26.24
3.501719,26.24
3.521719,26.24
3.542719,26.24
3.561719,26.24
3.581719,26.24
3.601719,26.56
3.621719,26.56
3.642719,26.56
3.661719,26.56
3.681719,26.56
3.701719,26.56
3.721719,26.56
3.741719,26.56
3.761719,26.56
3.781719,26.88
3.801719,26.88
3.821719,26.88
3.841719,26.88
3.861719,26.88
3.881719,26.56
3.901719,26.88
3.921719,26.88
3.941719,26.56
3.961719,26.56
3.981719,26.56
4.001719,26.88
4.021719,26.88
4.042719,26.88
4.061719,26.88
4.081719,27.2
4.101719,27.2
4.121719,27.2
4.142719,27.2
4.161719,27.2
4.181719,27.2
4.201719,27.52
4.221719,27.52
4.242719,27.2
4.261719,27.2
4.281719,27.2
4.301719,27.52
4.321719,27.52
4.342719,27.52
4.362719,27.52
4.381719,27.52
4.401719,27.52
4.421719,27.52
4.441719,27.52
4.461719,27.52
4.481719,27.84
4.501719,27.52
4.521719,27.52
4.542719,27.52
4.562719,27.52
4.581719,27.52
4.601719,27.52
4.621719,27.52
4.642719,27.52
4.661719,27.52
4.681719,27.52
4.701719,27.84
4.721719,27.84
4.742719,27.84
4.761719,27.84
4.781719,27.84
4.801719,27.84
4.821719,27.84
4.842719,27.84
4.862719,27.84
4.881719,27.84
4.901719,27.84
4.921719,27.84
4.942719,27.84
4.961719,27.84
4.981719,27.84
5.001719,27.84
5.022719,27.84
5.042719,27.84
5.062719,27.84
5.081719,27.84
5.101719,27.84
5.121719,27.84
5.142719,27.84
5.162719,27.84
5.181719,27.84
5.201719,27.84
5.221719,27.84
5.241719,27.84
5.261719,27.84
5.281719,27.84
5.301719,27.84
5.322719,27.84
5.342719,27.52
5.362719,27.52
5.381719,27.52
5.401719,27.52
5.421719,27.52
5.442719,27.52
5.461719,27.52
5.481719,27.52
5.501719,27.52
5.521719,27.52
5.541719,27.52
5.562719,27.52
5.581719,27.52
5.601719,27.52
5.621719,27.52
5.641719,27.52
5.662719,27.52
5.681719,27.52
5.701719,27.52
5.721719,27.52
5.742719,27.52
5.762719,27.52
5.781719,27.52
5.801719,27.52
5.821719,27.52
5.841719,27.52
5.861719,27.52
5.881719,27.52
5.901719,27.2
5.921719,27.2
5.942719,27.52
5.961719,27.52
5.981719,27.2
6.001719,27.2
6.021719,27.2
6.042719,27.2
6.061719,27.2
6.081719,27.2
6.101719,27.2
6.121719,27.2
6.141719,27.2
6.161719,27.2
6.181719,27.2
6.201719,27.2
6.221719,26.88
6.242719,26.88
6.261719,26.88
6.281719,27.2
6.301719,26.88
6.321719,27.2
6.341719,27.2
6.361719,27.2
6.381719,27.2
6.401719,26.88
6.421719,26.88
6.442719,26.88
6.461719,26.88
6.481719,26.88
6.501719,26.88
6.521719,26.56
6.542719,26.56
6.562719,26.56
6.581719,26.56
6.601719,26.56
6.621719,26.56
6.642719,26.56
6.661719,26.56
6.681719,26.56
6.701719,26.56
6.721719,26.56
6.741719,26.24
6.761719,26.24
6.781719,26.24
6.801719,26.24
6.821719,26.24
6.842719,26.24
6.861719,26.24
6.881719,26.24
6.901719,26.24
6.921719,26.24
6.942719,26.24
6.961719,26.24
6.981719,26.24
7.001719,25.92
7.021719,25.92
7.041719,25.92
7.061719,25.92
7.081719,25.92
7.101719,25.92
7.121719,25.6
7.141719,25.6
7.161719,25.6
7.181719,25.6
7.201719,25.6
7.221719,25.6
7.242719,25.6
7.262719,25.6
7.281719,25.6
7.301719,25.28
7.321719,25.28
7.342719,25.28
7.361719,25.28
7.381719,25.28
7.401719,25.28
7.421719,25.28
7.441719,25.28
7.461719,25.28
7.481719,25.28
7.501719,25.28
7.521719,25.28
7.542719,25.28
7.561719,25.28
7.581719,25.28
7.601719,24.96
7.621719,24.96
7.641719,24.96
7.661719,24.96
7.681719,24.64
7.701719,24.96
7.721719,24.96
