time,FuelCons
-9.375E-05,17723
0.01990625,17728
0.03990625,17734
0.05990625,17740
0.07990625,17745
0.09990625,17750
0.1199062,17755
0.1399063,17760
0.1599063,17766
0.1799062,17770
0.1999062,17775
0.2199063,17779
0.2389062,17783
0.2589062,17786
0.2789063,17789
0.2989062,17792
0.3189062,17794
0.3389063,17797
0.3589062,17799
0.3789063,17801
0.3989063,17803
0.4189062,17805
0.4389063,17808
0.4589063,17812
0.4789062,17816
0.4989063,17819
0.5189062,17822
0.5389063,17826
0.5589063,17830
0.5789062,17834
0.5989063,17837
0.6189063,17841
0.6389062,17845
0.6589062,17849
0.6789063,17852
0.6989062,17856
0.7189062,17859
0.7389063,17863
0.7589062,17866
0.7789062,17869
0.7989063,17872
0.8189062,17875
0.8389062,17878
0.8589063,17881
0.8789063,17884
0.8989062,17887
0.9189063,17890
0.9389063,17893
0.9589062,17896
0.9789063,17899
0.9989063,17903
1.018906,17906
1.038906,17909
1.058906,17913
1.078906,17917
1.098906,17921
1.118906,17925
1.138906,17930
1.158906,17934
1.178906,17939
1.198906,17943
1.218906,17948
1.238906,17953
1.258906,17958
1.278906,17962
1.298906,17967
1.318906,17973
1.338906,17978
1.358906,17983
1.378906,17989
1.398906,17994
1.418906,18000
1.438906,18006
1.458906,18012
1.478906,18018
1.498906,18025
1.518906,18033
1.538906,18041
1.558906,18049
1.578906,18057
1.598906,18066
1.618906,18075
1.638906,18083
1.658906,18091
1.678906,18099
1.698906,18107
1.717906,18115
1.737906,18123
1.757906,18131
1.777906,18139
1.797906,18148
1.817906,18156
1.837906,18165
1.857906,18173
1.877906,18182
1.897906,18191
1.917906,18200
1.937906,18209
1.957906,18217
1.977906,18226
1.997906,18235
2.017906,18244
2.037906,18253
2.057906,18263
2.077906,18272
2.097906,18282
2.117906,18292
2.137906,18302
2.157906,18313
2.177906,18323
2.197906,18333
2.217906,18344
2.237906,18355
2.257906,18365
2.277906,18375
2.297906,18385
2.317906,18396
2.337906,18406
2.357906,18416
2.377906,18426
2.397906,18437
2.417906,18448
2.437906,18459
2.457906,18471
2.477906,18482
2.497906,18493
2.517906,18505
2.537906,18516
2.557906,18527
2.577906,18539
2.597906,18550
2.617906,18561
2.637906,18572
2.657906,18583
2.677906,18595
2.697906,18606
2.717906,18617
2.737906,18629
2.757906,18640
2.777906,18652
2.797906,18665
2.817906,18676
2.837906,18688
2.857906,18700
2.877906,18711
2.897906,18723
2.917906,18735
2.937906,18747
2.957906,18759
2.977906,18772
2.997906,18784
3.017906,18797
3.037906,18810
3.057906,18822
3.077906,18835
3.097906,18848
3.117906,18861
3.137906,18874
3.157906,18887
3.177906,18900
3.197906,18913
3.216906,18926
3.236906,18940
3.256906,18953
3.276906,18967
3.296906,18981
3.316906,18995
3.336906,19009
3.356906,19023
3.376906,19037
3.396906,19051
3.416906,19065
3.436906,19079
3.456906,19093
3.476906,19108
3.496906,19122
3.516906,19137
3.536906,19151
3.556906,19166
3.576906,19180
3.596906,19195
3.616906,19210
3.636906,19225
3.656906,19241
3.676906,19256
3.696906,19272
3.716906,19287
3.736906,19303
3.756906,19318
3.776906,19334
3.796906,19349
3.816906,19365
3.836906,19382
3.856906,19398
3.876906,19414
3.896906,19430
3.916906,19446
3.936906,19462
3.956906,19478
3.976906,19494
3.996906,19510
4.016906,19525
4.036906,19541
4.056906,19556
4.076906,19571
4.096906,19586
4.116906,19601
4.136906,19616
4.156906,19631
4.176906,19646
4.196906,19661
4.216906,19675
4.236906,19690
4.256906,19704
4.276906,19718
4.296906,19732
4.316906,19745
4.336906,19758
4.356906,19771
4.376906,19783
4.396906,19795
4.416906,19806
4.436906,19817
4.456906,19828
4.476906,19839
4.496906,19850
4.516906,19860
4.536906,19871
4.556906,19881
4.576906,19891
4.596906,19900
4.616906,19909
4.636906,19918
4.656906,19927
4.676906,19935
4.696906,19944
4.716906,19951
4.735906,19959
4.755906,19967
4.775906,19974
4.795906,19982
4.816906,19989
4.835906,19997
4.855906,20004
4.875906,20012
4.895906,20018
4.915906,20026
4.935906,20033
4.955906,20040
4.976906,20046
4.995906,20053
5.016906,20060
5.035906,20067
5.055906,20073
5.075906,20079
5.095906,20086
5.115906,20093
5.135906,20099
5.155906,20105
5.175906,20112
5.195906,20118
5.215906,20125
5.235906,20132
5.255906,20138
5.275906,20144
5.295906,20150
5.315906,20157
5.335906,20163
5.355906,20169
5.375906,20175
5.395906,20182
5.415906,20188
5.435906,20194
5.455906,20200
5.475906,20206
5.495906,20212
5.515906,20218
5.535906,20224
5.555906,20230
5.575906,20236
5.595906,20242
5.615906,20248
5.635906,20255
5.655906,20261
5.675906,20266
5.695906,20272
5.715906,20278
5.735906,20284
5.755906,20290
5.775906,20296
5.795906,20302
5.815906,20308
5.835906,20313
5.855906,20319
5.875906,20325
5.895906,20331
5.915906,20336
5.935906,20342
5.955906,20349
5.975906,20355
5.995906,20361
6.015906,20367
6.035906,20372
6.055906,20378
6.075906,20384
6.095906,20389
6.115906,20396
6.135906,20402
6.155906,20407
6.175906,20412
6.195906,20418
6.215906,20423
6.235906,20428
6.255906,20433
6.274906,20439
6.295906,20444
6.315906,20449
6.335906,20453
6.355906,20459
6.375906,20464
6.394906,20469
6.415906,20473
6.434906,20478
6.454906,20482
6.474906,20486
6.495906,20490
6.514906,20494
6.534906,20497
6.554906,20501
6.574906,20505
6.594906,20509
6.614906,20513
6.634906,20516
6.654906,20520
6.674906,20524
6.694906,20528
6.714906,20532
6.734906,20536
6.754906,20540
6.774906,20544
6.794906,20548
6.814906,20552
6.834906,20556
6.854906,20560
6.874906,20563
6.894906,20567
6.914906,20570
6.934906,20573
6.954906,20577
6.974906,20580
6.994906,20583
7.014906,20586
7.034906,20589
7.054906,20592
7.074906,20595
7.094906,20599
7.114906,20602
7.134906,20605
7.154906,20608
7.174906,20611
7.194906,20615
7.214906,20617
7.234906,20620
7.254906,20623
7.274906,20627
7.294906,20630
7.314906,20633
7.334906,20636
7.354906,20639
7.374906,20643
7.394906,20646
7.414906,20649
7.434906,20652
7.454906,20655
7.474906,20659
7.494906,20662
7.514906,20665
7.534906,20667
7.554906,20671
7.574906,20674
7.594906,20678
7.614906,20681
7.634906,20685
7.654906,20689
7.674906,20693
7.694906,20698
7.714906,20702
7.734906,20706
7.754906,20711
7.774906,20716
7.794906,20721
7.814906,20726
7.834906,20731
7.854906,20737
7.873906,20743
7.893906,20748
7.914906,20754
7.934906,20760
7.954906,20766
7.974906,20773
7.993906,20781
8.014906,20790
8.034906,20798
8.054906,20807
8.073906,20816
8.094906,20825
8.114906,20833
8.133906,20841
8.154906,20849
8.173906,20857
8.193906,20865
8.214907,20873
