time,RevoPMin
-0.0001875,1495
0.0198125,1493
0.0398125,1493
0.0798125,1477
0.0998125,1477
0.1198125,1473
0.1398125,1464
0.1598125,1456
0.1798125,1454
0.1998125,1451
0.2188125,1439
0.2398125,1439
0.2598125,1459
0.2798125,1463
0.2998125,1463
0.3198125,1462
0.3398125,1468
0.3598125,1476
0.3788125,1485
0.3988125,1485
0.4198125,1487
0.4398125,1481
0.4598125,1475
0.4798125,1465
0.4988125,1465
0.5198125,1470
0.5388125,1466
0.5588125,1452
0.5788125,1446
0.5988125,1450
0.6188125,1442
0.6388125,1432
0.6588125,1430
0.6788125,1432
0.6988125,1427
0.7188125,1424
0.7388125,1415
0.7588125,1417
0.7788125,1415
0.7988125,1412
0.8188125,1406
0.8388125,1408
0.8588125,1410
0.8788125,1410
0.8988125,1404
0.9188125,1406
0.9388125,1415
0.9588125,1415
0.9788125,1407
0.9988125,1407
1.018813,1411
1.038813,1412
1.058812,1409
1.078812,1403
1.098812,1403
1.118812,1402
1.138813,1399
1.158813,1390
1.178813,1389
1.198812,1394
1.218812,1387
1.238812,1388
1.258813,1384
1.278813,1384
1.298813,1386
1.318812,1385
1.338812,1387
1.358812,1393
1.378813,1395
1.398813,1395
1.418813,1399
1.438812,1408
1.458812,1411
1.478812,1411
1.498813,1403
1.518813,1398
1.538813,1388
1.558812,1381
1.578812,1375
1.598812,1371
1.618812,1365
1.638813,1366
1.658813,1366
1.678813,1369
1.698812,1373
1.718812,1374
1.738812,1370
1.758813,1369
1.778813,1368
1.798813,1366
1.818812,1367
1.838812,1367
1.858812,1365
1.878813,1361
1.898813,1359
1.918813,1361
1.937812,1363
1.957813,1368
1.977813,1369
1.997813,1369
2.018812,1366
2.037812,1365
2.057812,1360
2.077812,1358
2.097812,1357
2.117812,1357
2.137813,1356
2.157813,1356
2.177813,1354
2.197813,1351
2.217813,1350
2.237813,1351
2.257813,1353
2.277812,1357
2.297812,1363
2.317812,1368
2.337812,1374
2.357812,1377
2.377812,1378
2.397813,1377
2.417813,1371
2.437813,1369
2.457813,1367
2.477813,1367
2.497813,1366
2.517812,1366
2.537812,1369
2.557812,1372
2.577812,1373
2.597812,1373
2.617812,1372
2.637813,1375
2.657813,1380
2.677813,1382
2.697813,1384
2.717813,1385
2.737813,1387
2.757813,1383
2.777812,1380
2.797812,1378
2.817812,1382
2.837812,1387
2.857812,1390
2.877812,1396
2.897813,1399
2.917813,1402
2.937813,1401
2.957813,1398
2.977813,1396
2.997813,1396
3.017812,1396
3.037812,1399
3.057812,1401
3.077812,1401
3.097812,1403
3.117812,1406
3.137813,1409
3.157813,1410
3.176812,1413
3.196812,1415
3.216813,1418
3.236813,1419
3.256813,1420
3.276813,1420
3.296813,1424
3.316813,1427
3.336812,1429
3.356812,1429
3.376812,1431
3.396812,1433
3.416812,1436
3.436812,1438
3.456812,1441
3.476813,1442
3.496813,1445
3.516813,1448
3.536813,1455
3.556813,1461
3.576813,1463
3.596812,1464
3.616812,1464
3.636812,1465
3.656812,1465
3.676812,1468
3.696812,1469
3.716813,1474
3.736813,1476
3.756813,1479
3.776813,1481
3.796813,1483
3.816813,1478
3.836812,1476
3.856812,1473
3.876812,1475
3.896812,1474
3.916812,1474
3.936812,1473
3.956812,1477
3.976813,1476
3.996813,1476
4.016812,1478
4.036812,1485
4.056812,1489
4.076812,1493
4.096813,1495
4.116813,1499
4.136813,1500
4.156813,1503
4.176813,1504
4.196813,1508
4.216813,1507
4.236813,1509
4.256813,1510
4.276813,1512
4.296813,1511
4.316813,1516
4.336812,1517
4.356812,1521
4.376812,1522
4.396812,1525
4.416812,1524
4.436812,1527
4.456812,1527
4.476812,1528
4.496812,1524
4.516812,1524
4.536812,1521
4.556812,1522
4.576812,1519
4.596813,1521
4.616813,1523
4.636813,1525
4.656813,1523
4.675813,1525
4.695813,1525
4.715813,1529
4.735813,1528
4.755813,1532
4.775813,1531
4.795813,1531
4.815813,1531
4.835813,1527
4.855813,1527
4.875813,1530
4.895813,1535
4.915812,1532
4.935812,1530
4.955812,1533
4.975812,1536
4.995812,1534
5.015812,1532
5.035812,1537
5.055812,1540
5.075812,1536
5.095812,1533
5.115812,1537
