time,SpeedCom
0.00171875,25.15
0.02171875,25.08
0.04171875,25.15
0.08171875,25.12
0.1017188,25.1
0.1217187,25.16
0.1427187,25.15
0.1627187,25.15
0.1817188,25.12
0.2017187,25.08
0.2217187,24.89
0.2417188,24.83
0.2627187,24.83
0.2817188,24.91
0.3017187,24.74
0.3217188,24.77
0.3427188,24.7
0.3627188,24.7
0.3817188,24.7
0.4017187,24.63
0.4217187,24.55
0.4427187,24.59
0.4627188,24.59
0.4817187,24.52
0.5017188,24.34
0.5217187,24.34
0.5417187,24.41
0.5617188,24.41
0.5817187,24.11
0.6017187,24.15
0.6217188,24.18
0.6417187,24.11
0.6617187,24.11
0.6817188,23.97
0.7017187,23.97
0.7217187,23.9
0.7417188,23.79
0.7617188,23.79
0.7817187,23.8
0.8017188,23.73
0.8217188,23.65
0.8427187,23.62
0.8617188,23.62
0.8817188,23.6
0.9017187,23.59
0.9217188,23.55
0.9417188,23.53
0.9627187,23.53
0.9817188,23.55
1.001719,23.41
1.021719,23.48
1.041719,23.46
1.061719,23.46
1.081719,23.49
1.101719,23.24
1.121719,23.27
1.142719,23.24
1.161719,23.24
1.181719,23.12
1.201719,23.07
1.222719,23.03
1.242719,23.05
1.262719,23.05
1.281719,22.98
1.301719,23.02
1.322719,22.98
1.341719,22.96
1.362719,22.96
1.381719,22.95
1.401719,22.86
1.421719,22.78
1.442719,22.84
1.461719,22.84
1.481719,22.88
1.501719,22.95
1.521719,22.77
1.541719,22.84
1.561719,22.84
1.581719,23.07
1.601719,23.14
1.621719,23.19
1.641719,22.68
1.661719,22.68
1.681719,23.02
1.701719,22.57
1.721719,22.78
1.741719,22.91
1.761719,22.91
1.781719,22.65
1.801719,22.84
1.821719,22.66
1.842719,22.72
1.861719,22.72
1.881719,22.77
1.901719,22.75
1.921719,22.8
1.942719,22.84
1.962719,22.84
1.981719,22.86
2.001719,22.71
2.021719,22.61
2.042719,22.72
2.062719,22.72
2.081719,22.8
2.101719,22.77
2.122719,22.73
2.142719,22.5
2.162719,22.5
2.181719,22.57
2.201719,22.55
2.222719,22.65
2.242719,22.64
2.262719,22.64
2.281719,22.68
2.301719,22.78
2.322719,22.91
2.342719,22.88
2.362719,22.88
2.381719,22.84
2.401719,22.88
2.421719,22.79
2.441719,22.8
2.461719,22.8
2.481719,22.8
2.501719,22.91
2.521719,22.91
2.541719,22.95
2.561719,22.95
2.581719,22.98
2.601719,22.96
2.621719,22.91
2.641719,22.96
2.661719,22.96
2.681719,23.02
2.701719,22.95
2.721719,23
2.742719,23.12
2.761719,23.12
2.781719,23.14
2.801719,23.23
2.821719,23.17
2.841719,23.23
2.861719,23.23
2.881719,23.17
2.901719,23.26
2.921719,23.27
2.941719,23.27
2.961719,23.27
2.981719,23.37
3.001719,23.34
3.021719,23.46
3.042719,23.45
3.062719,23.45
3.081719,23.51
3.101719,23.49
3.121719,23.48
3.141719,23.55
3.161719,23.55
3.181719,23.49
3.201719,23.52
3.221719,23.56
3.242719,23.65
3.261719,23.65
3.281719,23.62
3.301719,23.87
3.321719,23.81
3.341719,23.9
3.362719,23.9
3.381719,23.97
3.401719,24.04
3.421719,24.11
3.442719,24.05
3.461719,24.05
3.481719,24.14
3.501719,24.18
3.521719,24.29
3.542719,24.23
3.561719,24.23
3.581719,24.18
3.601719,24.36
3.621719,24.48
3.642719,24.48
3.661719,24.48
3.681719,24.45
3.701719,24.46
3.721719,24.5
3.741719,24.57
3.761719,24.57
3.781719,24.6
3.801719,24.64
3.821719,24.7
3.841719,24.6
3.861719,24.6
3.881719,24.55
3.901719,24.63
3.921719,24.66
3.941719,24.59
3.961719,24.59
3.981719,24.59
4.001719,24.7
4.021719,24.77
4.042719,24.85
4.061719,24.85
4.081719,24.94
4.101719,24.98
4.121719,25.08
4.142719,25.12
4.161719,25.12
4.181719,25.17
4.201719,25.23
4.221719,25.26
4.242719,25.22
4.261719,25.22
4.281719,25.2
4.301719,25.4
4.321719,25.43
4.342719,25.36
4.362719,25.36
4.381719,25.47
4.401719,25.47
4.421719,25.44
4.441719,25.5
4.461719,25.5
4.481719,25.57
4.501719,25.43
4.521719,25.47
4.542719,25.47
4.562719,25.47
4.581719,25.43
4.601719,25.41
4.621719,25.5
4.642719,25.5
4.661719,25.5
4.681719,25.44
4.701719,25.57
4.721719,25.61
4.742719,25.64
4.761719,25.64
4.781719,25.65
4.801719,25.64
4.821719,25.58
4.842719,25.57
4.862719,25.57
4.881719,25.64
4.901719,25.57
4.921719,25.7
4.942719,25.68
4.961719,25.68
4.981719,25.65
