time,WheelAng
0.0004375,-55.475
0.0104375,-56.875
0.0204375,-58.45
0.0304375,-59.85
0.0404375,-61.425
0.0504375,-61.425
0.0604375,-63
0.0804375,-64.4
0.0904375,-65.975
0.1004375,-67.375
0.1104375,-68.95
0.1204375,-70.35
0.1304375,-71.925
0.1404375,-73.5
0.1504375,-73.5
0.1614375,-74.9
0.1704375,-76.475
0.1814375,-76.475
0.1914375,-79.45
0.2014375,-79.45
0.2114375,-80.85
0.2214375,-82.425
0.2314375,-84
0.2414375,-85.4
0.2514375,-86.975
0.2614375,-88.375
0.2714375,-88.375
0.2814375,-91.35
0.2914375,-92.925
0.3014375,-92.925
0.3114375,-94.5
0.3214375,-95.9
0.3314375,-98.875
0.3414375,-100.45
0.3514375,-101.85
0.3614375,-101.85
0.3714375,-105
0.3814375,-106.4
0.3914375,-107.975
0.4014375,-109.375
0.4114375,-110.95
0.4214375,-112.35
0.4314375,-113.925
0.4414375,-115.5
0.4514375,-116.9
0.4614375,-118.475
0.4714375,-119.875
0.4814375,-121.45
0.4914375,-122.85
0.5014375,-124.425
0.5114375,-126
0.5214375,-127.4
0.5314375,-128.975
0.5414375,-130.375
0.5514375,-131.95
0.5614375,-133.35
0.5714375,-133.35
0.5824375,-134.925
0.5924375,-136.5
0.6024375,-136.5
0.6124375,-137.9
0.6224375,-139.475
0.6324375,-139.475
0.6424375,-140.875
0.6524375,-140.875
0.6624375,-142.45
0.6724375,-143.85
0.6824375,-143.85
0.6924375,-143.85
0.7024375,-145.425
0.7124375,-145.425
0.7224375,-145.425
0.7324375,-145.425
0.7424375,-147
0.7524375,-147
0.7624375,-147
0.7724375,-148.4
0.7824375,-148.4
0.7924375,-149.975
0.8024375,-151.375
0.8124375,-151.375
0.8224375,-152.95
0.8324375,-152.95
0.8424375,-154.35
0.8524375,-154.35
0.8624375,-155.925
0.8724375,-157.5
0.8824375,-158.9
0.8924375,-158.9
0.9024375,-160.475
0.9124375,-161.875
0.9224375,-163.45
0.9324375,-163.45
0.9424375,-164.85
0.9524375,-166.425
0.9624375,-168
0.9734375,-168
0.9834375,-170.975
0.9934375,-170.975
1.003438,-172.375
1.013438,-173.95
1.023438,-175.35
1.033437,-176.925
1.043437,-178.5
1.053437,-179.9
1.063437,-179.9
1.073437,-181.475
1.083437,-182.875
1.093438,-184.45
1.103438,-185.85
1.113438,-185.85
1.123438,-185.85
1.133438,-187.425
1.143438,-187.425
1.153437,-189
1.163437,-189
1.173437,-190.4
1.183437,-190.4
1.193437,-190.4
1.203437,-190.4
1.213438,-190.4
1.223438,-190.4
1.233438,-190.4
1.243438,-191.975
1.253438,-191.975
1.263438,-191.975
1.273438,-191.975
1.283437,-191.975
1.293437,-193.375
1.303437,-193.375
1.313437,-193.375
1.324437,-193.375
1.334437,-193.375
1.344437,-193.375
1.354437,-194.95
1.364437,-194.95
1.374437,-194.95
1.384437,-194.95
1.394438,-194.95
1.404438,-196.35
1.414438,-196.35
1.424438,-197.925
1.434438,-197.925
1.444438,-197.925
1.454437,-199.5
1.464437,-199.5
1.474437,-200.9
1.484437,-200.9
1.494437,-200.9
1.504437,-202.475
1.514438,-203.875
1.524438,-203.875
1.534438,-205.45
1.544438,-205.45
1.554438,-206.85
1.564438,-208.425
1.574437,-208.425
1.584437,-210
1.594437,-211.4
1.604437,-211.4
1.614437,-212.975
1.624437,-212.975
1.634437,-214.375
1.644438,-215.95
1.654438,-217.35
1.665437,-217.35
1.675437,-218.925
1.684438,-218.925
1.695438,-220.5
1.704437,-220.5
1.715438,-221.9
1.725438,-223.475
1.734437,-223.475
1.745438,-224.875
1.755437,-224.875
1.765437,-226.45
1.775437,-226.45
1.785437,-226.45
1.795437,-227.85
1.805437,-227.85
1.815438,-227.85
1.825438,-229.425
1.835438,-229.425
1.845438,-229.425
1.855438,-229.425
1.865438,-229.425
1.875437,-229.425
1.885437,-229.425
1.895437,-229.425
1.905437,-229.425
1.915437,-229.425
1.925437,-229.425
1.935437,-227.85
1.945438,-227.85
1.955438,-227.85
1.965438,-227.85
1.975438,-227.85
1.985438,-227.85
1.995438,-227.85
2.005438,-227.85
2.015438,-227.85
2.025438,-227.85
2.035438,-227.85
2.045438,-227.85
2.056437,-227.85
2.065438,-227.85
2.076437,-227.85
2.085438,-227.85
2.095438,-229.425
2.105438,-229.425
2.116437,-229.425
2.125437,-229.425
2.136437,-229.425
2.146437,-229.425
2.156437,-229.425
2.166437,-227.85
2.176438,-227.85
2.186438,-227.85
2.196438,-227.85
2.206438,-227.85
2.216438,-227.85
2.226438,-227.85
2.236438,-227.85
2.246438,-226.45
2.256438,-226.45
2.266438,-226.45
2.276438,-226.45
2.286438,-226.45
2.296438,-226.45
2.306437,-226.45
2.316437,-224.875
2.326437,-224.875
2.336437,-224.875
2.346437,-224.875
2.356437,-223.475
2.366437,-223.475
2.376437,-223.475
2.386437,-221.9
2.396437,-221.9
2.406437,-220.5
2.416437,-220.5
2.426438,-220.5
2.436438,-220.5
2.446438,-218.925
2.456438,-218.925
2.466438,-218.925
2.476438,-217.35
2.486438,-217.35
2.496438,-217.35
2.506438,-215.95
2.516438,-215.95
2.526438,-215.95
2.537437,-214.375
2.547437,-214.375
2.557437,-212.975
2.567437,-212.975
2.577437,-212.975
2.587437,-211.4
2.597437,-211.4
2.607438,-210
2.617438,-210
2.627438,-208.425
2.637438,-208.425
2.647438,-208.425
2.657438,-206.85
2.667438,-206.85
2.677438,-206.85
2.687438,-206.85
2.697438,-205.45
2.707438,-205.45
2.717438,-205.45
2.727437,-203.875
2.737437,-203.875
2.747437,-203.875
2.757437,-203.875
2.767437,-202.475
2.777437,-200.9
2.787437,-200.9
2.797437,-199.5
2.807437,-199.5
2.817437,-197.925
2.827437,-197.925
2.837437,-194.95
2.847437,-194.95
2.857438,-193.375
2.867438,-191.975
2.877438,-190.4
2.887438,-187.425
2.897438,-185.85
2.907438,-184.45
2.918437,-182.875
2.928437,-181.475
2.938437,-179.9
2.948437,-178.5
2.958437,-175.35
2.968437,-173.95
2.978437,-172.375
2.988437,-170.975
2.998437,-168
3.008437,-166.425
3.018437,-164.85
3.028438,-163.45
3.038438,-160.475
3.048438,-158.9
3.058438,-155.925
3.068438,-154.35
3.078438,-151.375
3.088438,-149.975
3.098438,-147
3.108438,-145.425
3.118438,-143.85
3.128438,-140.875
3.138438,-137.9
3.148438,-136.5
3.158437,-133.35
3.168437,-131.95
3.178437,-128.975
3.188437,-126
3.198437,-124.425
3.208437,-121.45
3.218437,-119.875
3.228437,-116.9
3.238437,-115.5
3.248437,-112.35
3.258437,-110.95
3.268437,-107.975
3.278438,-106.4
3.288438,-105
3.299438,-101.85
3.309438,-100.45
3.319438,-98.875
3.329437,-95.9
3.339437,-94.5
3.349437,-94.5
3.359437,-92.925
3.369437,-91.35
3.379437,-88.375
3.389437,-88.375
3.399437,-86.975
3.409437,-85.4
3.419437,-84
3.429437,-82.425
3.439437,-80.85
3.449438,-79.45
3.459438,-79.45
3.469438,-77.875
3.479438,-76.475
3.489438,-74.9
3.499438,-73.5
3.509438,-73.5
3.519438,-71.925
3.529438,-71.925
3.539438,-68.95
3.549438,-68.95
3.559438,-67.375
3.569438,-67.375
3.579437,-64.4
3.589437,-64.4
3.599437,-63
3.609437,-61.425
3.619437,-61.425
3.629437,-59.85
3.639437,-58.45
3.649437,-56.875
3.659437,-55.475
3.669437,-53.9
3.679437,-52.5
3.689437,-50.925
3.700438,-49.35
3.710438,-47.95
3.720438,-46.375
3.730438,-44.975
3.740438,-43.4
3.750437,-42
3.760437,-40.425
3.770437,-38.85
3.780437,-37.45
3.790437,-35.875
3.800437,-34.475
3.810437,-34.475
3.820437,-32.9
3.830437,-31.5
3.840437,-29.925
3.850437,-28.35
3.860437,-28.35
3.870437,-26.95
3.880438,-25.375
3.890438,-23.975
3.900438,-23.975
3.910438,-22.4
3.920438,-22.4
3.930438,-22.4
3.940438,-21
3.950438,-21
3.960438,-19.425
3.970438,-19.425
3.980438,-19.425
3.990438,-17.85
4.000438,-17.85
4.010437,-16.45
4.020438,-16.45
4.030437,-16.45
4.040438,-14.875
4.051437,-14.875
4.061438,-14.875
4.070437,-14.875
4.080438,-14.875
4.091437,-13.475
4.101438,-13.475
4.111437,-13.475
4.121438,-13.475
4.131437,-13.475
4.141438,-13.475
4.151437,-13.475
4.161438,-13.475
4.171437,-13.475
4.181437,-13.475
4.191438,-13.475
4.201437,-13.475
4.211438,-13.475
4.221437,-13.475
4.231438,-13.475
4.241437,-13.475
4.251438,-13.475
4.261437,-13.475
4.271438,-13.475
4.281437,-13.475
4.291438,-13.475
4.301437,-13.475
4.311438,-13.475
4.321437,-11.9
4.331438,-11.9
4.341437,-11.9
4.351438,-11.9
4.361437,-11.9
4.371438,-11.9
4.381437,-10.5
4.391438,-10.5
4.401437,-10.5
4.411438,-10.5
4.421437,-10.5
4.431437,-10.5
4.441438,-10.5
4.451437,-10.5
4.461438,-10.5
4.472437,-10.5
4.482438,-10.5
4.492437,-10.5
4.502438,-10.5
4.512437,-10.5
4.522438,-10.5
4.532437,-10.5
4.542438,-10.5
4.552437,-10.5
4.562438,-10.5
4.572437,-10.5
4.582438,-10.5
4.592437,-10.5
4.602437,-10.5
4.612438,-11.9
4.622437,-11.9
4.632438,-11.9
4.642437,-11.9
4.652438,-11.9
4.662437,-11.9
4.672438,-11.9
4.682437,-11.9
4.692438,-11.9
4.702437,-11.9
4.712438,-11.9
4.722437,-11.9
4.732438,-11.9
4.742437,-11.9
4.752438,-11.9
4.762437,-11.9
4.772438,-11.9
4.782437,-11.9
4.792438,-11.9
4.802437,-11.9
4.812438,-11.9
4.823438,-11.9
4.832438,-11.9
4.842437,-11.9
4.852437,-11.9
4.863438,-11.9
4.873437,-11.9
4.883438,-11.9
4.893437,-11.9
4.903438,-10.5
4.913437,-10.5
4.923438,-10.5
4.933437,-10.5
4.943438,-10.5
4.953437,-10.5
4.963438,-10.5
4.973437,-10.5
4.983438,-10.5
4.993437,-10.5
5.003438,-10.5
5.013437,-10.5
5.023438,-10.5
5.033438,-10.5
5.043437,-10.5
5.053438,-10.5
5.063437,-10.5
5.073438,-10.5
5.083437,-10.5
5.093438,-10.5
5.103437,-10.5
5.113438,-10.5
5.123437,-10.5
5.133438,-10.5
5.143437,-10.5
5.153438,-10.5
5.164437,-10.5
5.173438,-10.5
5.184437,-10.5
5.193438,-10.5
5.204438,-10.5
5.214437,-10.5
5.224438,-10.5
5.234437,-10.5
5.244438,-10.5
5.254437,-10.5
5.264438,-10.5
5.274437,-10.5
5.284438,-10.5
5.294437,-10.5
5.304438,-10.5
5.314437,-10.5
5.324438,-10.5
5.334437,-10.5
5.344438,-10.5
5.354437,-10.5
5.364438,-10.5
5.374437,-10.5
5.384438,-10.5
5.394437,-10.5
5.404438,-10.5
5.414437,-10.5
5.424438,-10.5
5.434437,-10.5
5.444438,-10.5
5.454438,-10.5
5.464437,-10.5
5.474438,-10.5
5.484437,-10.5
5.494438,-10.5
5.504437,-10.5
5.514438,-10.5
5.524437,-10.5
5.534438,-10.5
5.544437,-10.5
5.554438,-10.5
5.564437,-10.5
5.575438,-10.5
5.584437,-10.5
5.595438,-10.5
5.604437,-10.5
5.614438,-10.5
5.624437,-10.5
5.635437,-10.5
5.645438,-10.5
5.655437,-10.5
5.665438,-10.5
5.675437,-10.5
5.685438,-10.5
5.695437,-10.5
5.705438,-10.5
5.715437,-10.5
5.725438,-10.5
5.735437,-10.5
5.745438,-10.5
5.755437,-10.5
5.765438,-10.5
5.775437,-10.5
5.785438,-10.5
5.795437,-10.5
5.805438,-10.5
5.815437,-10.5
5.825438,-10.5
5.835437,-10.5
5.845438,-10.5
5.855437,-10.5
5.865438,-10.5
5.875438,-10.5
5.885437,-10.5
5.895438,-10.5
5.905437,-10.5
5.915438,-10.5
5.925437,-10.5
5.935438,-10.5
5.945437,-10.5
5.955438,-10.5
5.965437,-10.5
5.975438,-10.5
5.985437,-10.5
5.995438,-10.5
6.005437,-10.5
6.015438,-10.5
6.026437,-10.5
6.036438,-10.5
6.046437,-10.5
6.056437,-10.5
6.066438,-10.5
6.076437,-10.5
6.086438,-10.5
6.096437,-10.5
6.106438,-10.5
6.116437,-10.5
6.126438,-10.5
6.136437,-10.5
6.146438,-10.5
6.156437,-10.5
6.166438,-10.5
6.176437,-10.5
6.186438,-10.5
6.196437,-8.925
6.206438,-8.925
6.216437,-8.925
6.226438,-8.925
6.236437,-8.925
6.246438,-8.925
6.256437,-8.925
6.266438,-8.925
6.276437,-8.925
6.286438,-8.925
6.296437,-8.925
6.306437,-8.925
6.316438,-8.925
6.326437,-8.925
6.336438,-7.35
6.346437,-7.35
6.356438,-7.35
6.366437,-7.35
6.377438,-7.35
6.386437,-7.35
6.397438,-7.35
6.406437,-7.35
6.417438,-7.35
6.427437,-7.35
6.437438,-7.35
6.447437,-7.35
6.457438,-7.35
6.467437,-5.95
6.477437,-5.95
6.487438,-5.95
6.497437,-5.95
6.507438,-5.95
6.517437,-5.95
6.527438,-5.95
6.537437,-4.375
6.547438,-4.375
6.557437,-4.375
6.567438,-4.375
6.577437,-4.375
6.587438,-4.375
6.597437,-4.375
6.607438,-4.375
6.617437,-4.375
6.627438,-4.375
6.637437,-4.375
6.647438,-4.375
6.657437,-4.375
6.667438,-4.375
6.677437,-4.375
6.687438,-4.375
6.697437,-4.375
6.707438,-4.375
6.717437,-4.375
6.727437,-4.375
6.737438,-4.375
6.747437,-4.375
6.757438,-4.375
6.767437,-4.375
6.777438,-4.375
6.787437,-2.975
6.797438,-2.975
6.808437,-2.975
6.818438,-2.975
6.828437,-2.975
6.838438,-2.975
6.848437,-2.975
6.858438,-2.975
6.868437,-2.975
6.878438,-2.975
6.888437,-2.975
6.898438,-1.4
6.908438,-1.4
6.918437,-1.4
6.928438,-1.4
6.938437,-1.4
6.948438,-1.4
6.958437,-1.4
6.968438,-1.4
6.978437,0
6.988438,0
6.998437,0
7.008438,0
7.018437,0
7.028438,0
7.038437,1.4
7.048438,1.4
7.058437,2.975
7.068438,2.975
7.078437,2.975
7.088438,4.375
7.098437,4.375
7.108438,5.95
7.118437,7.35
7.128438,7.35
7.138437,8.925
7.148438,8.925
7.158438,10.5
7.168437,10.5
7.178438,11.9
7.188437,13.475
7.199438,14.875
7.209437,16.45
7.219438,17.85
7.229437,17.85
7.239438,21
7.249437,22.4
7.259438,23.975
7.269437,23.975
7.279438,25.375
7.289437,28.35
7.299438,29.925
7.309437,31.5
7.319438,34.475
7.329438,35.875
7.339437,37.45
7.349438,38.85
7.359437,42
7.369438,43.4
7.379437,46.375
7.389438,49.35
7.399437,50.925
7.409438,53.9
7.419437,56.875
7.429438,58.45
7.439437,61.425
7.449438,64.4
7.459437,67.375
7.469438,70.35
7.479437,71.925
7.489438,74.9
7.499437,77.875
7.509438,80.85
7.519437,82.425
7.529438,85.4
7.539437,88.375
7.549438,91.35
7.559437,94.5
7.569438,95.9
7.579438,98.875
7.590437,100.45
7.600438,103.425
7.610437,106.4
7.620438,107.975
7.630437,109.375
7.640438,112.35
7.650437,113.925
7.660438,115.5
7.670437,118.475
7.680438,119.875
7.690437,121.45
7.700438,124.425
7.710437,126
7.720438,127.4
7.730437,128.975
7.740438,130.375
7.750438,133.35
7.760437,133.35
7.770438,134.925
7.780437,136.5
7.790438,139.475
7.800437,140.875
7.810438,142.45
7.820437,142.45
7.830438,143.85
7.840437,147
7.850438,148.4
7.860437,149.975
7.870438,151.375
7.880437,154.35
7.890438,155.925
7.900437,157.5
7.910438,160.475
7.921437,161.875
7.930438,164.85
7.940437,166.425
7.950438,168
7.961438,170.975
7.971437,173.95
7.981438,175.35
7.991437,178.5
8.001437,181.475
8.011437,182.875
8.021438,185.85
8.031438,187.425
8.041437,190.4
8.051437,191.975
8.061438,194.95
8.071438,196.35
8.081437,199.5
8.091437,200.9
8.101438,203.875
8.111438,205.45
8.121437,208.425
8.131437,211.4
8.141438,212.975
8.151438,214.375
8.161437,217.35
8.171437,220.5
8.181437,223.475
8.191438,224.875
8.201438,227.85
8.211437,229.425
8.221437,232.4
8.231438,233.975
8.241438,236.95
8.251437,238.35
8.261437,239.925
8.271438,241.5
8.281438,244.475
8.291437,245.875
8.301437,247.45
8.311438,248.85
8.321438,250.425
8.331437,252
8.341437,253.4
8.351438,254.975
8.361438,256.375
8.372437,257.95
8.382438,257.95
8.392438,259.35
8.402437,260.925
8.412437,260.925
8.422438,262.5
8.432438,263.9
8.442437,263.9
8.452437,263.9
8.462438,265.475
8.472438,265.475
8.482437,265.475
8.492437,265.475
8.502438,266.875
8.512438,266.875
8.522437,266.875
8.532437,266.875
8.542438,266.875
8.552438,266.875
8.562437,266.875
8.572437,268.45
8.582438,268.45
8.592438,268.45
8.602438,268.45
8.612437,268.45
8.622437,269.85
8.632438,269.85
8.642438,271.425
8.652437,271.425
8.662437,271.425
8.672438,271.425
8.682438,273
8.692437,273
8.702437,273
8.712438,274.4
8.722438,274.4
8.732437,274.4
8.742437,275.975
8.753437,275.975
8.763437,277.375
8.773438,277.375
8.783438,277.375
8.793438,277.375
8.803437,278.95
8.813437,278.95
8.823438,278.95
8.833438,278.95
8.843437,278.95
8.853437,278.95
8.863438,280.35
8.873438,280.35
8.883437,280.35
8.893437,280.35
8.903438,280.35
8.913438,280.35
8.923437,280.35
8.933437,280.35
8.943438,280.35
8.953438,280.35
8.963437,280.35
8.973437,280.35
8.983438,280.35
8.993438,280.35
9.003437,280.35
9.013437,280.35
9.023438,280.35
9.033438,280.35
9.043438,280.35
9.053437,280.35
9.063437,280.35
9.073438,280.35
9.084437,280.35
9.094438,280.35
9.103437,280.35
9.114437,280.35
9.124437,280.35
9.134438,280.35
9.144438,280.35
9.154437,280.35
9.164437,280.35
9.174438,280.35
9.184438,280.35
9.194437,280.35
9.204437,280.35
9.214437,280.35
9.224438,280.35
9.234438,280.35
9.244437,280.35
9.254437,280.35
9.264438,280.35
9.274438,280.35
9.284437,280.35
9.294437,278.95
9.304438,278.95
9.314438,278.95
9.324437,278.95
9.334437,278.95
9.344438,278.95
9.354438,277.375
9.364437,277.375
9.374437,277.375
9.384438,277.375
9.394438,275.975
9.404437,275.975
9.414437,275.975
9.424438,274.4
9.434438,274.4
9.444437,274.4
9.454437,273
9.464437,273
9.475437,273
9.484438,273
9.495438,271.425
9.504437,271.425
9.515437,269.85
9.524438,269.85
9.535438,268.45
9.545438,268.45
9.555437,266.875
9.565437,265.475
9.575438,265.475
9.585438,263.9
9.595437,262.5
9.605437,260.925
9.615438,259.35
9.625438,257.95
9.635438,256.375
9.645437,254.975
9.655437,253.4
9.665438,252
9.675438,250.425
9.685437,247.45
9.695437,245.875
9.705438,244.475
9.715438,241.5
9.725437,239.925
9.735437,238.35
9.745438,235.375
9.755438,233.975
9.765437,231
9.775437,227.85
9.785438,226.45
9.795438,223.475
9.805437,220.5
9.815437,218.925
9.825438,215.95
9.835438,212.975
9.845437,210
9.855437,206.85
9.865438,205.45
9.875438,202.475
9.885438,199.5
9.895437,196.35
9.905437,194.95
9.915438,191.975
9.926437,189
9.936438,185.85
9.946438,182.875
9.956437,181.475
9.966437,178.5
9.976438,175.35
9.986438,173.95
9.996437,170.975
10.00644,168
10.01644,164.85
10.02644,161.875
10.03644,160.475
10.04644,157.5
10.05644,154.35
10.06644,151.375
10.07644,148.4
10.08644,145.425
10.09644,142.45
10.10644,140.875
10.11644,137.9
10.12644,134.925
10.13644,131.95
10.14644,128.975
10.15644,126
10.16644,122.85
10.17644,121.45
10.18644,116.9
10.19644,115.5
10.20644,112.35
10.21644,109.375
10.22644,106.4
10.23644,103.425
10.24644,101.85
10.25644,98.875
10.26644,95.9
10.27644,94.5
10.28644,91.35
10.29644,88.375
10.30744,86.975
10.31744,84
10.32744,80.85
10.33744,79.45
10.34744,76.475
10.35744,74.9
10.36744,71.925
10.37744,70.35
10.38744,68.95
10.39744,65.975
10.40744,64.4
10.41744,63
10.42744,61.425
10.43744,58.45
10.44744,56.875
10.45744,55.475
10.46744,53.9
10.47744,52.5
10.48744,50.925
10.49744,49.35
10.50744,49.35
10.51744,47.95
10.52744,44.975
10.53744,44.975
10.54744,43.4
10.55744,42
10.56744,42
10.57744,40.425
10.58744,38.85
10.59744,37.45
10.60744,37.45
10.61744,35.875
10.62744,35.875
10.63744,34.475
10.64744,34.475
10.65744,31.5
10.66744,31.5
10.67744,29.925
10.68744,29.925
10.69844,29.925
10.70844,28.35
10.71844,28.35
10.72844,26.95
10.73844,25.375
10.74844,25.375
10.75844,25.375
10.76844,23.975
10.77844,23.975
10.78844,23.975
10.79844,22.4
10.80844,22.4
10.81844,22.4
10.82844,21
10.83844,21
10.84844,21
10.85844,21
10.86844,19.425
10.87844,17.85
10.88844,17.85
10.89844,17.85
10.90844,16.45
10.91844,16.45
10.92844,16.45
10.93844,14.875
10.94844,14.875
10.95844,14.875
10.96844,14.875
10.97844,13.475
10.98844,13.475
10.99844,13.475
11.00844,13.475
11.01844,11.9
11.02844,11.9
11.03844,11.9
11.04844,11.9
11.05844,11.9
11.06844,11.9
11.07844,11.9
11.08944,11.9
11.09944,11.9
11.10944,11.9
11.11944,11.9
11.12944,11.9
11.13944,11.9
11.14944,11.9
11.15944,11.9
11.16944,11.9
11.17944,11.9
11.18944,11.9
11.19944,11.9
11.20944,11.9
11.21944,11.9
11.22944,11.9
11.23944,10.5
11.24944,10.5
11.25944,10.5
11.26944,10.5
11.27944,10.5
11.28944,10.5
11.29944,10.5
11.30944,10.5
11.31944,8.925
11.32944,8.925
11.33944,8.925
11.34944,8.925
11.35944,8.925
11.36944,8.925
11.37944,8.925
11.38944,7.35
11.39944,7.35
11.40944,7.35
11.41944,7.35
11.43044,7.35
11.44044,7.35
11.45044,7.35
11.46044,5.95
11.46944,5.95
11.48044,5.95
11.49044,5.95
11.50044,5.95
11.51044,5.95
11.52044,5.95
11.53044,5.95
11.54044,5.95
11.55044,5.95
11.56044,5.95
11.57044,5.95
11.58044,5.95
11.59044,5.95
11.60044,5.95
11.61044,5.95
11.62044,5.95
11.63044,5.95
11.64044,5.95
11.65044,5.95
11.66044,5.95
11.67044,5.95
11.68044,5.95
11.69044,5.95
11.70044,5.95
11.71044,5.95
11.72044,5.95
11.73044,5.95
11.74044,5.95
11.75044,5.95
11.76044,5.95
11.77044,4.375
11.78044,4.375
11.79044,4.375
11.80044,4.375
11.81044,4.375
11.82044,4.375
11.83044,4.375
11.84044,4.375
11.85044,4.375
11.86044,4.375
11.87144,4.375
11.88144,4.375
11.89144,4.375
11.90144,4.375
11.91144,4.375
11.92144,4.375
11.93144,2.975
11.94144,2.975
11.95144,2.975
11.96144,2.975
11.97144,2.975
11.98144,2.975
11.99144,2.975
12.00144,2.975
12.01144,2.975
12.02144,1.4
12.03144,1.4
12.04144,1.4
12.05144,1.4
12.06144,1.4
12.07144,1.4
12.08144,1.4
12.09144,0
12.10144,0
12.11144,0
12.12144,0
12.13144,0
12.14144,0
12.15144,0
12.16144,0
12.17144,0
12.18144,0
12.19144,0
12.20144,0
12.21144,0
12.22144,0
12.23144,0
12.24144,0
12.25144,0
12.26244,0
12.27244,0
12.28244,0
12.29244,0
12.30244,0
12.31244,0
12.32244,0
12.33244,0
12.34244,0
12.35244,0
12.36244,0
12.37244,0
12.38244,0
12.39244,0
12.40244,0
12.41244,0
12.42244,0
12.43244,0
12.44244,0
12.45244,0
12.46244,0
12.47244,0
12.48244,0
12.49244,0
12.50244,0
12.51244,0
12.52244,0
12.53244,0
12.54244,0
12.55344,0
12.56344,0
12.57344,0
12.58344,0
12.59244,0
12.60344,0
12.61244,0
12.62244,0
12.63244,0
12.64344,0
12.65344,0
12.66344,0
12.67344,0
12.68344,0
12.69344,0
12.70344,0
12.71344,0
12.72344,0
12.73344,0
12.74344,0
12.75344,0
12.76344,0
12.77344,0
12.78344,0
12.79344,0
12.80344,0
12.81344,0
12.82344,0
12.83344,0
12.84344,0
12.85344,0
12.86344,0
12.87344,0
12.88344,0
12.89344,0
12.90344,0
12.91344,0
12.92344,0
12.93344,1.4
12.94344,1.4
12.95344,2.975
12.96344,2.975
12.97344,2.975
12.98344,4.375
12.99344,4.375
13.00444,4.375
13.01344,4.375
13.02444,5.95
13.03444,5.95
13.04444,5.95
13.05444,7.35
13.06444,7.35
13.07444,7.35
13.08444,7.35
13.09444,7.35
13.10444,7.35
13.11444,7.35
13.12444,7.35
13.13444,7.35
13.14444,7.35
13.15444,7.35
13.16444,7.35
13.17444,7.35
13.18444,7.35
13.19444,7.35
13.20444,7.35
13.21444,7.35
13.22444,7.35
13.23444,7.35
13.24444,7.35
13.25444,7.35
13.26444,7.35
