ID_quantity;quantity_n ame;adress;byte;bit;range_unit;normalization;abbreviation
1;Revolutions per minute;280h;3...4;0...15;0...16256 1/min;0.25;RevoPMin
2;Accelerator pedal position;280h;6;0...7;0...101,6 %;0.40;AccPedal
3;Desired torque;280h;8;0...7;0...99,06 %MDI;0.39;DeTorque
4;Accelerator signal;380h;3;0...7;0...101,6 %;0.40;AccSignl
5;Fuel consumption;480h;3...4;0...14;0...32767 µl;1.00;FuelCons
6;GRA acceleration;488h;5;0...7;-3,984...2,112 m/s?;0.024;GRAAccel
7;Accelerator pedal position D (PID 49);488h;7;0...7;0...100 %;0.3921;AccPed2D
8;Side acceleration;5A0h;1;0...7;-1,27...1,27 g;0.01;SideAccl
9;Degree of deviation;4A8h;1...2;0...13;0...100 °/s;0.01;DegOfDev
10;Fuel tank volume;320h;3;0...6;0...126 l;1.00;FuelTank
11;Speed (combinated);320h;4...5;1...15;0...326 km/h;0.01;SpeedCom
12;Displayed speed;320h;6...7;6...15;0...325 km/h;0.32;DisSpeed
13;Outside temperature;420h;2;0...7;-50...77 °C;0.50;OutsTemp
14;Traveled kilometrs;520h;6...8;0...19;0...1000000 km;1.00;TravelKM
15;Steering wheel angle;0C2h;1...2;0...1415;0...1433,55625 °;0.04375;WheelAng
16;Turning speed of wheel;0C2h;3...4;0...1415;0...1433,55625 °/s;0.04375;WheelSpd
17;Operation time;520h;4...5;0...14;0...131068 s;4.00;OperTime
