time,WheelSpd
0.0004375,-89.95
0.0104375,-105
0.0204375,-105
0.0304375,-105
0.0404375,-119.875
0.0504375,-105
0.0604375,-119.875
0.0804375,-105
0.0904375,-105
0.1004375,-119.875
0.1104375,-119.875
0.1204375,-119.875
0.1304375,-119.875
0.1404375,-119.875
0.1504375,-119.875
0.1614375,-119.875
0.1704375,-119.875
0.1814375,-119.875
0.1914375,-134.925
0.2014375,-119.875
0.2114375,-119.875
0.2214375,-119.875
0.2314375,-119.875
0.2414375,-119.875
0.2514375,-134.925
0.2614375,-134.925
0.2714375,-119.875
0.2814375,-149.975
0.2914375,-134.925
0.3014375,-134.925
0.3114375,-134.925
0.3214375,-134.925
0.3314375,-149.975
0.3414375,-149.975
0.3514375,-149.975
0.3614375,-134.925
0.3714375,-164.85
0.3814375,-149.975
0.3914375,-149.975
0.4014375,-164.85
0.4114375,-164.85
0.4214375,-164.85
0.4314375,-149.975
0.4414375,-149.975
0.4514375,-149.975
0.4614375,-164.85
0.4714375,-149.975
0.4814375,-149.975
0.4914375,-149.975
0.5014375,-149.975
0.5114375,-149.975
0.5214375,-149.975
0.5314375,-149.975
0.5414375,-149.975
0.5514375,-149.975
0.5614375,-149.975
0.5714375,-134.925
0.5824375,-134.925
0.5924375,-134.925
0.6024375,-119.875
0.6124375,-119.875
0.6224375,-119.875
0.6324375,-105
0.6424375,-105
0.6524375,-89.95
0.6624375,-89.95
0.6724375,-105
0.6824375,-89.95
0.6924375,-74.9
0.7024375,-89.95
0.7124375,-74.9
0.7224375,-59.85
0.7324375,-59.85
0.7424375,-59.85
0.7524375,-59.85
0.7624375,-44.975
0.7724375,-44.975
0.7824375,-44.975
0.7924375,-59.85
0.8024375,-59.85
0.8124375,-59.85
0.8224375,-74.9
0.8324375,-74.9
0.8424375,-74.9
0.8524375,-74.9
0.8624375,-89.95
0.8724375,-89.95
0.8824375,-105
0.8924375,-89.95
0.9024375,-89.95
0.9124375,-105
0.9224375,-105
0.9324375,-105
0.9424375,-105
0.9524375,-119.875
0.9624375,-119.875
0.9734375,-105
0.9834375,-119.875
0.9934375,-119.875
1.003438,-119.875
1.013438,-119.875
1.023438,-119.875
1.033437,-134.925
1.043437,-134.925
1.053437,-134.925
1.063437,-119.875
1.073437,-134.925
1.083437,-119.875
1.093438,-134.925
1.103438,-134.925
1.113438,-119.875
1.123438,-105
1.133438,-105
1.143438,-89.95
1.153437,-89.95
1.163437,-89.95
1.173437,-89.95
1.183437,-74.9
1.193437,-59.85
1.203437,-44.975
1.213438,-44.975
1.223438,-44.975
1.233438,-29.925
1.243438,-44.975
1.253438,-29.925
1.263438,-29.925
1.273438,-14.875
1.283437,-14.875
1.293437,-29.925
1.303437,-29.925
1.313437,-29.925
1.324437,-29.925
1.334437,-29.925
1.344437,-14.875
1.354437,-29.925
1.364437,-29.925
1.374437,-29.925
1.384437,-29.925
1.394438,-14.875
1.404438,-29.925
1.414438,-29.925
1.424438,-44.975
1.434438,-44.975
1.444438,-44.975
1.454437,-44.975
1.464437,-44.975
1.474437,-59.85
1.484437,-59.85
1.494437,-59.85
1.504437,-59.85
1.514438,-74.9
1.524438,-59.85
1.534438,-74.9
1.544438,-74.9
1.554438,-74.9
1.564438,-89.95
1.574437,-74.9
1.584437,-89.95
1.594437,-105
1.604437,-89.95
1.614437,-89.95
1.624437,-89.95
1.634437,-89.95
1.644438,-105
1.654438,-105
1.665437,-89.95
1.675437,-105
1.684438,-89.95
1.695438,-89.95
1.704437,-89.95
1.715438,-89.95
1.725438,-105
1.734437,-89.95
1.745438,-89.95
1.755437,-74.9
1.765437,-89.95
1.775437,-74.9
1.785437,-74.9
1.795437,-74.9
1.805437,-74.9
1.815438,-59.85
1.825438,-59.85
1.835438,-59.85
1.845438,-44.975
1.855438,-44.975
1.865438,-29.925
1.875437,-29.925
1.885437,-29.925
1.895437,-14.875
1.905437,-14.875
1.915437,-14.875
1.925437,0
1.935437,0
1.945438,0
1.955438,0
1.965438,0
1.975438,0
1.985438,0
1.995438,0
2.005438,0
2.015438,0
2.025438,0
2.035438,0
2.045438,0
2.056437,0
2.065438,0
2.076437,0
2.085438,0
2.095438,-14.875
2.105438,-14.875
2.116437,-14.875
2.125437,-14.875
2.136437,-14.875
2.146437,-14.875
2.156437,-14.875
2.166437,0
2.176438,0
2.186438,0
2.196438,0
2.206438,0
2.216438,0
2.226438,0
2.236438,0
2.246438,14.875
2.256438,14.875
2.266438,14.875
2.276438,14.875
2.286438,14.875
2.296438,14.875
2.306437,14.875
2.316437,29.925
2.326437,29.925
2.336437,29.925
2.346437,14.875
2.356437,29.925
2.366437,29.925
2.376437,29.925
2.386437,44.975
2.396437,44.975
2.406437,59.85
2.416437,44.975
2.426438,44.975
2.436438,44.975
2.446438,59.85
2.456438,44.975
2.466438,44.975
2.476438,59.85
2.486438,44.975
2.496438,44.975
2.506438,44.975
2.516438,44.975
2.526438,44.975
2.537437,59.85
2.547437,44.975
2.557437,59.85
2.567437,59.85
2.577437,44.975
2.587437,59.85
2.597437,59.85
2.607438,59.85
2.617438,59.85
2.627438,74.9
2.637438,59.85
2.647438,59.85
2.657438,59.85
2.667438,59.85
2.677438,59.85
2.687438,44.975
2.697438,59.85
2.707438,44.975
2.717438,44.975
2.727437,44.975
2.737437,44.975
2.747437,44.975
2.757437,29.925
2.767437,44.975
2.777437,59.85
2.787437,59.85
2.797437,59.85
2.807437,59.85
2.817437,74.9
2.827437,59.85
2.837437,89.95
2.847437,89.95
2.857438,105
2.867438,105
2.877438,105
2.887438,134.925
2.897438,134.925
2.907438,149.975
2.918437,149.975
2.928437,164.85
2.938437,149.975
2.948437,164.85
2.958437,179.9
2.968437,179.9
2.978437,179.9
2.988437,164.85
2.998437,179.9
3.008437,179.9
3.018437,179.9
3.028438,179.9
3.038438,194.95
3.048438,194.95
3.058438,194.95
3.068438,194.95
3.078438,210
3.088438,210
3.098438,210
3.108438,210
3.118438,210
3.128438,224.875
3.138438,224.875
3.148438,224.875
3.158437,224.875
3.168437,224.875
