time,AccPed2D
-0.0013125,99.9855
0.0186875,99.9855
0.0386875,99.9855
0.0586875,99.9855
0.0786875,20.3892
0.0986875,94.8882
0.1186875,26.6628
0.1386875,0
0.1586875,99.9855
0.1786875,99.9855
0.1986875,99.9855
0.2186875,99.9855
0.2386875,99.9855
0.2586875,99.9855
0.2786875,99.9855
0.2986875,99.9855
0.3186875,99.9855
0.3386875,99.9855
0.3586875,99.9855
0.3786875,99.9855
0.3986875,20.7813
0.4186875,94.8882
0.4386875,26.6628
0.4586875,0
0.4786875,99.9855
0.4986875,99.9855
0.5186875,99.9855
0.5386875,99.9855
0.5586875,99.9855
0.5786875,99.9855
0.5986875,99.9855
0.6186875,99.9855
0.6386875,99.9855
0.6586875,99.9855
0.6786875,99.9855
0.6986875,99.9855
0.7186875,21.5655
0.7386875,94.8882
0.7586875,26.6628
0.7786875,0
0.7986875,99.9855
0.8186875,99.9855
0.8386875,99.9855
0.8586875,99.9855
0.8786875,99.9855
0.8986875,99.9855
0.9186875,99.9855
0.9386875,99.9855
0.9586875,99.9855
0.9776875,99.9855
0.9976875,99.9855
1.017688,99.9855
1.037688,21.5655
1.057688,94.8882
1.077688,26.6628
1.097687,0
1.117687,99.9855
1.137687,99.9855
1.157688,99.9855
1.177688,99.9855
1.197688,99.9855
1.217687,99.9855
1.237687,99.9855
1.257687,99.9855
1.277688,99.9855
1.297688,99.9855
1.317688,99.9855
1.337687,99.9855
1.357687,20.7813
1.377687,94.8882
1.397688,26.6628
1.417688,0
1.437688,99.9855
1.457687,99.9855
1.477687,99.9855
1.497687,99.9855
1.517688,99.9855
1.537688,99.9855
1.557688,99.9855
1.577688,99.9855
1.597687,99.9855
1.617687,99.9855
1.637687,99.9855
1.657688,99.9855
1.677688,21.1734
1.697688,94.8882
1.717687,26.6628
1.737687,0
1.757687,99.9855
1.777688,99.9855
1.797688,99.9855
1.817688,99.9855
1.837687,99.9855
1.857687,99.9855
1.877687,99.9855
1.897688,99.9855
1.917688,99.9855
1.937688,99.9855
1.957687,99.9855
