time,DegOfDev
0.00059375,0.71
0.02059375,0.67
0.04059375,0.67
0.06059375,0.71
0.08059375,0.66
0.1005938,0.67
0.1205937,0.67
0.1405938,0.67
0.1605937,0.67
0.1805937,0.69
0.2005938,0.67
0.2205938,0.67
0.2405937,0.67
0.2605937,0.67
0.2805938,0.67
0.3005938,0.73
0.3205937,0.67
0.3405938,0.67
0.3605937,0.67
0.3805937,0.67
0.4005938,0.67
0.4205937,0.66
0.4405937,0.67
0.4605938,0.67
0.4805937,0.73
0.5005937,0.67
0.5205938,0.75
0.5405937,0.67
0.5605937,0.67
0.5805938,0.78
0.6005937,0.73
0.6205937,0.67
0.6405938,0.67
0.6605937,0.68
0.6805937,0.71
0.7005938,0.64
0.7205938,0.69
0.7405937,0.67
0.7605938,0.67
0.7805938,0.67
0.8005937,0.67
0.8205938,0.67
0.8405938,0.67
0.8605937,0.68
0.8805938,0.67
0.9005938,0.73
0.9205937,0.67
0.9405938,0.67
0.9605938,0.67
0.9805937,0.67
1.000594,0.68
1.020594,0.69
1.040594,0.61
1.060594,0.66
1.080594,0.67
1.100594,0.7
1.120594,0.67
1.140594,0.67
1.160594,0.67
1.180594,0.67
1.200594,0.67
1.220594,0.67
1.240594,0.74
1.260594,0.68
1.280594,0.67
1.300594,0.67
1.320594,0.7
1.340594,0.68
1.360594,0.67
1.380594,0.67
1.400594,0.67
1.420594,0.67
1.440594,0.62
1.460594,0.63
1.480594,0.67
1.500594,0.68
1.520594,0.67
1.540594,0.67
1.560594,0.66
1.580594,0.67
1.600594,0.65
1.620594,0.67
1.640594,0.57
1.660594,0.66
1.680594,0.73
1.700594,0.66
1.720594,0.67
1.740594,0.67
1.760594,0.67
1.780594,0.67
1.800594,0.67
1.820594,0.56
1.840594,0.64
1.860594,0.66
1.880594,0.67
1.900594,0.67
1.920594,0.67
1.940594,0.67
1.960594,0.65
1.980594,0.67
2.000594,0.67
2.020594,0.67
2.040594,0.67
2.060594,0.72
2.080594,0.67
2.100594,0.63
2.120594,0.66
2.140594,0.67
2.160594,0.67
2.180594,0.67
2.200594,0.68
2.220594,0.67
2.240594,0.68
2.260594,0.67
2.280594,0.67
2.300594,0.67
2.320594,0.67
2.340594,0.67
2.360594,0.67
2.380594,0.67
2.400594,0.69
2.420594,0.67
2.440594,0.71
2.460594,0.68
2.480594,0.67
2.500594,0.67
2.520594,0.71
2.540594,0.67
2.560594,0.71
2.580594,0.67
2.600594,0.67
2.620594,0.67
2.640594,0.67
2.660594,0.67
2.680594,0.67
2.700594,0.67
2.720594,0.67
2.740594,0.67
2.760594,0.67
2.780594,0.67
2.800594,0.67
2.820594,0.65
2.840594,0.67
2.860594,0.67
2.880594,0.67
2.900594,0.67
2.920594,0.73
2.940594,0.72
2.960594,0.67
2.980594,0.67
3.000594,0.67
3.020594,0.67
3.041594,0.67
3.060594,0.67
