time,FuelCons
0.0006875,12984
0.0206875,12987
0.0406875,12989
0.0606875,12992
0.0806875,12995
0.1006875,12998
0.1206875,13001
0.1406875,13004
0.1606875,13006
0.1806875,13009
0.2006875,13012
0.2206875,13015
0.2406875,13018
0.2606875,13021
0.2806875,13023
0.3006875,13026
0.3206875,13029
0.3406875,13032
0.3606875,13035
0.3806875,13038
0.4006875,13041
0.4206875,13043
0.4406875,13046
0.4606875,13049
0.4806875,13052
0.5006875,13055
0.5206875,13058
0.5406875,13060
0.5606875,13063
0.5806875,13066
0.6006875,13069
0.6206875,13072
0.6406875,13075
0.6606875,13077
0.6806875,13080
0.7006875,13083
0.7206875,13086
0.7406875,13089
0.7606875,13092
0.7806875,13095
0.8006875,13098
0.8206875,13101
0.8406875,13104
0.8606875,13107
0.8806875,13109
0.9006875,13112
0.9206875,13115
0.9406875,13118
0.9606875,13121
0.9806875,13123
1.000687,13126
1.019688,13129
1.039688,13132
1.059687,13135
1.079687,13138
1.099687,13141
1.119688,13144
1.139688,13147
1.159688,13150
1.179688,13152
1.199687,13155
1.219687,13158
1.239687,13161
1.259688,13164
1.279688,13167
1.299688,13169
1.319687,13172
1.339687,13175
1.359687,13178
1.379688,13181
1.399688,13184
1.419688,13186
1.439687,13189
1.459687,13192
1.479687,13195
1.499688,13198
1.519688,13201
1.539688,13203
1.559687,13206
1.579687,13209
1.599687,13212
1.619688,13215
1.639688,13218
1.659688,13220
1.679688,13223
1.699687,13226
1.719687,13229
1.739687,13232
1.759688,13235
1.779688,13238
1.799688,13240
1.819687,13243
1.839687,13246
1.859687,13249
1.879688,13252
1.899688,13255
1.919688,13258
1.939687,13260
1.959687,13263
1.979687,13266
1.999688,13269
2.019687,13272
2.039687,13275
2.059688,13278
2.079688,13281
2.099688,13283
2.119688,13286
2.139688,13289
2.159688,13292
2.179688,13295
2.199687,13298
2.219687,13300
2.239687,13303
2.259687,13306
2.279687,13309
2.299687,13312
2.319688,13315
2.339688,13318
2.359688,13321
2.379688,13323
2.399688,13326
