time,RevoPMin
0.00059375,834
0.02059375,833
0.04059375,831
0.06059375,831
0.08059375,834
0.1005938,833
0.1205937,831
0.1405938,828
0.1605937,828
0.1805937,829
0.2005938,831
0.2205938,832
0.2405937,831
0.2605937,831
0.2805938,831
0.3005938,830
0.3205937,829
0.3405938,827
0.3605937,826
0.3805937,828
0.4005938,829
0.4205937,829
0.4405937,830
0.4605938,831
0.4805937,830
0.5005937,830
0.5205938,832
0.5405937,833
0.5605937,832
0.5805938,832
0.6005937,831
0.6205937,831
0.6405938,830
0.6605937,829
0.6805937,826
0.7005938,824
0.7205938,824
0.7405937,826
0.7605938,828
0.7805938,828
0.8005937,828
0.8205938,827
0.8405938,829
0.8605937,832
0.8805938,833
0.9005938,835
0.9205937,834
0.9405938,834
0.9605938,832
0.9805937,829
1.000594,832
1.020594,827
1.040594,823
1.060594,823
1.080594,824
1.100594,828
1.120594,830
1.140594,830
1.160594,829
1.180594,828
1.199594,832
1.219594,835
1.239594,834
1.259594,831
1.279594,831
1.299594,831
1.319594,829
1.339594,829
1.359594,829
1.379594,830
1.399594,832
1.419594,832
1.439594,832
1.459594,832
1.479594,832
1.499594,831
1.519594,830
1.539594,830
1.559594,832
1.579594,831
1.599594,831
1.619594,830
1.639594,830
1.659594,828
1.679594,827
1.699594,827
1.719594,828
1.739594,830
1.759594,831
1.779594,832
1.799594,832
1.819594,831
1.839594,830
1.859594,830
1.879594,831
1.899594,831
1.919594,830
1.939594,828
1.959594,828
1.979594,827
1.999594,828
2.019594,830
2.039594,830
2.059594,829
2.079594,829
2.099594,829
2.119594,831
2.139594,831
2.159594,829
2.179594,829
2.199594,830
2.219594,831
2.239594,831
2.259594,831
2.279594,831
2.299594,831
2.319594,830
2.339594,828
2.359594,827
2.379594,827
2.399594,828
2.419594,829
2.438594,830
2.458594,831
2.478594,833
2.498594,835
2.518594,834
2.538594,833
2.558594,832
2.578594,832
2.598594,832
2.618594,829
2.638594,826
2.658594,828
2.678594,830
2.698594,829
2.718594,827
2.738594,828
2.758594,831
2.778594,834
2.798594,833
2.818594,831
2.838594,829
2.858594,827
2.878594,829
2.898594,829
2.918594,828
2.938594,828
2.958594,828
2.978594,829
2.998594,830
3.018594,830
3.038594,830
3.058594,830
3.078594,830
3.098594,827
3.118594,829
3.138594,831
3.158594,832
3.178594,834
3.198594,835
3.218594,836
3.238594,834
3.258594,831
3.278594,830
3.298594,828
3.318594,827
3.338594,827
3.358594,828
3.378594,828
3.398594,827
3.418594,830
3.438594,833
3.458594,833
3.478594,831
3.498594,831
3.518594,832
3.538594,832
3.558594,830
3.578594,827
3.598594,827
3.618594,829
3.638594,828
3.658594,828
3.678594,828
3.698594,830
3.718594,832
3.738594,832
3.758594,832
3.778594,831
3.798594,832
3.818594,833
3.838594,831
3.858594,829
3.878594,829
3.898594,829
3.918594,829
3.937594,830
3.957594,830
3.977594,830
3.997594,831
4.017594,832
4.037594,831
4.057594,831
4.077594,833
4.097594,833
4.117594,833
4.137594,834
4.157594,834
4.177594,830
4.197594,826
4.217594,827
4.237594,825
4.257594,823
4.277594,822
4.297594,823
4.317594,828
4.337594,832
4.357594,833
4.377594,831
4.397594,831
4.417594,837
4.437594,835
4.457594,833
4.477594,831
4.497594,829
4.517594,828
4.537594,830
4.557594,831
4.577594,829
4.597594,825
4.617594,824
4.637594,828
4.657594,830
4.677594,828
4.697594,828
4.717594,828
4.737594,828
4.757594,831
4.777594,836
4.797594,835
4.817594,832
4.837594,833
4.857594,837
4.877594,836
4.897594,831
4.917594,827
4.937594,825
4.957594,825
4.977594,829
4.997594,829
5.017594,828
5.037594,827
5.057594,826
5.077594,828
5.097594,830
5.117594,830
5.137594,829
5.157594,828
5.177594,829
5.197594,830
5.217594,830
5.237594,831
5.257594,830
5.277594,829
5.297594,831
5.317594,833
5.337594,833
5.357594,829
5.377594,826
5.397594,827
5.417594,827
5.437594,826
5.456594,827
5.476594,828
5.496594,829
5.516594,829
5.537594,829
5.556594,828
5.576594,829
5.596594,829
5.616594,828
5.637594,827
5.656594,827
5.676594,829
5.696594,829
5.716594,830
5.737594,832
5.756594,832
5.776594,830
5.796594,831
5.816594,831
5.836594,828
5.856594,825
5.876594,824
5.896594,825
5.916594,829
5.936594,833
5.956594,832
5.976594,830
5.996594,831
6.016594,835
6.036594,835
6.056594,832
6.076594,831
6.096594,830
6.116594,831
6.136594,832
6.156594,833
6.176594,832
6.196594,829
6.216594,825
6.236594,826
6.256594,828
6.276594,826
6.296594,826
6.316594,827
6.336594,829
6.356594,831
6.376594,831
6.396594,831
6.416594,831
6.436594,832
6.456594,831
6.476594,830
6.496594,829
6.516594,829
6.536594,830
6.556594,828
6.576594,827
6.596594,826
6.616594,826
6.636594,829
6.656594,830
6.676594,829
6.696594,829
6.716594,831
6.736594,833
6.756594,834
6.776594,834
6.796594,833
6.816594,833
6.836594,833
6.856594,830
6.876594,828
6.896594,831
6.916594,833
6.936594,833
6.955594,833
6.975594,834
6.995594,831
7.016594,828
7.036594,830
7.055594,831
7.075594,830
7.095594,830
7.115594,833
7.136594,835
7.155594,834
7.175594,830
7.195594,827
7.215594,829
7.235594,828
7.255594,826
7.275594,825
7.295594,826
7.315594,830
7.335594,832
7.355594,833
7.375594,832
7.395594,831
7.415594,835
7.435594,835
7.455594,830
7.475594,826
7.495594,827
7.515594,827
7.535594,828
7.555594,830
7.575594,829
7.595594,826
7.615594,828
7.635594,831
7.655594,832
7.675594,832
7.695594,832
7.715594,832
7.735594,831
7.755594,832
7.775594,832
7.795594,828
7.815594,823
7.835594,823
7.855594,823
7.875594,825
7.895594,827
7.915594,829
7.935594,831
7.955594,833
7.975594,834
7.995594,835
8.015594,834
8.035594,834
8.055593,833
8.075594,832
