time,SideAccl
0.00159375,-0.01
0.02159375,-0.02
0.04159375,-0.02
0.06159375,-0.02
0.08159375,-0.02
0.1015937,-0.02
0.1215938,-0.02
0.1415938,-0.01
0.1615938,-0.02
0.1815937,-0.02
0.2015938,-0.02
0.2215938,-0.02
0.2415937,-0.02
0.2615938,-0.02
0.2815937,-0.01
0.3015938,-0.02
0.3215938,-0.02
0.3415937,-0.02
0.3615938,-0.02
0.3815938,-0.02
0.4015937,-0.02
0.4215938,-0.02
0.4415937,-0.02
0.4615937,-0.02
0.4815938,-0.02
0.5015938,-0.02
0.5215937,-0.02
0.5415937,-0.02
0.5615938,-0.02
0.5815938,-0.02
0.6015937,-0.02
0.6215938,-0.02
0.6415938,-0.02
0.6615937,-0.02
0.6815938,-0.02
0.7015938,-0.02
0.7215937,-0.01
0.7415938,-0.02
0.7615938,-0.02
0.7815937,-0.01
0.8015937,-0.02
0.8215938,-0.02
0.8415937,-0.02
0.8615937,-0.02
0.8815938,-0.02
0.9015937,-0.02
0.9215937,-0.02
0.9415938,-0.02
0.9615937,-0.02
0.9815937,-0.02
1.001594,-0.01
1.021594,-0.02
1.041594,-0.02
1.061594,-0.02
1.081594,-0.02
1.101594,-0.02
1.121594,-0.02
1.141594,-0.01
1.161594,-0.02
1.181594,-0.02
1.201594,-0.02
1.221594,-0.02
1.241594,-0.02
1.261594,-0.02
1.281594,-0.02
1.301594,-0.02
1.321594,-0.02
1.341594,-0.02
1.361594,-0.02
1.381594,-0.02
1.401594,-0.02
1.421594,-0.01
1.441594,-0.01
1.461594,-0.02
1.481594,-0.02
1.501594,-0.02
1.521594,-0.02
1.541594,-0.02
1.561594,-0.02
1.581594,-0.02
1.601594,-0.02
1.621594,-0.02
1.641594,-0.02
1.661594,-0.02
1.681594,-0.02
1.701594,-0.02
1.721594,-0.01
1.741594,-0.02
1.761594,-0.02
1.781594,-0.02
1.801594,-0.02
1.821594,-0.02
1.841594,-0.02
1.861594,-0.02
1.881594,-0.02
1.901594,-0.02
1.921594,-0.02
1.941594,-0.01
1.961594,-0.02
1.981594,-0.02
2.001594,-0.02
2.021594,-0.02
2.041594,-0.02
2.061594,-0.02
2.081594,-0.01
2.101594,-0.02
2.121594,-0.02
2.141594,-0.02
2.161594,-0.02
2.181594,-0.02
2.201594,-0.02
2.220594,-0.02
2.241594,-0.02
2.260594,-0.02
2.280594,-0.02
2.300594,-0.01
2.320594,-0.02
2.340594,-0.02
2.360594,-0.02
2.380594,-0.02
2.400594,-0.02
2.420594,-0.02
2.440594,-0.01
2.460594,-0.01
2.480594,-0.02
2.500594,-0.02
2.520594,-0.02
2.540594,-0.02
2.560594,-0.02
2.580594,-0.02
2.600594,-0.02
2.620594,-0.02
2.640594,-0.02
2.661594,-0.02
2.680594,-0.02
2.700594,-0.02
2.720594,-0.02
2.741594,-0.01
2.761594,-0.02
2.781594,-0.02
2.801594,-0.02
2.821594,-0.02
2.841594,-0.02
2.861594,-0.02
2.881594,-0.02
2.901594,-0.02
2.921594,-0.02
2.941594,-0.02
2.961594,-0.02
2.981594,-0.02
3.001594,-0.02
3.021594,-0.02
3.041594,-0.02
3.061594,-0.02
3.081594,-0.02
3.101594,-0.02
3.121594,-0.02
3.141594,-0.02
3.161594,-0.02
3.181594,-0.02
