time,WheelAng
0.00159375,-42
0.01159375,-42
0.02159375,-42
0.03159375,-42
0.04159375,-42
0.05159375,-42
0.06159375,-42
0.07159375,-42
0.08159375,-42
0.09159375,-42
0.1015937,-42
0.1115938,-42
0.1215938,-42
0.1315937,-42
0.1415938,-42
0.1515937,-42
0.1615938,-42
0.1715938,-42
0.1815937,-42
0.1915938,-42
0.2015938,-42
0.2115937,-42
0.2215938,-42
0.2315937,-42
0.2415937,-42
0.2525938,-42
0.2625937,-42
0.2725937,-42
0.2825938,-42
0.2925937,-42
0.3025937,-42
0.3125938,-42
0.3225937,-42
0.3325937,-42
0.3425938,-42
0.3525937,-42
0.3625937,-42
0.3725938,-42
0.3825938,-42
0.3925937,-42
0.4025938,-42
0.4125938,-42
0.4225937,-42
0.4325938,-42
0.4425938,-42
0.4525937,-42
0.4625938,-42
0.4725938,-42
0.4825937,-42
0.4925937,-42
0.5025938,-42
0.5125937,-42
0.5225937,-42
0.5325937,-42
0.5425938,-42
0.5525938,-42
0.5625938,-42
0.5725937,-42
0.5825937,-42
0.5925937,-42
0.6025938,-42
0.6125938,-42
0.6225938,-42
0.6335937,-42
0.6435937,-42
0.6535938,-42
0.6635938,-42
0.6735938,-42
0.6835938,-42
0.6935937,-42
0.7035937,-42
0.7135937,-42
0.7235938,-42
0.7335938,-42
0.7435938,-42
0.7535937,-42
0.7635937,-42
0.7735937,-42
0.7835938,-42
0.7935938,-42
0.8035938,-42
0.8135937,-42
0.8235937,-42
0.8335937,-42
0.8435938,-42
0.8535938,-42
0.8635938,-42
0.8735937,-42
0.8835937,-42
0.8935937,-42
0.9035938,-42
0.9135938,-42
0.9235938,-42
0.9335938,-42
0.9435937,-42
0.9535937,-42
0.9635937,-42
0.9735938,-42
0.9835938,-42
0.9935938,-42
1.003594,-42
1.013594,-42
1.024594,-42
1.034594,-42
1.044594,-42
1.054594,-42
1.064594,-42
1.074594,-42
1.084594,-42
1.094594,-42
1.104594,-42
1.114594,-42
1.124594,-42
1.134594,-42
1.144594,-42
1.154594,-42
1.164594,-42
1.174594,-42
1.184594,-42
1.194594,-42
1.204594,-42
1.214594,-42
1.224594,-42
1.234594,-42
1.244594,-42
1.254594,-42
1.264594,-42
1.274594,-42
1.284594,-42
1.294594,-42
1.304594,-42
1.314594,-42
1.324594,-42
1.334594,-42
1.344594,-42
1.354594,-42
1.364594,-42
1.374594,-42
1.385594,-42
1.394594,-42
1.405594,-42
1.415594,-42
1.425594,-42
1.435594,-42
1.445594,-42
1.455594,-42
1.465594,-42
1.475594,-42
1.485594,-42
1.495594,-42
1.505594,-42
1.515594,-42
1.525594,-42
1.535594,-42
1.545594,-42
1.555594,-42
1.565594,-42
1.575594,-42
1.585594,-42
1.595594,-42
1.605594,-42
1.615594,-42
1.625594,-42
1.635594,-42
1.645594,-42
1.655594,-42
1.665594,-42
1.675594,-42
1.685594,-42
1.695594,-42
1.705594,-42
1.715594,-42
1.725594,-42
1.736594,-42
1.745594,-42
1.755594,-42
1.765594,-42
1.775594,-42
1.785594,-42
1.795594,-42
1.806594,-42
1.816594,-42
1.826594,-42
1.836594,-42
1.846594,-42
1.856594,-42
1.866594,-42
1.876594,-42
1.886594,-42
1.896594,-42
1.906594,-42
1.916594,-42
1.926594,-42
1.936594,-42
1.946594,-42
