time,AccPed2D
0.00184375,99.9855
0.02184375,99.9855
0.04184375,29.4075
0.06184375,94.8882
0.08184375,30.9759
0.1018438,0
0.1218437,99.9855
0.1418438,99.9855
0.1618437,99.9855
0.1818437,99.9855
0.2018438,99.9855
0.2218437,99.9855
0.2418437,99.9855
0.2618437,99.9855
0.2818438,99.9855
0.3018438,99.9855
0.3218437,99.9855
0.3418438,99.9855
0.3618438,38.8179
0.3818437,94.8882
0.4018438,30.9759
0.4218437,0
0.4418437,99.9855
0.4618438,99.9855
0.4818437,99.9855
0.5018438,99.9855
0.5218437,99.9855
0.5418438,99.9855
0.5618438,99.9855
0.5818437,99.9855
0.6018438,99.9855
0.6218438,99.9855
0.6418437,99.9855
0.6618438,99.9855
0.6818438,47.8362
0.7018437,94.8882
0.7218438,30.9759
0.7418438,0
0.7618437,99.9855
0.7818437,99.9855
0.8018438,99.9855
0.8218437,99.9855
0.8418437,99.9855
0.8618438,99.9855
0.8818437,99.9855
0.9018437,99.9855
0.9218438,99.9855
0.9418437,99.9855
0.9618437,99.9855
0.9818438,99.9855
1.001844,53.7177
1.021844,94.8882
1.041844,30.9759
1.061844,0
1.081844,99.9855
1.101844,99.9855
1.121844,99.9855
1.141844,99.9855
1.161844,99.9855
1.181844,99.9855
1.201844,99.9855
1.221844,99.9855
1.241844,99.9855
1.261844,99.9855
1.281844,99.9855
1.301844,99.9855
1.321844,70.9701
1.341844,94.8882
1.360844,30.9759
1.380844,0
1.400844,99.9855
1.420844,99.9855
1.440844,99.9855
1.460844,99.9855
1.480844,99.9855
1.500844,99.9855
1.520844,99.9855
1.540844,99.9855
1.560844,99.9855
1.580844,99.9855
1.600844,99.9855
1.620844,99.9855
1.640844,83.9094
1.660844,94.8882
1.680844,30.9759
1.700844,0
1.720844,99.9855
1.740844,99.9855
1.760844,99.9855
1.780844,99.9855
1.800844,99.9855
1.820844,99.9855
1.840844,99.9855
1.860844,99.9855
1.880844,99.9855
1.900844,99.9855
1.920844,99.9855
1.940844,99.9855
1.960844,85.4778
1.980844,94.8882
2.000844,30.9759
2.020844,0
2.040844,99.9855
2.060844,99.9855
2.080844,99.9855
2.100844,99.9855
2.120844,99.9855
2.140844,99.9855
2.160844,99.9855
2.180844,99.9855
2.200844,99.9855
2.220844,99.9855
2.240844,99.9855
2.260844,99.9855
2.280844,80.3805
2.300844,94.8882
2.320844,30.9759
2.340844,0
2.360844,99.9855
2.380844,99.9855
2.400844,99.9855
2.420844,99.9855
2.440844,99.9855
2.460844,99.9855
2.480844,99.9855
2.500844,99.9855
2.520844,99.9855
2.540844,99.9855
2.560844,99.9855
2.580844,99.9855
2.600844,73.7148
2.620844,94.8882
2.640844,30.9759
2.660844,0
2.680844,99.9855
2.700844,99.9855
2.720844,99.9855
2.740844,99.9855
2.760844,99.9855
2.780844,99.9855
2.800844,99.9855
2.820844,99.9855
2.840844,99.9855
2.859844,99.9855
2.879844,99.9855
2.899844,99.9855
2.919844,66.657
2.939844,94.8882
2.959844,30.9759
2.979844,0
2.999844,99.9855
3.019844,99.9855
3.039844,99.9855
3.059844,99.9855
3.079844,99.9855
3.099844,99.9855
3.119844,99.9855
3.139844,99.9855
3.159844,99.9855
3.179844,99.9855
