time,AccPedal
-0.00015625,15.2
0.01984375,15.6
0.03984375,15.6
0.05984375,15.6
0.07984375,15.6
0.09984375,15.6
0.1198438,16
0.1398437,16
0.1598437,16.4
0.1798438,16.4
0.1998437,16.8
0.2198437,17.2
0.2398438,17.6
0.2598437,18.4
0.2798437,18.8
0.2998438,19.2
0.3198437,19.6
0.3398438,19.6
0.3598438,19.6
0.3798437,20.4
0.3998438,20.8
0.4198438,21.2
0.4398437,21.2
0.4598438,21.6
0.4798437,21.6
0.4998437,21.6
0.5198438,21.6
0.5398437,21.6
0.5598438,21.6
0.5798438,21.6
0.5998437,21.6
0.6198437,21.6
0.6398438,22
0.6598437,22
0.6798437,22
0.6998438,22.4
0.7198437,22.4
0.7398437,22.8
0.7598438,22.8
0.7798437,23.2
0.7998437,23.2
0.8198438,23.6
0.8398438,23.6
0.8598437,24
0.8798438,24
0.8998438,24.4
0.9198437,24.8
0.9398438,25.6
0.9598438,26
0.9798437,27.2
0.9998438,28
1.019844,28.8
1.039844,29.6
1.059844,30.4
1.079844,30.8
1.099844,31.6
1.119844,32
1.139844,32.4
1.159844,32.8
1.179844,33.6
1.199844,34
1.219844,34.8
1.239844,35.2
1.259844,35.2
1.279844,35.6
1.299844,36
1.318844,36.4
1.338844,36.4
1.358844,36.8
1.378844,36.8
1.398844,36.8
1.418844,37.2
1.438844,37.6
1.458844,38.4
1.478844,39.2
1.498844,40
1.518844,40.8
1.538844,41.6
1.559844,42
1.578844,42.4
1.598844,42.4
1.618844,42.8
1.638844,43.2
1.658844,43.6
1.678844,43.6
1.698844,44
1.718844,44
1.738844,44
1.758844,44
1.778844,44
1.798844,44
1.818844,44.4
1.838844,44.4
1.858844,44.8
1.878844,44.8
1.898844,45.2
1.918844,45.2
1.938844,45.6
1.958844,46
1.978844,46
1.998844,46
2.018844,46
2.038844,46
2.058844,46
2.078844,46.4
2.098844,46.4
2.118844,46.4
2.138844,46.4
2.158844,46.4
2.178844,46.4
2.198844,46.4
2.218844,46.4
2.238844,46.8
2.258844,46.8
2.278844,46.8
2.298844,46.8
2.318844,46.8
2.338844,46.8
2.358844,46.8
2.378844,46.8
2.398844,46.8
2.418844,46.8
2.438844,46.8
2.458844,46.8
2.478844,46.8
2.498844,46.8
2.518844,46.8
2.538844,46.8
2.558844,46.8
2.578844,46.8
2.598844,46.8
2.618844,46.8
2.638844,46.8
2.658844,46.8
2.678844,46.8
2.698844,46.8
2.718844,46.8
2.738844,46.8
2.758844,46.8
2.778844,46.8
2.798844,46.8
2.818844,46.8
2.838844,46.8
2.858844,46.8
2.877844,46.8
2.898844,46.8
2.918844,46.8
2.938844,46.8
2.958844,46.8
2.978844,46.8
2.998844,46.8
3.017844,46.8
3.037844,46.8
3.057844,46.8
3.077844,46.8
3.097844,46.8
3.117844,46.8
3.137844,46.8
3.157844,46.8
3.177844,46.8
3.197844,46.8
3.217844,46.8
3.238844,46.8
3.258844,46.8
3.278844,46.8
3.298844,46.8
3.318844,46.8
3.337844,46.8
3.357844,46.8
3.377844,46.8
3.397844,46.8
3.417844,46.8
3.437844,47.2
3.457844,47.2
3.477844,47.6
3.497844,47.6
3.517844,47.6
3.537844,47.6
3.557844,47.6
3.577844,47.6
3.597844,47.6
3.617844,47.6
3.637844,47.6
3.657844,47.6
3.677844,47.6
3.697844,47.6
3.717844,47.6
3.737844,47.6
3.757844,47.6
3.777844,47.6
3.797844,47.6
3.817844,47.6
3.837844,47.6
3.857844,47.6
3.877844,47.6
3.897844,47.6
3.917844,47.6
3.937844,47.6
3.957844,47.6
3.977844,47.6
3.997844,47.6
4.017844,47.6
4.037844,47.6
4.057844,47.6
4.077844,48
4.097844,48
4.117844,48
4.137844,48
4.157844,48
4.177844,48
4.197844,48
4.217844,48
4.237844,48
4.257844,48
4.277844,48
4.297844,48
4.316844,48
4.336844,48
4.356844,48
4.376844,48
4.396844,48
4.416844,48
4.436844,48
4.456844,48
4.476844,48
4.496844,48
4.516844,48
4.536844,48
4.556844,48
4.576844,48
4.596844,48
4.616844,48
4.636844,48
4.656844,48
4.676844,48
4.696844,48
4.716844,48
4.736844,48
4.756844,48
4.776844,48
4.796844,48
4.816844,48
4.836844,48
4.856844,48
4.876844,48
4.896844,48
4.916844,47.6
4.936844,47.6
4.956844,47.6
4.976844,47.6
4.996844,47.2
5.016844,47.2
5.036844,46.8
5.056844,46.8
5.076844,46.8
5.096844,46.4
5.116844,46
5.136844,45.6
5.156844,45.2
5.176844,44.8
5.196844,44.4
5.216844,44
5.236844,43.6
5.256844,43.6
5.276844,43.2
5.296844,43.2
5.316844,42.8
5.336844,42.8
5.356844,42.4
5.376844,42.4
5.396844,42
5.416844,41.6
5.436844,41.2
5.456844,40.8
5.476844,40.4
5.496844,40.4
5.516844,40.4
5.536844,40.4
5.556844,40
5.576844,40
5.596844,40
5.616844,40
5.636844,40
5.656844,40
5.676844,40
5.696844,40
5.716844,40
5.736844,40
5.756844,40
5.776844,40
5.796844,40
5.815844,40
5.835844,40
5.855844,40
5.875844,40
5.895844,40
5.915844,40
5.935844,40
5.955844,40
5.975844,40
5.995844,40
6.016844,40
6.035844,40
6.055844,40
6.075844,40
6.095844,40
6.115844,40
6.135844,40.4
6.155844,40.4
6.175844,40.4
6.195844,40.4
6.215844,40.4
6.235844,40.4
6.255844,40.4
6.275844,40.4
6.295844,40.4
6.315844,40.4
6.335844,40.4
6.355844,40.4
6.375844,40.4
6.395844,40.4
6.415844,40.4
6.435844,40.4
6.455844,40.4
6.475844,40.4
6.495844,40.4
6.515844,40.4
6.535844,40.4
6.555844,40.4
6.575844,40.4
6.595844,40.4
6.615844,40.4
6.635844,40.4
6.655844,40.4
6.675844,40.4
6.695844,40.4
6.715844,40.4
6.735844,40.4
6.755844,40.4
6.775844,40.4
6.795844,40.4
6.815844,40.4
6.835844,40.4
6.855844,40.4
6.875844,40.4
6.895844,40.4
6.915844,40.4
6.935844,40.4
6.955844,40.4
6.975844,40.4
6.995844,40.4
7.015844,40.4
7.035844,40.4
7.055844,40.4
7.075844,40.4
7.095844,40.4
7.115844,40.4
7.135844,40.4
7.155844,40.4
7.175844,40.4
7.195844,40.4
7.215844,40.8
7.235844,40.8
7.255844,40.8
7.275844,40.8
7.295844,41.2
7.315844,41.2
7.335844,41.2
7.355844,41.2
7.375844,41.2
7.395844,41.2
7.415844,41.2
7.435844,41.2
7.454844,41.2
7.475844,41.2
7.494844,41.2
7.514844,41.6
7.534844,41.6
7.554844,41.6
7.574844,41.6
7.594844,41.6
7.614844,42
7.634844,42
7.654844,42
7.674844,42
7.694844,42
7.714844,41.6
7.734844,41.6
7.754844,41.2
7.774844,40.4
7.794844,39.6
7.814844,39.2
7.834844,38.8
7.854844,38.4
7.874844,38
7.894844,38
7.914844,37.6
7.934844,37.2
7.954844,37.2
7.974844,36.8
7.994844,36
8.014844,35.6
8.034843,35.2
8.054844,34.4
8.074843,34
8.094844,33.6
8.114843,33.2
8.134844,33.2
8.154843,32.8
8.174844,32.8
8.194843,32.4
8.214844,32.4
8.234844,31.6
8.254844,31.2
8.274844,30.8
8.294844,30
8.314844,29.2
8.334844,28.4
8.354844,28
8.374844,27.2
8.394844,26.8
8.414844,26.4
8.434844,26.4
8.454844,26
8.474844,26
8.494843,26
8.514844,26
8.534843,26
8.554844,26
8.574843,26
8.594844,25.6
8.614843,25.6
8.634844,25.6
8.654843,25.2
8.674844,25.2
8.694843,24.8
8.714844,24.8
8.734844,24.4
8.754844,24.4
8.774844,24.4
8.794844,24
8.813844,24
8.833844,24
8.853844,24
8.873844,24
8.893844,24
8.913844,24
8.933844,24
8.953844,23.6
8.973844,23.2
8.993844,23.2
9.013844,22.8
9.033844,22.8
9.053843,22.8
9.073844,22.8
9.093843,22.8
9.113844,22.4
9.133843,22.4
9.153844,22.4
9.173843,22
9.193844,22
9.213843,22
9.233844,22
9.253843,22
9.273844,22
9.293844,22
9.313844,22
9.333844,21.6
9.353844,21.6
9.373844,21.6
9.393844,21.6
9.413844,21.6
9.433844,21.6
9.453844,21.6
9.473844,21.6
9.493844,21.6
9.513844,21.6
9.533844,21.6
9.553843,21.6
9.573844,21.6
9.593843,21.6
9.613844,21.6
9.633843,21.6
9.653844,21.6
9.673843,21.2
9.693844,20.4
9.713843,19.2
9.733844,17.2
9.753843,14.4
9.773844,10.8
9.793844,7.2
9.813844,4.8
9.833844,3.2
9.853844,2
9.873844,1.2
9.893844,0.8
9.913844,0
9.933844,0
9.953844,0
9.973844,0
9.993844,0
10.01384,0
10.03384,0
10.05384,0
10.07384,0
10.09384,0
10.11384,0
10.13384,0
10.15384,0
10.17384,0
10.19384,0
10.21384,0
10.23384,0
10.25384,0
10.27384,0
10.29384,0
10.31384,0
10.33384,0
10.35384,0
10.37384,0
10.39384,0
10.41384,0
10.43384,0
10.45384,0
10.47384,0
10.49384,0
10.51284,0
10.53284,0
10.55284,0
10.57284,0
10.59284,0
10.61284,0
10.63284,0
10.65284,0
10.67284,0
10.69284,0
10.71284,0
10.73284,0
10.75284,0
10.77284,0
10.79284,0
10.81284,0
10.83284,0
10.85284,0
10.87284,0
10.89284,0
10.91284,0
10.93284,0
10.95284,0
10.97284,0
10.99284,0
11.01284,0
11.03284,0
11.05284,0
11.07284,0
11.09284,0
11.11284,0
11.13284,0
11.15284,0
11.17284,0
11.19284,0
11.21284,0
11.23284,0
11.25284,0
11.27284,0
11.29284,0
11.31284,0
11.33284,0
11.35284,0
11.37284,0
