time,AccSignl
0.0019375,15.6
0.0219375,16
0.0419375,16
0.0619375,16
0.0819375,16
0.1019375,16
0.1219375,16
0.1419375,16.4
0.1619375,16.8
0.1819375,16.8
0.2019375,17.6
0.2219375,18
0.2419375,18.8
0.2619375,19.2
0.2819375,20
0.3019375,20
0.3219375,20
0.3419375,20
0.3619375,20
0.3819375,21.6
0.4019375,21.6
0.4219375,21.6
0.4419375,21.6
0.4619375,21.6
0.4819375,21.6
0.5019375,21.6
0.5219375,21.6
0.5419375,21.6
0.5619375,21.6
0.5819375,21.6
0.6019375,21.6
0.6219375,21.6
0.6419375,22.4
0.6619375,22.4
0.6819375,22.4
0.7019375,22.4
0.7219375,22.8
0.7419375,23.2
0.7619375,23.2
0.7819375,23.2
0.8019375,23.2
0.8219375,24
0.8419375,24.4
0.8619375,24.4
0.8819375,24.4
0.9019375,25.2
0.9219375,26
0.9419375,26.8
0.9619375,26.8
0.9819375,29.2
1.001938,30
1.021937,30.8
1.041937,30.8
1.061937,31.6
1.081938,32.4
1.101938,32.8
1.121938,33.2
1.141937,33.6
1.161937,34
1.181937,34.4
1.201938,35.2
1.221938,35.6
1.241938,36
1.261937,36
1.281937,36.4
1.301937,36.8
1.321937,36.8
1.341938,36.8
1.360937,37.2
1.380937,37.2
1.400938,37.2
1.420938,38
1.440938,38.8
1.460938,39.6
1.480937,40.8
1.500937,42
1.520937,42.4
1.540938,42.4
1.560938,42.4
1.580938,43.2
1.600937,43.2
1.620937,43.6
1.640937,43.6
1.660938,44
1.680938,44
1.700938,44
1.720937,44
1.740937,44
1.760937,44
1.780938,44
1.800938,44.4
1.820938,44.4
1.840937,45.2
1.860937,45.2
1.880937,45.2
1.900938,45.6
1.920938,45.6
1.940938,46.4
1.960938,46.4
1.980937,46.4
2.000937,46.4
2.020937,46.4
2.040937,46.4
2.060937,46.4
2.080937,46.4
2.100938,46.4
2.120938,46.4
2.140938,46.4
2.160938,46.4
2.180938,46.4
2.200938,46.4
2.220937,46.4
2.240937,46.8
2.260937,46.8
2.280937,46.8
2.300937,46.8
2.320937,46.8
2.340938,46.8
2.360938,46.8
2.380938,46.8
2.400938,46.8
2.420938,46.8
2.440938,46.8
2.460938,46.8
2.480937,46.8
2.500937,46.8
2.520937,46.8
2.540937,46.8
2.560937,46.8
2.580937,46.8
2.600938,46.8
2.620938,46.8
2.640938,46.8
2.660938,46.8
2.680938,46.8
2.700938,46.8
2.720937,46.8
2.740937,46.8
2.760937,46.8
2.780937,46.8
2.800937,46.8
2.820937,46.8
2.840938,46.8
2.859937,46.8
2.879937,46.8
2.899937,46.8
2.919938,46.8
2.939938,46.8
2.959938,46.8
2.979938,46.8
2.999938,46.8
3.019938,46.8
3.039937,46.8
3.059937,46.8
3.079937,46.8
3.099937,46.8
3.119937,46.8
3.139937,46.8
3.159937,46.8
3.179938,46.8
3.199938,46.8
3.219938,46.8
3.239938,46.8
3.259938,46.8
3.279938,46.8
3.299937,46.8
3.319937,46.8
3.339937,46.8
3.359937,46.8
3.379937,46.8
3.399937,46.8
3.419938,46.8
3.439938,47.6
3.459938,47.6
3.479938,47.6
3.499938,47.6
3.519938,47.6
3.539937,47.6
3.559937,47.6
3.579937,47.6
3.599937,47.6
3.619937,47.6
3.639937,47.6
3.659937,47.6
3.679938,47.6
3.699938,47.6
3.719938,47.6
3.739938,47.6
3.759938,48
3.779938,48
3.799937,48
3.819937,48
3.839937,48
3.859937,48
3.879937,48
3.899937,48
3.919938,48
3.939938,48
3.959938,48
3.979938,48
3.999938,48
4.019938,48
4.039937,48
4.059937,48
4.079937,48
4.099937,48
4.119937,48
4.139937,48
4.159937,48
4.179937,48
4.199937,48
4.219937,48
4.239937,48
4.259937,48
4.279937,48
4.299938,48
4.319938,48
4.339938,48
4.358937,48
4.378938,48
4.398938,48
4.418938,48
4.438938,48
4.458938,48
4.478938,48
4.498938,48
4.518938,48
4.538938,48
4.558938,48
4.578938,48
4.598938,48
4.618937,48
4.638937,48
4.658937,48
4.678937,48
4.698937,48
4.718937,48
4.738937,48
4.758937,48
4.778937,48
4.798937,48
4.818937,48
4.838937,48
4.858937,48
4.878938,48
4.898938,48
4.918938,47.6
4.938938,47.6
4.958938,47.6
4.978938,47.6
4.998938,46.8
5.018938,46.8
5.038938,46.4
5.058938,46.4
5.078938,46.4
5.098938,45.6
5.118937,45.6
5.138937,44.8
5.158937,44.8
5.178937,43.6
5.198937,43.6
5.218937,43.2
5.238937,43.2
5.258937,43.2
5.278937,42.8
5.298937,42.8
5.318937,42.4
5.338937,42.4
5.358937,42.4
5.378938,41.6
5.398938,41.2
5.418938,40.8
5.438938,40
5.458938,40
5.478938,40
5.498938,40
5.518938,40
5.538938,40
5.558938,40
5.578938,40
5.598938,40
5.618937,40
5.638937,40
5.658937,40
5.678937,40
5.698937,40
5.718937,40
5.738937,40
5.758937,40
5.778937,40
5.798937,40
5.818937,40
5.838937,40
5.857937,40
5.877937,40
5.897937,40
5.917937,40
5.937938,40
5.957938,40
5.977938,40
5.997938,40
6.017938,40
6.037938,40
6.057938,40
6.077938,40
6.097938,40
6.117938,40.4
6.137938,40.4
6.157938,40.4
6.177938,40.4
6.197937,40.4
6.217937,40.4
6.237937,40.4
6.257937,40.4
6.277937,40.4
6.297937,40.4
6.317937,40.4
6.337937,40.4
6.357937,40.4
6.377937,40.4
6.397937,40.4
6.417937,40.4
6.437938,40.4
6.457938,40.4
6.477938,40.4
6.497938,40.4
6.517938,40.4
6.537938,40.4
6.557938,40.4
6.577938,40.4
6.597938,40.4
6.617938,40.4
6.637938,40.4
6.657938,40.4
6.677938,40.4
6.697937,40.4
6.717937,40.4
6.737937,40.4
6.757937,40.4
6.777937,40.4
6.797937,40.4
6.817937,40.4
6.837937,40.4
6.857937,40.4
6.877937,40.4
6.897937,40.4
6.917937,40.4
6.937938,40.4
6.957938,40.4
6.977938,40.4
6.997938,40.4
7.017938,40.4
7.037938,40.4
7.057938,40.4
7.077938,40.4
7.097938,40.4
7.117938,40.4
7.137938,40.8
7.157938,40.8
7.177938,40.8
7.197937,40.8
7.217937,40.8
7.237937,40.8
7.257937,40.8
7.277937,41.2
7.297937,41.2
7.317937,41.2
7.337937,41.2
7.356937,41.2
7.376937,41.2
7.396937,41.2
7.416937,41.2
7.436937,41.2
7.456937,41.2
7.476937,41.2
7.496937,41.6
7.516938,41.6
7.536938,41.6
7.556938,41.6
7.576938,42
7.596938,42
7.616938,42
7.636938,42
7.656938,42
7.676938,42
7.696938,42
7.716938,41.2
7.736938,41.2
7.756938,40
7.776937,39.2
7.796937,38.4
7.816937,37.6
7.836937,37.6
7.856937,37.6
7.876937,37.6
7.896937,37.6
7.916937,37.2
7.936937,36.8
7.956937,36.4
7.976937,36
7.996937,35.2
8.016937,34.4
8.036938,34
8.056937,33.6
8.076938,32.8
8.096937,32.8
8.116938,32.8
8.136937,32.8
8.156938,32.8
8.176937,32.4
8.196938,32
8.216937,31.6
8.236938,30.8
8.256937,30
8.276937,29.6
8.296938,28.4
8.316937,28
8.336938,27.2
8.356937,26.4
8.376938,26
8.396937,26
8.416938,26
8.436937,26
8.456938,26
8.476937,26
8.496938,26
8.516937,26
8.536938,26
8.556937,26
8.576938,26
8.596937,25.6
8.616938,25.6
8.636937,24.8
8.656938,24.8
8.676937,24.8
8.696938,24.4
8.716937,24.4
8.736938,24
8.756937,24
8.776937,24
8.796938,24
8.816937,24
8.836938,24
8.856937,24
8.876938,24
8.896937,24
8.915937,23.6
8.935938,23.6
8.955937,23.2
8.975938,22.8
8.995937,22.8
9.015938,22.8
9.036938,22.8
9.055938,22.8
9.075937,22.8
9.095938,22.8
9.115937,22
9.135938,22
9.155937,22
9.175938,22
9.195937,22
9.215938,21.6
9.235937,21.6
9.255938,21.6
9.275937,21.6
9.295938,21.6
9.315937,21.6
9.335938,21.6
9.355938,21.6
9.375937,21.6
9.395938,21.6
9.415937,21.6
9.435938,21.6
9.455937,21.6
9.475938,21.6
9.495937,21.6
9.515938,21.6
9.535937,21.6
9.555938,21.6
9.575937,21.6
9.595938,21.6
9.615937,21.6
9.635938,21.6
9.655937,21.6
9.675938,20
9.695937,18.4
9.715938,16.8
9.735937,13.6
9.755938,9.2
9.775937,3.6
9.795938,0
9.815937,0
9.835938,0
9.855938,0
9.875937,0
9.895938,0
9.915937,0
9.935938,0
9.955937,0
9.975938,0
9.995937,0
10.01594,0
10.03594,0
10.05594,0
10.07594,0
10.09594,0
10.11594,0
10.13594,0
10.15594,0
10.17594,0
10.19594,0
10.21594,0
10.23594,0
10.25594,0
10.27594,0
10.29594,0
10.31594,0
10.33594,0
10.35594,0
10.37594,0
10.39494,0
10.41494,0
10.43494,0
10.45494,0
10.47494,0
10.49494,0
10.51494,0
10.53494,0
10.55494,0
10.57494,0
10.59494,0
10.61494,0
10.63494,0
10.65494,0
10.67494,0
10.69494,0
10.71494,0
10.73494,0
10.75494,0
10.77494,0
10.79494,0
10.81494,0
10.83494,0
10.85494,0
10.87494,0
10.89494,0
10.91494,0
10.93494,0
10.95494,0
10.97494,0
10.99494,0
11.01494,0
11.03494,0
11.05494,0
11.07494,0
11.09494,0
11.11494,0
11.13494,0
11.15494,0
11.17494,0
11.19494,0
11.21494,0
11.23494,0
11.25494,0
11.27494,0
11.29494,0
11.31494,0
11.33494,0
11.35494,0
11.37494,0
11.39494,0
11.41494,0
11.43494,0
11.45494,0
11.47494,0
11.49494,0
11.51494,0
11.53494,0
11.55494,0
11.57494,0
11.59494,0
11.61494,0
11.63494,0
11.65494,0
11.67494,0
11.69494,0
11.71494,0
11.73494,0
11.75494,0
11.77494,0
11.79494,0
11.81494,0
11.83494,0
11.85494,0
11.87494,0
11.89494,0
11.91494,0
11.93494,0
11.95394,0
11.97394,0
11.99394,0
12.01494,0
12.03494,0
12.05394,0
12.07394,0
12.09394,0
12.11394,0
12.13494,0
12.15394,0
12.17394,0
12.19394,0
12.21394,0
12.23394,0
12.25394,0
12.27394,0
12.29394,0
12.31394,0
12.33494,0
12.35394,0
12.37394,0
12.39394,0
12.41394,0
12.43394,0
12.45394,0
12.47394,0
12.49394,0
12.51394,0
12.53394,0
12.55394,0
12.57394,0
12.59394,0
12.61394,0
12.63394,0
12.65394,0
12.67394,0
12.69394,0
12.71394,0
12.73394,0
12.75394,0
12.77394,0
12.79394,0
12.81394,0
12.83394,0
12.85394,0
12.87394,0
12.89394,0
12.91394,0
12.93394,0
12.95394,0
12.97394,0
12.99394,0
13.01394,0
13.03394,0
13.05394,0
13.07394,0
13.09394,0
13.11394,0
13.13394,0
13.15394,0
13.17394,0
13.19394,0
13.21394,0
13.23394,0
13.25394,0
13.27394,0
13.29394,0
13.31394,0
13.33394,0
13.35394,0
13.37394,0
13.39294,0
13.41294,0
13.43294,0
13.45294,0
13.47294,0
13.49294,0
13.51294,0
13.53294,0
13.55294,0
13.57294,0
13.59294,0
13.61294,0
13.63294,0
13.65294,0
13.67294,1.2
13.69294,2
13.71294,2.8
13.73294,3.6
13.75294,4
13.77294,4
13.79294,4.8
