time,DegOfDev
-0.00096875,20.66
0.01903125,21.18
0.03903125,21.56
0.05903125,22.19
0.07903125,22.4
0.09903125,22.69
0.1190313,23.25
0.1390312,23.33
0.1590313,23.3
0.1790313,23.69
0.1990312,24.03
0.2190312,24.26
0.2390313,24.48
0.2590312,24.82
0.2800313,25.05
0.3000312,25.75
0.3200313,26.36
0.3400312,26.63
0.3590313,27.27
0.3790312,27.94
0.4000312,28.46
0.4200312,29.25
0.4390312,30.22
0.4600312,30.92
0.4800313,31.46
0.5000312,32.19
0.5190312,32.74
0.5400313,33.35
0.5600312,33.81
0.5800313,34.09
0.6000313,34.35
0.6200312,34.54
0.6400313,34.66
0.6600313,34.95
0.6790313,35.29
0.6990312,35.47
0.7190313,35.72
0.7390313,35.93
0.7590312,36.3
0.7790313,36.58
0.7990313,36.73
0.8190312,37.1
0.8390313,37.38
0.8590313,37.7
0.8790312,37.92
0.8990312,38.23
0.9190313,38.47
0.9390312,38.54
0.9590312,38.47
0.9790313,38.21
0.9990312,37.87
1.019031,37.64
1.039031,37.47
1.059031,37.41
1.079031,37.36
1.099031,37.38
1.119031,37.5
1.139031,37.65
1.159031,37.87
1.179031,37.93
1.199031,38.08
1.219031,38.01
1.239031,37.97
1.259031,37.99
1.279031,38.21
1.299031,38.25
1.319031,38.29
1.339031,38.28
1.359031,38.16
1.379031,38.25
1.399031,38.28
1.419031,38.27
1.439031,38.09
1.459031,37.88
1.479031,37.66
1.499031,37.41
1.519031,37.25
1.539031,37.11
1.559031,36.91
1.579031,36.65
1.599031,36.4
1.620031,36.09
1.640031,35.76
1.660031,35.45
1.680031,35.14
1.699031,34.94
1.720031,34.78
1.739031,34.62
1.760031,34.45
1.780031,34.28
1.800031,34.03
1.820031,33.6
1.839031,33.18
1.860031,32.75
1.880031,32.3
1.900031,31.68
1.920031,30.98
1.940031,30.41
1.960031,29.78
1.980031,29.31
2.000031,28.93
2.020031,28.51
2.039031,28
2.059031,27.45
2.080031,27.02
2.100031,26.48
2.119031,25.92
2.139031,25.29
2.160031,24.51
2.180031,23.82
2.199031,23.19
2.220031,22.53
2.239031,21.69
2.259031,21.05
2.279031,20.37
2.299031,19.61
2.319031,18.67
2.340031,18.12
2.360031,17.59
2.380031,16.95
2.400031,16.32
2.420031,15.65
2.440031,14.73
2.460031,14.01
