time,DeTorque
-0.00015625,14.82
0.01984375,15.21
0.03984375,15.21
0.05984375,15.21
0.07984375,15.6
0.09984375,15.6
0.1198438,15.6
0.1398437,15.6
0.1598437,15.99
0.1798438,15.99
0.1998437,16.38
0.2198437,16.38
0.2398438,17.16
0.2598437,17.55
0.2798437,17.94
0.2998438,18.72
0.3198437,19.11
0.3398438,19.11
0.3598438,19.5
0.3798437,19.5
0.3998438,19.89
0.4198438,20.28
0.4398437,20.67
0.4598438,21.06
0.4798437,21.06
0.4998437,21.06
0.5198438,21.06
0.5398437,21.06
0.5598438,21.06
0.5798438,21.06
0.5998437,21.06
0.6198437,21.06
0.6398438,21.06
0.6598437,21.45
0.6798437,21.45
0.6998438,21.45
0.7198437,21.84
0.7398437,21.84
0.7598438,22.23
0.7798437,22.23
0.7998437,22.62
0.8198438,22.62
0.8398438,23.01
0.8598437,23.4
0.8798438,23.4
0.8998438,23.79
0.9198437,23.79
0.9398438,24.57
0.9598438,24.96
0.9798437,25.35
0.9998438,26.52
1.019844,27.3
1.039844,28.47
1.059844,28.86
1.079844,29.64
1.099844,30.03
1.119844,30.81
1.139844,31.59
1.159844,31.98
1.179844,32.37
1.199844,32.76
1.219844,33.15
1.239844,33.93
1.259844,34.32
1.279844,34.32
1.299844,34.71
1.318844,35.1
1.338844,35.1
1.358844,35.49
1.378844,35.88
1.398844,35.88
1.418844,35.88
1.438844,36.27
1.458844,36.66
1.478844,37.44
1.498844,37.83
1.518844,39
1.538844,40.17
1.559844,41.34
1.578844,41.73
1.598844,42.12
1.618844,42.51
1.638844,43.29
1.658844,43.29
1.678844,44.07
1.698844,44.46
1.718844,44.46
1.738844,44.46
1.758844,44.85
1.778844,44.46
1.798844,44.85
1.818844,44.46
1.838844,44.46
1.858844,44.85
1.878844,45.24
1.898844,45.63
1.918844,46.02
1.938844,46.02
1.958844,46.41
1.978844,46.8
1.998844,46.8
2.018844,47.19
2.038844,47.19
2.058844,46.8
2.078844,46.8
2.098844,46.8
2.118844,46.8
2.138844,46.8
2.158844,46.8
2.178844,46.8
2.198844,46.8
2.218844,46.41
2.238844,46.41
2.258844,46.41
2.278844,46.41
2.298844,46.41
2.318844,46.41
2.338844,46.41
2.358844,46.41
2.378844,46.41
2.398844,46.41
2.418844,46.41
2.438844,46.41
2.458844,46.02
2.478844,46.02
2.498844,46.02
2.518844,46.02
2.538844,45.63
2.558844,45.63
2.578844,45.63
2.598844,45.63
2.618844,45.63
2.638844,45.24
2.658844,45.24
2.678844,45.24
2.698844,45.24
2.718844,44.85
2.738844,44.85
2.758844,44.85
2.778844,44.46
2.798844,44.85
2.818844,44.85
2.838844,44.46
2.858844,44.46
2.877844,44.46
2.898844,44.46
2.918844,44.07
2.938844,44.07
2.958844,44.07
2.978844,44.07
2.998844,44.07
3.017844,44.07
3.037844,43.68
3.057844,43.68
3.077844,43.68
3.097844,43.68
3.117844,43.68
3.137844,43.68
3.157844,43.68
3.177844,43.29
3.197844,43.29
3.217844,43.29
3.238844,43.29
3.258844,43.29
3.278844,43.29
3.298844,43.29
3.318844,42.9
3.337844,42.9
3.357844,42.9
3.377844,42.9
3.397844,42.9
3.417844,42.51
3.437844,42.51
3.457844,42.9
3.477844,42.9
3.497844,42.9
3.517844,42.9
3.537844,42.9
3.557844,42.9
3.577844,42.9
3.597844,42.9
3.617844,42.9
3.637844,43.29
3.657844,42.9
3.677844,42.9
3.697844,42.9
3.717844,42.9
3.737844,42.9
3.757844,42.9
3.777844,42.9
3.797844,42.9
3.817844,42.9
3.837844,42.9
3.857844,42.9
3.877844,42.51
3.897844,42.51
3.917844,42.51
3.937844,42.51
3.957844,42.12
3.977844,42.51
3.997844,42.12
4.017844,42.12
4.037844,42.12
4.057844,42.12
4.077844,42.12
4.097844,42.51
4.117844,42.51
4.137844,42.12
4.157844,42.12
4.177844,42.12
4.197844,42.12
4.217844,42.12
4.237844,42.12
4.257844,41.73
4.277844,41.73
4.297844,42.12
4.316844,42.12
4.336844,41.73
4.356844,41.73
4.376844,41.73
4.396844,41.73
4.416844,41.73
4.436844,41.73
4.456844,41.73
4.476844,41.73
4.496844,41.73
4.516844,41.34
4.536844,41.34
4.556844,41.34
4.576844,41.34
4.596844,41.34
4.616844,41.34
4.636844,41.34
4.656844,40.95
4.676844,40.95
4.696844,40.95
4.716844,40.95
4.736844,40.95
4.756844,40.95
4.776844,40.95
4.796844,40.95
4.816844,40.95
4.836844,40.95
4.856844,40.56
4.876844,40.95
4.896844,40.56
4.916844,40.56
4.936844,40.56
4.956844,40.17
4.976844,40.17
4.996844,40.17
5.016844,39.78
5.036844,39.78
5.056844,39.39
5.076844,39.39
5.096844,39
5.116844,38.61
5.136844,38.22
5.156844,37.44
5.176844,37.05
5.196844,36.66
5.216844,35.88
5.236844,35.49
5.256844,35.1
5.276844,35.1
5.296844,34.71
5.316844,34.71
5.336844,34.32
5.356844,34.32
5.376844,33.93
5.396844,33.54
5.416844,33.15
5.436844,32.76
5.456844,32.37
5.476844,31.98
5.496844,31.59
5.516844,31.59
5.536844,31.2
5.556844,31.2
5.576844,31.2
5.596844,31.2
5.616844,30.81
5.636844,31.2
5.656844,31.2
5.676844,31.2
5.696844,31.2
5.716844,31.2
5.736844,31.2
5.756844,31.2
5.776844,31.2
5.796844,31.2
5.815844,31.2
5.835844,31.2
5.855844,31.2
5.875844,31.2
5.895844,31.2
5.915844,31.2
5.935844,31.2
5.955844,31.2
5.975844,31.2
5.995844,31.2
6.016844,31.2
6.035844,31.2
6.055844,30.81
6.075844,31.2
6.095844,31.2
6.115844,31.2
6.135844,31.2
6.155844,31.2
6.175844,31.2
6.195844,31.2
6.215844,31.2
6.235844,31.2
6.255844,31.2
6.275844,31.2
6.295844,31.2
6.315844,31.59
6.335844,31.59
6.355844,31.59
6.375844,31.59
6.395844,31.59
6.415844,31.59
6.435844,31.59
6.455844,31.59
6.475844,31.59
6.495844,31.59
6.515844,31.59
6.535844,31.59
6.555844,31.59
6.575844,31.59
6.595844,31.59
6.615844,31.59
6.635844,31.59
6.655844,31.59
6.675844,31.59
6.695844,31.59
6.715844,31.59
6.735844,31.59
6.755844,31.59
6.775844,31.59
6.795844,31.59
6.815844,31.59
6.835844,31.59
6.855844,31.59
6.875844,31.59
6.895844,31.98
6.915844,31.98
6.935844,31.98
6.955844,31.98
6.975844,31.98
6.995844,31.98
7.015844,31.98
7.035844,31.59
7.055844,31.59
7.075844,31.59
7.095844,31.59
7.115844,31.59
7.135844,31.98
7.155844,31.98
7.175844,31.98
7.195844,31.98
7.215844,31.98
7.235844,32.37
7.255844,31.98
7.275844,32.37
7.295844,32.37
7.315844,32.37
7.335844,32.76
7.355844,32.76
7.375844,32.76
7.395844,33.15
7.415844,32.76
7.435844,32.76
7.454844,32.76
7.475844,33.15
7.494844,32.76
7.514844,33.15
7.534844,33.15
7.554844,33.15
7.574844,33.15
7.594844,33.54
7.614844,33.54
7.634844,33.54
7.654844,33.54
7.674844,33.54
7.694844,33.54
7.714844,33.54
7.734844,33.15
7.754844,33.15
7.774844,32.37
7.794844,31.98
7.814844,30.81
7.834844,30.42
7.854844,30.03
7.874844,30.03
7.894844,29.64
7.914844,29.64
7.934844,29.25
7.954844,28.86
7.974844,28.86
7.994844,28.08
8.014844,27.69
8.034843,27.3
8.054844,26.52
8.074843,26.13
8.094844,25.74
8.114843,25.35
8.134844,24.96
8.154843,24.57
8.174844,24.57
8.194843,24.57
8.214844,24.18
8.234844,24.18
8.254844,23.4
8.274844,23.01
8.294844,22.62
8.314844,21.84
8.334844,21.45
8.354844,20.67
8.374844,19.89
8.394844,19.11
8.414844,18.72
8.434844,18.72
8.454844,18.33
8.474844,18.33
8.494843,18.33
8.514844,18.33
8.534843,18.33
8.554844,18.33
8.574843,18.33
8.594844,18.33
8.614843,18.33
8.634844,18.33
8.654843,17.94
8.674844,17.94
8.694843,17.94
8.714844,17.55
8.734844,17.55
8.754844,17.16
8.774844,17.16
8.794844,17.16
8.813844,17.16
8.833844,17.16
8.853844,17.16
8.873844,17.16
8.893844,17.16
8.913844,17.55
8.933844,17.16
8.953844,17.16
8.973844,17.16
8.993844,16.77
9.013844,16.38
9.033844,16.38
9.053843,16.38
9.073844,16.38
9.093843,16.38
9.113844,16.38
9.133843,16.38
9.153844,15.99
9.173843,15.99
9.193844,15.99
9.213843,15.99
9.233844,15.99
9.253843,15.99
9.273844,15.99
9.293844,15.99
9.313844,15.99
9.333844,15.99
9.353844,15.99
9.373844,15.99
9.393844,16.38
9.413844,16.38
9.433844,16.38
9.453844,16.38
9.473844,16.38
9.493844,16.38
9.513844,16.77
9.533844,16.77
9.553843,16.77
9.573844,16.77
9.593843,16.77
9.613844,16.77
9.633843,17.16
9.653844,17.16
9.673843,17.16
9.693844,16.77
9.713843,15.99
9.733844,14.82
9.753843,12.87
9.773844,10.53
9.793844,7.41
9.813844,3.9
9.833844,1.56
9.853844,0.39
9.873844,0
9.893844,0
9.913844,0
9.933844,0
9.953844,0
9.973844,0
9.993844,0
10.01384,0
10.03384,0
10.05384,0
10.07384,0
10.09384,0
10.11384,0
10.13384,0
10.15384,0
10.17384,0
10.19384,0
10.21384,0
10.23384,0
10.25384,0
10.27384,0
10.29384,0.39
10.31384,1.17
10.33384,2.34
10.35384,2.73
10.37384,3.9
10.39384,5.85
10.41384,6.63
10.43384,7.41
10.45384,8.19
10.47384,8.97
10.49384,9.36
10.51284,9.36
10.53284,9.36
10.55284,9.75
10.57284,10.14
10.59284,9.75
10.61284,10.14
10.63284,10.14
10.65284,8.97
10.67284,7.8
10.69284,7.8
10.71284,7.8
10.73284,7.41
10.75284,7.41
10.77284,7.8
10.79284,7.8
10.81284,7.8
10.83284,9.36
10.85284,8.97
10.87284,8.19
10.89284,8.19
10.91284,8.58
10.93284,8.58
10.95284,7.8
10.97284,8.19
10.99284,8.19
11.01284,8.58
11.03284,8.58
11.05284,8.58
11.07284,7.8
11.09284,7.41
11.11284,9.36
11.13284,8.58
11.15284,7.8
11.17284,8.58
11.19284,9.36
11.21284,9.36
11.23284,7.41
11.25284,7.02
11.27284,8.19
11.29284,9.36
11.31284,7.02
11.33284,6.63
11.35284,7.41
11.37284,8.19
11.39284,8.97
11.41284,9.36
11.43284,8.97
11.45284,8.58
11.47284,8.97
11.49284,8.97
11.51284,8.19
11.53284,8.19
11.55284,8.58
11.57284,8.58
11.59284,8.58
11.61284,8.19
11.63284,8.19
11.65284,8.19
11.67284,7.8
11.69284,7.8
11.71284,8.58
11.73284,8.19
11.75284,8.58
11.77284,9.36
11.79284,8.97
11.81284,8.19
11.83284,8.19
11.85184,8.58
11.87184,8.58
11.89184,8.19
11.91184,8.58
11.93184,8.58
11.95184,8.19
11.97184,8.19
11.99184,8.58
12.01184,8.58
12.03184,8.58
12.05184,8.58
12.07184,8.58
12.09184,8.19
12.11184,8.19
12.13184,8.19
12.15184,8.97
12.17184,8.58
12.19184,8.58
12.21184,8.97
12.23184,8.58
12.25184,8.19
12.27184,8.58
12.29184,8.97
