time,DisSpeed
0.00175,24.64
0.02175,24.64
0.04175,24.64
0.06275,24.32
0.08275,24.32
0.10175,24.64
0.12175,24.64
0.14275,24.32
0.16275,24.64
0.18275,24.64
0.20175,24.64
0.22175,24.64
0.24275,24.96
0.26275,24.96
0.28275,24.96
0.30175,24.96
0.32175,24.64
0.34275,24.64
0.36275,24.96
0.38275,24.96
0.40175,24.96
0.42175,24.96
0.44275,24.96
0.46275,25.28
0.48275,25.28
0.50275,25.28
0.52175,24.96
0.54275,25.28
0.56175,25.28
0.58275,25.28
0.60175,25.28
0.62175,25.28
0.64175,25.28
0.66275,25.28
0.68275,25.28
0.70175,25.28
0.72175,25.28
0.74275,24.96
0.76175,24.96
0.78275,24.96
0.80175,24.96
0.82175,24.96
0.84275,24.96
0.86275,24.96
0.88275,24.96
0.90175,25.28
0.92175,25.28
0.94275,25.28
0.96275,25.28
0.98275,25.28
1.00175,25.28
1.02175,25.28
1.04275,24.96
1.06275,24.96
1.08275,24.96
1.10175,25.28
1.12175,25.28
1.14175,25.28
1.16175,25.28
1.18275,25.28
1.20175,25.28
1.22175,25.28
1.24175,25.28
1.26275,25.6
1.28275,25.6
1.30175,25.6
1.32175,25.6
1.34175,25.6
1.36275,25.6
1.38275,25.6
1.40175,25.6
1.42175,25.6
1.44275,25.6
1.46275,25.92
1.48275,25.92
1.50175,25.92
1.52175,25.92
1.54275,25.92
1.56275,25.92
1.58275,25.92
1.60175,25.92
1.62175,26.24
1.64275,25.92
1.66375,26.24
1.68275,26.24
1.70175,26.24
1.72175,26.24
1.74275,26.24
1.76175,26.56
1.78175,26.56
1.80175,26.56
1.82175,26.56
1.84275,26.56
1.86175,26.88
1.88275,26.88
1.90175,26.88
1.92175,26.88
1.94275,26.88
1.96275,26.88
1.98275,26.88
2.00275,27.2
2.02175,27.2
2.04275,27.2
2.06275,27.52
2.08275,27.52
2.10175,27.52
2.12175,27.52
2.14275,27.52
2.16275,27.84
2.18275,27.84
2.20175,27.84
2.22175,28.16
2.24275,28.16
2.26275,28.16
2.28275,28.16
2.30175,28.16
2.32175,28.48
2.34175,28.48
2.36275,28.48
2.38275,28.48
2.40175,28.8
2.42175,28.8
2.44275,28.48
2.46275,28.8
2.48275,28.8
2.50175,28.8
2.52175,29.12
2.54275,29.12
2.56375,29.12
2.58275,29.12
2.60175,29.12
2.62175,29.44
