time,FuelCons
-6.25E-05,19748
0.0199375,19755
0.0399375,19762
0.0599375,19770
0.0799375,19777
0.0999375,19785
0.1199375,19793
0.1399375,19802
0.1599375,19810
0.1799375,19818
0.1999375,19826
0.2199375,19835
0.2399375,19843
0.2599375,19852
0.2799375,19861
0.2999375,19870
0.3199375,19880
0.3399375,19890
0.3599375,19900
0.3799375,19910
0.3999375,19920
0.4199375,19930
0.4399375,19941
0.4599375,19952
0.4799375,19962
0.4999375,19974
0.5199375,19985
0.5399375,19997
0.5599375,20009
0.5799375,20021
0.5999375,20033
0.6199375,20046
0.6399375,20059
0.6599375,20071
0.6799375,20084
0.6999375,20098
0.7199375,20111
0.7399375,20124
0.7599375,20138
0.7799375,20151
0.7999375,20165
0.8199375,20178
0.8399375,20192
0.8599375,20205
0.8799375,20218
0.8999375,20231
0.9199375,20245
0.9399375,20259
0.9599375,20273
0.9799375,20287
0.9999375,20301
1.019938,20317
1.039937,20332
1.059937,20349
1.079937,20365
1.099938,20382
1.119938,20400
1.139938,20418
1.159938,20436
1.179937,20455
1.199937,20474
1.219937,20494
1.239938,20513
1.259938,20534
1.279938,20554
1.299937,20575
1.319937,20596
1.339937,20618
1.359938,20640
1.379938,20662
1.399938,20685
1.419937,20707
1.438938,20730
1.458938,20753
1.478938,20776
1.498937,20800
1.518937,20824
1.538937,20849
1.558938,20874
1.578938,20900
1.598938,20926
1.618937,20953
1.638937,20980
1.658937,21008
1.678938,21036
1.698938,21065
1.718938,21094
1.738937,21123
1.758937,21152
1.778937,21182
1.798938,21211
1.818938,21240
1.838938,21270
1.858938,21301
1.878937,21332
1.898937,21362
1.918937,21394
1.938938,21425
1.958938,21457
1.978938,21489
1.998937,21522
2.018938,21554
2.038938,21586
2.058938,21619
2.078938,21651
2.098938,21684
2.118937,21717
2.138937,21750
2.158937,21783
2.178937,21817
2.198937,21850
2.218937,21884
2.238938,21917
2.258938,21952
2.278938,21986
2.298938,22020
2.318938,22054
2.338938,22089
2.358938,22124
2.378937,22158
2.398937,22193
2.418937,22228
2.438937,22262
2.458937,22297
2.478937,22332
2.498938,22366
2.518938,22401
2.538938,22436
2.558938,22471
2.578938,22506
2.598938,22541
2.618937,22576
2.638937,22612
2.658937,22647
2.678937,22682
2.698937,22717
2.718937,22752
2.738938,22786
2.758938,22822
2.778938,22857
2.798938,22892
2.818938,22928
2.838938,22964
2.857938,22999
2.877938,23034
2.897938,23069
2.917938,23104
2.937937,23140
2.957937,23175
2.977937,23210
2.997937,23245
3.017937,23280
3.037937,23315
3.057937,23351
3.077938,23386
3.097938,23422
3.117938,23457
3.137938,23493
3.157938,23528
3.177938,23563
3.197937,23599
3.217937,23634
3.237937,23669
3.257937,23705
3.277937,23740
3.297937,23775
3.317938,23810
3.337938,23845
3.357938,23880
3.377938,23916
3.397938,23951
3.417938,23986
3.437937,24021
3.457937,24056
3.477937,24091
3.497937,24126
3.517937,24161
3.537937,24196
3.557937,24232
3.577938,24268
3.597938,24304
3.617938,24340
3.637938,24376
3.657938,24412
3.677938,24448
3.697937,24484
3.717937,24520
3.737937,24556
3.757937,24591
3.777937,24627
3.797937,24663
3.817938,24699
3.837938,24735
3.857938,24770
3.877938,24806
3.897938,24842
3.917938,24877
3.937937,24913
3.957937,24948
3.977937,24984
3.997937,25020
4.017938,25056
4.037938,25092
4.057938,25129
4.077938,25165
4.097938,25201
4.117938,25237
4.137938,25273
4.157938,25309
4.177938,25345
4.197937,25380
4.217937,25416
4.237937,25452
4.257937,25488
4.277937,25524
4.297937,25560
4.317937,25597
4.337937,25633
4.356937,25669
4.376937,25705
4.396937,25740
4.416937,25776
4.436937,25813
4.457938,25848
4.477938,25885
4.497938,25920
4.516938,25956
4.536938,25992
4.556938,26027
4.576938,26063
4.596938,26099
4.616938,26135
4.636938,26171
4.656938,26207
4.676938,26242
4.696938,26278
4.716938,26314
4.736938,26351
4.756938,26386
4.776937,26422
4.796937,26458
4.816937,26494
4.836937,26530
4.856937,26566
4.876937,26601
4.896937,26637
4.916937,26673
4.936937,26709
4.956937,26745
4.976937,26780
4.996937,26816
5.016938,26851
5.036938,26887
5.056938,26922
5.076938,26957
5.096938,26992
5.116938,27027
5.136938,27061
5.156938,27095
5.176938,27129
5.196938,27163
5.216938,27196
5.236938,27229
5.256938,27262
5.276937,27295
5.296937,27327
5.316937,27359
5.336937,27391
5.356937,27423
5.376937,27454
5.396937,27485
5.416937,27516
5.436937,27546
5.456937,27576
5.476937,27605
5.496937,27635
5.516938,27663
5.536938,27692
5.556938,27720
5.576938,27748
5.596938,27776
5.616938,27805
5.636938,27833
5.656938,27861
5.676938,27889
5.696938,27917
5.716938,27944
5.736938,27972
5.756938,28000
5.776937,28027
5.796937,28055
5.816937,28083
5.836937,28110
5.855937,28138
5.875937,28166
5.895937,28193
5.915937,28221
5.935937,28248
5.955937,28275
5.975937,28302
5.995937,28330
6.015937,28357
6.035937,28384
6.055937,28411
6.075937,28438
6.095938,28465
6.115938,28493
6.135938,28520
6.155938,28547
6.175938,28574
6.195938,28601
6.215938,28629
6.235938,28656
6.255938,28684
6.275938,28712
6.295938,28739
6.315938,28767
6.335938,28795
6.355937,28822
6.375937,28850
6.395937,28877
6.415937,28904
6.435937,28932
6.455937,28959
6.475937,28987
6.495937,29014
6.515937,29042
6.535937,29069
6.555937,29096
6.575937,29124
6.595938,29151
6.615938,29178
6.635938,29206
6.655938,29233
6.675938,29261
6.695938,29288
6.715938,29316
6.735938,29344
6.755938,29372
6.775938,29400
6.795938,29427
6.815938,29455
6.835938,29483
6.855937,29510
