time,FuelTank
0.00175,40
0.02175,40
0.04175,40
0.06275,40
0.08275,40
0.10175,40
0.12175,40
0.14275,40
0.16275,40
0.18275,40
0.20175,40
0.22175,40
0.24275,40
0.26275,40
0.28275,40
0.30175,40
0.32175,40
0.34275,40
0.36275,40
0.38275,40
0.40175,40
0.42175,40
0.44275,40
0.46275,40
0.48275,40
0.50275,40
0.52175,40
0.54275,40
0.56175,40
0.58275,40
0.60175,40
0.62175,40
0.64175,40
0.66275,40
0.68275,40
0.70175,40
0.72175,40
0.74275,40
0.76175,40
0.78275,40
0.80175,40
0.82175,40
0.84275,40
0.86275,40
0.88275,40
0.90175,40
0.92175,40
0.94275,40
0.96275,40
0.98275,40
1.00175,40
1.02175,40
1.04275,40
1.06275,40
1.08275,40
1.10175,40
1.12175,40
1.14175,40
1.16175,40
1.18275,40
1.20175,40
1.22175,40
1.24175,40
1.26275,40
1.28275,40
1.30175,40
1.32175,40
1.34175,40
1.36275,40
1.38275,40
1.40175,40
1.42175,40
1.44275,40
1.46275,40
1.48275,40
1.50175,40
1.52175,40
1.54275,40
1.56275,40
1.58275,40
1.60175,40
1.62175,40
1.64275,40
1.66375,40
1.68275,40
1.70175,40
1.72175,40
1.74275,40
1.76175,40
1.78175,40
1.80175,40
1.82175,40
1.84275,40
1.86175,40
1.88275,40
1.90175,40
1.92175,40
1.94275,40
1.96275,40
1.98275,40
2.00275,40
2.02175,40
2.04275,40
2.06275,40
2.08275,40
2.10175,40
2.12175,40
2.14275,40
2.16275,40
2.18275,40
2.20175,40
2.22175,40
2.24275,40
2.26275,40
2.28275,40
2.30175,40
2.32175,40
2.34175,40
2.36275,40
2.38275,40
2.40175,40
2.42175,40
2.44275,40
2.46275,40
2.48275,40
2.50175,40
2.52175,40
2.54275,40
2.56375,40
2.58275,40
2.60175,40
2.62175,40
2.64275,40
2.66175,40
2.68275,40
2.70175,40
2.72175,40
2.74275,40
2.76275,40
2.78275,40
2.80175,40
2.82175,40
2.84275,40
2.86175,40
2.88275,40
2.90175,40
2.92175,40
2.94175,40
2.96175,40
2.98275,40
3.00175,40
3.02175,40
3.04275,40
3.06275,40
3.08275,40
3.10175,40
3.12175,40
3.14275,40
3.16275,40
3.18275,40
3.20175,40
3.22275,40
3.24275,40
3.26375,40
3.28275,40
3.30275,40
3.32275,40
3.34275,40
3.36275,40
3.38275,40
3.40275,40
3.42175,40
3.44275,40
3.46275,40
3.48275,40
3.50275,40
3.52275,40
3.54275,40
3.56275,40
3.58275,40
3.60175,40
3.62175,40
3.64175,40
3.66175,40
3.68275,40
3.70175,40
3.72175,40
3.74175,40
3.76175,40
3.78175,40
3.80175,40
3.82175,40
3.84175,40
3.86275,40
3.88275,40
3.90175,40
3.92175,40
3.94275,40
3.96275,40
3.98275,40
4.00175,40
4.02175,40
4.04275,40
4.06275,40
4.08275,40
4.10175,40
4.12175,40
4.14275,40
4.16275,40
4.18275,40
4.20175,40
4.22175,40
4.24275,40
4.26275,40
4.28275,40
4.30175,40
4.32175,40
4.34275,40
4.36275,40
4.38275,40
4.40175,40
4.42175,40
4.44275,40
4.46275,40
4.48275,40
4.50175,40
4.52175,40
4.54175,40
4.56275,40
4.58275,40
4.60175,40
4.62175,40
4.64275,40
4.66275,40
4.68275,40
4.70175,40
4.72175,40
4.74275,40
4.76275,40
4.78275,40
4.80175,40
4.82175,40
4.84275,40
4.86275,40
4.88275,40
4.90175,40
4.92175,40
4.94275,40
4.96275,40
4.98275,40
5.00275,40
5.02175,40
5.04275,40
5.06275,40
5.08275,40
5.10175,40
5.12175,40
5.14275,40
5.16275,40
5.18275,40
5.20175,40
5.22175,40
5.24275,40
5.26175,40
5.28175,40
5.30175,40
5.32175,40
5.34175,40
5.36275,40
5.38275,40
5.40175,40
5.42175,40
5.44275,40
5.46275,40
5.48275,40
5.50175,40
5.52175,40
5.54275,40
5.56275,40
5.58275,40
5.60175,40
5.62175,40
5.64275,40
5.66275,40
5.68275,40
5.70175,40
5.72175,40
5.74275,40
5.76175,40
5.78175,40
5.80175,40
5.82175,40
5.84275,40
5.86275,40
5.88275,40
5.90175,40
5.92175,40
5.94275,40
5.96275,40
5.98275,40
6.00175,40
6.02175,40
6.04275,40
6.06275,40
6.08275,40
6.10175,40
6.12175,40
6.14275,40
6.16275,40
6.18275,40
6.20175,40
6.22175,40
6.24175,40
6.26175,40
6.28175,40
6.30175,40
6.32175,40
6.34275,40
6.36175,40
6.38275,40
6.40175,40
6.42175,40
6.44275,40
6.46275,40
6.48275,40
6.50175,40
6.52175,40
6.54275,40
6.56275,40
6.58175,40
6.60175,40
6.62175,40
6.64175,40
6.66275,40
6.68175,40
6.70175,40
6.72175,40
6.74275,40
6.76275,40
6.78275,40
6.80175,40
6.82175,40
6.84175,40
6.86275,40
6.88175,40
6.90175,40
6.92175,40
6.94175,40
6.96175,40
6.98275,40
7.00175,40
7.02175,40
7.04175,40
7.06175,40
7.08275,40
7.10175,40
7.12175,40
7.14275,40
7.16275,40
7.18275,40
7.20175,40
7.22275,40
7.24275,40
7.26175,40
7.28275,40
7.30175,40
7.32175,40
7.34275,40
7.36175,40
7.38275,40
7.40175,40
7.42175,40
7.44275,40
7.46175,40
7.48275,40
7.50175,40
7.52175,40
7.54275,40
7.56175,40
7.58275,40
7.60175,40
7.62175,40
7.64275,40
7.66175,40
7.68275,40
7.70175,40
7.72175,40
7.74175,40
7.76275,40
7.78175,40
7.80175,40
7.82175,40
7.84275,40
7.86175,40
7.88275,40
7.90175,40
7.92175,40
7.94275,40
7.96175,40
7.98275,40
8.00175,40
8.02175,40
8.04275,40
8.06275,40
8.08275,40
8.10175,40
8.12175,40
8.14275,40
8.16275,40
8.18175,40
8.20275,40
8.22175,40
8.24275,40
8.26275,40
8.28275,40
8.30175,40
8.32175,40
8.34275,40
8.36175,40
8.38175,40
8.40175,40
8.42175,40
8.44275,40
8.46375,40
8.48275,40
8.50175,40
8.52175,40
8.54275,40
8.56175,40
8.58275,40
8.60175,40
8.62175,40
8.64275,40
8.66275,40
8.68275,40
8.70175,40
8.72175,40
8.74275,40
8.76275,40
8.78175,40
8.80175,40
8.82175,40
8.84275,40
8.86275,40
8.88275,40
8.90175,40
8.92175,40
8.94275,40
8.96275,40
8.98275,40
9.00175,40
9.02175,40
9.04275,40
9.06175,40
9.08275,40
9.10175,40
9.12175,40
9.14275,40
9.16175,40
9.18275,40
9.20175,40
9.22175,40
9.24175,40
9.26275,40
9.28275,40
9.30175,40
9.32175,40
9.34175,40
9.36275,40
9.38275,40
9.40175,40
9.42175,40
9.44275,40
9.46275,40
9.48275,40
9.50175,40
9.52175,40
9.54275,40
9.56275,40
9.58275,40
9.60175,40
9.62175,40
9.64275,40
9.66175,40
9.68275,40
9.70175,40
9.72175,40
9.74275,40
9.76175,40
9.78275,40
9.80175,40
9.82175,40
9.84275,40
9.86175,40
9.88275,40
9.90175,40
9.92175,40
9.94175,40
9.96175,40
9.98275,40
10.00175,40
10.02175,40
10.04275,40
10.06275,40
10.08275,40
10.10175,40
10.12175,40
10.14275,40
10.16275,40
10.18275,40
10.20175,40
10.22175,40
10.24275,40
10.26275,40
10.28275,40
10.30175,40
10.32175,40
10.34275,40
10.36275,40
10.38275,40
10.40175,40
10.42175,40
10.44275,40
10.46175,40
10.48275,40
10.50175,40
10.52175,40
10.54275,40
10.56275,40
10.58275,40
10.60175,40
10.62175,40
10.64275,40
10.66175,40
10.68275,40
10.70175,40
10.72175,40
10.74175,40
10.76175,40
10.78275,40
10.80175,40
10.82175,40
10.84275,40
10.86275,40
10.88275,40
10.90175,40
10.92175,40
10.94275,40
10.96175,40
10.98275,40
11.00275,40
11.02275,40
11.04275,40
11.06275,40
11.08275,40
11.10175,40
11.12175,40
11.14275,40
11.16275,40
11.18275,40
11.20175,40
11.22175,40
11.24275,40
11.26175,40
11.28275,40
11.30275,40
11.32175,40
11.34275,40
11.36175,40
11.38175,40
11.40175,40
11.42175,40
11.44275,40
11.46175,40
11.48175,40
11.50175,40
11.52175,40
11.54275,40
11.56175,40
11.58175,40
11.60175,40
11.62175,40
11.64275,40
11.66175,40
11.68275,40
11.70175,40
11.72175,40
11.74275,40
11.76275,40
11.78275,40
11.80175,40
11.82175,40
11.84275,40
11.86175,40
11.88275,40
11.90175,40
11.92175,40
11.94275,40
11.96275,40
11.98275,40
12.00175,40
12.02175,40
12.04275,40
12.06275,40
12.08275,40
12.10175,40
12.12175,40
12.14275,40
12.16275,40
12.18275,40
12.20275,40
12.22175,40
12.24275,40
12.26175,40
12.28275,40
12.30175,40
12.32175,40
12.34175,40
12.36175,40
12.38275,40
12.40175,40
12.42175,40
12.44175,40
12.46275,40
12.48275,40
12.50175,40
12.52175,40
12.54175,40
12.56275,40
12.58275,40
12.60175,40
12.62175,40
12.64175,40
12.66275,40
12.68175,40
12.70175,40
12.72175,40
12.74275,40
12.76275,40
12.78175,40
12.80175,40
12.82175,40
12.84275,40
12.86275,40
12.88175,40
12.90175,40
12.92175,40
12.94275,40
12.96275,40
12.98175,40
13.00175,40
13.02175,40
13.04275,40
13.06275,40
13.08175,40
13.10175,40
13.12175,40
13.14175,40
13.16275,40
13.18175,40
13.20175,40
13.22175,40
13.24275,40
13.26275,40
13.28275,40
13.30175,40
13.32175,40
13.34275,40
13.36275,40
13.38175,40
13.40175,40
13.42175,40
13.44275,40
13.46275,40
13.48175,40
13.50175,40
13.52175,40
13.54275,40
13.56275,40
13.58275,40
13.60175,40
13.62175,40
13.64275,40
13.66275,40
13.68275,40
13.70175,40
13.72175,40
13.74275,40
13.76275,40
13.78175,40
13.80175,40
13.82175,40
13.84175,40
13.86275,40
13.88175,40
13.90175,40
13.92175,40
13.94175,40
13.96275,40
13.98175,40
14.00175,40
14.02175,40
14.04175,40
14.06275,40
14.08175,40
14.10175,40
14.12175,40
14.14275,40
14.16275,40
14.18275,40
14.20175,40
14.22175,40
14.24275,40
14.26275,40
14.28175,40
14.30175,40
14.32175,40
14.34175,40
14.36275,40
14.38375,40
14.40175,40
14.42175,40
14.44175,40
14.46275,40
14.48275,40
14.50175,40
14.52175,40
14.54175,40
14.56275,40
14.58175,40
14.60175,40
14.62175,40
14.64175,40
14.66275,40
14.68175,40
14.70175,40
14.72175,40
14.74175,40
14.76275,40
14.78275,40
14.80175,40
14.82175,40
14.84175,40
14.86275,40
14.88275,40
14.90275,40
14.92275,40
14.94275,40
14.96175,40
14.98275,40
15.00175,40
15.02175,40
15.04275,40
15.06175,40
15.08275,40
15.10175,40
15.12175,40
15.14275,40
15.16275,40
15.18275,40
15.20175,40
15.22175,40
15.24175,40
15.26275,40
15.28175,40
15.30175,40
15.32175,40
15.34175,40
15.36175,40
15.38175,40
15.40175,40
15.42175,40
15.44175,40
15.46275,40
15.48175,40
15.50175,40
15.52175,40
15.54175,40
15.56275,40
15.58175,40
15.60175,40
15.62175,40
15.64175,40
15.66175,40
15.68275,40
15.70175,40
15.72175,40
15.74275,40
15.76275,40
15.78175,40
15.80275,40
15.82175,40
15.84275,40
15.86275,40
15.88275,40
15.90175,40
15.92175,40
15.94275,40
15.96275,40
15.98275,40
16.00175,40
16.02175,40
16.04275,40
16.06275,40
16.08175,40
16.10175,40
16.12175,40
16.14275,40
16.16175,40
16.18175,40
16.20175,40
16.22175,40
16.24275,40
16.26275,40
16.28175,40
16.30175,40
16.32175,40
16.34275,40
16.36175,40
16.38275,40
16.40175,40
16.42175,40
16.44275,40
16.46175,40
16.48275,40
16.50175,40
16.52175,40
16.54275,40
16.56275,40
16.58275,40
16.60175,40
16.62175,40
16.64275,40
16.66275,40
16.68275,40
16.70175,40
16.72175,40
16.74275,40
16.76275,40
16.78275,40
16.80175,40
16.82175,40
16.84175,40
16.86175,40
16.88175,40
16.90175,40
16.92175,40
