time,RevoPMin
-0.00015625,1353
0.01984375,1352
0.03984375,1355
0.05984375,1356
0.07984375,1356
0.09984375,1353
0.1198438,1353
0.1398437,1350
0.1598437,1349
0.1798438,1353
0.1998437,1356
0.2198437,1358
0.2398438,1363
0.2598437,1364
0.2798437,1358
0.2998438,1362
0.3198437,1363
0.3398438,1363
0.3598438,1364
0.3798437,1369
0.3998438,1372
0.4198438,1375
0.4398437,1377
0.4598438,1381
0.4798437,1385
0.4998437,1387
0.5198438,1389
0.5398437,1389
0.5598438,1390
0.5798438,1390
0.5998437,1389
0.6198437,1388
0.6398438,1389
0.6598437,1388
0.6798437,1384
0.6998438,1382
0.7198437,1381
0.7398437,1378
0.7598438,1373
0.7798437,1373
0.7998437,1374
0.8198438,1374
0.8398438,1372
0.8598437,1375
0.8798438,1382
0.8998438,1385
0.9198437,1385
0.9398438,1384
0.9598438,1387
0.9798437,1389
0.9998438,1389
1.019844,1386
1.039844,1390
1.059844,1393
1.079844,1395
1.099844,1394
1.119844,1392
1.139844,1393
1.159844,1396
1.179844,1398
1.199844,1400
1.219844,1402
1.239844,1404
1.259844,1408
1.279844,1409
1.299844,1412
1.318844,1413
1.338844,1414
1.358844,1413
1.378844,1417
1.398844,1418
1.418844,1419
1.438844,1418
1.458844,1419
1.478844,1424
1.498844,1426
1.518844,1428
1.538844,1431
1.559844,1440
1.578844,1444
1.598844,1442
1.618844,1442
1.638844,1448
1.658844,1450
1.678844,1450
1.698844,1448
1.718844,1453
1.738844,1456
1.758844,1462
1.778844,1463
1.798844,1473
1.818844,1477
1.838844,1480
1.858844,1476
1.878844,1481
1.898844,1485
1.918844,1487
1.938844,1488
1.958844,1495
1.978844,1497
1.998844,1497
2.018844,1497
2.038844,1512
2.058844,1517
2.078844,1524
2.098844,1528
2.118844,1535
2.138844,1538
2.158844,1541
2.178844,1543
2.198844,1552
2.218844,1556
2.238844,1561
2.258844,1559
2.278844,1569
2.298844,1573
2.318844,1573
2.338844,1574
2.358844,1579
2.378844,1580
2.398844,1584
2.418844,1588
2.438844,1595
2.458844,1598
2.478844,1602
2.498844,1610
2.518844,1614
2.538844,1616
2.558844,1615
2.578844,1622
2.598844,1625
2.618844,1627
2.638844,1630
2.658844,1638
2.678844,1640
2.698844,1644
2.718844,1654
2.738844,1657
2.758844,1659
2.778844,1655
2.798844,1660
2.818844,1662
2.838844,1664
2.858844,1668
2.877844,1676
2.898844,1681
2.918844,1680
2.938844,1686
2.958844,1690
2.978844,1694
2.998844,1696
3.017844,1702
3.037844,1704
3.057844,1703
3.077844,1708
3.097844,1710
3.117844,1712
3.137844,1712
3.157844,1719
3.177844,1720
3.197844,1717
3.217844,1723
3.238844,1727
3.258844,1728
3.278844,1729
3.298844,1735
3.318844,1739
3.337844,1738
3.357844,1743
3.377844,1747
3.397844,1751
3.417844,1749
3.437844,1747
3.457844,1760
3.477844,1765
3.497844,1772
3.517844,1777
3.537844,1772
3.557844,1770
3.577844,1771
3.597844,1771
3.617844,1767
3.637844,1772
3.657844,1776
3.677844,1774
3.697844,1777
3.717844,1783
3.737844,1786
3.757844,1785
3.777844,1790
3.797844,1792
3.817844,1785
3.837844,1791
3.857844,1796
3.877844,1800
3.897844,1805
3.917844,1807
3.937844,1813
3.957844,1812
3.977844,1814
3.997844,1816
4.017844,1812
4.037844,1814
4.057844,1815
