time,SideAccl
3.125E-05,0.27
0.02003125,0.24
0.04003125,0.24
0.06003125,0.26
0.08003125,0.25
0.1000312,0.26
0.1200313,0.3
0.1400312,0.33
0.1600312,0.36
0.1800313,0.39
0.2000313,0.39
0.2200312,0.37
0.2400313,0.34
0.2600313,0.3
0.2800313,0.27
0.3000312,0.27
0.3200313,0.3
0.3400312,0.36
0.3600312,0.4
0.3800313,0.41
0.4000312,0.39
0.4200312,0.39
0.4400313,0.42
0.4600312,0.45
0.4800313,0.45
0.5000312,0.43
0.5200313,0.4
0.5400313,0.39
0.5600312,0.41
0.5800313,0.47
0.6000313,0.52
0.6200312,0.54
0.6400313,0.53
0.6600313,0.52
0.6800312,0.51
0.7000312,0.51
0.7200313,0.5
0.7400312,0.5
0.7600312,0.51
0.7800313,0.53
0.8000312,0.52
0.8200312,0.53
0.8400313,0.52
0.8600312,0.5
0.8800312,0.47
0.9000313,0.45
0.9200312,0.44
0.9400312,0.44
0.9600313,0.47
0.9800313,0.49
1.000031,0.49
1.020031,0.49
1.040031,0.49
1.060031,0.5
1.080031,0.51
1.100031,0.5
1.120031,0.48
1.140031,0.48
1.160031,0.49
1.180031,0.51
1.200031,0.53
1.220031,0.53
1.240031,0.5
1.260031,0.48
1.280031,0.46
1.300031,0.47
1.320031,0.48
1.340031,0.48
1.360031,0.47
1.380031,0.45
1.400031,0.45
1.420031,0.47
1.440031,0.51
1.460031,0.53
1.480031,0.53
1.500031,0.52
1.520031,0.5
1.540031,0.49
1.560031,0.48
1.580031,0.47
1.600031,0.48
1.620031,0.49
1.640031,0.5
1.660031,0.51
1.680031,0.51
1.700031,0.5
1.720031,0.48
1.740031,0.46
1.760031,0.44
1.780031,0.43
1.800031,0.43
1.820031,0.43
1.840031,0.43
1.860031,0.43
1.880031,0.45
1.900031,0.46
1.920031,0.48
1.940031,0.49
1.960031,0.47
1.980031,0.45
2.000031,0.43
2.020031,0.41
2.040031,0.39
2.060031,0.37
2.080031,0.36
2.100031,0.36
2.120031,0.36
2.140031,0.35
2.160031,0.33
2.180031,0.31
2.200031,0.3
2.220031,0.29
2.240031,0.29
2.260031,0.3
2.280031,0.31
2.300031,0.31
2.320031,0.3
2.340031,0.27
2.360031,0.25
2.380031,0.24
2.400031,0.24
2.420031,0.24
2.440031,0.24
2.460031,0.23
2.480031,0.22
2.500031,0.2
2.520031,0.17
2.540031,0.15
2.560031,0.13
2.580031,0.12
2.600031,0.12
2.620031,0.12
2.640031,0.12
2.660031,0.11
2.680031,0.1
2.700031,0.0900000000000001
2.720031,0.0900000000000001
2.740031,0.1
2.760031,0.12
2.780031,0.12
2.800031,0.13
2.820031,0.11
2.840031,0.0800000000000001
2.860031,0.0600000000000001
2.880031,0.04
2.900031,0.04
2.920031,0.05
2.940031,0.0600000000000001
2.960031,0.0700000000000001
2.980031,0.0800000000000001
3.000031,0.0700000000000001
3.020031,0.05
3.040031,0.04
3.060031,0.03
3.080031,0.03
3.100031,0.03
3.120031,0.03
3.140031,0.03
3.160031,0.03
3.180031,0.03
3.200031,0.03
3.220031,0.04
3.240031,0.04
3.260031,0.05
3.280031,0.0600000000000001
3.300031,0.0700000000000001
3.320031,0.0600000000000001
3.340031,0.04
3.360031,0.02
3.380031,0.01
3.400031,0.01
3.420031,0.02
3.440031,0.03
3.460031,0.04
3.480031,0.0600000000000001
3.500031,0.0700000000000001
3.520031,0.0700000000000001
3.540031,0.0600000000000001
3.560031,0.05
3.580031,0.04
3.600031,0.04
3.620031,0.04
3.640031,0.03
3.660031,0.02
3.680031,0.01
3.700031,0.01
3.720031,0.03
3.740031,0.04
3.760031,0.05
3.780031,0.0600000000000001
3.800031,0.0600000000000001
3.820031,0.04
3.840031,0.03
3.860031,0.02
3.880031,0.02
3.900031,0.02
3.920031,0.02
3.940031,0.01
3.960031,0.01
3.980031,0.01
4.000031,0.02
4.020031,0.02
4.039031,0.02
4.059031,0.03
4.079031,0.02
4.099031,0.02
4.119031,0.02
4.139031,0.02
4.159031,0.02
4.179031,0.02
4.199031,0.02
4.219031,0.02
4.239031,0.01
4.259031,0.02
4.279031,0.02
4.299031,0.01
4.319031,0
4.339031,0
4.359031,0.01
4.379031,0.01
4.399031,0.02
4.419031,0.02
4.439031,0.03
4.459031,0.03
4.479031,0.02
4.499031,0.02
4.519031,0.03
4.539031,0.02
4.559031,0.01
4.579031,0
4.599031,0.01
4.619031,0.01
4.639031,0
4.659031,0.02
4.679031,0.02
4.699031,0.02
4.719031,0.02
4.739031,0.02
4.759031,0.02
4.779031,0.02
4.799031,0.02
4.819031,0.02
4.839031,0.01
4.859031,0
4.879031,0
4.899031,0
4.919031,0.01
4.939031,0.01
4.959031,0.01
4.979031,0.01
4.999031,0
5.019031,0
5.039031,0.01
5.059031,0.01
5.079031,0.02
5.099031,0.02
5.119031,0.01
5.139031,0
5.159031,0
5.179031,0
5.199031,0
5.219031,0
5.239031,0
5.259031,0
5.279031,0
5.299031,0
5.319031,0.01
5.339031,0.02
5.359031,0.04
5.379031,0.03
5.399031,0.02
5.419031,0
5.439031,0
5.459031,0
5.479031,0.01
5.499031,0.01
5.519031,0
5.539031,0
5.559031,0
5.579031,0
5.599031,0
5.619031,0
5.639031,0.01
5.659031,0.01
5.679031,0
5.699031,-0.01
5.719031,-0.02
5.739031,-0.01
5.759031,0
5.779031,0
5.799031,0
5.819031,0
5.839031,-0.01
5.859031,-0.01
5.879031,-0.01
5.899031,-0.01
5.919031,-0.01
5.939031,-0.01
5.959031,-0.02
5.979031,-0.03
5.999031,-0.04
6.019031,-0.03
6.039031,-0.03
6.059031,-0.01
6.079031,-0.01
6.099031,-0.01
6.119031,-0.02
6.139031,-0.03
6.159031,-0.03
6.179031,-0.03
6.200031,-0.03
6.220031,-0.03
6.240031,-0.04
6.260031,-0.05
6.280031,-0.0600000000000001
6.300031,-0.0600000000000001
6.320031,-0.0600000000000001
6.340031,-0.05
6.360031,-0.05
6.380031,-0.05
6.400031,-0.0600000000000001
6.420031,-0.0700000000000001
6.440031,-0.0600000000000001
6.460031,-0.0600000000000001
6.480031,-0.0600000000000001
6.500031,-0.0700000000000001
6.520031,-0.0800000000000001
6.540031,-0.0800000000000001
6.560031,-0.0800000000000001
6.580031,-0.0900000000000001
6.600031,-0.0900000000000001
6.620031,-0.0800000000000001
6.640031,-0.0700000000000001
6.660031,-0.0700000000000001
6.680031,-0.0800000000000001
6.700031,-0.0900000000000001
6.720031,-0.1
6.740031,-0.1
6.760031,-0.0900000000000001
6.780031,-0.0900000000000001
6.800031,-0.1
6.820031,-0.1
6.839031,-0.1
6.859031,-0.1
6.879031,-0.1
6.899031,-0.11
6.919031,-0.1
6.939031,-0.1
6.959031,-0.0900000000000001
6.979031,-0.0900000000000001
6.999031,-0.0900000000000001
7.019031,-0.1
7.039031,-0.11
7.059031,-0.11
7.079031,-0.11
7.099031,-0.11
7.119031,-0.11
7.139031,-0.11
7.159031,-0.12
7.179031,-0.12
7.199031,-0.12
7.219031,-0.12
7.239031,-0.13
7.259031,-0.13
7.279031,-0.13
7.299031,-0.13
7.319031,-0.14
7.339031,-0.14
7.359031,-0.15
7.379031,-0.15
7.399031,-0.16
7.419031,-0.17
7.439031,-0.16
7.459031,-0.16
7.479031,-0.17
7.499031,-0.17
7.519031,-0.17
7.539031,-0.17
7.559031,-0.16
7.579031,-0.15
7.599031,-0.15
7.619031,-0.16
7.639031,-0.17
7.659031,-0.18
7.679031,-0.19
7.699031,-0.21
7.719031,-0.21
7.739031,-0.2
7.759031,-0.2
7.779031,-0.2
7.799031,-0.2
7.819031,-0.21
7.839031,-0.2
7.859031,-0.19
7.879031,-0.18
7.899031,-0.17
7.919031,-0.19
7.939031,-0.2
7.959031,-0.22
7.979031,-0.23
7.999031,-0.23
8.019032,-0.22
8.039031,-0.21
8.059031,-0.21
8.079031,-0.22
8.099031,-0.22
8.119031,-0.21
8.139031,-0.21
8.159031,-0.21
8.179031,-0.21
8.199031,-0.22
8.219031,-0.21
8.239031,-0.22
8.259031,-0.22
8.279031,-0.22
8.299031,-0.21
8.319032,-0.21
8.339031,-0.21
8.359032,-0.22
8.379031,-0.23
8.399032,-0.24
8.419031,-0.24
8.439032,-0.24
8.459031,-0.23
8.479032,-0.22
8.499031,-0.22
8.519032,-0.21
8.539031,-0.21
8.559031,-0.2
8.579031,-0.2
8.599031,-0.2
8.619031,-0.2
8.639031,-0.22
8.659031,-0.23
8.679031,-0.24
8.699031,-0.25
8.719031,-0.24
8.739031,-0.22
8.759031,-0.21
8.779031,-0.21
8.799031,-0.22
8.819032,-0.22
8.839031,-0.21
8.859032,-0.21
8.879031,-0.2
8.899032,-0.2
8.919031,-0.21
8.939032,-0.21
8.959031,-0.21
8.979032,-0.22
8.999031,-0.22
9.019032,-0.21
9.039031,-0.21
9.059031,-0.2
9.079031,-0.19
9.099031,-0.19
9.119031,-0.19
9.139031,-0.2
9.159031,-0.2
9.179031,-0.2
9.199031,-0.2
9.219031,-0.2
9.239031,-0.21
9.259031,-0.21
9.279031,-0.2
9.299031,-0.19
9.319032,-0.17
9.339031,-0.17
9.359032,-0.19
9.379031,-0.2
9.399032,-0.21
9.419031,-0.22
9.439032,-0.22
9.459031,-0.21
9.479032,-0.2
9.499031,-0.19
9.519032,-0.19
9.539031,-0.19
9.559031,-0.19
9.579031,-0.19
9.599031,-0.19
9.619031,-0.2
9.639031,-0.2
9.659031,-0.2
9.679031,-0.2
9.699031,-0.21
9.719031,-0.21
9.739031,-0.21
9.759031,-0.22
9.779031,-0.22
9.799031,-0.21
9.819032,-0.2
9.839031,-0.19
9.859032,-0.19
9.879031,-0.2
9.899032,-0.21
9.919031,-0.21
9.939032,-0.21
9.959031,-0.2
9.979032,-0.2
9.999031,-0.19
10.01903,-0.19
10.04003,-0.2
10.05903,-0.21
10.07903,-0.2
10.09903,-0.2
10.12003,-0.2
10.14003,-0.19
10.16003,-0.19
10.18003,-0.2
10.20003,-0.2
10.22003,-0.21
10.24003,-0.21
10.25903,-0.22
10.27903,-0.21
10.29903,-0.21
10.31903,-0.22
10.34003,-0.21
10.35903,-0.21
10.37903,-0.22
10.39903,-0.23
10.41903,-0.23
10.44003,-0.24
10.46003,-0.25
10.48003,-0.25
10.50003,-0.25
10.51903,-0.24
10.54003,-0.23
10.55903,-0.23
10.57903,-0.22
10.60003,-0.23
10.61903,-0.23
10.63903,-0.23
10.65903,-0.23
10.67903,-0.24
10.69903,-0.25
10.71903,-0.25
10.73903,-0.24
10.75903,-0.24
10.77903,-0.24
10.79903,-0.24
10.81903,-0.24
10.83903,-0.25
10.85903,-0.25
10.87903,-0.25
10.89903,-0.25
10.91903,-0.25
10.93903,-0.25
10.95903,-0.26
10.97903,-0.26
10.99903,-0.26
11.01903,-0.26
11.03903,-0.24
11.05903,-0.22
11.07903,-0.21
11.09903,-0.21
11.11903,-0.22
11.13903,-0.23
11.15903,-0.24
11.17903,-0.25
11.19903,-0.24
11.21903,-0.23
11.23903,-0.21
11.25903,-0.2
11.27903,-0.2
11.29903,-0.21
11.31903,-0.22
11.33903,-0.23
11.35903,-0.24
11.37903,-0.24
11.39903,-0.23
11.41903,-0.21
11.43903,-0.21
11.45903,-0.2
11.47903,-0.19
11.49903,-0.19
11.51903,-0.18
11.53903,-0.18
11.55903,-0.18
11.57903,-0.17
11.59903,-0.17
11.61903,-0.15
11.63903,-0.15
11.65903,-0.15
11.67903,-0.16
11.69903,-0.17
11.71903,-0.17
11.73903,-0.16
11.75903,-0.15
11.77903,-0.13
11.79903,-0.13
11.81903,-0.13
11.83903,-0.13
11.85903,-0.14
11.87903,-0.15
11.89903,-0.14
11.91903,-0.13
11.93903,-0.12
11.95903,-0.11
11.97903,-0.1
11.99903,-0.0900000000000001
12.01903,-0.0900000000000001
12.03903,-0.0900000000000001
12.05903,-0.0900000000000001
12.07903,-0.0800000000000001
12.09903,-0.0600000000000001
12.11903,-0.0600000000000001
12.13903,-0.05
12.15903,-0.0600000000000001
12.17903,-0.0700000000000001
12.19903,-0.0700000000000001
12.21903,-0.0600000000000001
12.23903,-0.05
12.25903,-0.04
12.27903,-0.05
12.29903,-0.0600000000000001
12.31903,-0.05
12.33903,-0.05
12.35903,-0.05
12.37903,-0.0600000000000001
12.39903,-0.0600000000000001
12.41903,-0.0600000000000001
12.43903,-0.0600000000000001
12.45903,-0.05
12.47903,-0.05
12.49903,-0.05
12.51903,-0.05
12.53903,-0.05
12.55903,-0.0600000000000001
12.57903,-0.0600000000000001
12.59903,-0.0700000000000001
12.61903,-0.0700000000000001
12.63903,-0.0700000000000001
12.65903,-0.0700000000000001
12.67903,-0.0600000000000001
12.69903,-0.05
12.71903,-0.04
12.73903,-0.03
12.75903,-0.02
12.77903,-0.02
12.79903,-0.03
12.81903,-0.04
12.83903,-0.04
12.85903,-0.04
12.87903,-0.03
12.89903,-0.03
12.91903,-0.03
12.93903,-0.03
12.95903,-0.04
12.97903,-0.04
12.99903,-0.04
13.01903,-0.03
13.03903,-0.03
13.05903,-0.02
13.07903,-0.02
13.09903,-0.03
13.11903,-0.03
13.13903,-0.03
13.15903,-0.02
13.17903,-0.02
13.19903,-0.03
13.21903,-0.03
13.23903,-0.04
13.25903,-0.05
13.27903,-0.05
13.29903,-0.04
13.31903,-0.04
13.33903,-0.03
13.35903,-0.02
13.37903,-0.02
13.39903,-0.02
13.41903,-0.02
13.43903,-0.03
13.45903,-0.04
13.47903,-0.04
13.49903,-0.03
13.51903,-0.03
13.53903,-0.02
13.55903,-0.02
13.57903,-0.02
13.59903,-0.03
13.61903,-0.03
13.63903,-0.03
13.65903,-0.04
13.67903,-0.04
13.69903,-0.03
13.71903,-0.03
13.73903,-0.03
13.75903,-0.03
13.77903,-0.03
13.79903,-0.03
13.81903,-0.02
13.83903,-0.03
13.85903,-0.03
13.87903,-0.03
13.89903,-0.02
13.91903,-0.03
13.93903,-0.03
13.95903,-0.02
13.97903,-0.02
13.99903,-0.02
14.01903,-0.02
14.03903,-0.02
14.05903,-0.02
14.07903,-0.03
14.09903,-0.03
14.11903,-0.02
14.13903,-0.02
14.15903,-0.02
14.17903,-0.02
14.19903,-0.02
14.21903,-0.02
14.23903,-0.03
14.25903,-0.03
14.27903,-0.04
14.29903,-0.03
14.31903,-0.03
14.33903,-0.03
