time,SpeedCom
0.00175,22.71
0.02175,22.65
0.04175,22.7
0.06275,22.4
0.08275,22.4
0.10175,22.63
0.12175,22.48
0.14275,22.37
0.16275,22.68
0.18275,22.68
0.20175,22.61
0.22175,22.73
0.24275,22.91
0.26275,22.79
0.28275,22.79
0.30175,22.98
0.32175,22.48
0.34275,22.55
0.36275,22.91
0.38275,22.91
0.40175,22.84
0.42175,23.03
0.44275,22.95
0.46275,23.1
0.48275,23.1
0.50275,23.14
0.52175,22.91
0.54275,23.1
0.56175,23.14
0.58275,23.14
0.60175,23.13
0.62175,23.12
0.64175,23.27
0.66275,23.05
0.68275,23.05
0.70175,23.09
0.72175,23.1
0.74275,22.95
0.76175,22.91
0.78275,22.91
0.80175,22.86
0.82175,22.95
0.84275,22.89
0.86275,23.03
0.88275,23.03
0.90175,23.14
0.92175,23.14
0.94275,23.13
0.96275,23.07
0.98275,23.07
1.00175,23.13
1.02175,23.09
1.04275,22.98
1.06275,23.02
1.08275,23.02
1.10175,23.09
1.12175,23.1
1.14175,23.12
1.16175,23.3
1.18275,23.3
1.20175,23.31
1.22175,23.34
1.24175,23.34
1.26275,23.45
1.28275,23.45
1.30175,23.37
1.32175,23.46
1.34175,23.51
1.36275,23.49
1.38275,23.49
1.40175,23.56
1.42175,23.48
1.44275,23.56
1.46275,23.67
1.48275,23.67
1.50175,23.87
1.52175,23.86
1.54275,23.93
1.56275,23.88
1.58275,23.88
1.60175,23.93
1.62175,24.07
1.64275,23.95
1.66375,24.11
1.68275,24.11
1.70175,24.15
1.72175,24.14
1.74275,24.18
1.76175,24.34
1.78175,24.34
1.80175,24.32
1.82175,24.53
1.84275,24.52
1.86175,24.67
1.88275,24.67
1.90175,24.6
1.92175,24.66
1.94275,24.77
1.96275,24.88
1.98275,24.88
2.00275,24.94
2.02175,24.95
2.04275,25.08
2.06275,25.34
2.08275,25.34
2.10175,25.38
2.12175,25.36
2.14275,25.52
2.16275,25.71
2.18275,25.71
2.20175,25.68
2.22175,25.85
2.24275,25.89
2.26275,26.09
2.28275,26.09
2.30175,26.13
2.32175,26.16
2.34175,26.28
2.36275,26.44
2.38275,26.44
2.40175,26.58
2.42175,26.58
2.44275,26.45
2.46275,26.76
2.48275,26.76
2.50175,26.69
2.52175,26.9
2.54275,26.9
2.56375,27
2.58275,27
2.60175,27.04
2.62175,27.14
2.64275,27.25
2.66175,27.48
2.68275,27.48
2.70175,27.5
2.72175,27.45
2.74275,27.48
2.76275,27.66
2.78275,27.66
2.80175,27.7
2.82175,27.77
2.84275,27.87
2.86175,27.95
2.88275,27.95
2.90175,28.06
2.92175,28.09
2.94175,28.09
2.96175,28.19
2.98275,28.19
3.00175,28.27
3.02175,28.3
3.04275,28.47
3.06275,28.48
3.08275,28.48
3.10175,28.47
3.12175,28.5
3.14275,28.51
3.16275,28.68
3.18275,28.68
3.20175,28.77
3.22275,28.75
3.24275,28.79
3.26375,28.96
3.28275,28.96
3.30275,28.96
3.32275,29.07
3.34275,28.98
3.36275,29.19
3.38275,29.19
3.40275,29.3
3.42175,29.17
3.44275,29.33
3.46275,29.17
3.48275,29.17
3.50275,29.27
3.52275,29.59
3.54275,29.23
3.56275,29.52
3.58275,29.52
3.60175,29.53
3.62175,29.6
3.64175,29.69
3.66175,29.74
3.68275,29.74
3.70175,29.7
3.72175,29.86
3.74175,29.8
3.76175,29.86
3.78175,29.86
3.80175,29.72
3.82175,29.98
3.84175,29.9
3.86275,30.14
3.88275,30.14
3.90175,30.04
3.92175,30.09
3.94275,30.23
3.96275,30.28
3.98275,30.28
4.00175,30.28
4.02175,30.3
4.04275,30.27
4.06275,30.27
4.08275,30.27
4.10175,30.42
4.12175,30.39
4.14275,30.39
4.16275,30.46
4.18275,30.46
4.20175,30.46
4.22175,30.66
4.24275,30.63
4.26275,30.74
4.28275,30.74
4.30175,30.67
4.32175,30.71
4.34275,30.84
4.36275,30.77
4.38275,30.77
4.40175,30.92
4.42175,30.92
4.44275,30.92
4.46275,30.99
4.48275,30.99
4.50175,31.02
4.52175,31.03
4.54175,31.06
4.56275,31.16
4.58275,31.16
4.60175,31.22
4.62175,31.23
4.64275,31.2
4.66275,31.38
4.68275,31.38
4.70175,31.4
4.72175,31.33
4.74275,31.41
4.76275,31.41
4.78275,31.41
4.80175,31.4
4.82175,31.47
4.84275,31.5
4.86275,31.54
4.88275,31.54
4.90175,31.64
4.92175,31.68
4.94275,31.63
4.96275,31.75
4.98275,31.75
5.00275,31.72
5.02175,31.79
5.04275,31.75
5.06275,31.78
5.08275,31.78
5.10175,31.82
5.12175,31.85
5.14275,31.95
5.16275,31.79
5.18275,31.79
5.20175,31.88
5.22175,31.96
5.24275,31.96
5.26175,31.98
5.28175,31.98
5.30175,31.89
5.32175,31.89
5.34175,31.96
5.36275,31.85
5.38275,31.85
5.40175,31.91
5.42175,31.89
5.44275,31.96
5.46275,32.03
5.48275,32.03
5.50175,32.03
5.52175,32.03
5.54275,32.02
5.56275,32.05
5.58275,32.05
5.60175,31.96
5.62175,31.91
5.64275,31.89
5.66275,32.03
5.68275,32.03
5.70175,31.91
5.72175,32
5.74275,32.05
5.76175,32.02
5.78175,32.02
5.80175,32.03
5.82175,31.84
5.84275,31.89
5.86275,31.93
5.88275,31.93
5.90175,31.89
5.92175,31.92
5.94275,31.98
5.96275,31.91
5.98275,31.91
6.00175,32.05
6.02175,31.98
6.04275,31.86
6.06275,31.86
6.08275,31.86
6.10175,31.98
6.12175,32.03
6.14275,31.91
6.16275,31.98
6.18275,31.98
6.20175,31.92
6.22175,31.92
6.24175,31.93
6.26175,31.8
6.28175,31.8
6.30175,31.92
6.32175,31.85
6.34275,31.82
6.36175,31.73
6.38275,31.73
6.40175,31.85
6.42175,31.82
6.44275,31.92
6.46275,31.8
6.48275,31.8
6.50175,31.85
6.52175,31.8
6.54275,31.88
6.56275,31.91
6.58175,31.91
6.60175,31.82
6.62175,31.78
6.64175,31.89
6.66275,31.85
6.68175,31.85
6.70175,31.84
6.72175,31.8
6.74275,31.79
6.76275,31.78
6.78275,31.78
6.80175,31.77
6.82175,31.71
6.84175,31.66
6.86275,31.64
6.88175,31.64
6.90175,31.7
6.92175,31.61
6.94175,31.59
6.96175,31.65
6.98275,31.65
7.00175,31.57
7.02175,31.57
7.04175,31.58
7.06175,31.64
7.08275,31.64
7.10175,31.61
7.12175,31.59
7.14275,31.54
7.16275,31.45
7.18275,31.45
7.20175,31.55
7.22275,31.47
7.24275,31.55
7.26175,31.44
7.28275,31.44
7.30175,31.5
7.32175,31.47
7.34275,31.52
7.36175,31.43
7.38275,31.43
7.40175,31.45
7.42175,31.5
7.44275,31.52
7.46175,31.44
7.48275,31.44
7.50175,31.61
7.52175,31.48
7.54275,31.47
7.56175,31.57
7.58275,31.57
7.60175,31.47
7.62175,31.52
7.64275,31.47
7.66175,31.57
7.68275,31.57
7.70175,31.48
7.72175,31.48
7.74175,31.54
7.76275,31.47
7.78175,31.47
7.80175,31.44
7.82175,31.44
7.84275,31.4
7.86175,31.34
7.88275,31.34
7.90175,31.43
7.92175,31.17
7.94275,31.24
7.96175,31.33
7.98275,31.33
8.00175,31.27
8.02175,31.3
8.04275,31.26
8.06275,31.34
8.08275,31.34
8.10175,31.29
8.12175,31.31
8.14275,31.23
8.16275,31.15
8.18175,31.15
8.20275,31.1
8.22175,31.12
8.24275,31.05
8.26275,30.94
8.28275,30.94
8.30175,30.98
8.32175,30.87
8.34275,30.88
8.36175,30.77
8.38175,30.77
8.40175,30.76
8.42175,30.81
8.44275,30.66
8.46375,30.6
8.48275,30.6
8.50175,30.42
8.52175,30.45
8.54275,30.41
8.56175,30.34
8.58275,30.34
8.60175,30.27
8.62175,30.25
8.64275,30.18
8.66275,30.11
8.68275,30.11
8.70175,30
8.72175,29.97
8.74275,29.93
8.76275,29.83
8.78175,29.83
8.80175,29.67
8.82175,29.72
8.84275,29.63
8.86275,29.53
8.88275,29.53
8.90175,29.42
8.92175,29.41
8.94275,29.31
8.96275,29.27
8.98275,29.27
9.00175,29.13
9.02175,29.21
9.04275,29.12
9.06175,28.96
9.08275,28.96
9.10175,28.89
9.12175,28.86
9.14275,28.82
9.16175,28.75
9.18275,28.75
9.20175,28.71
9.22175,28.61
9.24175,28.47
9.26275,28.43
9.28275,28.43
9.30175,28.3
9.32175,28.3
9.34175,28.29
9.36275,28.12
9.38275,28.12
9.40175,28.03
9.42175,27.88
9.44275,27.78
9.46275,27.77
9.48275,27.77
9.50175,27.76
9.52175,27.6
9.54275,27.53
9.56275,27.35
9.58275,27.35
9.60175,27.28
9.62175,27.32
9.64275,27.21
9.66175,27.04
9.68275,27.04
9.70175,27.07
9.72175,26.98
9.74275,26.84
9.76175,26.86
9.78275,26.86
9.80175,26.77
9.82175,26.66
9.84275,26.67
9.86175,26.42
9.88275,26.42
9.90175,26.3
9.92175,26.17
9.94175,26.05
9.96175,25.91
9.98275,25.91
10.00175,25.91
10.02175,25.82
10.04275,25.7
10.06275,25.65
10.08275,25.65
10.10175,25.59
10.12175,25.41
10.14275,25.37
10.16275,25.3
10.18275,25.3
10.20175,25.15
10.22175,25.08
10.24275,25.06
10.26275,24.85
10.28275,24.85
10.30175,24.81
10.32175,24.66
10.34275,24.63
10.36275,24.39
10.38275,24.39
10.40175,24.28
10.42175,24.25
10.44275,24.13
10.46175,23.97
10.48275,23.97
10.50175,23.84
10.52175,23.74
10.54275,23.62
10.56275,23.51
10.58275,23.51
10.60175,23.41
10.62175,23.26
10.64275,23.23
10.66175,22.91
10.68275,22.91
10.70175,22.98
10.72175,22.91
10.74175,22.72
10.76175,22.63
10.78275,22.63
10.80175,22.51
10.82175,22.4
10.84275,22.26
10.86275,21.98
10.88275,21.98
10.90175,22.05
10.92175,21.98
10.94275,21.73
10.96175,21.62
10.98275,21.62
11.00275,21.45
11.02275,21.48
11.04275,21.41
11.06275,21.11
11.08275,21.11
11.10175,21.09
11.12175,20.95
11.14275,20.86
11.16275,20.58
11.18275,20.58
11.20175,20.6
11.22175,20.44
11.24275,20.3
11.26175,20.09
11.28275,20.09
11.30275,19.95
11.32175,19.8
11.34275,19.7
11.36175,19.47
11.38175,19.47
11.40175,19.31
11.42175,19.16
11.44275,19.17
11.46175,18.71
11.48175,18.71
11.50175,18.66
11.52175,18.41
11.54275,18.29
11.56175,17.97
11.58175,17.97
11.60175,17.81
11.62175,17.73
11.64275,17.59
11.66175,17.27
11.68275,17.27
11.70175,17.09
11.72175,17
11.74275,16.82
11.76275,16.47
11.78275,16.47
11.80175,16.29
11.82175,16.19
11.84275,15.96
11.86175,15.63
11.88275,15.63
11.90175,15.48
11.92175,15.27
11.94275,15.13
11.96275,14.74
11.98275,14.74
12.00175,14.58
12.02175,14.48
12.04275,14.3
12.06275,14.02
12.08275,14.02
12.10175,13.86
12.12175,13.7
12.14275,13.59
12.16275,13.16
12.18275,13.16
12.20275,13.08
12.22175,12.88
12.24275,12.63
12.26175,12.38
12.28275,12.38
12.30175,12.27
12.32175,12.08
12.34175,11.98
12.36175,11.62
12.38275,11.62
12.40175,11.49
12.42175,11.31
12.44175,11.13
12.46275,10.95
12.48275,10.95
12.50175,10.75
12.52175,10.58
12.54175,10.51
12.56275,10.03
12.58275,10.03
12.60175,10.05
12.62175,9.77
12.64175,9.59
12.66275,9.48
12.68175,9.48
12.70175,9.25
12.72175,9.13
12.74275,9
12.76275,8.72
12.78175,8.72
12.80175,8.65
12.82175,8.69
12.84275,8.69
12.86275,8.25
12.88175,8.25
12.90175,8.23
12.92175,8.05
12.94275,7.96
12.96275,7.86
12.98175,7.86
13.00175,7.77
13.02175,7.75
13.04275,7.65
13.06275,7.5
13.08175,7.5
13.10175,7.45
13.12175,7.43
13.14175,7.34
13.16275,7.24
13.18175,7.24
