time,WheelAng
-0.00015625,173.95
0.00984375,173.95
0.01984375,175.35
0.02984375,176.925
0.03984375,178.5
0.04984375,179.9
0.05984375,179.9
0.06984375,181.475
0.07984375,181.475
0.08984375,182.875
0.09984375,184.45
0.1098438,185.85
0.1198438,185.85
0.1298438,187.425
0.1398437,187.425
0.1498438,189
0.1598437,189
0.1698437,190.4
0.1798438,191.975
0.1898437,193.375
0.1998437,194.95
0.2098438,194.95
0.2198437,196.35
0.2298438,199.5
0.2398438,200.9
0.2498437,202.475
0.2598437,205.45
0.2698438,206.85
0.2808438,208.425
0.2908438,211.4
0.3008437,212.975
0.3108437,215.95
0.3208438,217.35
0.3308437,220.5
0.3408437,223.475
0.3508438,224.875
0.3608437,226.45
0.3708437,229.425
0.3808438,232.4
0.3908437,233.975
0.4008437,236.95
0.4108438,238.35
0.4208438,241.5
0.4308437,244.475
0.4408438,245.875
0.4508438,247.45
0.4608437,250.425
0.4708438,252
0.4808438,254.975
0.4908437,256.375
0.5008438,257.95
0.5108438,260.925
0.5208437,262.5
0.5308437,263.9
0.5408437,265.475
0.5508438,266.875
0.5608438,268.45
0.5708438,268.45
0.5808437,269.85
0.5908437,271.425
0.6008437,273
0.6108438,273
0.6208438,274.4
0.6308438,274.4
0.6408437,275.975
0.6518437,277.375
0.6618438,277.375
0.6718438,278.95
0.6818438,278.95
0.6918437,278.95
0.7018437,280.35
0.7118437,280.35
0.7218438,280.35
0.7318438,280.35
0.7418438,281.925
0.7518438,281.925
0.7618437,281.925
0.7718437,281.925
0.7818437,280.35
0.7918438,280.35
0.8018438,280.35
0.8118438,280.35
0.8218437,280.35
0.8318437,280.35
0.8418437,280.35
0.8518438,280.35
0.8618438,280.35
0.8718438,280.35
0.8818437,280.35
0.8918437,280.35
0.9018437,280.35
0.9118438,280.35
0.9218438,280.35
0.9318438,280.35
0.9418437,280.35
0.9518437,280.35
0.9618437,280.35
0.9718438,280.35
0.9818438,280.35
0.9918438,280.35
1.001844,280.35
1.011844,280.35
1.021844,280.35
1.031844,280.35
1.042844,280.35
1.052844,280.35
1.062844,280.35
1.072844,280.35
1.082844,280.35
1.092844,280.35
1.102844,280.35
1.112844,280.35
1.122844,280.35
1.132844,280.35
1.142844,280.35
1.152844,280.35
1.162844,280.35
1.172844,280.35
1.182844,280.35
1.192844,280.35
1.202844,280.35
1.212844,278.95
1.222844,278.95
1.232844,278.95
1.242844,278.95
1.252844,278.95
1.262844,278.95
1.272844,278.95
1.282844,277.375
1.292844,277.375
1.302844,277.375
1.312844,277.375
1.322844,275.975
1.332844,274.4
1.342844,274.4
1.352844,273
1.362844,273
1.372844,271.425
1.382844,271.425
1.392844,269.85
1.402844,268.45
1.412844,268.45
1.422844,266.875
1.432844,266.875
1.443844,265.475
1.453844,265.475
1.463844,263.9
1.473844,263.9
1.483844,262.5
1.493844,260.925
1.503844,260.925
1.513844,259.35
1.523844,259.35
1.533844,257.95
1.543844,257.95
1.553844,254.975
1.563844,254.975
1.573844,253.4
1.583844,252
1.593844,252
1.603844,250.425
1.613844,248.85
1.623844,247.45
1.633844,247.45
1.643844,245.875
1.653844,244.475
1.663844,244.475
1.673844,241.5
1.683844,241.5
1.693844,239.925
1.703844,238.35
1.713844,236.95
1.723844,235.375
1.733844,233.975
1.743844,232.4
1.753844,232.4
1.763844,231
1.773844,227.85
1.783844,226.45
1.793844,224.875
1.803844,224.875
1.813844,223.475
1.823844,220.5
1.834844,218.925
1.844844,215.95
1.854844,214.375
1.864844,212.975
1.874844,211.4
1.884844,208.425
1.894844,206.85
1.904844,205.45
1.914844,202.475
1.924844,200.9
1.934844,199.5
1.944844,196.35
1.954844,194.95
1.964844,193.375
1.974844,191.975
1.984844,189
1.994844,187.425
2.004844,185.85
2.014844,182.875
2.024844,181.475
2.034844,178.5
2.044844,176.925
2.054844,173.95
2.064844,172.375
2.074844,169.4
2.084844,168
2.094844,166.425
2.104844,163.45
2.114844,161.875
2.124844,158.9
2.134844,155.925
2.144844,154.35
2.154844,152.95
2.164844,149.975
2.174844,148.4
2.184844,145.425
2.194844,143.85
2.204844,140.875
2.215844,139.475
2.225844,136.5
2.235844,134.925
2.245844,133.35
2.255844,130.375
2.265844,127.4
2.275844,126
2.285844,122.85
2.295844,121.45
2.305844,118.475
2.315844,115.5
2.325844,113.925
2.335844,110.95
2.345844,109.375
2.355844,107.975
2.365844,105
2.375844,101.85
2.385844,100.45
2.395844,97.475
2.405844,95.9
2.415844,92.925
2.425844,89.95
2.435844,88.375
2.445844,86.975
2.455844,84
2.465844,82.425
2.475844,79.45
2.485844,77.875
2.495844,74.9
2.505844,73.5
2.515844,71.925
2.525844,68.95
2.535844,67.375
2.545844,65.975
2.556844,64.4
2.565844,63
2.576844,61.425
2.586844,58.45
2.596844,56.875
2.606844,55.475
2.616844,53.9
2.626844,52.5
2.636844,50.925
2.646844,49.35
2.656844,47.95
2.666844,46.375
2.676844,44.975
2.686844,43.4
2.696844,42
2.706844,40.425
2.716844,38.85
2.726844,37.45
2.736844,35.875
2.746844,35.875
2.756844,34.475
2.766844,32.9
2.776844,31.5
2.786844,29.925
2.796844,29.925
2.806844,28.35
2.816844,26.95
2.826844,25.375
2.836844,25.375
2.846844,23.975
2.856844,23.975
2.866844,22.4
2.876844,22.4
2.886844,21
2.896844,21
2.906844,21
2.916844,21
2.926844,19.425
2.936844,17.85
2.947844,17.85
2.956844,17.85
2.967844,16.45
2.976844,16.45
2.987844,16.45
2.996844,14.875
3.007844,14.875
3.017844,14.875
3.027844,13.475
3.037844,13.475
3.047844,11.9
3.057844,11.9
3.067844,11.9
3.077844,11.9
3.087844,11.9
3.097844,10.5
3.107844,10.5
3.117844,10.5
3.127844,10.5
3.137844,10.5
3.147844,10.5
3.157844,10.5
3.167844,10.5
3.177844,10.5
3.187844,10.5
3.197844,8.925
3.207844,8.925
3.217844,8.925
3.227844,8.925
3.237844,8.925
3.247844,8.925
3.257844,8.925
3.267844,8.925
3.277844,8.925
3.287844,8.925
3.297844,8.925
3.307844,8.925
3.317844,8.925
3.327844,8.925
3.338844,8.925
3.347844,8.925
3.358844,8.925
3.368844,8.925
3.378844,8.925
3.387844,8.925
3.398844,8.925
3.408844,8.925
3.418844,8.925
3.428844,8.925
3.438844,8.925
3.448844,8.925
3.458844,8.925
3.468844,8.925
3.478844,8.925
3.488844,8.925
3.498844,8.925
3.508844,8.925
3.518844,8.925
3.528844,8.925
3.538844,8.925
3.548844,7.35
3.558844,7.35
3.568844,7.35
3.578844,7.35
3.588844,7.35
3.598844,7.35
3.608844,7.35
3.618844,7.35
3.628844,7.35
3.638844,7.35
3.648844,7.35
3.658844,7.35
3.669844,7.35
3.678844,7.35
3.688844,7.35
3.698844,5.95
3.708844,5.95
3.718844,5.95
3.728844,5.95
3.738844,5.95
3.748844,4.375
3.758844,4.375
3.769844,4.375
3.778844,4.375
3.789844,4.375
3.799844,4.375
3.809844,4.375
3.819844,4.375
3.829844,4.375
3.839844,4.375
3.849844,4.375
3.859844,2.975
3.869844,2.975
3.879844,2.975
3.889844,2.975
3.899844,2.975
3.909844,2.975
3.919844,2.975
3.929844,2.975
3.939844,2.975
3.949844,2.975
3.959844,2.975
3.969844,2.975
3.979844,2.975
3.989844,2.975
3.999844,2.975
4.009844,2.975
4.019844,2.975
4.029844,2.975
4.039844,2.975
4.049844,2.975
4.059844,2.975
4.069844,2.975
4.079844,2.975
4.089844,2.975
4.099844,2.975
4.109844,2.975
4.119844,2.975
4.129844,2.975
4.139844,2.975
4.149844,2.975
4.159844,2.975
4.170844,2.975
4.180844,2.975
4.190844,2.975
4.200844,2.975
4.210844,2.975
4.220844,2.975
4.230844,2.975
4.240844,2.975
4.250844,2.975
4.260844,2.975
4.270844,2.975
4.280844,2.975
4.290844,2.975
4.300844,2.975
4.310844,2.975
4.320844,2.975
4.330844,2.975
4.340844,2.975
4.350844,2.975
4.360844,2.975
4.370844,2.975
4.380844,2.975
4.390844,2.975
4.400844,2.975
4.410844,2.975
4.420844,2.975
4.430844,2.975
4.440844,2.975
4.450844,2.975
4.460844,2.975
4.470844,2.975
4.480844,2.975
4.490844,2.975
4.500844,2.975
4.510844,2.975
4.521844,2.975
4.530844,2.975
4.541844,2.975
4.551844,2.975
4.561844,2.975
4.571844,2.975
4.581844,2.975
4.591844,2.975
4.601844,2.975
4.611844,2.975
4.621844,2.975
4.631844,2.975
4.641844,2.975
4.651844,2.975
4.661844,2.975
4.671844,2.975
4.681844,2.975
4.691844,2.975
4.701844,2.975
4.711844,2.975
4.721844,2.975
4.731844,2.975
4.741844,2.975
4.751844,2.975
4.761844,2.975
4.771844,2.975
4.781844,2.975
4.791844,2.975
4.801844,2.975
4.811844,2.975
4.821844,2.975
4.831844,2.975
4.841844,2.975
4.851844,2.975
4.861844,2.975
4.871844,2.975
4.881844,2.975
4.891844,2.975
4.901844,2.975
4.911844,2.975
4.921844,2.975
4.931844,1.4
4.942844,1.4
4.952844,1.4
4.962844,1.4
4.972844,1.4
4.982844,1.4
4.992844,1.4
5.002844,1.4
5.012844,1.4
5.022844,1.4
5.032844,1.4
5.042844,1.4
5.052844,1.4
5.062844,1.4
5.072844,1.4
5.082844,1.4
5.092844,1.4
5.102844,1.4
5.112844,1.4
5.122844,1.4
5.132844,1.4
5.142844,1.4
5.152844,1.4
5.162844,1.4
5.172844,1.4
5.182844,1.4
5.192844,1.4
5.202844,1.4
5.212844,1.4
5.222844,1.4
5.232844,1.4
5.242844,1.4
5.252844,1.4
5.262844,1.4
5.272844,1.4
5.282844,1.4
5.292844,1.4
5.302844,1.4
5.312844,1.4
5.322844,1.4
5.333844,1.4
5.343844,1.4
5.353844,1.4
5.363844,1.4
5.373844,0
5.383844,0
5.393844,0
5.403844,0
5.413844,0
5.423844,0
5.433844,0
5.443844,0
5.453844,0
5.463844,0
5.473844,0
5.483844,0
5.493844,0
5.503844,0
5.513844,0
5.523844,0
5.533844,0
5.543844,0
5.553844,0
5.563844,-1.4
5.573844,-1.4
5.583844,-1.4
5.593844,-1.4
5.603844,-1.4
5.613844,-1.4
5.623844,-1.4
5.633844,-1.4
5.643844,-1.4
5.653844,-1.4
5.663844,-1.4
5.673844,-1.4
5.683844,-1.4
5.693844,-1.4
5.703844,-2.975
5.713844,-2.975
5.723844,-2.975
5.734844,-2.975
5.744844,-2.975
5.754844,-2.975
5.764844,-2.975
5.774844,-4.375
5.784844,-4.375
5.794844,-4.375
5.804844,-4.375
5.814844,-4.375
5.824844,-4.375
5.834844,-5.95
5.844844,-5.95
5.854844,-5.95
5.864844,-5.95
5.874844,-5.95
5.884844,-7.35
5.894844,-7.35
5.904844,-7.35
5.914844,-7.35
5.924844,-7.35
5.934844,-7.35
5.944844,-7.35
5.954844,-7.35
5.964844,-7.35
5.974844,-7.35
5.984844,-7.35
5.994844,-7.35
6.004844,-7.35
6.014844,-7.35
6.024844,-7.35
6.034844,-7.35
6.044844,-7.35
6.054844,-7.35
6.064844,-7.35
6.074844,-7.35
6.084844,-7.35
6.095844,-7.35
6.104844,-7.35
6.115844,-7.35
6.125844,-8.925
6.135844,-8.925
6.145844,-8.925
6.155844,-8.925
6.165844,-8.925
6.175844,-8.925
6.185844,-8.925
6.195844,-10.5
6.205844,-10.5
6.215844,-10.5
6.225844,-10.5
6.235844,-10.5
6.245844,-11.9
6.255844,-11.9
6.265844,-13.475
6.275844,-13.475
6.285844,-13.475
6.295844,-13.475
6.305844,-14.875
6.315844,-14.875
6.325844,-14.875
6.335844,-16.45
6.345844,-16.45
6.355844,-16.45
6.365844,-16.45
6.375844,-17.85
6.385844,-17.85
6.395844,-17.85
6.405844,-19.425
6.415844,-19.425
6.425844,-19.425
6.435844,-19.425
6.446844,-21
6.455844,-21
6.466844,-21
6.476844,-21
6.486844,-21
6.496844,-21
6.506844,-21
6.516844,-21
6.526844,-22.4
6.536844,-22.4
6.546844,-22.4
6.556844,-22.4
6.566844,-22.4
6.576844,-22.4
6.586844,-22.4
6.596844,-22.4
6.606844,-22.4
6.616844,-22.4
6.626844,-22.4
6.636844,-23.975
6.646844,-23.975
6.656844,-23.975
6.666844,-23.975
6.676844,-23.975
6.686844,-25.375
6.696844,-25.375
6.706844,-25.375
6.716844,-25.375
6.726844,-25.375
6.736844,-25.375
6.746844,-25.375
6.756844,-25.375
6.766844,-25.375
6.776844,-25.375
6.786844,-25.375
6.796844,-25.375
6.806844,-25.375
6.816844,-25.375
6.826844,-25.375
6.836844,-26.95
6.847844,-26.95
6.856844,-26.95
6.867844,-26.95
6.876844,-26.95
6.887844,-26.95
6.897844,-26.95
6.907844,-26.95
6.917844,-28.35
6.927844,-28.35
6.937844,-28.35
6.947844,-28.35
6.957844,-29.925
6.967844,-29.925
6.977844,-29.925
6.987844,-31.5
6.997844,-31.5
7.007844,-32.9
7.017844,-32.9
7.027844,-32.9
7.037844,-34.475
7.047844,-34.475
7.057844,-34.475
7.067844,-35.875
7.077844,-35.875
7.087844,-35.875
7.097844,-37.45
7.107844,-37.45
7.117844,-37.45
7.127844,-38.85
7.137844,-40.425
7.147844,-40.425
7.157844,-40.425
7.167844,-42
7.177844,-42
7.187844,-42
