time,AccPed2D
-0.00028125,99.9855
0.01971875,99.9855
0.03971875,99.9855
0.05971875,99.9855
0.07971875,5.8815
0.09971875,94.8882
0.1197188,25.4865
0.1397188,0
0.1597188,99.9855
0.1797187,99.9855
0.1997187,99.9855
0.2197188,99.9855
0.2397188,99.9855
0.2597187,99.9855
0.2797188,99.9855
0.2997187,99.9855
0.3197187,99.9855
0.3397188,99.9855
0.3597187,99.9855
0.3797188,99.9855
0.3997188,7.4499
0.4197187,94.8882
0.4397188,25.4865
0.4597188,0
0.4797187,99.9855
0.4997188,99.9855
0.5197188,99.9855
0.5387188,99.9855
0.5587187,99.9855
0.5787187,99.9855
0.5987188,99.9855
0.6187187,99.9855
0.6387187,99.9855
0.6587188,99.9855
0.6787187,99.9855
0.6987187,99.9855
0.7187188,9.8025
0.7387187,94.8882
0.7587187,25.4865
0.7787188,0
0.7987188,99.9855
0.8187187,99.9855
0.8387188,99.9855
0.8587188,99.9855
0.8787187,99.9855
0.8987188,99.9855
0.9187188,99.9855
0.9387187,99.9855
0.9587188,99.9855
0.9787188,99.9855
0.9987187,99.9855
1.018719,99.9855
1.038719,10.5867
1.058719,94.8882
1.078719,25.4865
1.098719,0
1.118719,99.9855
1.138719,99.9855
1.158719,99.9855
1.178719,99.9855
1.198719,99.9855
1.218719,99.9855
1.238719,99.9855
1.258719,99.9855
1.278719,99.9855
1.298719,99.9855
1.318719,99.9855
1.338719,99.9855
1.358719,13.3314
1.378719,94.8882
1.398719,25.4865
1.418719,0
1.438719,99.9855
1.458719,99.9855
1.478719,99.9855
1.498719,99.9855
1.518719,99.9855
1.538719,99.9855
1.558719,99.9855
1.578719,99.9855
1.598719,99.9855
1.618719,99.9855
1.638719,99.9855
1.658719,99.9855
1.678719,12.9393
1.698719,94.8882
1.718719,25.4865
1.738719,0
1.758719,99.9855
1.778719,99.9855
1.798719,99.9855
1.818719,99.9855
1.838719,99.9855
1.858719,99.9855
1.878719,99.9855
1.898719,99.9855
1.918719,99.9855
1.938719,99.9855
1.958719,99.9855
