time,AccPedal
-0.00190625,6
0.01809375,6
0.03809375,6.4
0.07809375,6.4
0.09809375,6.4
0.1180938,6.4
0.1380938,6.4
0.1580938,6.4
0.1770937,6.4
0.1970938,6.4
0.2180938,6.4
0.2370937,6.4
0.2570938,6.4
0.2780938,6.4
0.2970937,6.4
0.3170938,6.4
0.3370937,6.4
0.3570938,6.4
0.3770938,6.4
0.3970937,6.4
0.4170938,6.4
0.4370938,6.4
0.4570937,6.4
0.4770938,6.4
0.4970937,6.4
0.5170938,6.8
0.5370938,6.8
0.5570937,6.8
0.5770937,6.8
0.5970938,6.8
0.6170937,6.8
0.6370937,6.8
0.6570938,6.8
0.6770937,6.8
0.6970937,6.8
0.7170938,6.8
0.7370937,6.8
0.7570937,6.8
0.7770938,6.8
0.7970937,6.8
0.8170937,6.8
0.8370938,6.8
0.8570938,6.8
0.8770937,6.8
0.8970938,6.8
0.9170938,6.8
0.9370937,6.8
0.9570938,6.8
0.9770938,6.8
0.9970937,6.8
1.017094,6.8
1.037094,6.8
1.057094,6.8
1.077094,6.8
1.097094,6.8
1.117094,6.8
1.137094,6.8
1.157094,6.8
1.177094,6.8
1.197094,6.8
1.217094,6.8
1.237094,6.8
1.257094,6.8
1.277094,6.8
1.297094,6.8
1.317094,6.8
1.337094,6.8
1.357094,6.8
1.377094,6.8
1.397094,6.8
1.417094,6.8
1.437094,6.8
1.457094,6.8
1.477094,6.8
1.497094,6.8
1.517094,6.8
1.537094,6.8
1.557094,6.8
1.577094,6.8
1.597094,6.8
1.617094,6.8
1.637094,6.8
1.657094,6.8
1.676094,6.8
1.696094,6.8
1.716094,6.8
1.736094,6.8
1.756094,6.8
1.776094,6.8
1.796094,6.8
1.816094,6.8
1.836094,6.8
1.856094,6.8
1.876094,6.8
1.896094,6.8
1.916094,6.8
1.936094,6.8
1.956094,7.2
1.976094,7.2
1.996094,7.2
2.016094,7.2
2.036094,7.2
2.056094,7.2
2.076094,7.2
2.096094,7.6
2.116094,7.6
2.136094,7.6
2.156094,8
2.176094,8
2.196094,8.4
2.216094,8.8
2.236094,8.8
2.256094,9.2
2.276094,9.2
2.296094,9.2
2.316094,9.2
2.336094,9.6
2.356094,9.6
2.376094,9.6
2.396094,9.6
2.416094,10
2.436094,10
2.456094,10
2.476094,10.4
2.496094,10.8
2.516094,11.2
2.536094,12
2.556094,12.4
2.576094,12.8
2.596094,13.2
2.616094,13.2
2.636094,13.2
2.656094,13.6
2.676094,13.6
2.696094,13.6
2.716094,13.6
2.736094,13.6
2.756094,14
2.776094,14
2.796094,14.8
2.816094,15.2
2.836094,16
2.856094,16.4
2.876094,17.2
2.896094,17.2
2.916094,17.6
2.936094,18
2.956094,18.4
2.976094,18.4
2.996094,19.2
3.016094,19.6
3.036094,20
3.056094,20
3.076094,20
3.096094,20.4
3.116094,20.4
3.136094,20.8
3.156094,20.8
3.176094,20.8
3.196094,20.8
3.216094,21.2
3.236094,21.2
3.256094,22
3.276094,23.2
3.296094,24
3.315094,24.4
3.335094,24.8
3.355094,24.8
3.375094,25.2
3.395094,25.6
3.415094,26.4
3.435094,26.4
3.455094,26.8
3.475094,27.2
3.495094,27.2
3.515094,27.2
3.535094,27.6
3.555094,27.6
3.575094,27.6
3.595094,28
3.615094,28.4
3.635094,28.4
3.655094,28.4
3.675094,28.8
3.695094,29.2
3.715094,29.2
3.735094,29.6
3.755094,30.4
3.775094,30.8
3.795094,31.2
3.815094,31.6
3.835094,32.4
3.855094,32.8
3.875094,33.2
3.895094,33.6
3.915094,33.6
3.935094,34
3.955094,34.4
3.975094,34.4
3.995094,34.8
4.015094,35.2
4.035094,35.2
4.055094,35.6
4.075094,36.4
4.095094,37.2
4.115094,38
4.135094,39.2
4.155094,40.4
4.175094,41.2
4.195094,41.6
4.215094,42
4.235094,42.4
4.255094,43.2
4.275094,43.6
4.295094,44
4.315094,44
4.335094,44.4
4.355094,44.4
4.375094,44.4
4.395094,44.8
4.415094,44.8
4.435094,44.8
4.455094,45.2
4.475094,45.2
4.495094,45.6
4.515094,46
4.535094,46.4
4.555094,46.8
4.575094,47.2
4.595094,47.6
4.615094,48
4.635094,48.4
4.655094,48.8
4.674094,48.8
4.694094,49.2
4.714094,49.2
4.734094,49.2
4.754094,49.2
4.774094,49.6
4.794094,49.6
4.814094,50
4.834094,50
4.854094,50
4.874094,50.4
4.894094,50.4
4.914094,50.8
4.934094,50.8
4.954094,51.2
4.974094,51.2
4.994094,51.6
5.014094,51.6
5.034094,51.6
5.054094,51.6
5.074094,51.6
5.094094,51.6
5.114094,51.6
5.134094,51.6
5.154094,51.6
5.174094,51.6
5.194094,52
5.214094,52
5.234094,52
5.254094,52
5.274094,52
5.294094,52
5.314094,52
5.334094,52
5.354094,52
5.374094,52
5.394094,52
5.414094,52
5.434094,52
5.454094,52
5.474094,52
5.494094,52
5.514094,52
5.534094,52
5.554094,52
5.574094,52
5.594094,52
5.614094,52
5.634094,52
5.654094,52
5.674094,52
5.694094,52
5.714094,52
5.734094,52
5.754094,52
5.774094,52
5.794094,52
5.814094,52
5.834094,52
5.854094,52
5.874094,52
5.894094,52
5.914094,52
5.934094,52
5.954094,52
5.974094,52
5.994094,52
6.014094,52
6.034094,52
6.054094,52
6.074094,52
6.094094,52
6.114094,52
6.134094,52
6.154094,52
6.174094,52
6.194094,52
6.214094,51.6
6.233094,51.2
6.253094,51.2
6.273094,51.2
6.293094,50.8
6.313094,50.8
6.333094,50.4
6.353094,50.4
6.373094,50.4
6.393094,50.4
6.413094,50
6.433094,50
6.453094,50
6.473094,50
6.493094,50
6.513094,50
6.533094,50
6.553094,50
6.573094,50
6.593094,50
6.613094,50
6.633094,50
6.653094,50
6.673094,50
6.693094,50
6.713094,50
6.733094,50
6.753094,50
6.773094,50
6.793094,50
6.813094,50
6.833094,50
6.853094,50
6.873094,50
6.893094,50
6.913094,50
6.933094,50
6.953094,50
6.973094,50
6.993094,50
7.013094,50
7.033094,50
7.053094,50
7.073094,50
7.093094,50
7.113094,50
7.133094,50
7.153094,50
7.173094,50
7.193094,50
7.213094,50
7.233094,50
7.253094,50
7.273094,50
7.293094,50
7.313094,50
7.333094,50
7.353094,50
7.373094,50
7.393094,49.6
7.413094,49.6
7.433094,49.6
7.453094,49.6
7.473094,49.2
7.493094,49.2
7.513094,49.2
7.533094,48.8
7.553094,48.8
7.573094,48.4
7.593094,48.4
7.613094,48.4
7.633094,48.4
7.653094,48.4
7.673094,48.4
7.693094,48
7.712094,48
7.732094,48
7.752094,48
7.772094,47.6
7.792094,47.2
7.812094,46.8
7.832094,46.4
7.852094,45.6
7.872094,45.2
7.892094,45.2
7.912094,44.8
7.932094,44.8
7.952094,44.4
7.972094,44
7.992094,43.6
