time,AccSignl
-0.0018125,6.4
0.0181875,6.4
0.0381875,6.4
0.0581875,6.8
0.0781875,6.8
0.0981875,6.8
0.1181875,6.8
0.1381875,6.8
0.1581875,6.8
0.1771875,6.8
0.1971875,6.8
0.2171875,6.8
0.2371875,6.8
0.2571875,6.8
0.2771875,6.8
0.2971875,6.8
0.3171875,6.8
0.3371875,6.8
0.3571875,6.8
0.3781875,6.8
0.3971875,6.8
0.4171875,6.8
0.4371875,6.8
0.4571875,6.8
0.4771875,6.8
0.4971875,6.8
0.5171875,6.8
0.5371875,6.8
0.5571875,6.8
0.5771875,6.8
0.5971875,6.8
0.6171875,6.8
0.6371875,6.8
0.6571875,6.8
0.6771875,6.8
0.6971875,6.8
0.7171875,6.8
0.7371875,6.8
0.7571875,6.8
0.7771875,6.8
0.7971875,6.8
0.8171875,6.8
0.8371875,6.8
0.8571875,6.8
0.8771875,6.8
0.8971875,6.8
0.9171875,6.8
0.9371875,6.8
0.9571875,6.8
0.9771875,6.8
0.9971875,6.8
1.017187,6.8
1.037187,6.8
1.057188,6.8
1.077188,6.8
1.097188,6.8
1.117188,6.8
1.137187,6.8
1.157187,6.8
1.177187,6.8
1.197188,6.8
1.217188,6.8
1.237188,6.8
1.257187,6.8
1.277187,6.8
1.297187,6.8
1.317188,6.8
1.337188,6.8
1.357188,6.8
1.377187,6.8
1.397187,6.8
1.417187,6.8
1.437188,6.8
1.457188,6.8
1.477188,6.8
1.497187,6.8
1.517187,6.8
1.537187,6.8
1.557188,6.8
1.577188,6.8
1.597188,6.8
1.617188,6.8
1.637187,6.8
1.657187,6.8
1.677187,6.8
1.696187,6.8
1.716187,6.8
1.736187,6.8
1.756188,6.8
1.777187,6.8
1.796188,6.8
1.816188,6.8
1.836187,6.8
1.856187,6.8
1.876187,6.8
1.896188,6.8
1.916188,6.8
1.936188,6.8
1.956187,7.2
1.976187,7.2
1.996187,7.2
2.016187,7.2
2.036187,7.2
2.056187,7.2
2.076188,7.2
2.096188,8
2.116188,8
2.136188,8
2.156188,8.4
2.176188,8.4
2.196187,9.2
2.216187,9.2
2.236187,9.2
2.256187,9.2
2.276187,9.2
2.296187,9.6
2.316187,9.6
2.336188,9.6
2.356188,9.6
2.376188,10
2.396188,10
2.416188,10
2.436188,10.4
2.456187,10.4
2.476187,10.4
2.496187,11.6
2.516187,12.4
2.536187,13.6
2.556187,13.6
2.576188,13.6
2.596188,13.6
2.616188,13.6
2.636188,13.6
2.656188,13.6
2.676188,13.6
2.696187,13.6
2.716187,13.6
2.736187,13.6
2.756187,14.4
2.776187,14.4
2.796187,16
2.816187,16.4
2.836188,17.2
2.856188,17.6
2.876188,18
2.896188,18
2.916188,18.8
2.936188,18.8
2.956187,18.8
2.976187,19.2
2.996187,20.4
3.016187,20.4
3.036187,20.4
3.056187,20.4
3.076188,20.4
3.096188,20.4
3.116188,21.2
3.136188,21.2
3.156188,21.2
3.175188,21.2
3.196187,21.2
3.215188,21.6
3.235188,21.6
3.255188,23.6
3.275187,25.2
3.295187,25.2
3.315187,25.2
3.335187,25.2
3.355187,25.6
3.375187,25.6
3.395188,27.2
3.415188,27.2
3.435188,27.2
3.455188,27.2
3.475188,27.6
3.495188,27.6
3.515188,27.6
3.535187,27.6
3.555187,28
3.575187,28
3.595187,28.4
3.615187,28.4
3.635187,28.8
3.655188,28.8
3.675188,28.8
3.695188,29.6
3.715188,30
3.735188,30.8
3.755188,31.2
3.775187,31.6
3.795187,32.4
3.815187,32.8
3.835187,33.2
3.855187,34
3.875187,34
3.895188,34.4
3.915188,34.4
3.935188,34.4
3.955188,34.8
3.975188,34.8
3.995188,35.6
4.015187,35.6
4.035188,36
4.055188,36.4
4.075188,37.2
4.095188,38.8
4.115188,40
4.135188,41.6
4.155188,42.4
4.175188,42.4
4.195188,42.8
4.215188,42.8
4.235188,43.6
4.255188,44
4.275187,44
4.295187,44.8
4.315187,44.8
4.335187,44.8
4.355187,44.8
4.375187,44.8
4.395187,44.8
4.415187,45.2
4.435187,45.2
4.455187,45.6
4.475187,46
4.495187,46.4
4.515187,46.4
4.535188,47.2
4.555188,47.6
4.575188,47.6
4.595188,48.8
4.615188,48.8
4.635188,49.2
4.655188,49.2
4.675188,49.2
4.694188,49.2
4.714188,49.2
4.734188,49.6
4.754188,49.6
4.774188,50
4.794188,50
4.814188,50
4.834188,50.4
4.854187,50.4
4.874187,50.4
4.894187,51.2
4.914187,51.2
4.934187,51.6
4.954187,51.6
4.974187,51.6
4.994187,51.6
5.014187,51.6
5.034187,51.6
5.054187,51.6
5.074187,51.6
5.094188,51.6
5.114188,51.6
5.134188,51.6
5.154188,51.6
5.174188,51.6
5.194188,52
5.214188,52
5.234188,52
5.254188,52
5.274188,52
5.294188,52
5.314188,52
5.334188,52
5.354187,52
5.374187,52
5.394187,52
5.414187,52
5.434187,52
5.454187,52
5.474187,52
5.494187,52
5.514187,52
5.534187,52
5.554187,52
5.574187,52
5.594188,52
5.614188,52
5.634188,52
5.654188,52
5.674188,52
5.694188,52
5.714188,52
5.734188,52
5.754188,52
5.774188,52
5.794188,52
5.814188,52
5.834188,52
5.854187,52
5.874187,52
5.894187,52
5.914187,52
5.934187,52
5.954187,52
5.974187,52
5.994187,52
6.014187,52
6.034187,52
6.054187,52
6.074187,52
6.094188,52
6.114188,52
6.134188,52
6.154188,52
6.174188,52
6.193188,51.6
6.213188,50.8
6.233188,50.8
6.253188,50.8
6.273188,50.8
6.294188,50.8
6.313188,50.4
6.333188,50
6.353188,50
6.373188,50
6.393188,50
6.413188,50
6.433187,50
6.453187,50
6.473187,50
6.493187,50
6.513187,50
6.533187,50
6.553187,50
6.573187,50
6.593187,50
6.613187,50
6.633187,50
6.653187,50
6.673188,50
6.693188,50
6.713188,50
6.733188,50
6.753188,50
6.773188,50
6.793188,50
6.813188,50
6.833188,50
6.853188,50
6.873188,50
6.893188,50
6.913188,50
6.933187,50
6.953187,50
6.973187,50
6.993187,50
7.013187,50
7.033187,50
7.053187,50
7.073187,50
7.093187,50
7.113187,50
7.133187,50
7.153187,50
7.173188,50
7.193188,50
7.213188,50
7.233188,50
7.253188,50
7.273188,50
7.293188,50
7.313188,50
7.333188,50
7.353188,50
