time,DegOfDev
-0.0011875,1.17
0.0188125,1.1
0.0388125,0.89
0.0588125,0.95
0.0788125,1.05
0.0988125,1.07
0.1188125,1.07
0.1388125,1.17
0.1588125,1.13
0.1788125,1.16
0.1988125,1.19
0.2188125,1.15
0.2388125,1.17
0.2588125,1.21
0.2788125,1.14
0.2988125,1.1
0.3188125,1.03
0.3388125,0.97
0.3588125,0.89
0.3788125,0.84
0.3988125,0.84
0.4188125,0.93
0.4388125,0.94
0.4588125,0.99
0.4788125,1.01
0.4988125,1.09
0.5188125,1.04
0.5388125,1.11
0.5588125,1.17
0.5788125,1.17
0.5988125,1.17
0.6188125,1.29
0.6388125,1.24
0.6588125,1.17
0.6788125,1.17
0.6988125,1.11
0.7188125,1.11
0.7388125,1.14
0.7588125,1.09
0.7788125,1.14
0.7988125,1.18
0.8188125,1.17
0.8388125,1.17
0.8588125,1.15
0.8788125,1.04
0.8988125,1.14
0.9188125,1.11
0.9388125,1.1
0.9588125,1.06
0.9788125,1.06
0.9988125,1
1.018813,0.93
1.038813,0.98
1.058812,0.89
1.078812,0.98
1.098812,1.01
1.118812,1.01
1.138813,1.05
1.158813,1.16
1.178813,1.17
1.198812,1.17
1.218812,1.13
1.238812,1.15
1.258813,1.16
1.278813,1.17
1.298813,1.16
1.318812,1.1
1.338812,0.98
1.358812,1.01
1.378813,1.01
1.398813,1.04
1.418813,1.15
1.438812,1.17
1.458812,1.13
1.478812,1.13
1.498813,1.16
1.518813,1.12
1.538813,1.18
1.558812,1.19
1.578812,1.17
1.598812,1.24
1.618812,1.17
1.638813,1.17
1.658813,1.13
1.678813,1.17
1.698812,1.11
1.718812,1.03
1.738812,1.13
1.758813,1.15
1.778813,1.17
1.798813,1.26
1.818812,1.26
1.838812,1.29
1.858812,1.19
1.878813,1.07
1.898813,0.95
1.918813,0.85
1.938812,0.67
1.958812,0.56
1.978812,0.34
1.998813,0.24
2.018812,0.04
2.038812,0.43
2.058813,0.86
2.078813,1.48
2.098813,1.99
2.118813,2.48
2.138813,3.17
2.158813,3.94
2.178813,4.73
2.198812,5.48
2.218812,6.03
2.238812,6.81
2.258812,7.37
2.278812,7.96
2.298812,8.67
2.318813,9.17
2.338813,9.66
2.358813,10.21
2.378813,10.92
2.398813,11.46
2.418813,11.89
2.438812,12.45
2.458812,13.14
2.478812,13.63
2.498812,14.04
2.518812,14.47
2.538812,15.12
2.558813,15.65
2.578813,15.6
2.598813,15.76
2.618813,16.63
2.638813,17.52
2.658813,17.84
2.678813,18.14
2.698812,18.88
2.718812,19.42
2.738812,19.94
2.758812,20.76
2.778812,21.15
2.798812,21.47
2.818813,22.1
2.838813,22.82
2.858813,23.42
2.878813,23.91
2.898813,24.19
