time,DisSpeed
0.0018125,28.48
0.0228125,28.48
0.0428125,28.48
0.0618125,28.48
0.0818125,28.48
0.1018125,28.16
0.1228125,28.16
0.1428125,28.16
0.1618125,28.16
0.1818125,28.16
0.2018125,28.16
0.2228125,27.84
0.2418125,27.84
0.2618125,27.84
0.2818125,27.84
0.3018125,27.84
0.3218125,27.84
0.3428125,27.84
0.3618125,27.52
0.3818125,27.52
0.4018125,27.52
0.4218125,27.52
0.4428125,27.52
0.4618125,27.52
0.4818125,27.2
0.5018125,27.2
0.5218125,27.2
0.5418125,27.2
0.5618125,27.2
0.5818125,27.2
0.6018125,26.88
0.6228125,26.88
0.6428125,26.88
0.6618125,26.88
0.6818125,26.88
0.7018125,26.88
0.7228125,26.56
0.7428125,26.56
0.7618125,26.56
0.7818125,26.56
0.8018125,26.56
0.8228125,26.56
0.8428125,26.56
0.8618125,26.24
0.8818125,26.24
0.9018125,26.24
0.9228125,26.24
0.9428125,26.24
0.9618125,26.24
0.9818125,26.24
1.001812,26.24
1.022812,25.92
1.041813,25.92
1.061813,26.24
1.081813,25.92
1.102813,25.92
1.122813,25.92
1.142812,25.92
1.161813,25.92
1.181813,25.92
1.201813,25.6
1.222813,25.6
1.241812,25.6
1.261812,25.6
1.281813,25.6
1.301813,25.6
1.322813,25.6
1.342813,25.6
1.361812,25.28
1.381812,25.6
1.401813,25.6
1.422812,25.28
1.442812,25.28
1.461812,25.28
1.481812,25.28
1.501812,25.28
1.522812,24.96
1.542812,24.96
1.561813,25.28
1.581813,25.28
1.601812,24.96
1.622813,24.96
1.642812,24.96
1.661813,24.96
1.681813,24.96
1.701813,24.64
1.722813,24.64
1.742813,24.64
1.761812,24.64
1.781813,24.64
1.801813,24.64
1.822813,24.64
1.841812,24.64
1.861812,24.64
1.881812,24.64
1.901813,24.32
1.922812,24.32
1.941813,24.32
1.961812,24.32
1.981812,24.32
2.001812,24.32
2.021812,24.32
2.041812,24.32
2.061812,24
2.081812,24.32
2.101813,24.32
2.122813,24.32
2.142812,24.32
2.161813,24.32
2.181813,24.32
2.201813,24.32
2.222812,24.32
2.242812,24.32
2.261812,24
2.281812,24
2.301812,24
2.322813,24
2.342813,24
2.361813,24
2.381813,24
2.401813,24
2.422812,24
2.442812,24
2.461812,23.68
2.481812,23.68
2.501812,23.68
2.522813,23.68
2.542813,23.68
2.561812,24
2.581812,23.36
2.601813,23.68
2.622813,24
2.641813,24
2.661813,23.68
2.681813,23.68
2.701813,23.68
2.721812,24
2.741812,24
2.761812,23.68
2.781812,24
2.801812,23.68
2.822813,23.68
2.841813,23.68
2.861813,24
2.881813,23.68
2.901813,24
2.922812,24.32
2.942812,24.32
2.961812,23.68
2.981812,24
3.001812,24
3.021812,24
3.042813,24
3.061812,24
3.081812,24
3.101813,24
3.122813,24.32
3.142812,24.32
3.161813,24.32
3.181813,24.32
3.201813,24.32
3.221812,24
3.242812,24
3.261812,24.32
3.281812,24.32
3.301812,24
3.322813,24
3.341813,24
3.361813,24
3.381813,24
3.401813,24.32
3.421813,24
3.441813,24
3.461812,24
3.481812,24
3.501812,24.32
3.521812,24.32
3.541812,24.32
3.561812,24.32
3.581812,24.32
3.601813,24.32
3.621813,24.32
3.641813,24.32
3.661813,24.32
3.681813,24.32
3.701813,24.32
3.721812,24.64
3.742812,24.64
3.761812,24.32
3.781812,24.32
3.801812,24.32
3.822813,24.32
3.841813,24.32
3.861813,24.64
3.881813,24.64
3.901813,24.64
3.921813,24.64
3.942812,24.64
3.961812,24.64
3.981812,24.96
4.001812,24.64
4.022812,24.64
4.041812,24.64
4.061812,24.96
4.081812,24.96
4.101812,24.96
4.121812,24.96
4.141812,24.96
4.161812,25.28
4.181812,24.96
4.201812,25.28
4.221813,25.28
4.241813,25.28
4.261813,24.96
4.281813,25.28
4.301813,25.28
4.322813,25.28
4.341813,25.28
4.361813,25.6
4.381813,25.6
4.401813,25.6
4.421813,25.92
4.441813,25.92
4.461812,25.92
4.481812,25.92
4.501812,25.92
4.522812,25.92
4.542812,25.92
4.561812,25.92
4.581812,25.92
4.601812,25.92
4.622812,26.24
4.642813,26.24
4.661812,26.24
4.681812,26.24
4.701812,26.56
4.722813,26.56
4.742813,26.56
4.761813,26.88
4.781813,26.88
4.802813,26.88
4.822813,26.88
4.842813,26.88
4.861813,27.2
4.881813,27.2
4.902812,27.52
4.922812,27.52
4.942812,27.52
4.961812,27.84
4.981812,27.84
5.002812,27.84
5.022812,27.84
5.042812,27.84
5.061812,27.84
5.081812,28.16
5.101812,28.16
5.122812,28.16
5.142813,28.16
5.161812,28.48
5.181812,28.48
