time,FuelCons
9.375E-05,17368
0.02009375,17369
0.04009375,17371
0.08009375,17375
0.1000938,17376
0.1200937,17378
0.1400937,17380
0.1600938,17382
0.1800938,17384
0.1990937,17386
0.2190938,17388
0.2390938,17391
0.2590938,17393
0.2790937,17395
0.2990938,17397
0.3190938,17399
0.3390937,17401
0.3590938,17403
0.3790937,17405
0.3990937,17407
0.4190938,17409
0.4390937,17411
0.4590937,17413
0.4790938,17415
0.4990937,17417
0.5190938,17420
0.5390937,17422
0.5590938,17424
0.5790938,17427
0.5990937,17429
0.6190938,17432
0.6390938,17434
0.6590937,17437
0.6790938,17440
0.6990938,17442
0.7190937,17445
0.7390937,17448
0.7590938,17450
0.7790937,17453
0.7990937,17455
0.8190938,17458
0.8390937,17461
0.8590937,17463
0.8790938,17466
0.8990937,17468
0.9190937,17471
0.9390938,17474
0.9590937,17476
0.9790937,17478
0.9990938,17481
1.019094,17484
1.039094,17486
1.059094,17489
1.079094,17491
1.099094,17494
1.119094,17497
1.139094,17500
1.159094,17503
1.179094,17506
1.199094,17509
1.219094,17511
1.239094,17514
1.259094,17518
1.279094,17520
1.299094,17523
1.319094,17526
1.339094,17529
1.359094,17532
1.379094,17535
1.399094,17538
1.419094,17541
1.439094,17544
1.459094,17547
1.479094,17549
1.499094,17553
1.519094,17556
1.539094,17559
1.559094,17561
1.579094,17564
1.599094,17567
1.619094,17570
1.639094,17573
1.659094,17576
1.679094,17579
1.698094,17582
1.718094,17585
1.738094,17589
1.758094,17592
1.778094,17595
1.798094,17599
1.818094,17602
1.838094,17605
1.858094,17608
1.878094,17611
1.898094,17614
1.918094,17618
1.938094,17621
1.958094,17624
1.978094,17627
1.998094,17630
2.018094,17634
2.038094,17637
2.058094,17641
2.078094,17644
2.098094,17647
2.118094,17650
2.138094,17654
2.158094,17657
2.178094,17660
2.198094,17663
2.218094,17667
2.238094,17670
2.258094,17674
2.278094,17678
2.298094,17681
2.318094,17685
2.338094,17689
2.358094,17694
2.378094,17698
2.398094,17703
2.418094,17707
2.438094,17712
2.458094,17716
2.478094,17721
2.498094,17726
2.518094,17731
2.538094,17735
2.558094,17740
2.578094,17745
2.598094,17751
2.618094,17756
2.638094,17762
2.658094,17769
2.678094,17777
2.698094,17784
2.718094,17792
2.738094,17800
2.758094,17808
2.778094,17815
2.798094,17823
2.818094,17830
2.838094,17836
2.858094,17843
2.878094,17850
2.898094,17858
2.918094,17866
2.938094,17874
2.958094,17883
2.978094,17892
2.998094,17902
3.018094,17911
3.038094,17921
3.058094,17930
3.078094,17940
3.098094,17951
3.118094,17961
3.138094,17972
3.158094,17983
3.178094,17995
3.198094,18006
3.217094,18018
3.237094,18030
3.257094,18042
3.277094,18055
3.297094,18067
3.317094,18081
3.337094,18094
3.357094,18108
3.377094,18122
3.397094,18137
3.417094,18151
3.437094,18166
3.457094,18181
3.477094,18196
3.497094,18212
3.517094,18227
3.537094,18242
3.557094,18258
3.577094,18273
3.597094,18289
3.617094,18305
3.637094,18321
3.657094,18338
3.677094,18355
3.697094,18372
3.717094,18390
3.737094,18408
3.757094,18425
3.777094,18443
3.797094,18461
3.817094,18479
3.837094,18497
3.857094,18515
3.877094,18534
3.897094,18553
3.917094,18573
3.937094,18593
3.957094,18613
3.977094,18634
3.997094,18654
4.017094,18675
4.037094,18696
4.057094,18718
4.077094,18739
4.097094,18761
4.117094,18783
4.137094,18806
4.157094,18829
4.177094,18852
4.197094,18877
4.217094,18901
4.237094,18927
4.257094,18953
4.277094,18981
4.297094,19008
4.317094,19036
4.337094,19065
4.357094,19094
4.377094,19123
4.397094,19153
4.417094,19182
4.437094,19212
4.457094,19242
4.477094,19273
4.497094,19304
4.517094,19335
4.537094,19367
4.557094,19399
4.577094,19432
4.597094,19464
4.617094,19498
4.637094,19531
4.657094,19565
4.677094,19600
4.696094,19634
4.716094,19668
4.736094,19703
4.756094,19739
4.776094,19774
4.796094,19810
4.816094,19846
4.836094,19883
4.856094,19919
4.876094,19956
4.896094,19993
4.916094,20030
4.936094,20068
4.956094,20105
4.976094,20144
4.996094,20182
5.016094,20221
5.036094,20260
5.056094,20299
5.076094,20339
5.096094,20378
5.116094,20417
5.136094,20457
5.156094,20496
5.176094,20535
5.196094,20575
5.216094,20615
5.236094,20655
5.256094,20696
5.276094,20736
5.296094,20776
5.316094,20816
5.336094,20857
5.356094,20897
5.376094,20938
5.396094,20979
5.416094,21019
5.436094,21060
5.456094,21101
5.476094,21142
5.496094,21183
5.516094,21224
5.536094,21265
5.556094,21306
5.576094,21347
5.596094,21388
5.616094,21429
5.636094,21470
5.656094,21512
5.676094,21553
5.696094,21594
5.716094,21635
5.736094,21676
5.756094,21718
5.776094,21759
5.796094,21800
5.816094,21841
5.836094,21883
5.856094,21925
5.876094,21966
5.896094,22008
5.916094,22049
5.936094,22090
5.956094,22132
5.976094,22173
5.996094,22214
6.016094,22255
6.036094,22296
6.056094,22338
6.076094,22379
6.096094,22420
6.116094,22461
6.136094,22503
6.156094,22544
6.176094,22585
6.196094,22625
6.216094,22666
6.235094,22707
6.256094,22749
6.275094,22790
6.295094,22831
6.316094,22872
6.336094,22913
6.355094,22954
6.376094,22993
6.396094,23033
6.416094,23073
6.436094,23113
6.456094,23152
6.475094,23192
6.495094,23231
6.515094,23270
6.536094,23310
6.555094,23349
6.575094,23387
6.595094,23426
6.615094,23464
6.635094,23503
6.655094,23541
6.675094,23580
6.695094,23619
6.715094,23658
6.735094,23697
6.755094,23736
6.775094,23774
6.795094,23813
6.816094,23852
6.836094,23890
6.856094,23928
6.876094,23966
6.896094,24005
6.915094,24043
6.935094,24081
6.955094,24119
6.975094,24157
6.995094,24195
7.015094,24234
7.035094,24272
7.055094,24311
7.075094,24349
7.095094,24387
7.115094,24426
7.135094,24464
7.155094,24502
7.175094,24540
7.195094,24577
7.215094,24616
7.235094,24654
7.255094,24692
7.275094,24730
7.295094,24767
7.315094,24805
7.335094,24843
7.355094,24881
7.375094,24919
7.395094,24957
7.415094,24995
7.435094,25033
7.455094,25071
7.475094,25109
7.495094,25146
7.515094,25184
7.535094,25221
7.555094,25259
7.575094,25296
7.595094,25333
7.615094,25370
7.635094,25407
7.655094,25443
7.675094,25480
7.694094,25517
7.714094,25553
7.734094,25589
7.754094,25625
7.774094,25660
7.794094,25696
7.814094,25732
7.834094,25767
7.854094,25802
7.874094,25837
7.894094,25872
7.914094,25906
7.934094,25940
7.954094,25974
7.974094,26007
7.994094,26040
8.014093,26073
8.034094,26105
8.054093,26138
8.074094,26170
8.094093,26201
8.114094,26232
8.134093,26263
8.154094,26293
8.174094,26323
8.194094,26352
8.214094,26381
8.234094,26410
8.254094,26438
8.274094,26467
8.294094,26496
8.314094,26524
8.334094,26553
8.354094,26581
8.374094,26609
8.394094,26637
8.414094,26665
8.434093,26692
8.454094,26720
8.474093,26747
8.494094,26774
8.514093,26802
8.534094,26829
8.554093,26856
8.574094,26883
8.594093,26909
8.614094,26936
8.634093,26962
8.654094,26989
8.674094,27015
8.694094,27042
8.714094,27068
8.734094,27095
8.754094,27121
8.774094,27148
8.794094,27174
8.814094,27201
8.834094,27227
8.854094,27253
8.874094,27280
8.894094,27306
8.914094,27333
8.934093,27360
8.954094,27386
8.974093,27413
8.994094,27440
9.014093,27466
9.034094,27492
9.054093,27519
9.074094,27545
9.094093,27571
9.114094,27598
9.134093,27624
9.154094,27650
9.174094,27676
9.194094,27702
9.213094,27729
9.233094,27755
9.253094,27781
9.273094,27807
9.293094,27833
9.313094,27859
9.333094,27885
9.353094,27911
9.373094,27936
9.393094,27962
9.413094,27987
9.433094,28013
9.453094,28038
9.473094,28063
9.493093,28088
9.513094,28114
9.533093,28139
9.553094,28163
9.573093,28188
9.593094,28213
9.613093,28237
9.633094,28262
9.653093,28286
9.673094,28311
9.693093,28335
9.713094,28359
9.733094,28383
9.753094,28407
9.773094,28431
9.793094,28456
9.813094,28480
9.833094,28504
9.853094,28529
9.873094,28553
9.893094,28578
9.913094,28602
9.933094,28626
9.953094,28650
9.973094,28674
9.993093,28699
10.01309,28723
10.03309,28747
10.05309,28771
10.07309,28795
10.09309,28819
10.11309,28843
10.13309,28867
10.15309,28892
10.17309,28916
10.19309,28940
10.21309,28964
10.23309,28988
10.25309,29012
10.27309,29037
10.29309,29061
10.31309,29085
10.33309,29109
10.35309,29134
10.37309,29158
10.39309,29182
10.41309,29206
10.43309,29230
10.45309,29255
10.47309,29279
10.49309,29304
10.51309,29329
10.53309,29354
10.55309,29378
10.57309,29402
10.59309,29426
10.61309,29449
10.63309,29473
10.65309,29496
10.67309,29518
10.69309,29539
10.71309,29560
10.73309,29580
10.75209,29599
10.77309,29617
10.79209,29635
10.81209,29652
10.83209,29669
10.85209,29685
10.87209,29701
10.89309,29716
10.91209,29732
10.93209,29747
10.95209,29762
10.97209,29776
10.99209,29790
11.01209,29803
11.03209,29817
11.05309,29830
11.07209,29842
11.09309,29854
11.11209,29867
11.13209,29879
11.15209,29890
11.17209,29902
11.19209,29913
11.21209,29925
11.23209,29936
11.25209,29947
11.27209,29958
11.29209,29969
11.31209,29980
11.33209,29990
11.35209,30001
11.37209,30011
11.39209,30021
11.41209,30031
11.43209,30040
11.45209,30050
11.47209,30061
11.49209,30070
11.51209,30080
11.53209,30090
11.55209,30100
11.57209,30109
11.59209,30118
11.61209,30127
11.63209,30136
11.65209,30145
11.67209,30154
11.69209,30163
11.71209,30172
11.73209,30181
11.75209,30189
11.77209,30197
11.79209,30205
11.81209,30213
11.83209,30221
11.85209,30229
11.87209,30237
11.89209,30245
11.91209,30253
11.93209,30261
11.95209,30268
11.97209,30275
11.99209,30283
12.01209,30290
12.03209,30298
12.05209,30305
12.07209,30313
12.09209,30320
12.11209,30327
12.13209,30334
12.15209,30342
12.17209,30349
12.19209,30356
12.21209,30363
12.23209,30370
12.25109,30377
12.27109,30384
12.29109,30391
12.31109,30398
12.33109,30405
12.35109,30412
12.37109,30418
12.39109,30425
12.41209,30432
12.43109,30439
12.45109,30446
12.47109,30452
12.49109,30459
12.51109,30465
12.53109,30471
12.55109,30477
