time,RevoPMin
-0.00190625,1572
0.01809375,1573
0.03809375,1569
0.07809375,1563
0.09809375,1563
0.1180938,1558
0.1380938,1555
0.1580938,1549
0.1770937,1548
0.1970938,1543
0.2180938,1541
0.2370937,1537
0.2570938,1535
0.2780938,1533
0.2970937,1531
0.3170938,1529
0.3370937,1527
0.3570938,1525
0.3770938,1521
0.3970937,1520
0.4170938,1518
0.4370938,1515
0.4570937,1513
0.4770938,1511
0.4970937,1508
0.5170938,1505
0.5370938,1502
0.5570937,1498
0.5770937,1493
0.5970938,1489
0.6170937,1485
0.6370937,1483
0.6570938,1477
0.6770937,1473
0.6970937,1471
0.7170938,1471
0.7370937,1465
0.7570937,1461
0.7770938,1459
0.7970937,1459
0.8170937,1458
0.8370938,1453
0.8570938,1451
0.8770937,1451
0.8970938,1448
0.9170938,1442
0.9370937,1440
0.9570938,1443
0.9770938,1444
0.9970937,1437
1.017094,1434
1.037094,1437
1.057094,1437
1.077094,1432
1.097094,1426
1.117094,1425
1.137094,1427
1.157094,1420
1.177094,1413
1.197094,1414
1.217094,1414
1.237094,1411
1.257094,1399
1.277094,1405
1.297094,1410
1.317094,1404
1.337094,1393
1.357094,1393
1.377094,1397
1.397094,1395
1.417094,1387
1.437094,1385
1.457094,1387
1.477094,1385
1.497094,1377
1.517094,1375
1.537094,1378
1.557094,1382
1.577094,1377
1.597094,1369
1.617094,1371
1.637094,1372
1.657094,1372
1.676094,1365
1.696094,1363
1.716094,1365
1.736094,1362
1.756094,1357
1.776094,1349
1.796094,1351
1.816094,1352
1.836094,1348
1.856094,1346
1.876094,1343
1.896094,1344
1.916094,1341
1.936094,1338
1.956094,1332
1.976094,1335
1.996094,1336
2.016094,1329
2.036094,1325
2.056094,1319
2.076094,1321
2.096094,1323
2.116094,1323
2.136094,1318
2.156094,1321
2.176094,1325
2.196094,1326
2.216094,1326
2.236094,1323
2.256094,1325
2.276094,1325
2.296094,1325
2.316094,1322
2.336094,1326
2.356094,1326
2.376094,1322
2.396094,1318
2.416094,1318
2.436094,1324
2.456094,1325
2.476094,1321
2.496094,1321
2.516094,1328
2.536094,1330
2.556094,1333
2.576094,1336
2.596094,1343
2.616094,1343
2.636094,1334
2.656094,1322
2.676094,1315
2.696094,1305
2.716094,1300
2.736094,1295
2.756094,1290
2.776094,1291
2.796094,1294
2.816094,1300
2.836094,1307
2.856094,1311
2.876094,1317
2.896094,1314
2.916094,1313
2.936094,1315
2.956094,1314
2.976094,1311
2.996094,1312
3.016094,1315
3.036094,1320
3.056094,1326
3.076094,1330
3.096094,1334
3.116094,1336
3.136094,1336
3.156094,1332
3.176094,1329
3.196094,1332
3.216094,1335
3.236094,1336
3.256094,1333
3.276094,1334
3.296094,1334
3.315094,1331
3.335094,1328
3.355094,1326
3.375094,1326
3.395094,1328
3.415094,1328
3.435094,1325
3.455094,1323
3.475094,1323
3.495094,1325
3.515094,1328
3.535094,1332
3.555094,1336
3.575094,1344
3.595094,1348
3.615094,1345
3.635094,1342
3.655094,1341
3.675094,1339
3.695094,1336
3.715094,1333
3.735094,1333
3.755094,1337
3.775094,1342
3.795094,1343
3.815094,1348
3.835094,1351
3.855094,1357
3.875094,1361
3.895094,1360
3.915094,1363
3.935094,1364
3.955094,1362
3.975094,1360
3.995094,1361
4.015094,1364
4.035094,1367
4.055094,1368
4.075094,1367
4.095094,1372
4.115094,1376
4.135094,1379
4.155094,1384
4.175094,1388
4.195094,1392
4.215094,1397
4.235094,1399
4.255094,1399
4.275094,1399
4.295094,1401
4.315094,1402
4.335094,1399
4.355094,1407
4.375094,1411
4.395094,1419
4.415094,1421
4.435094,1428
4.455094,1431
4.475094,1435
4.495094,1433
4.515094,1435
4.535094,1439
4.555094,1442
4.575094,1444
4.595094,1446
4.615094,1450
4.635094,1452
4.655094,1453
4.674094,1460
4.694094,1472
4.714094,1480
4.734094,1483
4.754094,1488
4.774094,1495
4.794094,1494
4.814094,1494
4.834094,1499
4.854094,1511
4.874094,1517
4.894094,1520
4.914094,1525
4.934094,1535
4.954094,1538
4.974094,1541
4.994094,1543
5.014094,1547
5.034094,1547
5.054094,1546
5.074094,1550
5.094094,1560
5.114094,1566
5.134094,1575
5.154094,1586
5.174094,1589
5.194094,1588
5.214094,1583
5.234094,1593
5.254094,1599
5.274094,1605
5.294094,1610
5.314094,1617
5.334094,1619
5.354094,1622
5.374094,1626
5.394094,1635
5.414094,1640
5.434094,1639
5.454094,1645
5.474094,1648
5.494094,1651
5.514094,1654
5.534094,1663
5.554094,1668
5.574094,1671
5.594094,1674
5.614094,1681
5.634094,1684
5.654094,1683
5.674094,1693
5.694094,1698
5.714094,1700
5.734094,1702
5.754094,1708
5.774094,1713
5.794094,1713
5.814094,1720
5.834094,1722
5.854094,1722
5.874094,1723
5.894094,1730
5.914094,1737
5.934094,1735
5.954094,1744
5.974094,1747
5.994094,1748
6.014094,1756
6.034094,1759
6.054094,1761
6.074094,1760
6.094094,1766
6.114094,1770
6.134094,1765
6.154094,1779
6.174094,1790
6.194094,1793
6.214094,1796
6.233094,1798
6.253094,1798
6.273094,1792
6.293094,1792
6.313094,1795
6.333094,1793
6.353094,1801
6.373094,1807
6.393094,1810
6.413094,1810
6.433094,1816
6.453094,1816
6.473094,1812
6.493094,1817
6.513094,1822
6.533094,1822
6.553094,1827
6.573094,1839
6.593094,1839
6.613094,1843
6.633094,1844
6.653094,1847
6.673094,1843
6.693094,1846
6.713094,1848
6.733094,1844
6.753094,1848
6.773094,1849
6.793094,1849
6.813094,1856
6.833094,1863
6.853094,1862
6.873094,1865
6.893094,1865
6.913094,1867
6.933094,1869
6.953094,1874
6.973094,1878
6.993094,1875
7.013094,1875
7.033094,1879
7.053094,1876
7.073094,1883
7.093094,1885
7.113094,1881
7.133094,1887
7.153094,1893
7.173094,1892
7.193094,1896
7.213094,1895
7.233094,1897
7.253094,1898
7.273094,1903
7.293094,1908
7.313094,1906
7.333094,1910
7.353094,1914
7.373094,1914
7.393094,1914
7.413094,1915
7.433094,1912
7.453094,1916
7.473094,1918
7.493094,1919
7.513094,1923
7.533094,1924
7.553094,1922
7.573094,1926
7.593094,1928
7.613094,1928
7.633094,1928
7.653094,1928
7.673094,1927
7.693094,1932
7.712094,1935
7.732094,1936
7.752094,1937
7.772094,1940
7.792094,1940
7.812094,1939
7.832094,1942
7.852094,1943
7.872094,1939
7.892094,1941
7.912094,1940
7.932094,1941
7.952094,1940
7.972094,1941
7.992094,1936
8.012094,1939
8.032094,1939
8.052094,1936
8.072094,1935
8.092093,1935
8.112094,1933
8.132093,1937
8.152094,1939
8.172093,1939
8.192094,1944
8.212093,1944
8.232094,1944
8.252093,1946
8.272094,1943
8.292093,1940
8.312094,1938
8.332094,1935
8.352094,1938
8.372094,1939
8.392094,1939
8.412094,1936
8.432094,1937
8.452094,1934
8.472094,1938
8.492094,1934
8.512094,1931
8.532094,1932
8.552094,1930
8.572094,1930
8.592093,1935
8.612094,1932
8.632093,1932
8.652094,1933
8.672093,1934
8.692094,1935
8.712093,1935
8.732094,1932
8.752093,1933
8.772094,1932
8.792093,1934
8.812094,1935
8.832094,1935
8.852094,1935
8.872094,1934
8.892094,1931
8.912094,1931
8.932094,1927
8.952094,1923
8.972094,1923
8.992094,1922
9.012094,1922
9.032094,1926
9.052094,1922
9.072094,1918
9.092093,1921
9.112094,1921
9.132093,1921
9.152094,1923
9.171094,1919
9.191093,1920
9.211094,1920
9.231093,1924
9.251094,1919
9.272094,1920
9.292093,1916
9.311093,1918
9.331094,1915
9.351093,1915
9.371094,1916
9.391094,1913
9.411094,1910
9.431094,1908
9.451094,1904
9.471094,1900
9.491094,1900
9.511094,1895
9.531094,1897
9.551094,1894
9.571094,1892
9.591094,1890
9.611094,1888
9.631094,1888
9.651093,1888
9.671094,1888
9.691093,1891
9.711094,1888
9.731093,1888
9.751094,1889
9.771093,1883
9.791094,1885
9.811093,1883
9.831094,1877
9.851093,1877
9.871094,1871
9.891094,1870
9.911094,1872
9.931094,1871
9.951094,1873
9.971094,1873
9.991094,1869
10.01109,1868
10.03109,1865
