time,SideAccl
-0.0011875,-0.0600000000000001
0.0188125,-0.0600000000000001
0.0388125,-0.0600000000000001
0.0588125,-0.04
0.0788125,-0.03
0.0988125,-0.02
0.1188125,-0.01
0.1388125,-0.02
0.1588125,-0.02
0.1788125,-0.02
0.1988125,-0.01
0.2188125,-0.01
0.2388125,-0.01
0.2588125,-0.02
0.2788125,-0.02
0.2988125,-0.02
0.3188125,-0.03
0.3388125,-0.03
0.3588125,-0.03
0.3788125,-0.02
0.3988125,-0.01
0.4188125,-0.01
0.4388125,-0.02
0.4588125,-0.02
0.4788125,-0.02
0.4988125,-0.02
0.5188125,-0.02
0.5388125,-0.03
0.5588125,-0.02
0.5788125,-0.01
0.5988125,-0.01
0.6188125,-0.01
0.6388125,-0.02
0.6588125,-0.01
0.6788125,-0.02
0.6988125,-0.03
0.7188125,-0.03
0.7388125,-0.02
0.7588125,-0.01
0.7788125,0
0.7988125,-0.01
0.8188125,-0.02
0.8388125,-0.03
0.8588125,-0.03
0.8788125,-0.03
0.8988125,-0.02
0.9188125,-0.01
0.9388125,0
0.9588125,0
0.9788125,-0.01
0.9988125,-0.02
1.018813,-0.02
1.038813,-0.02
1.058812,-0.02
1.078812,-0.03
1.098812,-0.02
1.118812,-0.02
1.138813,-0.02
1.158813,-0.02
1.178813,-0.02
1.198812,-0.01
1.218812,-0.01
1.238812,0
1.258813,0
1.278813,-0.02
1.298813,-0.02
1.318812,-0.02
1.338812,-0.01
1.358812,0
1.378813,0
1.398813,0
1.418813,-0.01
1.438812,-0.02
1.458812,-0.03
1.478812,-0.03
1.498813,-0.03
1.518813,-0.01
1.538813,0
1.558812,0
1.578812,-0.01
1.598812,-0.01
1.618812,-0.01
1.638813,-0.01
1.658813,-0.02
1.678813,-0.03
1.698812,-0.03
1.718812,-0.03
1.738812,-0.03
1.758813,-0.02
1.778813,-0.01
1.798813,0
1.818812,0
1.838812,0
1.858812,-0.01
1.878813,-0.02
1.898813,-0.02
1.918813,-0.01
1.938812,0
1.958812,0
1.978812,0.02
1.998813,0.03
2.018812,0.02
2.038812,0.02
2.058813,0.02
2.078813,0.03
2.098813,0.05
2.118813,0.0600000000000001
2.138813,0.0800000000000001
2.158813,0.0900000000000001
2.178813,0.1
2.198812,0.1
2.218812,0.11
2.238812,0.12
2.258812,0.13
2.278812,0.14
2.298812,0.15
2.318813,0.17
2.338813,0.17
2.358813,0.17
2.378813,0.18
2.398813,0.18
2.418813,0.19
2.438812,0.19
2.458812,0.2
2.478812,0.2
2.498812,0.19
2.518812,0.19
2.538812,0.23
2.558813,0.27
