time,SpeedCom
0.0018125,26.34
0.0228125,26.3
0.0428125,26.3
0.0618125,26.23
0.0818125,26.2
0.1018125,26.13
0.1228125,26.03
0.1428125,26.03
0.1618125,25.96
0.1818125,25.91
0.2018125,25.85
0.2228125,25.82
0.2418125,25.82
0.2618125,25.68
0.2818125,25.71
0.3018125,25.64
0.3218125,25.59
0.3428125,25.59
0.3618125,25.48
0.3818125,25.5
0.4018125,25.47
0.4218125,25.37
0.4428125,25.37
0.4618125,25.36
0.4818125,25.22
0.5018125,25.17
0.5218125,25.22
0.5418125,25.22
0.5618125,25.01
0.5818125,25.01
0.6018125,24.91
0.6228125,24.87
0.6428125,24.87
0.6618125,24.69
0.6818125,24.69
0.7018125,24.69
0.7228125,24.55
0.7428125,24.55
0.7618125,24.41
0.7818125,24.38
0.8018125,24.46
0.8228125,24.39
0.8428125,24.39
0.8618125,24.29
0.8818125,24.23
0.9018125,24.28
0.9228125,24.27
0.9428125,24.27
0.9618125,24.13
0.9818125,24.16
1.001812,24.05
1.022812,23.93
1.041813,23.93
1.061813,23.98
1.081813,23.91
1.102813,23.79
1.122813,23.86
1.142812,23.86
1.161813,23.72
1.181813,23.69
1.201813,23.56
1.222813,23.55
1.241812,23.55
1.261812,23.48
1.281813,23.51
1.301813,23.49
1.322813,23.48
1.342813,23.48
1.361812,23.27
1.381812,23.37
1.401813,23.37
1.422812,23.27
1.442812,23.27
1.461812,23.13
1.481812,23.14
1.501812,23.13
1.522812,23.02
1.542812,23.02
1.561813,23.09
1.581813,23.05
1.601812,22.98
1.622813,22.91
1.642812,22.91
1.661813,22.91
1.681813,22.86
1.701813,22.66
1.722813,22.71
1.742813,22.71
1.761812,22.71
1.781813,22.68
1.801813,22.54
1.822813,22.61
1.841812,22.61
1.861812,22.55
1.881812,22.43
1.901813,22.37
1.922812,22.37
1.941813,22.37
1.961812,22.29
1.981812,22.16
2.001812,22.31
2.021812,22.36
2.041812,22.36
2.061812,22.1
2.081812,22.15
2.101813,22.15
2.122813,22.16
2.142812,22.16
2.161813,22.13
2.181813,22.19
2.201813,22.15
2.222812,22.15
2.242812,22.15
2.261812,22.01
2.281812,21.91
2.301812,21.96
2.322813,22.05
2.342813,22.05
2.361813,21.94
2.381813,21.94
2.401813,21.92
2.422812,21.91
2.442812,21.91
2.461812,21.78
2.481812,21.8
2.501812,21.66
2.522813,21.59
2.542813,21.59
2.561812,21.87
2.581812,21.41
2.601813,21.55
2.622813,21.91
2.641813,21.91
2.661813,21.77
2.681813,21.62
2.701813,21.71
2.721812,21.85
2.741812,21.85
2.761812,21.55
2.781812,21.81
2.801812,21.59
2.822813,21.59
2.841813,21.59
2.861813,22.08
2.881813,21.6
2.901813,21.94
2.922812,22.15
2.942812,22.15
2.961812,21.59
2.981812,22.08
3.001812,22.02
3.021812,21.88
3.042813,21.88
3.061812,21.96
3.081812,21.84
3.101813,21.98
3.122813,22.15
3.142812,22.15
3.161813,22.13
3.181813,22.34
3.201813,22.17
3.221812,22.06
3.242812,22.06
3.261812,22.27
3.281812,22.22
3.301812,22.08
3.322813,22.1
3.341813,22.1
3.361813,22.09
3.381813,22.08
3.401813,22.17
3.421813,22.09
3.441813,22.09
3.461812,22.01
3.481812,22.05
3.501812,22.26
3.521812,22.31
3.541812,22.31
3.561812,22.38
3.581812,22.3
3.601813,22.17
3.621813,22.26
3.641813,22.26
3.661813,22.34
3.681813,22.27
3.701813,22.31
3.721812,22.47
3.742812,22.47
3.761812,22.34
3.781812,22.27
3.801812,22.36
3.822813,22.29
3.841813,22.29
3.861813,22.61
3.881813,22.61
3.901813,22.63
3.921813,22.73
3.942812,22.73
3.961812,22.71
3.981812,22.78
4.001812,22.59
