time,WheelAng
-0.0011875,0
0.0088125,0
0.0188125,0
0.0298125,0
0.0398125,0
0.0498125,0
0.0598125,0
0.0798125,1.4
0.0898125,1.4
0.0998125,1.4
0.1098125,1.4
0.1198125,1.4
0.1298125,1.4
0.1398125,1.4
0.1498125,1.4
0.1598125,1.4
0.1698125,1.4
0.1798125,1.4
0.1898125,1.4
0.1998125,1.4
0.2098125,1.4
0.2198125,1.4
0.2298125,1.4
0.2398125,1.4
0.2498125,1.4
0.2598125,1.4
0.2698125,1.4
0.2798125,1.4
0.2898125,1.4
0.2998125,1.4
0.3098125,1.4
0.3198125,1.4
0.3298125,1.4
0.3398125,1.4
0.3498125,1.4
0.3598125,1.4
0.3698125,1.4
0.3798125,1.4
0.3898125,1.4
0.3998125,1.4
0.4108125,1.4
0.4208125,1.4
0.4308125,1.4
0.4408125,1.4
0.4508125,1.4
0.4608125,1.4
0.4708125,1.4
0.4808125,1.4
0.4908125,1.4
0.5008125,1.4
0.5108125,1.4
0.5208125,1.4
0.5308125,1.4
0.5408125,1.4
0.5508125,1.4
0.5608125,1.4
0.5708125,1.4
0.5808125,1.4
0.5908125,1.4
0.6008125,1.4
0.6108125,1.4
0.6208125,1.4
0.6308125,1.4
0.6408125,1.4
0.6508125,1.4
0.6608125,1.4
0.6708125,1.4
0.6808125,1.4
0.6908125,1.4
0.7008125,1.4
0.7108125,1.4
0.7208125,1.4
0.7308125,1.4
0.7408125,1.4
0.7508125,1.4
0.7608125,1.4
0.7708125,1.4
0.7808125,1.4
0.7908125,1.4
0.8018125,1.4
0.8118125,1.4
0.8218125,1.4
0.8318125,1.4
0.8418125,1.4
0.8518125,1.4
0.8618125,1.4
0.8718125,1.4
0.8818125,1.4
0.8918125,1.4
0.9018125,1.4
0.9118125,1.4
0.9218125,1.4
0.9318125,1.4
0.9418125,1.4
0.9518125,1.4
0.9618125,1.4
0.9718125,1.4
0.9818125,1.4
0.9918125,1.4
1.001812,1.4
1.011812,1.4
1.021813,1.4
1.031813,1.4
1.041813,1.4
1.051813,1.4
1.061813,1.4
1.071813,1.4
1.081813,1.4
1.091812,1.4
1.101812,1.4
1.111812,1.4
1.121812,1.4
1.131812,1.4
1.141812,1.4
1.151813,1.4
1.161813,1.4
1.171813,1.4
1.181813,1.4
1.192812,1.4
1.202813,1.4
1.212813,1.4
1.222813,1.4
1.232813,1.4
1.242813,1.4
1.252813,1.4
1.262812,1.4
1.272812,1.4
1.282812,1.4
1.292812,1.4
1.302812,1.4
1.312812,1.4
1.322813,1.4
1.332813,1.4
1.342813,1.4
1.352813,1.4
1.362813,1.4
1.372813,1.4
1.382813,1.4
1.392812,1.4
1.402812,1.4
1.412812,1.4
1.422812,1.4
1.432812,1.4
1.442812,1.4
1.452813,1.4
1.462813,1.4
1.472813,1.4
1.482813,1.4
1.492813,1.4
1.502813,1.4
1.512812,1.4
1.522812,1.4
1.532812,1.4
1.542812,1.4
1.552812,1.4
1.562812,1.4
1.573812,1.4
1.583812,1.4
1.593812,1.4
1.603812,1.4
1.613812,1.4
1.623813,1.4
1.633813,1.4
1.643813,1.4
1.653813,1.4
1.663813,1.4
1.673813,1.4
1.683812,1.4
1.693812,1.4
1.703812,1.4
1.713812,1.4
1.723812,1.4
1.733812,1.4
1.743812,1.4
1.753813,2.975
1.763813,2.975
1.773813,2.975
1.783813,2.975
1.793813,2.975
1.803813,2.975
1.813812,2.975
1.823812,4.375
1.833812,4.375
1.843812,4.375
1.853812,5.95
1.863812,5.95
1.873813,7.35
1.883813,7.35
1.893813,8.925
1.903813,10.5
1.913813,10.5
1.923813,11.9
1.933812,13.475
1.943812,14.875
1.953812,16.45
1.964813,17.85
1.974813,21
1.984812,22.4
1.994812,23.975
2.004812,26.95
2.014812,29.925
2.024812,31.5
2.034812,34.475
2.044812,35.875
2.054812,38.85
2.064812,42
2.074812,43.4
2.084812,46.375
2.094812,49.35
2.104812,50.925
2.114813,53.9
2.124813,56.875
2.134813,58.45
2.144813,61.425
2.154813,64.4
2.164813,67.375
2.174813,68.95
2.184813,71.925
2.194813,74.9
2.204813,76.475
2.214813,79.45
2.224813,82.425
2.234812,84
2.244812,86.975
2.254812,88.375
2.264812,91.35
2.274812,92.925
2.284812,95.9
2.294812,97.475
2.305813,100.45
2.314812,101.85
2.324812,103.425
2.334812,106.4
2.344812,107.975
2.354812,109.375
2.365813,110.95
2.375813,113.925
2.385813,115.5
2.395813,116.9
2.405813,119.875
2.415812,121.45
2.425812,122.85
2.435812,124.425
2.445812,126
2.455812,127.4
2.465812,128.975
2.475812,130.375
2.485812,131.95
2.495812,133.35
2.505812,134.925
2.515812,136.5
2.525812,137.9
2.535813,140.875
2.545813,142.45
2.555813,143.85
2.565813,145.425
2.575813,148.4
2.585813,149.975
2.595813,152.95
2.605813,154.35
2.615813,155.925
2.625813,158.9
2.635813,161.875
2.645813,164.85
2.655813,166.425
2.665812,168
2.675812,170.975
2.685812,173.95
2.695812,175.35
2.705812,176.925
2.715812,179.9
2.725812,181.475
2.735812,182.875
2.745812,184.45
2.756813,185.85
2.766813,187.425
2.776813,189
